date,open,high,low,close,volume
2000-01-03,1.68,1.74,1.68,1.74,48429
2000-01-04,1.64,1.68,1.62,1.63,125347
2000-01-05,1.58,1.62,1.58,1.58,54127
2000-01-06,1.62,1.65,1.62,1.62,94010
2000-01-07,1.58,1.61,1.54,1.54,37034
2000-01-10,1.55,1.58,1.51,1.54,45580
2000-01-11,1.54,1.58,1.53,1.54,45580
2000-01-12,1.54,1.55,1.47,1.48,222206
2000-01-13,1.57,1.58,1.48,1.55,45580
2000-01-14,1.63,1.63,1.58,1.63,11395
2000-01-17,1.58,1.58,1.56,1.56,31336
2000-01-18,1.54,1.6,1.54,1.58,301972
2000-01-19,1.61,1.63,1.58,1.6,48429
2000-01-20,1.67,1.72,1.67,1.69,168079
2000-01-21,1.68,1.82,1.68,1.74,170927
2000-01-24,1.83,1.87,1.81,1.85,99707
2000-01-25,1.83,1.86,1.77,1.83,139591
2000-01-27,1.83,1.93,1.78,1.81,284879
2000-01-28,1.77,1.82,1.76,1.79,99707
2000-01-31,1.82,1.82,1.72,1.76,94010
2000-02-01,1.77,1.9,1.77,1.9,199415
2000-02-02,2.04,2.05,2.0,2.04,527027
2000-02-03,2.14,2.19,1.97,1.98,361797
2000-02-04,1.98,2.1,1.97,2.01,239299
2000-02-07,2.1,2.1,1.9,1.93,150986
2000-02-08,1.93,2.0,1.79,1.81,239299
2000-02-09,1.83,1.83,1.77,1.79,71219
2000-02-10,1.79,1.88,1.78,1.87,96859
2000-02-11,1.77,1.79,1.77,1.79,8546
2000-02-14,1.72,1.78,1.72,1.78,28487
2000-02-15,1.76,1.78,1.76,1.76,74068
2000-02-16,1.76,1.83,1.76,1.76,56975
2000-02-17,1.76,1.79,1.76,1.77,133893
2000-02-18,1.76,1.91,1.76,1.91,99707
2000-02-21,1.91,2.04,1.83,2.0,179474
2000-02-22,2.0,2.16,1.92,2.14,521330
2000-02-23,2.25,2.25,2.25,2.25,227903
2000-02-24,2.4,2.43,2.18,2.42,1116729
2000-02-25,2.42,2.61,2.29,2.34,253543
2000-02-28,2.28,2.35,2.16,2.22,304821
2000-02-29,2.24,2.28,2.04,2.08,287728
2000-03-01,2.11,2.18,2.03,2.06,133893
2000-03-02,2.04,2.04,1.9,1.93,145288
2000-03-03,1.79,1.92,1.79,1.9,125347
2000-03-06,1.9,1.97,1.84,1.97,145288
2000-03-07,1.96,1.96,1.85,1.93,113951
2000-03-08,1.86,1.92,1.82,1.89,153835
2000-03-09,1.86,1.9,1.81,1.82,85463
2000-03-10,1.84,1.84,1.76,1.81,62673
2000-03-13,1.71,1.81,1.71,1.77,113951
2000-03-14,1.72,1.86,1.7,1.86,176625
2000-03-15,1.76,1.83,1.76,1.79,59824
2000-03-16,1.65,1.86,1.65,1.84,148137
2000-03-21,1.94,1.98,1.85,1.94,339007
2000-03-22,1.97,2.09,1.83,1.9,54127
2000-03-23,1.9,1.91,1.76,1.76,22790
2000-03-24,1.76,1.77,1.64,1.76,102556
2000-03-27,1.72,1.72,1.69,1.7,8546
2000-03-28,1.65,1.72,1.65,1.72,22790
2000-03-29,1.76,1.76,1.76,1.76,11395
2000-03-30,1.76,1.76,1.76,1.76,14243
2000-03-31,1.76,1.76,1.67,1.67,19941
2000-04-04,1.66,1.79,1.66,1.66,71219
2000-04-05,1.75,1.75,1.67,1.67,17092
2000-04-06,1.59,1.59,1.59,1.59,5697
2000-04-07,1.7,1.7,1.7,1.7,2848
2000-04-10,1.6,1.72,1.59,1.69,17092
2000-04-11,1.71,1.71,1.65,1.65,5697
2000-04-17,1.58,1.75,1.53,1.75,25639
2000-04-18,1.62,1.65,1.61,1.61,85463
2000-04-20,1.65,1.65,1.65,1.65,5697
2000-04-25,1.59,1.65,1.59,1.59,28487
2000-04-26,1.59,1.61,1.59,1.6,22790
2000-04-27,1.58,1.58,1.58,1.58,2848
2000-04-28,1.58,1.58,1.58,1.58,5697
2000-05-02,1.53,1.54,1.53,1.53,34185
2000-05-03,1.44,1.47,1.41,1.47,42731
2000-05-04,1.51,1.59,1.51,1.58,71219
2000-05-05,1.6,1.65,1.59,1.6,42731
2000-05-08,1.68,1.68,1.6,1.6,28487
2000-05-09,1.51,1.58,1.51,1.55,17092
2000-05-10,1.62,1.63,1.58,1.61,45580
2000-05-11,1.54,1.61,1.54,1.61,42731
2000-05-12,1.6,1.6,1.54,1.54,22790
2000-05-15,1.54,1.58,1.5,1.57,39883
2000-05-16,1.54,1.54,1.53,1.53,22790
2000-05-17,1.54,1.54,1.54,1.54,11395
2000-05-18,1.52,1.53,1.47,1.47,68371
2000-05-19,1.47,1.47,1.41,1.43,37034
2000-05-22,1.4,1.42,1.38,1.39,25639
2000-05-23,1.34,1.42,1.34,1.41,54127
2000-05-26,1.4,1.4,1.4,1.4,37034
2000-05-30,1.51,1.51,1.45,1.45,22790
2000-05-31,1.44,1.51,1.44,1.44,22790
2000-06-01,1.44,1.5,1.44,1.5,5697
2000-06-02,1.44,1.51,1.44,1.51,5697
2000-06-05,1.51,1.54,1.51,1.54,14243
2000-06-06,1.54,1.58,1.46,1.58,62673
2000-06-07,1.48,1.57,1.48,1.54,31336
2000-06-08,1.57,1.58,1.57,1.58,14243
2000-06-09,1.51,1.51,1.51,1.51,8546
2000-06-14,1.51,1.51,1.51,1.51,5697
2000-06-15,1.48,1.48,1.48,1.48,2848
2000-06-16,1.49,1.52,1.49,1.52,19941
2000-06-19,1.54,1.54,1.54,1.54,5697
2000-06-20,1.48,1.48,1.48,1.48,2848
2000-06-21,1.51,1.51,1.51,1.51,5697
2000-06-22,1.51,1.51,1.51,1.51,2848
2000-06-23,1.48,1.5,1.48,1.5,5697
2000-06-26,1.44,1.47,1.44,1.47,17092
2000-06-27,1.47,1.53,1.46,1.48,17092
2000-06-28,1.51,1.51,1.41,1.48,22790
2000-06-29,1.42,1.42,1.42,1.42,2848
2000-06-30,1.4,1.46,1.4,1.44,14243
2000-07-03,1.46,1.46,1.46,1.46,2848
2000-07-04,1.45,1.46,1.44,1.45,17092
2000-07-05,1.46,1.46,1.46,1.46,5697
2000-07-06,1.44,1.44,1.44,1.44,2848
2000-07-07,1.46,1.46,1.46,1.46,2848
2000-07-10,1.45,1.45,1.44,1.44,19941
2000-07-11,1.44,1.45,1.4,1.4,42731
2000-07-12,1.44,1.44,1.4,1.4,11395
2000-07-13,1.42,1.42,1.37,1.37,22790
2000-07-14,1.39,1.39,1.34,1.34,22790
2000-07-17,1.26,1.43,1.26,1.33,51278
2000-07-18,1.37,1.37,1.35,1.37,48429
2000-07-20,1.48,1.48,1.36,1.44,7150
2000-07-24,1.37,1.37,1.37,1.37,2848
2000-07-25,1.37,1.37,1.3,1.3,2108
2000-08-01,1.3,1.3,1.24,1.24,8546
2000-08-03,1.26,1.26,1.26,1.26,5697
2000-08-04,1.32,1.32,1.32,1.32,2848
2000-08-08,1.24,1.4,1.24,1.4,5697
2000-08-09,1.3,1.3,1.3,1.3,2848
2000-08-18,1.23,1.33,1.23,1.33,5697
2000-08-21,1.41,1.42,1.41,1.42,5697
2000-08-22,1.35,1.35,1.35,1.35,2848
2000-08-23,1.3,1.4,1.3,1.3,14243
2000-08-24,1.3,1.3,1.3,1.3,14243
2000-08-25,1.4,1.4,1.4,1.4,2848
2000-08-28,1.4,1.4,1.4,1.4,740
2000-08-29,1.37,1.37,1.37,1.37,5697
2000-08-31,1.4,1.44,1.4,1.44,2877
2000-09-04,1.56,1.56,1.34,1.34,56
2000-09-05,1.44,1.44,1.38,1.38,2848
2000-09-06,1.39,1.39,1.39,1.39,8546
2000-09-08,1.39,1.39,1.37,1.37,3788
2000-09-11,1.32,1.39,1.32,1.39,2877
2000-09-12,1.38,1.38,1.38,1.38,2820
2000-09-15,1.3,1.4,1.3,1.4,1794
2000-09-21,1.38,1.38,1.38,1.38,85
2000-09-26,1.34,1.37,1.33,1.34,240723
2000-09-27,1.32,1.33,1.3,1.33,293426
2000-09-28,1.28,1.33,1.28,1.33,287728
2000-09-29,1.32,1.32,1.32,1.32,284879
2000-10-05,1.3,1.3,1.3,1.3,2848
2000-10-06,1.33,1.33,1.33,1.33,2848
2000-10-09,1.38,1.38,1.38,1.38,2848
2000-10-10,1.31,1.31,1.3,1.3,5697
2000-10-11,1.33,1.33,1.32,1.32,11395
2000-10-12,1.32,1.32,1.32,1.32,5697
2000-10-13,1.34,1.34,1.34,1.34,5697
2000-10-16,1.37,1.37,1.37,1.37,5697
2000-10-17,1.3,1.35,1.3,1.3,14243
2000-10-18,1.3,1.3,1.3,1.3,5697
2000-10-19,1.3,1.4,1.3,1.33,19941
2000-10-24,1.28,1.28,1.27,1.27,17092
2000-10-25,1.27,1.27,1.27,1.27,5697
2000-10-26,1.27,1.27,1.27,1.27,883
2000-10-30,1.23,1.33,1.23,1.31,4956
2000-10-31,1.31,1.31,1.24,1.24,3560
2000-11-01,1.32,1.32,1.32,1.32,28
2000-11-03,1.32,1.32,1.32,1.32,2848
2000-11-06,1.31,1.4,1.31,1.4,35410
2000-11-07,1.38,1.47,1.38,1.46,15668
2000-11-08,1.41,1.41,1.41,1.41,14243
2000-11-09,1.41,1.48,1.41,1.48,7121
2000-11-10,1.46,1.46,1.46,1.46,14243
2000-11-13,1.42,1.47,1.39,1.39,51278
2000-11-14,1.3,1.47,1.3,1.47,39883
2000-11-16,1.47,1.47,1.47,1.47,168079
2000-11-17,1.45,1.47,1.45,1.47,45580
2000-11-20,1.47,1.47,1.47,1.47,1224
2000-11-21,1.47,1.52,1.47,1.47,24414
2000-11-22,1.44,1.49,1.44,1.49,78313
2000-11-23,1.49,1.49,1.49,1.49,74068
2000-11-24,1.44,1.44,1.44,1.44,5697
2000-11-27,1.49,1.49,1.49,1.49,75493
2000-11-28,1.49,1.5,1.49,1.5,25639
2000-11-29,1.47,1.47,1.47,1.47,8546
2000-11-30,1.49,1.49,1.49,1.49,72644
2000-12-01,1.49,1.49,1.47,1.47,54127
2000-12-04,1.49,1.49,1.49,1.49,2848
2000-12-06,1.49,1.49,1.49,1.49,2848
2000-12-07,1.48,1.49,1.48,1.49,79766
2000-12-08,1.49,1.49,1.49,1.49,2848
2000-12-11,1.47,1.49,1.47,1.49,145288
2000-12-12,1.51,1.54,1.49,1.53,37034
2000-12-13,1.49,1.49,1.49,1.49,14243
2000-12-14,1.5,1.5,1.47,1.49,165230
2000-12-15,1.49,1.49,1.49,1.49,3589
2000-12-18,1.49,1.49,1.49,1.49,2848
2000-12-19,1.49,1.49,1.49,1.49,28487
2000-12-20,1.54,1.54,1.54,1.54,2848
2000-12-21,1.47,1.65,1.47,1.51,11395
2000-12-22,1.48,1.48,1.47,1.47,34185
2000-12-26,1.47,1.49,1.47,1.49,35609
2000-12-29,1.49,1.51,1.49,1.51,74068
2001-01-01,1.51,1.51,1.51,1.51,8546
2001-01-02,1.44,1.44,1.39,1.39,22790
2001-01-03,1.3,1.49,1.3,1.49,19941
2001-01-04,1.46,1.46,1.46,1.46,5697
2001-01-05,1.35,1.36,1.35,1.35,5697
2001-01-08,1.3,1.3,1.3,1.3,4273
2001-01-11,1.27,1.35,1.27,1.35,8546
2001-01-12,1.35,1.35,1.3,1.3,8546
2001-01-15,1.35,1.37,1.33,1.33,18517
2001-01-16,1.38,1.38,1.32,1.37,9287
2001-01-17,1.33,1.33,1.33,1.33,4273
2001-01-18,1.37,1.37,1.37,1.37,2848
2001-01-19,1.34,1.34,1.34,1.34,2848
2001-01-22,1.29,1.36,1.28,1.3,37718
2001-01-23,1.29,1.36,1.26,1.3,15525
2001-01-24,1.3,1.31,1.25,1.25,27775
2001-01-25,1.24,1.24,1.2,1.2,106829
2001-01-29,1.1,1.12,1.1,1.11,27063
2001-01-30,1.17,1.19,1.16,1.19,31336
2001-01-31,1.23,1.23,1.18,1.19,6409
2001-02-01,1.24,1.24,1.23,1.23,5697
2001-02-05,1.17,1.17,1.16,1.16,4273
2001-02-06,1.18,1.21,1.16,1.21,9970
2001-02-07,1.27,1.27,1.16,1.17,19941
2001-02-08,1.24,1.24,1.17,1.21,8546
2001-02-09,1.17,1.21,1.17,1.21,59824
2001-02-12,1.16,1.19,1.16,1.16,12249
2001-02-13,1.16,1.19,1.16,1.19,11680
2001-02-14,1.2,1.2,1.2,1.2,2848
2001-02-15,1.19,1.19,1.19,1.19,2848
2001-02-16,1.19,1.19,1.19,1.19,5697
2001-02-19,1.13,1.13,1.13,1.13,2848
2001-02-20,1.16,1.18,1.16,1.18,25639
2001-02-23,1.2,1.2,1.12,1.15,19941
2001-02-26,1.16,1.16,1.16,1.16,25639
2001-02-27,1.16,1.18,1.16,1.18,34185
2001-02-28,1.18,1.18,1.18,1.18,2848
2001-03-01,1.22,1.22,1.17,1.18,9401
2001-03-02,1.09,1.09,1.09,1.09,2848
2001-03-05,1.09,1.18,1.09,1.12,19941
2001-03-08,1.19,1.19,1.15,1.15,5697
2001-03-09,1.17,1.17,1.1,1.1,28487
2001-03-12,1.02,1.13,1.02,1.12,31336
2001-03-13,1.05,1.06,1.03,1.05,82615
2001-03-14,1.04,1.07,1.02,1.06,25924
2001-03-15,1.11,1.11,1.08,1.11,32761
2001-03-16,1.11,1.11,1.11,1.11,8546
2001-03-19,1.03,1.12,1.03,1.09,55266
2001-03-20,1.03,1.07,1.03,1.07,29057
2001-03-21,1.05,1.05,1.02,1.02,5697
2001-03-22,1.06,1.1,1.05,1.07,14130
2001-03-23,1.06,1.06,1.06,1.06,2848
2001-03-26,1.09,1.09,1.09,1.09,2848
2001-03-27,1.09,1.17,1.09,1.17,20112
2001-03-28,1.09,1.09,1.09,1.09,14243
2001-03-29,1.09,1.12,1.09,1.12,5697
2001-03-30,1.12,1.12,1.12,1.12,284
2001-04-02,1.04,1.05,1.03,1.05,8546
2001-04-03,0.98,1.11,0.98,1.07,35609
2001-04-10,1.11,1.11,1.02,1.02,7235
2001-04-11,0.95,1.02,0.95,1.02,2877
2001-04-12,1.0,1.08,1.0,1.02,8261
2001-04-16,1.08,1.1,1.02,1.07,34299
2001-04-17,1.15,1.15,1.06,1.06,16864
2001-04-19,1.11,1.11,1.07,1.08,37889
2001-04-20,1.1,1.1,1.08,1.09,8546
2001-04-23,1.08,1.11,1.08,1.11,11110
2001-04-24,1.11,1.12,1.1,1.12,11110
2001-04-25,1.12,1.12,1.12,1.12,14272
2001-04-26,1.18,1.19,1.11,1.11,8546
2001-04-27,1.1,1.1,1.1,1.1,2848
2001-04-30,1.05,1.05,1.02,1.02,7435
2001-05-02,1.05,1.1,1.05,1.1,15355
2001-05-03,1.1,1.1,1.1,1.1,1424
2001-05-04,1.09,1.09,1.09,1.09,1424
2001-05-07,1.09,1.09,1.05,1.09,29912
2001-05-08,1.04,1.1,1.04,1.1,12791
2001-05-14,1.09,1.09,1.05,1.05,8546
2001-05-15,1.05,1.09,1.05,1.09,34185
2001-05-16,1.08,1.12,1.08,1.12,11395
2001-05-17,1.07,1.07,1.07,1.07,4273
2001-05-18,1.14,1.14,1.14,1.14,2848
2001-05-22,1.12,1.23,1.12,1.23,31935
2001-05-23,1.13,1.13,1.13,1.13,5697
2001-05-24,1.12,1.12,1.09,1.09,2848
2001-05-25,1.11,1.11,1.11,1.11,5697
2001-05-28,1.12,1.12,1.12,1.12,4273
2001-05-29,1.12,1.14,1.12,1.14,11395
2001-05-30,1.13,1.13,1.13,1.13,5697
2001-06-01,1.09,1.18,1.09,1.18,3105
2001-06-04,1.11,1.11,1.11,1.11,2848
2001-06-05,1.09,1.12,1.09,1.12,15668
2001-06-08,1.14,1.14,1.05,1.05,18973
2001-06-11,1.05,1.05,1.04,1.04,3703
2001-06-12,1.04,1.05,0.97,1.03,12135
2001-06-15,1.08,1.08,1.08,1.08,22790
2001-06-18,1.07,1.07,1.0,1.03,24214
2001-06-19,1.05,1.05,1.05,1.05,28487
2001-06-20,0.99,0.99,0.98,0.98,5697
2001-06-21,1.05,1.05,1.02,1.02,5697
2001-06-25,1.03,1.03,1.03,1.03,9401
2001-06-27,1.04,1.05,1.04,1.05,8546
2001-06-28,1.04,1.04,1.04,1.04,9970
2001-06-29,1.07,1.08,1.07,1.08,17092
2001-07-06,1.05,1.05,1.05,1.05,5697
2001-07-11,1.05,1.05,1.05,1.05,5697
2001-07-20,1.05,1.05,1.05,1.05,7121
2001-08-24,1.04,1.04,1.04,1.04,5697
2001-08-31,1.11,1.11,1.11,1.11,2848
2001-10-11,1.13,1.13,1.13,1.13,1424
2001-10-15,1.16,1.16,1.13,1.13,8546
2001-10-25,1.32,1.32,1.32,1.32,1424
2001-11-01,1.16,1.16,1.16,1.16,2848
2001-11-06,1.23,1.23,1.23,1.23,5697
2001-11-08,1.21,1.21,1.21,1.21,28
2001-11-12,1.24,1.24,1.24,1.24,2848
2001-11-14,1.25,1.25,1.25,1.25,2848
2001-11-19,1.33,1.33,1.33,1.33,2848
2001-11-22,1.3,1.3,1.3,1.3,5697
2001-11-23,1.26,1.3,1.26,1.3,5697
2001-11-27,1.26,1.32,1.26,1.3,34185
2001-11-28,1.27,1.27,1.27,1.27,1424
2001-12-06,1.24,1.24,1.24,1.24,2848
2001-12-11,1.3,1.3,1.28,1.28,1139
2001-12-12,1.25,1.25,1.25,1.25,7976
2002-01-02,1.19,1.19,1.18,1.18,11395
2002-01-03,1.19,1.19,1.19,1.19,5697
2002-01-04,1.04,1.2,1.04,1.2,16551
2002-01-07,1.18,1.18,1.18,1.18,2848
2002-01-08,1.23,1.26,1.23,1.23,19941
