date,open,high,low,close,volume
2013-07-17,62.5,62.5,59.37,59.62,115310
2013-07-18,56.64,59.27,56.64,59.21,22149
2013-07-19,57.47,58.12,56.27,56.27,28708
2013-07-22,53.88,55.67,53.46,53.73,11739
2013-07-23,51.18,52.8,51.06,51.92,9163
2013-07-24,49.39,52.06,49.39,51.0,3964
2013-07-25,48.54,49.93,48.45,48.72,12209
2013-07-26,46.3,51.15,46.3,51.15,5735
2013-07-29,48.67,53.7,48.67,50.79,23956
2013-07-30,48.85,53.32,48.49,52.44,26174
2013-07-31,50.29,59.23,47.05,55.39,14136
2013-08-01,57.04,59.25,55.67,57.95,19948
2013-08-02,58.55,61.78,55.67,55.8,38303
2013-08-05,55.67,58.91,54.65,57.02,29410
2013-08-06,54.95,57.47,46.78,52.98,12462
2013-08-07,52.08,54.6,51.72,52.93,18507
2013-08-08,50.68,55.46,50.64,51.74,20670
2013-08-12,52.08,55.21,51.45,51.87,11958
2013-08-13,49.3,55.24,49.3,53.25,15162
2013-08-14,52.89,55.28,52.89,54.74,10550
2013-08-16,54.74,54.74,51.18,51.56,13893
2013-08-19,51.0,52.8,49.21,50.14,6607
2013-08-20,49.57,52.08,48.87,50.12,29038
2013-08-21,50.32,51.63,49.66,49.93,24666
2013-08-22,45.62,50.39,45.62,49.03,9676
2013-08-23,48.53,49.21,45.98,46.98,40028
2013-08-26,47.41,50.18,46.69,48.81,12983
2013-08-27,47.41,47.77,46.73,47.47,2790
2013-08-28,47.38,48.58,43.64,47.79,22909
2013-08-29,47.79,47.79,45.62,46.75,1845
2013-08-30,46.69,47.05,45.26,45.62,1972
2013-09-02,45.04,46.68,44.93,45.33,1560
2013-09-03,44.9,45.94,43.46,44.74,2057
2013-09-04,44.72,48.08,41.67,45.22,8762
2013-09-05,44.9,46.33,43.84,45.02,2044
2013-09-06,44.9,44.9,43.5,44.29,3905
2013-09-10,46.32,46.98,43.46,46.42,7865
2013-09-11,44.0,46.16,44.0,45.06,5045
2013-09-12,44.59,48.49,42.74,44.81,15066
2013-09-13,44.54,45.85,44.22,44.56,1443
2013-09-16,44.43,45.51,43.12,43.68,2572
2013-09-17,42.4,44.18,42.24,42.74,2461
2013-09-18,44.54,44.54,41.7,42.6,2537
2013-09-19,43.1,43.82,42.92,43.3,3504
2013-09-20,43.1,43.73,41.67,42.44,2785
2013-09-23,39.87,42.71,39.87,41.58,3357
2013-09-24,40.05,45.26,38.45,42.42,11676
2013-09-25,40.59,42.65,40.59,41.02,2699
2013-09-26,39.15,43.46,39.15,43.05,13875
2013-09-27,41.88,43.1,41.31,41.99,2520
2013-09-30,40.59,42.02,39.51,40.14,3021
2013-10-01,39.96,41.67,37.71,38.77,28351
2013-10-03,39.51,42.35,38.81,41.86,94015
2013-10-04,42.74,43.77,39.6,40.07,157550
2013-10-07,40.84,41.67,39.87,40.08,15076
2013-10-08,40.23,41.23,39.87,39.92,6239
2013-10-09,39.53,40.79,39.51,39.58,14972
2013-10-10,40.52,40.52,39.51,39.53,4520
2013-10-11,40.52,40.91,39.51,39.92,8133
2013-10-14,40.23,40.23,39.51,39.51,10359
2013-10-15,39.26,39.26,36.33,37.77,17190
2013-10-17,37.21,38.32,36.51,37.14,5102
2013-10-18,37.03,39.51,36.69,38.83,23939
2013-10-21,39.51,39.87,36.67,37.5,21496
2013-10-22,37.36,38.36,37.0,37.79,9343
2013-10-23,37.53,38.36,36.85,37.44,13051
2013-10-24,37.43,38.07,36.39,36.67,17100
2013-10-25,36.31,37.71,36.1,37.19,22939
2013-10-28,36.48,37.36,36.28,36.87,5021
2013-10-29,36.51,37.18,36.42,36.55,3502
2013-10-30,36.51,37.0,36.51,36.67,3875
2013-10-31,35.94,37.18,35.94,36.37,5728
2013-11-01,36.28,36.55,35.02,35.27,8579
2013-11-03,35.74,36.28,35.2,35.58,1305
2013-11-05,35.24,36.28,34.14,35.16,4246
2013-11-06,35.2,35.81,34.89,35.27,3210
2013-11-07,35.2,35.2,34.05,34.21,4667
2013-11-08,34.48,34.48,32.34,33.1,4797
2013-11-11,34.09,34.09,31.66,31.99,7367
2013-11-12,31.86,33.26,28.99,30.35,7817
2013-11-13,30.17,30.17,29.09,29.31,3926
2013-11-14,29.29,30.51,29.29,30.1,2759
2013-11-18,29.81,30.17,29.47,29.7,2941
2013-11-19,29.36,29.78,28.82,28.91,11549
2013-11-20,28.84,30.14,27.78,29.72,5929
2013-11-21,29.52,29.76,29.09,29.2,3036
2013-11-22,29.2,29.45,27.68,28.7,2091
2013-11-25,28.2,29.27,27.68,28.14,5716
2013-11-26,27.68,28.72,27.32,27.71,3130
2013-11-27,27.55,27.94,26.94,27.48,1789
2013-11-28,26.96,31.61,26.96,29.31,7159
2013-11-29,30.53,34.54,29.63,31.28,23588
2013-12-02,31.07,32.31,30.53,30.98,8720
2013-12-03,31.52,31.97,30.53,30.96,7247
2013-12-04,30.53,31.57,30.53,31.09,4609
2013-12-05,30.89,31.18,30.53,30.58,2505
2013-12-06,29.83,30.89,29.83,30.26,2868
2013-12-09,31.18,33.04,30.49,31.36,17447
2013-12-10,30.57,32.33,30.53,30.53,5664
2013-12-11,30.53,33.01,30.53,32.43,10938
2013-12-12,32.33,35.54,31.25,34.95,35259
2013-12-13,34.66,35.85,32.69,35.38,19085
2013-12-16,34.84,35.2,33.78,33.89,15745
2013-12-17,33.4,34.91,31.3,31.81,14545
2013-12-18,30.89,33.03,30.53,30.69,39675
2013-12-19,29.88,31.77,29.54,29.74,27485
2013-12-20,30.89,35.67,29.15,29.35,59441
2013-12-23,29.88,30.75,29.45,29.94,21763
2013-12-24,30.48,30.82,29.31,30.53,39858
2013-12-26,30.17,31.97,30.17,30.64,5602
2013-12-27,30.71,30.87,30.53,30.69,5646
2013-12-30,30.37,30.57,30.01,30.12,4120
2013-12-31,29.85,32.42,29.85,32.2,20575
2014-01-01,32.29,32.69,31.25,31.9,9486
2014-01-02,31.93,32.69,30.64,30.84,7743
2014-01-03,30.78,31.23,30.17,30.46,5123
2014-01-06,30.87,31.57,30.01,31.09,6566
2014-01-07,30.71,31.48,30.37,30.57,5043
2014-01-08,31.75,32.24,30.55,31.21,12911
2014-01-09,31.0,31.86,30.89,31.0,6170
2014-01-10,31.0,31.0,30.57,30.62,7898
2014-01-13,30.71,31.21,30.53,30.55,2559
2014-01-14,30.44,30.85,30.44,30.55,1862
2014-01-15,30.53,31.25,30.46,30.98,8002
2014-01-16,30.57,31.61,30.57,31.36,15897
2014-01-17,30.89,31.64,30.73,30.98,9496
2014-01-20,30.39,31.07,30.39,30.87,2109
2014-01-21,30.87,31.79,30.78,31.54,2317
2014-01-22,30.93,32.06,30.93,31.2,7922
2014-01-23,30.91,31.32,30.91,30.94,981
2014-01-24,30.89,31.18,30.89,30.89,11842
2014-01-27,30.17,30.53,30.17,30.37,3952
2014-01-28,30.37,31.23,30.35,30.39,2773
2014-01-29,30.35,31.07,30.35,30.37,2247
2014-01-30,30.17,31.14,30.17,30.49,2206
2014-01-31,30.03,30.71,29.87,30.19,2750
2014-02-03,30.19,30.96,30.17,30.46,4357
2014-02-04,29.85,30.85,29.81,29.85,11431
2014-02-05,29.83,30.78,29.83,30.26,3083
2014-02-06,29.63,30.44,29.63,30.17,2464
2014-02-07,30.82,30.82,29.94,30.51,2820
2014-02-10,29.85,30.6,29.85,30.53,2312
2014-02-11,30.53,30.85,30.53,30.55,2761
2014-02-12,30.55,31.25,30.53,31.0,4221
2014-02-13,31.0,31.59,30.55,30.76,2512
2014-02-14,30.57,35.56,30.55,32.16,73419
2014-02-17,33.22,33.22,31.0,31.23,3257
2014-02-18,30.93,31.57,30.66,30.67,878
2014-02-19,30.58,31.05,30.53,30.6,3784
2014-02-20,30.57,30.75,30.53,30.69,5385
2014-02-21,30.24,31.03,30.24,30.57,1545
2014-02-24,30.85,30.89,30.53,30.71,4816
2014-02-25,30.71,31.73,30.57,30.91,8711
2014-02-26,30.62,30.89,30.55,30.58,5210
2014-02-28,30.55,30.87,30.53,30.57,3448
2014-03-03,30.53,32.06,30.53,31.32,8009
2014-03-04,31.25,32.15,30.94,31.97,5873
2014-03-05,31.39,33.04,30.89,31.75,28353
2014-03-06,31.75,33.22,31.75,32.49,8029
2014-03-07,32.69,33.22,31.61,31.84,9637
2014-03-10,30.57,32.33,30.57,30.89,5337
2014-03-11,31.21,31.25,29.97,30.19,32239
2014-03-12,29.9,30.35,29.09,29.44,17372
2014-03-13,29.45,30.3,29.29,29.87,16673
2014-03-14,29.45,30.1,29.45,29.85,3879
2014-03-18,29.13,30.14,29.13,29.92,1328
2014-03-19,30.14,30.35,29.52,30.05,5061
2014-03-20,30.05,30.17,29.69,29.7,1224
2014-03-21,29.42,30.71,29.42,30.15,2542
2014-03-22,30.28,30.85,29.7,30.69,1198
2014-03-24,30.53,30.53,29.09,30.01,13847
2014-03-25,29.87,30.15,29.65,29.74,1014
2014-03-26,29.81,30.35,29.22,29.44,4995
2014-03-27,29.13,29.78,29.09,29.38,3880
2014-03-28,29.45,29.7,28.79,29.52,3495
2014-03-31,28.77,30.17,28.77,29.67,6781
2014-04-01,29.38,30.17,29.29,29.47,2265
2014-04-02,29.81,30.32,29.27,30.14,3020
2014-04-03,29.83,31.07,29.51,30.89,9307
2014-04-04,30.35,30.89,30.21,30.57,2053
2014-04-07,31.18,32.33,30.89,31.77,14966
2014-04-09,30.91,33.22,30.91,32.72,34477
2014-04-10,32.15,33.4,31.79,32.4,25460
2014-04-11,31.79,33.03,30.76,32.43,11487
2014-04-15,31.7,35.02,31.12,34.8,188397
2014-04-16,35.16,36.46,34.75,35.61,142707
2014-04-17,34.3,37.7,34.3,36.48,57477
2014-04-21,35.22,38.29,35.22,37.46,25645
