date,open,high,low,close,volume
2000-01-03,26.89,27.35,25.97,27.35,25
2000-01-04,26.15,26.8,25.71,26.08,25
2000-01-05,25.28,25.93,24.73,24.8,25
2000-01-06,24.45,26.78,24.45,26.72,25
2000-01-07,26.48,26.76,24.91,25.15,25
2000-01-10,25.41,25.93,25.1,25.23,25
2000-01-11,25.1,25.15,23.97,24.3,25
2000-01-12,24.78,25.04,24.19,24.69,25
2000-01-13,24.73,24.99,24.3,24.45,25
2000-01-14,23.99,23.99,22.51,22.58,24
2000-01-17,23.1,23.32,21.79,21.94,24
2000-01-18,21.57,21.96,21.38,21.79,24
2000-01-19,22.23,22.23,21.64,21.75,23
2000-01-20,21.79,21.92,21.42,21.59,23
2000-01-21,21.2,21.2,20.64,20.7,22
2000-01-24,21.75,21.75,20.92,21.05,22
2000-01-25,21.79,21.79,20.05,20.44,21
2000-01-27,20.92,21.68,20.05,20.09,21
2000-01-28,20.92,21.7,20.48,21.7,21
2000-01-31,22.84,22.84,20.48,20.57,21
2000-02-01,20.09,20.92,19.52,20.18,20
2000-02-02,20.92,21.18,20.53,20.96,20
2000-02-03,21.35,21.77,20.05,20.29,20
2000-02-04,20.27,20.4,19.44,20.0,20
2000-02-07,20.05,20.05,19.07,19.22,20
2000-02-08,19.18,20.05,18.74,19.7,20
2000-02-09,21.27,21.27,19.92,20.18,20
2000-02-10,19.5,20.05,19.5,19.76,20
2000-02-11,20.92,20.92,18.74,18.85,19
2000-02-14,18.85,19.18,17.61,18.59,19
2000-02-15,17.93,18.74,17.65,17.89,19
2000-02-16,18.26,18.26,17.67,17.82,19
2000-02-17,17.87,18.74,17.87,18.61,18
2000-02-18,17.43,18.74,17.43,17.87,18
2000-02-21,17.48,18.09,17.48,17.91,18
2000-02-22,17.69,18.22,17.24,17.37,18
2000-02-23,17.65,17.8,17.02,17.11,18
2000-02-24,17.43,17.43,16.69,16.97,17
2000-02-25,16.58,17.0,15.91,16.13,17
2000-02-28,16.04,17.43,15.91,17.41,17
2000-02-29,18.15,18.78,16.63,17.15,17
2000-03-01,16.41,17.19,16.34,16.76,17
2000-03-02,16.8,17.43,15.51,15.67,16
2000-03-03,15.43,15.43,14.43,14.64,16
2000-03-06,14.64,15.8,13.99,15.73,16
2000-03-07,16.3,16.67,14.77,16.45,16
2000-03-08,16.13,17.0,15.36,16.6,16
2000-03-09,15.75,17.93,15.6,17.91,16
2000-03-10,18.26,18.3,16.78,16.95,16
2000-03-13,17.54,17.87,16.17,16.56,16
2000-03-14,17.43,17.89,15.25,17.89,16
2000-03-15,17.91,18.52,17.0,17.13,16
2000-03-16,17.0,17.43,16.56,17.21,16
2000-03-21,16.82,18.61,16.82,18.61,17
2000-03-22,19.35,19.83,18.96,19.24,17
2000-03-23,19.94,19.94,18.11,18.24,17
2000-03-24,17.5,17.93,17.06,17.76,17
2000-03-27,17.91,19.2,17.13,18.11,17
2000-03-28,18.28,18.3,17.43,17.63,17
2000-03-29,17.56,17.98,17.08,17.32,17
2000-03-30,17.45,17.45,16.69,17.21,17
2000-03-31,17.61,18.61,16.89,18.52,18
2000-04-03,18.96,20.0,18.74,20.0,18
2000-04-04,21.14,21.14,18.41,18.48,18
2000-04-05,19.79,19.92,18.83,19.72,18
2000-04-06,20.35,20.35,18.26,18.98,18
2000-04-07,19.79,20.5,18.74,20.48,18
2000-04-10,20.48,21.88,19.7,20.96,19
2000-04-11,19.79,20.68,19.74,20.07,19
2000-04-12,20.05,20.27,19.39,19.7,19
2000-04-13,19.18,19.55,18.52,18.89,19
2000-04-17,18.7,20.42,17.89,20.42,19
2000-04-18,20.7,21.68,20.27,20.4,19
2000-04-19,20.48,20.96,19.22,19.5,19
2000-04-20,19.39,20.22,18.52,19.13,19
2000-04-24,18.96,19.13,18.41,18.78,19
2000-04-25,18.39,18.59,17.28,17.63,19
2000-04-26,18.39,19.04,17.89,19.0,19
2000-04-27,18.52,18.52,17.54,17.65,19
2000-04-28,17.76,18.48,16.87,17.91,18
2000-05-02,17.87,17.87,16.69,17.06,18
2000-05-03,17.0,18.17,16.58,17.45,18
2000-05-04,17.02,17.87,17.0,17.41,18
2000-05-05,17.54,18.52,17.52,18.22,17
2000-05-08,18.74,19.66,18.74,18.76,17
2000-05-09,17.98,19.13,17.91,18.91,18
2000-05-10,18.96,19.09,18.33,18.57,17
2000-05-11,18.2,18.2,17.69,17.74,18
2000-05-12,18.2,18.2,16.74,17.0,17
2000-05-15,15.69,17.15,15.69,16.89,17
2000-05-16,16.56,18.89,16.56,18.09,17
2000-05-17,18.35,19.31,17.87,17.98,18
2000-05-18,17.54,18.22,17.5,17.61,17
2000-05-19,17.26,17.76,17.0,17.11,17
2000-05-22,17.26,17.48,17.13,17.17,17
2000-05-23,17.0,17.11,16.56,16.63,17
2000-05-24,16.93,18.26,16.58,17.93,17
2000-05-25,18.3,19.76,18.3,18.7,17
2000-05-26,19.85,19.85,18.17,18.41,17
2000-05-29,19.7,19.89,18.63,18.78,17
2000-05-30,19.18,19.39,18.17,18.91,17
2000-05-31,19.61,19.68,18.41,18.61,18
2000-06-01,18.3,18.63,17.91,18.02,18
2000-06-02,17.45,18.65,17.45,18.52,18
2000-06-05,18.96,20.57,18.52,19.31,18
2000-06-06,19.39,19.72,19.18,19.42,18
2000-06-07,19.81,20.48,19.5,19.61,18
2000-06-08,19.94,21.79,19.24,21.2,19
2000-06-09,21.53,23.1,20.72,22.31,19
2000-06-12,23.53,24.93,22.25,23.42,20
2000-06-13,22.66,25.26,22.66,24.41,20
2000-06-14,24.41,25.06,23.32,23.53,21
2000-06-15,23.53,23.53,21.88,22.12,21
2000-06-16,21.81,23.27,21.2,22.81,22
2000-06-19,22.88,23.45,22.49,22.68,22
2000-06-20,22.62,23.62,22.01,22.81,22
2000-06-21,23.42,23.51,22.23,22.38,22
2000-06-22,21.9,22.44,21.86,22.29,22
2000-06-23,21.79,23.27,21.44,22.03,22
2000-06-26,21.96,22.34,21.35,21.55,22
2000-06-27,21.75,21.86,21.14,21.29,22
2000-06-28,20.48,21.62,20.48,21.16,22
2000-06-29,21.57,22.53,21.35,22.18,22
2000-06-30,22.44,24.34,22.44,23.45,22
2000-07-03,23.97,25.71,23.88,24.78,22
2000-07-04,24.84,25.65,24.45,25.04,22
2000-07-05,25.6,26.54,25.17,25.65,23
2000-07-06,25.28,26.19,25.28,25.5,23
2000-07-07,25.26,25.47,24.41,24.84,23
2000-07-10,24.88,25.5,24.32,24.45,24
2000-07-11,24.23,24.41,23.64,24.06,24
2000-07-12,24.6,24.6,23.42,23.9,24
2000-07-13,24.01,24.38,22.75,22.86,24
2000-07-14,23.08,23.08,21.9,22.05,24
2000-07-17,21.79,22.44,21.73,21.83,23
2000-07-18,21.62,22.1,21.16,21.35,23
2000-07-19,21.75,21.75,18.0,18.13,22
2000-07-20,18.37,18.96,18.26,18.52,21
2000-07-21,18.39,18.65,15.97,16.91,21
2000-07-24,17.67,17.74,15.73,15.95,20
2000-07-25,15.73,17.24,15.25,16.71,19
2000-07-26,17.08,17.35,16.34,16.41,18
2000-07-27,16.34,16.56,15.91,16.39,18
2000-07-28,16.34,16.34,15.73,15.86,17
2000-07-31,15.69,16.34,15.65,16.02,16
2000-08-01,16.13,16.3,15.84,15.91,16
2000-08-02,16.04,16.76,15.12,16.15,16
2000-08-03,16.5,16.5,15.73,15.8,16
2000-08-04,15.69,15.73,14.82,14.95,16
2000-08-07,14.95,15.21,14.69,14.9,15
2000-08-08,14.86,15.47,14.77,15.01,15
2000-08-09,15.34,15.78,15.14,15.43,15
