date,open,high,low,close,volume
2026-04-24,309.9,316.9,302.3,304.4,1401091
2026-04-27,306.45,314.7,304.1,309.2,1116730
2026-04-28,310.7,312.15,303.15,305.2,420903
2026-04-29,307.9,310.3,299.55,303.1,944142
2026-04-30,306.0,308.55,298.7,302.85,1105704
2026-05-04,303.3,306.75,295.5,298.75,817513
2026-05-05,301.8,307.3,292.85,295.5,927035
2026-05-06,297.9,300.15,290.15,296.45,748789
2026-05-07,300.0,300.45,295.05,298.55,852286
2026-05-08,307.0,307.4,278.1,282.8,5356990
2026-05-11,281.95,295.15,275.8,290.25,5021323
2026-05-12,297.85,298.0,282.0,283.8,1519744
2026-05-13,280.0,291.75,280.0,282.55,1030716
2026-05-14,285.0,287.15,278.6,283.05,674839
2026-05-15,283.95,285.35,274.85,276.0,630666
2026-05-18,274.35,276.7,267.65,275.6,582897
2026-05-19,276.95,283.9,275.55,282.85,1414066
2026-05-20,282.0,289.3,280.65,281.65,1909502
2026-05-21,284.3,285.5,278.7,282.65,825045
2026-05-22,282.95,295.8,282.95,290.2,2597818
2026-05-25,292.9,303.5,286.85,300.6,3592647
2026-05-26,303.5,309.15,299.5,302.75,1999692
2026-05-27,304.4,309.65,302.5,305.6,1292446
2026-05-29,307.8,313.45,301.5,310.1,4064881
2026-06-03,335.0,336.9,324.05,328.25,1346483
