date,open,high,low,close,volume
2021-09-14,455.0,483.35,420.5,467.5,11215387
2021-09-15,475.0,561.0,475.0,561.0,4230774
2021-09-16,610.0,673.2,600.0,641.35,6863889
2021-09-17,640.0,642.28,578.0,607.58,2420617
2021-09-20,587.5,624.5,583.0,593.83,1331164
2021-09-21,600.0,612.4,586.25,605.15,720368
2021-09-22,610.5,717.23,606.0,672.88,4114967
2021-09-23,682.35,715.0,657.53,663.1,1853004
2021-09-24,672.3,682.4,638.58,643.23,843222
2021-09-27,649.5,652.88,625.5,628.08,591039
2021-09-28,631.2,666.0,622.4,654.48,897463
2021-09-29,650.0,654.0,635.6,640.83,273888
2021-09-30,641.73,659.0,637.5,641.38,323379
2021-10-01,629.0,644.2,626.38,629.93,292452
2021-10-04,631.85,672.5,631.85,662.43,753743
2021-10-05,659.5,684.4,650.5,664.15,644858
2021-10-06,665.95,673.65,650.0,653.15,303771
2021-10-07,657.48,670.95,650.0,651.28,300078
2021-10-08,650.3,657.2,622.5,625.18,743150
2021-10-11,630.0,660.0,627.6,644.75,943054
2021-10-12,647.5,653.1,628.1,630.08,382127
2021-10-13,633.98,670.5,625.63,662.05,854722
2021-10-14,665.0,682.0,652.6,671.05,600289
2021-10-18,680.0,709.35,676.0,697.15,916207
2021-10-19,705.5,707.0,654.75,663.9,388083
2021-10-20,664.5,666.23,622.5,625.28,532441
2021-10-21,630.93,638.63,609.0,613.0,363825
2021-10-22,612.5,628.0,594.5,599.88,309401
2021-10-25,599.5,599.5,499.48,506.0,880788
2021-10-26,511.5,567.2,501.0,552.98,777936
2021-10-27,559.5,578.5,552.5,556.38,332303
2021-10-28,556.0,557.73,520.55,525.53,219900
2021-10-29,527.0,527.0,507.5,512.6,187283
2021-11-01,515.65,538.5,512.5,533.25,193779
2021-11-02,537.4,538.63,522.58,529.08,116423
2021-11-03,530.0,534.0,516.13,520.08,94069
2021-11-04,525.0,531.53,522.5,528.03,41025
2021-11-08,531.5,535.38,517.53,518.98,111295
2021-11-09,518.98,534.0,518.95,523.58,131704
2021-11-10,520.0,522.75,511.7,513.23,216635
2021-11-11,515.45,520.5,510.0,511.78,111918
2021-11-12,516.1,516.48,503.68,509.03,195472
2021-11-15,512.0,512.5,491.5,494.15,206304
2021-11-16,494.5,514.5,492.5,504.15,231412
2021-11-17,500.0,508.45,497.18,498.68,102469
