date,open,high,low,close,volume
2003-09-05,6.63,6.72,6.5,6.59,43406
2003-09-08,6.75,6.81,6.57,6.62,37381
2003-09-09,6.75,6.87,6.47,6.59,41136
2003-09-10,6.53,6.68,6.5,6.58,36487
2003-09-11,6.56,6.75,6.47,6.53,38052
2003-09-12,6.66,6.72,6.5,6.57,37512
2003-09-15,6.67,6.67,6.32,6.41,33956
2003-09-16,6.3,6.38,6.22,6.3,37143
2003-09-17,6.28,6.53,6.25,6.31,33496
2003-09-18,6.29,6.34,6.07,6.11,35983
2003-09-19,6.22,6.25,6.0,6.11,31249
2003-09-22,6.1,6.35,6.1,6.25,34196
2003-09-23,6.16,6.22,6.05,6.17,31241
2003-09-24,6.19,6.29,6.19,6.23,33984
2003-09-25,6.25,6.25,6.05,6.11,31685
2003-09-26,5.99,6.24,5.99,6.15,32040
2003-09-29,6.27,6.27,6.04,6.13,26426
2003-09-30,6.25,6.25,6.07,6.11,27060
2003-10-01,6.13,6.2,6.1,6.11,25651
2003-10-03,5.94,6.25,5.94,6.16,27267
2003-10-06,6.4,6.78,6.38,6.74,37161
2003-10-07,6.87,6.91,6.47,6.58,14209
2003-10-08,6.93,6.93,6.53,6.56,12849
2003-10-09,6.72,6.72,6.56,6.61,3582
2003-10-10,6.72,6.91,6.72,6.76,19568
2003-10-13,6.96,7.19,6.85,7.12,21554
2003-10-14,7.35,7.44,6.84,6.93,33986
2003-10-15,6.88,6.88,6.5,6.63,21062
2003-10-16,6.66,6.72,6.57,6.59,18487
2003-10-17,6.63,6.69,6.51,6.59,15229
2003-10-20,6.5,6.69,6.41,6.44,21243
2003-10-21,6.41,6.44,6.22,6.28,15060
2003-10-22,6.22,6.4,6.19,6.21,18702
2003-10-23,6.1,6.28,6.1,6.22,16013
2003-10-24,6.25,6.25,6.02,6.13,17710
2003-10-25,6.2,6.34,6.16,6.25,16097
2003-10-27,6.01,6.22,6.01,6.18,26434
2003-10-28,6.16,6.19,6.01,6.09,26425
2003-10-29,5.94,6.16,5.94,6.12,26465
2003-10-30,6.4,6.4,6.07,6.13,26690
2003-10-31,6.13,6.16,6.02,6.06,27706
2003-11-03,6.1,6.25,6.1,6.2,27256
2003-11-04,6.31,6.31,6.06,6.1,28095
2003-11-05,6.1,6.53,6.1,6.2,40122
2003-11-06,6.31,6.38,6.21,6.3,39891
2003-11-07,6.4,6.56,6.35,6.46,41788
2003-11-10,6.56,6.81,6.52,6.7,32097
2003-11-11,6.66,6.98,6.66,6.89,45460
2003-11-12,6.97,7.1,6.75,6.81,33706
2003-11-13,6.74,6.87,6.19,6.47,30782
2003-11-14,6.41,6.56,6.38,6.42,23129
2003-11-15,6.41,6.48,6.29,6.41,14936
2003-11-17,6.42,6.72,6.42,6.66,4095
2003-11-18,6.61,6.66,6.52,6.54,31059
2003-11-19,6.53,6.53,6.47,6.5,30584
2003-11-20,6.47,6.55,6.29,6.38,32541
2003-11-21,6.3,6.4,6.25,6.29,30166
2003-11-24,6.32,6.44,6.32,6.36,24150
2003-11-25,6.46,6.46,6.32,6.35,23830
2003-11-27,6.4,6.63,6.4,6.57,36003
2003-11-28,6.75,6.75,6.61,6.7,35264
2003-12-01,6.81,6.91,6.77,6.86,37402
2003-12-02,6.88,6.88,6.63,6.81,28811
2003-12-03,6.85,7.16,6.82,6.92,41956
2003-12-04,6.88,7.16,6.88,6.96,45796
2003-12-05,7.03,7.16,6.83,6.9,38517
2003-12-08,6.88,7.06,6.83,6.94,36971
2003-12-09,7.03,7.87,7.0,7.72,50345
2003-12-10,7.75,7.97,7.5,7.64,54107
2003-12-11,7.66,8.13,7.6,7.66,40064
2003-12-12,7.75,7.94,7.66,7.86,42540
2003-12-15,7.97,8.8,7.94,8.61,56817
2003-12-16,8.44,9.25,8.31,9.11,69491
2003-12-17,9.22,10.93,9.17,10.93,176195
2003-12-18,11.1,13.09,10.94,13.02,339689
2003-12-19,13.19,14.96,13.19,14.14,406644
2003-12-22,14.32,14.94,13.63,13.82,284378
2003-12-23,14.0,14.52,13.69,13.77,124938
2003-12-24,14.0,14.14,12.97,13.21,84050
2003-12-26,13.91,13.91,12.4,12.8,114137
2003-12-29,12.97,13.29,12.82,12.9,70166
2003-12-30,12.85,13.1,11.6,12.17,54643
2003-12-31,12.32,12.41,11.85,12.0,66013
2004-01-01,12.19,13.22,11.88,13.07,151230
2004-01-02,13.29,13.6,12.85,13.01,82497
2004-01-05,13.07,13.12,12.44,12.62,47312
2004-01-06,12.5,13.03,12.1,12.23,63978
2004-01-07,12.63,12.78,11.88,12.09,48640
2004-01-08,12.47,12.66,12.13,12.29,38010
2004-01-09,12.5,12.72,11.88,12.01,48732
2004-01-12,11.92,12.97,11.73,12.31,83400
2004-01-13,12.56,12.94,12.28,12.47,50957
2004-01-14,12.57,12.85,12.44,12.56,55049
2004-01-15,12.61,12.81,12.22,12.36,47662
2004-01-16,12.38,12.5,11.72,11.9,37534
2004-01-19,11.94,12.16,11.57,11.92,42845
2004-01-20,12.01,12.28,11.52,11.68,42925
2004-01-21,11.75,11.75,9.42,10.18,46053
2004-01-22,9.72,10.75,9.7,9.85,49778
2004-01-23,10.31,10.75,9.94,10.52,38613
2004-01-27,10.61,11.88,10.32,11.16,40167
2004-01-28,11.19,12.5,11.1,11.87,88651
2004-01-29,11.95,12.43,11.6,11.83,56611
2004-01-30,12.03,12.07,11.07,11.23,50132
2004-02-03,11.33,11.57,10.25,10.37,46671
2004-02-04,10.44,10.78,10.35,10.65,46199
2004-02-05,10.69,10.85,10.44,10.49,36290
2004-02-06,10.58,10.78,10.48,10.57,38253
2004-02-09,10.7,10.82,10.54,10.66,43723
2004-02-10,10.75,11.2,10.63,10.82,53131
2004-02-11,11.09,11.25,10.97,11.18,27043
2004-02-12,11.33,11.37,11.07,11.15,44091
2004-02-13,11.04,11.6,11.02,11.52,53661
2004-02-16,11.66,11.78,11.47,11.62,43522
2004-02-17,11.84,11.85,11.41,11.71,37166
2004-02-18,11.81,11.97,11.64,11.7,32439
2004-02-19,11.75,11.75,11.13,11.26,36866
2004-02-20,11.1,11.4,10.78,11.18,36417
2004-02-23,11.35,11.35,10.91,11.02,36033
2004-02-24,10.91,11.88,10.91,11.38,36380
2004-02-25,11.5,11.57,11.19,11.5,35209
2004-02-26,11.53,11.84,11.47,11.58,36434
2004-02-27,11.75,11.87,11.57,11.8,37300
2004-03-01,12.03,12.1,11.78,11.97,38269
2004-03-03,12.49,12.49,11.94,12.08,35878
2004-03-04,12.18,12.25,11.94,11.98,30556
2004-03-05,12.09,12.38,12.02,12.19,44480
2004-03-08,12.22,12.44,12.17,12.3,39485
2004-03-09,12.35,12.35,12.04,12.14,37135
2004-03-10,12.66,12.66,12.0,12.06,33653
2004-03-11,11.88,12.25,11.85,12.03,32154
2004-03-12,12.5,12.5,11.64,12.11,35106
2004-03-15,12.5,12.6,12.03,12.15,44240
2004-03-16,11.88,12.13,11.79,11.95,33896
2004-03-17,11.94,12.24,11.92,12.15,31033
2004-03-18,12.07,12.13,11.94,11.94,28299
2004-03-19,12.13,12.19,11.88,11.97,34097
2004-03-22,11.67,11.93,11.67,11.84,31648
2004-03-23,11.82,11.9,11.69,11.79,41812
2004-03-24,11.78,11.95,11.78,11.9,37034
2004-03-25,11.88,12.07,11.88,11.99,33766
2004-03-26,12.03,12.22,12.03,12.16,31100
2004-03-29,12.1,12.35,12.1,12.23,20175
2004-03-30,12.23,12.5,12.16,12.4,13683
2004-03-31,12.28,12.83,12.26,12.61,31113
2004-04-01,12.66,13.0,12.57,12.91,22017
2004-04-02,12.94,13.25,12.77,12.89,39869
2004-04-05,13.13,13.41,12.91,13.14,55863
2004-04-06,13.29,13.29,12.9,13.0,59488
2004-04-07,13.29,13.39,12.82,12.88,62992
2004-04-08,12.75,12.97,12.53,12.75,61299
