date,open,high,low,close,volume
2003-09-05,0.96,0.96,0.81,0.82,9510
2003-09-08,0.78,0.95,0.76,0.77,19248
2003-09-09,0.81,0.81,0.7,0.73,12000
2003-10-07,0.6,0.6,0.6,0.6,1500
2003-10-08,0.61,0.61,0.61,0.61,100
2003-10-09,0.58,0.6,0.58,0.6,800
2003-10-10,0.56,0.63,0.56,0.6,1350
2003-10-13,0.6,0.6,0.6,0.6,400
2003-10-14,0.6,0.63,0.6,0.62,2024
2003-10-15,0.62,0.62,0.6,0.6,1382
2003-10-16,0.56,0.58,0.56,0.58,970
2003-10-17,0.59,0.61,0.59,0.61,1164
2003-10-20,0.56,0.56,0.56,0.56,682
2003-10-21,0.53,0.59,0.53,0.55,400
2003-10-22,0.54,0.54,0.54,0.54,500
2003-10-23,0.6,0.6,0.57,0.57,1200
2003-10-24,0.56,0.56,0.54,0.54,1100
2003-10-25,0.51,0.51,0.51,0.51,600
2003-10-28,0.55,0.55,0.55,0.55,100
2003-10-30,0.57,0.57,0.57,0.57,850
2003-10-31,0.56,0.56,0.56,0.56,2900
2003-11-03,0.53,0.55,0.53,0.55,750
2003-11-04,0.53,0.55,0.53,0.55,3500
2003-11-06,0.57,0.61,0.57,0.61,1850
2003-11-07,0.63,0.63,0.63,0.63,500
2003-11-11,0.65,0.65,0.63,0.63,110
2003-11-12,0.61,0.68,0.61,0.66,2270
2003-11-13,0.66,0.66,0.65,0.66,1100
2003-11-14,0.66,0.66,0.62,0.65,3300
2003-11-18,0.66,0.72,0.66,0.72,412
2003-11-19,0.66,0.67,0.64,0.65,1113
2003-11-20,0.63,0.7,0.62,0.65,3814
2003-11-21,0.65,0.65,0.65,0.65,100
2003-11-24,0.66,0.67,0.62,0.64,3907
2003-11-25,0.67,0.69,0.67,0.68,1198
2003-11-27,0.71,0.72,0.69,0.71,3000
2003-11-28,0.68,0.75,0.68,0.74,3730
2003-12-01,0.69,0.77,0.69,0.77,2000
2003-12-02,0.78,0.84,0.73,0.73,6922
2003-12-03,0.74,0.76,0.74,0.76,1511
2003-12-04,0.75,0.75,0.73,0.73,425
2003-12-05,0.74,0.83,0.74,0.77,4300
2003-12-08,0.78,0.83,0.78,0.83,6692
2003-12-09,0.85,0.9,0.84,0.9,9731
2003-12-10,0.84,0.92,0.84,0.92,7650
2003-12-11,0.95,0.95,0.89,0.9,3800
2003-12-12,0.85,0.9,0.85,0.88,4568
2003-12-15,0.91,0.91,0.86,0.89,4610
2003-12-16,0.86,0.9,0.86,0.88,4176
2003-12-17,0.92,0.95,0.9,0.9,5100
2003-12-18,0.92,0.95,0.91,0.92,4800
2003-12-19,0.93,0.94,0.91,0.94,5925
2003-12-22,0.93,0.99,0.92,0.93,5917
2003-12-23,0.96,0.96,0.89,0.91,6798
2003-12-24,0.94,1.08,0.94,1.05,18961
2003-12-26,1.22,1.22,1.06,1.09,26306
2003-12-29,1.3,1.31,1.19,1.31,24883
2003-12-30,1.4,1.4,1.12,1.17,11915
2003-12-31,0.99,1.26,0.99,1.16,21017
2004-01-01,1.1,1.25,1.1,1.16,11486
2004-01-02,1.23,1.4,1.18,1.38,97434
2004-01-05,1.42,1.65,1.38,1.65,60920
2004-01-06,1.79,1.99,1.63,1.94,175374
2004-01-07,1.8,1.91,1.62,1.71,76256
2004-01-08,1.87,1.92,1.74,1.82,41436
2004-01-09,1.83,1.85,1.66,1.68,14479
2004-01-12,1.74,1.74,1.51,1.56,16299
2004-01-13,1.52,1.52,1.44,1.46,7989
2004-01-14,1.5,1.52,1.44,1.48,11118
2004-01-15,1.56,1.56,1.44,1.47,11541
2004-01-16,1.46,1.52,1.35,1.44,7737
2004-01-19,1.36,1.37,1.3,1.36,6684
2004-01-20,1.4,1.4,1.34,1.34,4326
2004-01-21,1.23,1.35,1.22,1.22,4192
2004-01-22,1.12,1.19,1.11,1.12,6148
2004-01-23,1.13,1.23,1.1,1.19,6369
2004-01-27,1.22,1.25,1.19,1.24,4316
2004-01-28,1.19,1.24,1.18,1.19,3062
2004-01-29,1.23,1.25,1.14,1.14,3806
2004-01-30,1.18,1.22,1.06,1.08,9814
2004-02-03,1.12,1.12,0.99,1.01,7931
2004-02-04,0.92,1.07,0.92,1.04,6439
2004-02-05,1.05,1.1,1.04,1.06,5353
2004-02-06,1.07,1.11,1.05,1.1,3217
2004-02-09,1.13,1.13,1.08,1.12,2100
2004-02-10,1.14,1.14,1.1,1.11,3875
2004-02-11,1.1,1.12,1.08,1.1,2180
2004-02-12,1.07,1.1,1.07,1.09,2701
2004-02-13,1.06,1.11,1.06,1.09,3473
2004-02-16,1.08,1.2,1.08,1.2,7251
2004-02-17,1.31,1.31,1.23,1.25,9210
2004-02-18,1.26,1.31,1.26,1.27,4735
2004-02-19,1.26,1.26,1.17,1.19,7300
2004-02-20,1.11,1.23,1.11,1.12,8200
2004-02-23,1.13,1.13,1.05,1.07,4228
2004-02-24,1.09,1.1,1.08,1.09,1406
2004-02-25,1.06,1.1,1.06,1.08,1530
2004-02-26,1.08,1.08,1.04,1.05,1531
2004-02-27,1.05,1.06,0.95,1.05,7887
2004-03-01,1.05,1.08,1.05,1.08,2004
2004-03-03,1.05,1.07,1.04,1.07,700
2004-03-04,1.01,1.04,0.99,1.01,5370
2004-03-05,0.98,1.04,0.98,0.99,2814
2004-03-08,0.96,0.96,0.92,0.92,5235
2004-03-09,0.88,0.93,0.88,0.91,1350
2004-03-11,0.84,0.92,0.84,0.91,2035
2004-03-12,0.89,0.91,0.89,0.9,2400
2004-03-15,0.88,0.9,0.87,0.9,612
2004-03-16,0.88,0.88,0.84,0.86,1250
2004-03-17,0.84,0.84,0.84,0.84,50
2004-03-18,0.83,0.83,0.83,0.83,10950
2004-03-19,0.83,0.84,0.83,0.83,3060
2004-03-22,0.89,0.92,0.88,0.88,3479
2004-03-23,0.85,0.93,0.85,0.93,2370
2004-03-24,0.86,0.86,0.84,0.84,1300
2004-03-25,0.8,0.85,0.8,0.84,860
2004-03-26,0.8,0.87,0.8,0.84,33002
2004-03-29,0.85,0.87,0.85,0.87,1400
2004-03-30,0.87,0.91,0.85,0.88,1000
2004-03-31,0.87,0.96,0.87,0.96,1073
2004-04-01,1.01,1.06,1.01,1.06,1850
2004-04-02,1.09,1.13,1.09,1.13,5580
2004-04-05,1.07,1.16,1.07,1.08,1969
2004-04-06,1.05,1.1,1.04,1.05,2214
2004-04-07,1.05,1.05,1.03,1.05,1279
2004-04-08,1.04,1.05,1.03,1.03,1850
2004-04-12,1.13,1.13,1.09,1.12,3596
2004-04-13,1.08,1.15,1.08,1.14,13423
2004-04-15,1.09,1.14,1.09,1.12,2075
2004-04-16,1.12,1.23,1.12,1.23,9008
2004-04-17,1.34,1.34,1.24,1.33,9075
2004-04-19,1.43,1.43,1.32,1.32,8181
2004-04-20,1.4,1.4,1.2,1.25,13937
2004-04-21,1.27,1.37,1.26,1.31,8201
2004-04-22,1.29,1.33,1.29,1.31,4914
2004-04-23,1.29,1.31,1.28,1.28,3602
2004-04-27,1.2,1.25,1.16,1.16,11118
2004-04-28,1.14,1.15,1.14,1.14,1937
2004-04-29,1.13,1.19,1.11,1.14,3700
2004-04-30,1.15,1.2,1.14,1.2,1150
2004-05-03,1.14,1.16,1.13,1.13,1700
2004-05-04,1.16,1.17,1.15,1.16,2400
2004-05-05,1.2,1.2,1.16,1.18,2025
2004-05-06,1.22,1.23,1.16,1.2,1610
2004-05-07,1.2,1.22,1.2,1.2,2200
2004-05-10,1.23,1.23,1.17,1.18,2279
2004-05-11,1.18,1.18,1.11,1.12,5438
2004-05-12,1.14,1.14,1.1,1.14,1600
2004-05-13,1.03,1.19,1.03,1.11,577
2004-05-14,1.09,1.09,1.0,1.03,3773
2004-05-17,0.96,0.98,0.94,0.98,819
2004-05-18,1.06,1.06,0.96,0.98,885
2004-05-19,0.98,1.07,0.98,1.07,1656
2004-05-20,1.11,1.17,1.08,1.1,2850
2004-05-21,1.05,1.11,1.04,1.07,2523
2004-05-24,1.16,1.16,1.08,1.12,4752
2004-05-25,1.08,1.11,1.07,1.08,4110
2004-05-26,1.07,1.09,1.07,1.07,1061
2004-05-27,1.08,1.09,1.04,1.05,1198
2004-05-28,1.1,1.16,0.96,0.96,4604
2004-05-31,0.78,1.01,0.78,0.93,3373
2004-06-01,0.95,0.96,0.92,0.92,924
2004-06-02,0.93,1.01,0.93,0.96,1300
2004-06-03,0.96,0.97,0.87,0.89,3622
2004-06-04,0.99,0.99,0.85,0.89,2919
2004-06-07,1.01,1.01,0.9,0.91,1110
2004-06-08,0.9,0.9,0.88,0.89,1800
2004-06-09,0.91,0.91,0.89,0.89,785
2004-06-10,0.91,0.91,0.89,0.91,1011
2004-06-11,0.89,0.9,0.89,0.89,1316
2004-06-14,0.86,0.91,0.84,0.9,3213
2004-06-15,0.95,0.97,0.94,0.96,5185
2004-06-16,0.92,0.94,0.91,0.93,1880
2004-06-17,0.92,0.94,0.91,0.94,1831
2004-06-18,0.93,0.94,0.93,0.93,9827
2004-06-21,0.88,0.96,0.88,0.95,1703
2004-06-22,0.93,0.96,0.93,0.96,1400
2004-06-23,0.93,0.97,0.88,0.94,1649
2004-06-24,0.91,0.96,0.91,0.92,950
2004-06-25,0.92,0.95,0.92,0.95,1001
2004-06-28,0.92,0.95,0.92,0.95,1700
2004-06-29,0.99,0.99,0.94,0.94,500
2004-06-30,0.87,0.99,0.87,0.96,1100
2004-07-01,0.92,0.98,0.92,0.97,2121
2004-07-02,0.96,0.96,0.96,0.96,1100
2004-07-05,0.93,0.95,0.93,0.95,6550
2004-07-06,0.94,0.96,0.94,0.94,329
2004-07-07,0.95,0.95,0.93,0.94,325
2004-07-08,0.94,0.95,0.93,0.94,1587
2004-07-09,0.91,0.97,0.91,0.94,2550
2004-07-12,0.93,0.93,0.93,0.93,2
2004-07-13,0.93,0.93,0.93,0.93,50
2004-07-14,0.94,0.94,0.93,0.93,1850
2004-07-15,0.93,0.96,0.93,0.95,1500
2004-07-16,0.98,1.01,0.97,1.01,1755
2004-07-19,0.99,1.05,0.98,1.01,5508
2004-07-20,1.12,1.12,0.97,0.99,1872
2004-07-21,1.01,1.01,1.0,1.0,1668
2004-07-22,0.99,1.05,0.99,1.03,2098
2004-07-23,1.02,1.06,0.99,1.04,2985
2004-07-26,1.05,1.05,1.02,1.04,1400
