date,open,high,low,close,volume
2024-04-23,171.0,190.64,155.01,185.24,212645
2024-04-24,190.0,193.66,178.2,181.64,35784
2024-04-25,183.25,183.25,174.06,177.19,13788
2024-04-26,178.84,178.84,165.6,170.82,15124
2024-04-29,170.82,170.82,166.8,168.16,6264
2024-04-30,173.8,173.8,164.32,166.61,7376
2024-05-02,169.79,169.79,164.32,165.18,5691
2024-05-03,168.92,172.42,164.46,166.08,3538
2024-05-06,166.2,168.51,161.2,162.84,10524
2024-05-07,165.28,165.28,153.83,156.83,13783
2024-05-08,156.04,159.61,153.44,157.03,5224
2024-05-09,156.77,160.19,150.65,155.64,11761
2024-05-10,155.71,167.07,146.44,152.89,33011
2024-05-13,147.2,157.25,147.2,152.49,19741
2024-05-14,153.68,166.44,153.68,164.6,16864
2024-05-15,166.56,169.6,160.83,165.99,15961
2024-05-16,166.8,172.88,164.5,171.09,16161
2024-05-17,172.4,184.0,170.22,178.26,34119
2024-05-18,176.2,182.66,174.0,175.45,4040
2024-05-21,175.45,177.6,166.23,168.33,13616
2024-05-22,170.85,172.99,166.17,170.23,12935
2024-05-23,167.68,170.99,167.23,167.63,6763
2024-05-24,167.99,180.0,167.63,173.49,159652
2024-05-27,176.09,179.59,166.5,168.05,16184
2024-05-28,168.05,168.87,162.05,163.13,12829
2024-05-29,163.2,169.99,160.0,162.71,21694
2024-05-30,168.0,168.28,161.4,162.57,14460
2024-05-31,178.66,178.66,163.53,165.11,90501
2024-06-03,177.96,189.4,163.01,184.82,193245
2024-06-04,180.04,184.07,156.66,164.63,93025
2024-06-05,164.63,174.01,159.0,170.93,52379
2024-06-06,175.6,198.0,168.09,194.06,639912
2024-06-07,195.39,216.89,195.0,211.45,222656
2024-06-10,213.6,213.6,200.0,207.4,214117
2024-06-11,208.2,225.6,206.4,209.27,156421
2024-06-12,210.32,219.0,206.4,217.08,74805
2024-06-13,220.34,228.61,218.39,221.6,114108
2024-06-14,223.0,230.0,222.22,224.13,54532
2024-06-18,227.49,227.8,207.87,213.51,66395
2024-06-19,213.51,217.4,197.89,201.99,64080
2024-06-20,206.04,224.0,206.04,219.21,143692
2024-06-21,228.6,228.61,219.24,226.22,65520
2024-06-24,228.61,233.96,223.73,229.0,79968
2024-06-25,229.4,231.47,224.13,229.96,51539
2024-06-26,233.78,234.8,227.49,229.25,47125
2024-06-27,233.0,233.0,221.01,227.6,49780
2024-06-28,229.8,236.0,227.16,231.45,47153
2024-07-01,235.0,235.36,224.21,228.09,41907
2024-07-02,230.2,233.0,224.9,231.05,55372
2024-07-03,230.83,233.2,225.81,227.17,34733
2024-07-04,229.99,230.79,225.12,228.28,19761
