date,open,high,low,close,volume
2002-01-01,5.42,5.89,5.16,5.34,2230
2002-01-02,4.51,6.0,4.49,5.3,2548
2002-01-03,5.08,5.6,5.08,5.56,2260
2002-01-04,5.33,5.51,4.85,5.51,2480
2002-01-07,5.78,6.0,5.52,5.89,2503
2002-01-08,6.04,6.76,5.87,6.21,2432
2002-01-09,5.87,5.96,5.6,5.64,2400
2002-01-10,5.69,5.78,5.52,5.54,2110
2002-01-11,5.33,5.94,5.33,5.4,2282
2002-01-14,5.6,5.6,5.51,5.52,2365
2002-01-15,5.62,5.67,5.62,5.62,2316
2002-01-16,5.66,5.73,5.64,5.64,2200
2002-01-17,5.55,5.77,5.33,5.48,2370
2002-01-18,5.52,5.52,5.33,5.33,3160
2002-01-21,5.38,5.43,5.16,5.35,2435
2002-01-22,5.24,5.42,5.02,5.02,2780
2002-01-23,5.32,5.32,4.98,5.03,3540
2002-01-24,5.0,5.04,4.89,4.91,1789
2002-01-25,4.76,5.22,4.76,4.91,3110
2002-01-28,5.0,5.1,4.98,5.1,3400
2002-01-29,4.98,5.04,4.89,4.89,3205
2002-01-30,4.76,5.22,4.53,4.56,4310
2002-01-31,4.91,4.92,4.76,4.84,2780
2002-02-01,4.65,4.83,4.65,4.76,2345
2002-02-04,4.67,4.84,4.46,4.54,4247
2002-02-05,4.8,4.8,4.3,4.39,4355
2002-02-06,4.44,4.53,4.22,4.39,6213
2002-02-07,4.56,4.56,4.11,4.16,6688
2002-02-08,4.19,4.36,4.18,4.3,4985
2002-02-11,4.17,4.35,4.17,4.28,2840
2002-02-12,4.36,4.62,4.28,4.57,5552
2002-02-13,4.71,4.94,4.63,4.91,5460
2002-02-14,5.23,5.24,4.84,5.03,7032
2002-02-15,5.19,5.23,5.07,5.2,7086
2002-02-18,5.33,5.33,5.16,5.25,5455
2002-02-19,5.24,5.24,5.04,5.05,4810
2002-02-20,5.2,5.2,4.85,4.97,4980
2002-02-21,4.81,5.02,4.81,4.84,4828
2002-02-22,4.8,4.98,4.72,4.98,2150
2002-02-25,4.8,5.02,4.79,4.79,3360
2002-02-26,4.73,4.8,4.6,4.61,6535
2002-02-27,4.67,4.8,4.66,4.79,5605
2002-02-28,4.64,4.94,4.64,4.86,5253
2002-03-01,4.75,4.76,4.75,4.75,499
2002-03-04,4.76,4.92,4.71,4.81,4250
2002-03-05,4.88,4.88,4.62,4.62,6198
2002-03-06,4.62,4.71,4.49,4.51,5039
2002-03-07,4.53,4.67,4.47,4.64,4975
2002-03-08,4.64,4.79,4.64,4.64,4300
2002-03-11,4.67,4.67,4.4,4.53,4610
2002-03-12,4.27,4.62,4.27,4.46,4144
2002-03-13,4.31,4.49,4.31,4.41,4330
2002-03-14,4.27,4.4,4.25,4.4,5000
2002-03-15,4.44,4.48,4.19,4.23,8268
2002-03-18,4.6,4.6,4.32,4.38,5914
2002-03-19,4.28,4.53,4.28,4.36,4711
2002-03-20,4.4,4.4,4.21,4.39,5001
2002-03-21,4.28,4.62,4.28,4.51,4600
2002-03-22,4.2,4.36,4.2,4.24,5278
2002-03-26,4.44,4.44,4.11,4.19,5172
2002-03-27,4.22,4.27,4.11,4.14,5573
2002-03-28,4.18,4.28,4.18,4.21,4917
2002-04-01,4.13,4.24,4.11,4.24,4000
2002-04-02,4.29,4.42,4.19,4.33,4240
2002-04-03,4.42,4.44,4.27,4.31,6660
2002-04-04,4.6,4.6,3.92,3.93,10642
2002-04-05,4.04,4.27,4.04,4.25,7112
2002-04-08,3.87,5.07,3.87,4.55,9363
2002-04-09,4.67,4.73,4.44,4.59,7728
2002-04-10,4.67,4.76,4.55,4.67,8951
2002-04-11,4.63,4.76,4.56,4.62,6800
2002-04-12,4.86,4.86,4.48,4.6,7864
2002-04-15,4.8,5.07,4.55,4.6,12282
2002-04-16,4.58,4.77,4.4,4.48,11878
2002-04-17,5.36,5.36,4.56,4.64,6917
2002-04-18,4.62,4.74,4.62,4.7,6525
2002-04-19,5.38,5.38,4.4,4.46,9127
2002-04-22,4.53,4.53,4.36,4.48,6475
2002-04-23,4.41,4.47,4.36,4.36,7010
2002-04-24,4.47,4.6,4.47,4.59,7681
2002-04-25,4.47,4.62,4.4,4.4,8984
2002-04-26,5.09,5.09,4.33,4.38,7096
2002-04-29,4.29,4.44,4.29,4.39,7397
2002-04-30,4.36,4.44,4.33,4.4,6568
2002-05-02,4.18,4.43,4.18,4.36,7037
2002-05-03,4.44,4.44,4.36,4.44,9726
2002-05-06,4.53,4.71,4.38,4.42,8480
2002-05-07,4.42,4.44,4.4,4.42,7742
2002-05-08,4.69,4.69,4.31,4.36,7867
2002-05-09,4.32,4.48,4.32,4.46,7400
2002-05-10,5.33,5.33,4.5,4.61,9971
2002-05-13,4.67,4.98,4.67,4.83,8784
2002-05-14,5.2,5.69,5.07,5.55,34605
2002-05-15,5.77,5.8,4.8,4.92,15763
2002-05-16,5.1,5.1,4.87,4.93,9007
2002-05-17,5.33,5.33,4.36,4.6,8733
2002-05-20,4.44,4.44,4.32,4.44,5330
2002-05-21,4.42,4.42,4.0,4.16,8787
2002-05-22,4.27,4.44,4.18,4.28,5683
2002-05-23,4.4,4.41,4.18,4.28,6688
2002-05-24,4.53,4.53,4.44,4.53,6935
2002-05-27,4.32,4.6,4.27,4.46,8147
