date,open,high,low,close,volume
2003-09-05,74.5,75.4,74.25,75.08,82546
2003-09-08,75.88,75.88,74.75,75.03,99578
2003-09-09,75.63,85.5,75.63,81.98,715880
2003-09-10,81.5,82.25,78.5,79.13,202025
2003-09-11,79.0,80.75,78.63,79.73,158200
2003-09-12,81.25,82.45,79.63,80.0,202825
2003-09-15,81.35,84.5,80.4,82.2,363485
2003-09-16,82.5,84.25,81.0,83.23,126171
2003-09-17,83.45,86.25,81.3,82.53,379402
2003-09-18,82.9,82.9,79.5,79.83,103262
2003-09-19,82.0,82.15,78.1,80.33,160032
2003-09-22,82.4,82.4,79.0,79.7,57752
2003-09-23,79.75,80.0,79.05,79.85,31307
2003-09-24,80.75,80.75,79.25,79.65,30870
2003-09-25,79.5,80.48,78.85,79.1,33033
2003-09-26,80.4,80.4,78.28,78.7,51088
2003-09-29,80.3,80.3,78.5,78.55,48164
2003-09-30,79.9,79.98,78.5,78.7,21348
2003-10-01,79.25,83.0,78.38,81.85,159279
2003-10-03,82.75,83.73,80.03,80.5,101399
2003-10-06,81.95,81.95,80.5,81.13,52082
2003-10-07,82.0,82.25,80.03,80.6,59145
2003-10-08,82.5,83.45,80.5,80.88,86045
2003-10-09,81.08,81.65,80.0,80.3,42347
2003-10-10,81.25,81.5,80.03,80.18,73748
2003-10-13,80.5,81.0,78.53,79.75,80144
2003-10-14,79.08,80.33,77.5,78.25,130549
2003-10-15,78.5,79.0,76.63,78.45,59119
2003-10-16,78.5,78.75,77.5,77.8,40179
2003-10-17,78.0,81.25,77.6,80.03,92639
2003-10-20,80.95,83.5,79.25,80.28,113723
2003-10-21,80.5,80.5,78.1,79.85,68133
2003-10-22,80.0,80.4,79.5,80.05,45070
2003-10-23,80.03,80.68,77.5,77.93,28868
2003-10-24,78.15,78.15,76.0,77.25,40817
2003-10-25,77.55,79.9,77.5,78.9,10949
2003-10-27,79.1,80.0,77.35,77.65,37844
2003-10-28,77.5,77.53,75.58,75.98,20839
2003-10-29,77.0,78.4,76.0,76.25,28371
2003-10-30,76.2,78.0,75.75,76.88,28873
2003-10-31,77.45,79.5,76.75,78.13,78683
2003-11-03,79.03,79.6,77.5,77.83,36624
2003-11-04,78.0,79.0,77.0,77.4,56105
2003-11-05,77.25,78.18,76.0,76.43,33746
2003-11-06,77.43,78.0,76.55,76.9,35074
2003-11-07,77.0,77.5,76.63,76.93,31754
2003-11-10,75.28,87.5,75.28,83.68,171271
2003-11-11,84.45,87.0,82.58,83.48,284151
2003-11-12,83.88,85.5,83.0,83.6,145433
2003-11-13,84.33,87.25,83.0,83.45,439376
2003-11-14,84.38,84.7,82.63,83.75,134123
2003-11-15,84.0,85.0,81.28,84.3,75567
2003-11-17,85.08,91.5,84.5,89.7,696463
2003-11-18,90.7,90.7,85.13,86.65,239510
2003-11-19,86.5,87.95,83.25,83.7,139434
2003-11-20,84.45,86.85,80.58,81.68,148921
2003-11-21,82.48,83.43,79.3,80.9,137397
2003-11-24,81.43,82.0,80.05,80.43,62264
2003-11-25,81.35,81.68,79.25,79.98,84214
2003-11-27,81.3,83.35,80.03,81.35,136613
2003-11-28,82.5,84.5,82.13,82.5,128293
2003-12-01,83.2,83.5,81.5,82.55,118284
2003-12-02,83.43,83.75,81.55,82.28,79553
2003-12-03,83.0,87.45,82.3,86.93,279338
2003-12-04,87.45,89.0,84.53,87.0,221821
2003-12-05,87.85,93.45,87.85,91.38,515678
2003-12-08,92.65,93.9,89.15,89.93,296270
2003-12-09,90.98,92.5,90.13,91.0,164511
2003-12-10,91.5,92.43,86.05,87.03,217338
2003-12-11,87.98,88.6,86.25,87.03,151599
2003-12-12,87.5,87.8,86.28,86.83,78196
2003-12-15,87.7,88.0,86.1,86.43,88579
