date,open,high,low,close,volume
2003-09-05,38.24,38.35,37.78,38.01,28765
2003-09-08,38.58,43.31,38.47,42.06,243884
2003-09-09,42.8,44.04,40.77,42.45,131501
2003-09-10,41.92,43.19,41.51,42.68,55864
2003-09-11,40.13,44.23,40.13,42.27,41348
2003-09-12,44.0,44.0,41.0,41.58,34284
2003-09-15,41.55,42.36,40.43,41.42,40262
2003-09-16,41.42,42.22,40.45,40.79,15503
2003-09-17,41.92,42.27,40.08,40.79,22300
2003-09-18,41.46,41.46,39.34,39.8,23213
2003-09-19,42.84,42.84,37.55,41.55,39810
2003-09-22,41.83,42.84,41.09,42.52,77926
2003-09-23,42.36,44.18,42.36,42.91,116826
2003-09-24,43.72,44.5,43.1,44.13,53841
2003-09-25,44.64,44.64,41.69,43.81,24052
2003-09-26,43.77,44.64,43.31,43.9,21181
2003-09-29,44.3,44.69,43.6,43.77,22201
2003-09-30,44.64,44.87,43.07,43.97,17798
2003-10-01,44.64,44.64,43.44,43.67,11602
2003-10-03,44.6,44.87,44.09,44.41,27672
2003-10-06,44.69,44.69,43.54,43.72,31031
2003-10-07,44.69,44.69,43.42,43.72,45291
2003-10-08,44.0,44.23,43.44,44.13,17774
2003-10-09,43.77,45.15,43.63,44.48,35283
2003-10-10,45.15,45.15,44.18,44.57,18360
2003-10-13,45.15,46.53,44.23,45.93,40316
2003-10-14,46.07,48.37,45.86,47.04,76712
2003-10-15,48.12,48.14,46.07,47.01,51907
2003-10-16,46.99,47.45,46.53,46.92,48329
2003-10-17,47.45,48.37,46.16,46.35,13318
2003-10-20,46.16,46.99,45.61,45.77,22240
2003-10-21,45.61,46.07,44.57,44.66,22018
2003-10-22,44.69,45.15,44.46,44.46,6086
2003-10-23,44.23,44.92,43.81,44.18,4334
2003-10-24,43.84,44.2,42.84,43.88,13239
2003-10-25,45.61,45.61,44.69,44.85,3812
2003-10-27,44.69,44.73,43.42,43.7,17167
2003-10-28,50.68,50.68,43.35,43.74,2200
2003-10-29,43.81,43.81,42.91,43.21,18387
2003-10-30,43.77,46.07,43.77,45.52,19551
2003-10-31,46.07,46.99,45.42,45.98,24974
2003-11-03,50.68,50.68,46.09,46.9,63459
2003-11-04,47.91,47.91,45.63,46.23,40889
2003-11-05,46.53,49.25,46.07,47.87,92327
2003-11-06,48.42,50.58,48.05,50.05,58300
2003-11-07,50.63,52.75,50.24,51.28,151962
2003-11-10,53.44,53.44,50.72,51.41,86539
2003-11-11,52.06,52.52,51.37,51.64,44659
2003-11-12,52.06,53.9,51.3,52.24,215072
2003-11-13,52.52,55.17,52.43,53.07,117467
2003-11-14,53.86,54.34,52.38,53.35,64345
2003-11-15,57.59,57.59,53.03,54.87,44342
2003-11-17,57.17,57.17,54.36,55.24,100463
2003-11-18,57.47,57.47,52.52,53.07,70511
2003-11-19,53.44,53.44,51.28,51.69,63685
2003-11-20,52.38,52.5,50.56,51.02,109568
2003-11-21,51.37,51.37,48.95,49.78,42519
2003-11-24,51.02,53.39,49.82,52.75,63980
2003-11-25,53.67,55.28,53.67,54.59,139446
2003-11-27,55.24,55.74,54.48,55.08,101276
2003-11-28,55.28,56.2,54.85,55.35,110629
2003-12-01,55.28,63.48,55.28,62.19,444130
2003-12-02,62.93,66.34,60.81,64.27,261144
2003-12-03,64.5,64.73,61.32,62.17,98341
2003-12-04,62.01,64.38,59.89,62.77,91883
2003-12-05,63.05,64.73,61.78,62.22,75131
2003-12-08,62.42,68.14,62.19,67.05,190499
2003-12-09,67.72,71.38,66.34,70.37,189536
2003-12-10,70.9,70.95,66.92,68.11,127462
2003-12-11,70.03,71.41,67.03,67.86,75560
2003-12-12,68.39,71.36,67.26,67.68,58169
2003-12-15,68.57,68.87,66.85,67.31,40301
2003-12-16,67.72,70.03,66.85,67.98,151725
2003-12-17,69.06,69.06,65.67,66.27,58492
