date,open,high,low,close,volume
2003-09-05,8.0,8.32,7.97,8.13,211452
2003-09-08,8.12,8.75,8.12,8.67,610165
2003-09-09,8.85,9.0,8.4,8.45,558586
2003-09-10,8.49,8.54,8.35,8.45,144543
2003-09-11,8.49,8.7,8.3,8.4,265359
2003-09-12,8.5,8.55,8.16,8.21,155484
2003-09-15,8.25,8.25,7.95,8.12,113093
2003-09-16,8.1,8.55,7.93,8.33,395410
2003-09-17,8.47,8.49,8.23,8.4,293032
2003-09-18,8.4,8.42,8.02,8.06,109194
2003-09-19,8.08,8.28,8.0,8.24,143587
2003-09-22,8.35,8.7,8.35,8.44,250310
2003-09-23,8.5,8.8,8.37,8.71,364240
2003-09-24,8.85,8.9,8.73,8.76,223091
2003-09-25,8.75,9.09,8.55,8.75,392704
2003-09-26,8.75,9.01,8.68,8.92,200950
2003-09-29,9.0,9.22,9.0,9.17,276154
2003-09-30,9.2,9.5,9.2,9.47,285295
2003-10-01,9.5,10.14,9.48,9.96,713767
2003-10-03,10.05,11.09,10.05,10.88,461082
2003-10-06,11.01,11.25,10.6,11.0,618799
2003-10-07,11.09,11.38,10.68,11.2,680835
2003-10-08,11.46,11.9,10.74,10.94,657640
2003-10-09,10.95,11.09,10.35,10.5,786664
2003-10-10,10.65,10.95,10.56,10.81,505967
2003-10-13,11.0,11.28,10.86,11.12,598365
2003-10-14,11.22,11.22,10.67,10.81,551314
2003-10-15,10.8,10.94,10.5,10.62,288770
2003-10-16,10.75,10.88,10.6,10.71,292801
2003-10-17,10.77,10.92,10.66,10.87,279940
2003-10-20,10.95,11.38,10.9,10.99,496927
2003-10-21,11.08,11.13,10.65,10.79,324844
2003-10-22,10.82,10.95,10.51,10.66,195539
2003-10-23,10.74,10.97,10.55,10.73,312799
2003-10-24,10.73,11.15,10.58,11.01,288902
2003-10-25,11.24,11.45,11.21,11.37,273672
2003-10-27,11.25,11.46,11.01,11.22,308038
2003-10-28,11.43,11.61,10.9,11.11,1257327
2003-10-29,11.3,11.4,10.71,11.24,743893
2003-10-30,11.39,11.4,11.13,11.22,332148
2003-10-31,11.3,11.57,11.2,11.37,359333
2003-11-03,11.45,11.74,11.4,11.57,382565
2003-11-04,11.67,12.05,11.33,11.89,740872
2003-11-05,12.01,12.33,11.9,12.04,789809
2003-11-06,12.2,12.2,11.76,11.85,417848
2003-11-07,11.95,11.99,11.45,11.51,188798
2003-11-10,10.78,11.43,10.78,11.31,127772
2003-11-11,11.38,11.85,11.14,11.28,280374
2003-11-12,11.49,11.58,11.15,11.22,319269
2003-11-13,11.45,11.64,11.26,11.48,689632
2003-11-14,11.58,11.85,10.84,10.91,831256
2003-11-15,10.99,11.54,10.9,11.39,195296
2003-11-17,11.59,11.71,11.3,11.62,518695
2003-11-18,11.75,11.95,11.5,11.66,658560
2003-11-19,11.74,11.74,11.25,11.34,354333
2003-11-20,11.3,11.4,10.89,10.96,272847
2003-11-21,10.95,11.11,10.56,10.99,342424
2003-11-24,11.13,11.47,11.06,11.35,300198
2003-11-25,11.45,11.65,11.18,11.58,435058
2003-11-27,11.65,12.25,11.58,12.0,786560
2003-11-28,12.1,12.24,12.0,12.06,559907
2003-12-01,12.12,13.5,12.12,13.28,1216349
2003-12-02,13.3,13.62,12.9,13.16,455944
2003-12-03,13.2,13.49,13.08,13.18,408792
2003-12-04,13.25,13.25,12.95,13.03,170413
2003-12-05,13.19,13.2,12.6,12.68,254233
2003-12-08,12.65,12.88,12.35,12.8,143446
2003-12-09,12.91,13.0,12.45,12.71,172536
2003-12-10,12.78,12.94,12.43,12.48,161222
2003-12-11,12.64,13.25,12.63,13.06,354355
2003-12-12,13.15,13.3,12.65,12.77,230401
2003-12-15,12.82,12.9,12.68,12.73,119375
2003-12-16,12.75,13.14,12.57,12.99,212342
2003-12-17,13.16,13.35,12.98,13.09,233221
2003-12-18,12.56,13.5,12.0,13.36,254411
2003-12-19,13.55,13.7,13.13,13.21,158921
2003-12-22,13.34,13.34,12.89,13.02,94858
2003-12-23,13.0,13.26,12.75,12.82,128535
2003-12-24,13.0,13.25,12.73,12.99,144093
2003-12-26,13.01,14.05,13.01,13.91,353958
2003-12-29,14.0,14.1,13.75,13.92,264985
2003-12-30,14.2,14.2,13.2,13.97,188792
2003-12-31,13.95,14.87,13.76,14.72,526279
2004-01-01,14.79,14.87,14.56,14.66,255849
2004-01-02,14.75,14.75,14.25,14.47,242213
2004-01-05,14.55,14.75,14.2,14.61,329018
2004-01-06,14.6,14.92,14.21,14.34,240758
2004-01-07,14.49,14.62,13.7,13.87,147032
2004-01-08,13.99,14.24,13.76,13.96,400884
2004-01-09,14.37,14.75,14.1,14.37,630077
2004-01-12,14.5,14.99,14.26,14.59,525090
2004-01-13,14.79,15.1,14.45,14.85,721900
2004-01-14,15.13,15.5,15.0,15.4,572052
2004-01-15,15.45,15.59,14.75,14.94,295973
2004-01-16,14.85,15.0,14.32,14.7,198978
2004-01-19,14.5,15.3,14.45,15.15,245050
2004-01-20,15.49,15.49,14.75,14.99,237157
2004-01-21,14.83,14.85,13.65,13.84,227379
2004-01-22,13.9,14.25,11.76,13.17,204495
2004-01-23,13.25,13.65,12.27,13.07,696414
2004-01-27,13.25,13.4,13.0,13.13,973084
2004-01-28,13.2,13.25,12.3,12.5,632860
2004-01-29,12.45,12.69,12.24,12.47,443789
2004-01-30,12.62,12.69,11.3,11.49,456972
2004-02-03,11.25,11.85,10.55,11.11,540625
2004-02-04,11.25,12.34,11.25,12.21,501132
2004-02-05,12.45,12.55,11.91,12.15,377289
2004-02-06,12.2,12.35,11.95,12.27,386258
2004-02-09,12.38,12.58,11.96,12.16,599910
2004-02-10,12.25,12.5,12.12,12.39,493505
2004-02-11,12.49,12.55,11.96,12.07,470211
2004-02-12,12.2,12.34,12.09,12.21,308488
2004-02-13,12.28,12.4,11.98,12.28,237503
2004-02-16,12.4,12.75,12.34,12.67,383854
2004-02-17,12.73,13.25,12.71,12.78,870602
2004-02-18,12.87,13.27,12.8,13.17,766739
2004-02-19,13.25,13.57,12.85,12.96,1458853
2004-02-20,12.95,13.62,12.71,13.45,996601
2004-02-23,13.63,13.9,13.06,13.18,651388
2004-02-24,13.14,13.49,12.9,13.05,581205
2004-02-25,13.1,13.18,12.88,12.97,410319
2004-02-26,13.05,13.2,12.98,13.02,258919
2004-02-27,13.08,13.2,13.01,13.13,148277
2004-03-01,13.2,13.35,13.13,13.2,147886
2004-03-03,13.25,13.37,13.05,13.11,247473
2004-03-04,13.15,13.19,13.0,13.07,131189
2004-03-05,13.15,13.18,12.81,12.97,116876
2004-03-08,13.05,13.25,13.03,13.18,194195
2004-03-09,13.24,13.35,13.03,13.13,162503
2004-03-10,13.15,13.2,12.76,13.06,153718
2004-03-11,12.91,12.95,12.75,12.81,114481
2004-03-12,12.8,12.8,12.52,12.73,116110
2004-03-15,12.95,12.95,11.75,12.03,109823
2004-03-16,12.0,12.25,11.2,11.72,345078
2004-03-17,11.95,12.25,11.86,12.23,198311
2004-03-18,12.3,12.3,11.85,11.99,116572
2004-03-19,11.9,12.0,11.31,11.64,273335
2004-03-22,11.74,11.74,11.18,11.4,185260
2004-03-23,11.3,11.35,10.1,11.03,713545
2004-03-24,11.0,11.58,10.51,11.33,414259
2004-03-25,11.5,11.95,11.4,11.74,136089
2004-03-26,11.95,12.13,11.7,12.0,256877
2004-03-29,12.21,12.79,12.02,12.23,516282
2004-03-30,12.26,12.46,12.07,12.32,192061
2004-03-31,12.74,12.87,11.98,12.66,279794
2004-04-01,12.78,13.4,12.6,13.19,518353
2004-04-02,13.27,13.27,12.92,12.98,172781
2004-04-05,13.1,13.57,13.05,13.34,264473
2004-04-06,13.4,13.4,12.9,12.97,126174
2004-04-07,13.1,13.45,12.74,13.36,223615
2004-04-08,13.38,13.67,13.33,13.4,639626
2004-04-12,13.48,13.49,13.23,13.26,101955
2004-04-13,13.01,13.5,13.01,13.38,150705
2004-04-15,13.45,14.55,13.35,14.26,968640
2004-04-16,14.3,14.36,13.9,14.23,219427
2004-04-17,14.25,14.25,13.75,13.91,50931
2004-04-19,14.05,14.1,13.15,13.25,121284
2004-04-20,13.31,13.5,13.06,13.4,63192
2004-04-21,13.35,13.7,13.35,13.6,247661
2004-04-22,13.7,13.85,13.5,13.78,131044
2004-04-23,13.9,14.86,13.61,13.75,284783
2004-04-27,13.76,13.76,12.52,13.25,92795
2004-04-28,13.3,13.5,13.05,13.39,147101
2004-04-29,13.39,13.7,13.33,13.5,137063
2004-04-30,13.6,13.62,13.28,13.33,52596
2004-05-03,13.45,13.45,12.65,12.82,84161
2004-05-04,13.0,13.35,12.83,12.92,167734
