date,open,high,low,close,volume
2003-09-05,30.6,30.6,29.8,30.1,17597
2003-09-08,30.5,30.6,30.29,30.48,27567
2003-09-09,30.5,30.7,30.0,30.6,41864
2003-09-10,30.3,30.8,30.2,30.57,60618
2003-09-11,30.7,31.5,30.7,31.03,54043
2003-09-12,31.49,32.4,31.1,31.33,80166
2003-09-15,31.5,31.5,30.6,30.75,89041
2003-09-16,30.11,31.0,30.11,30.9,81068
2003-09-17,30.6,31.1,30.31,30.75,35590
2003-09-18,30.6,30.8,30.25,30.37,6010
2003-09-19,30.2,30.8,29.9,30.2,10660
2003-09-22,30.01,30.7,30.01,30.59,19953
2003-09-23,30.6,30.65,30.1,30.46,14387
2003-09-24,30.5,30.6,30.33,30.49,20310
2003-09-25,30.2,30.5,30.15,30.24,5750
2003-09-26,30.48,30.9,30.24,30.54,24554
2003-09-29,29.85,30.8,29.85,30.18,20492
2003-09-30,30.2,30.6,30.18,30.36,25044
2003-10-01,30.3,30.5,30.21,30.37,9533
2003-10-03,30.11,30.5,30.11,30.48,20551
2003-10-06,30.48,30.5,30.01,30.06,22953
2003-10-07,30.2,30.5,30.1,30.33,39539
2003-10-08,30.3,30.5,30.2,30.47,20461
2003-10-09,30.5,30.5,30.21,30.34,20513
2003-10-10,30.49,30.5,30.31,30.45,29485
2003-10-13,30.6,31.38,30.3,31.23,37679
2003-10-14,31.2,31.2,30.8,30.88,57702
2003-10-15,30.72,30.9,30.3,30.53,40745
2003-10-16,30.5,30.8,30.01,30.25,31091
2003-10-17,30.11,30.5,30.11,30.47,43102
2003-10-20,30.4,30.5,29.61,29.7,77235
2003-10-21,29.7,29.99,29.0,29.08,17294
2003-10-22,32.3,32.3,28.76,28.98,16036
2003-10-23,29.99,29.99,28.31,28.48,27810
2003-10-24,28.25,29.2,28.22,28.95,15857
2003-10-25,29.5,29.5,28.85,29.01,14129
2003-10-27,29.0,29.1,28.25,28.34,12544
2003-10-28,28.85,28.89,28.2,28.28,11753
2003-10-29,28.5,28.6,28.2,28.33,59795
2003-10-30,28.3,28.4,28.1,28.32,35623
2003-10-31,28.41,28.41,27.3,27.44,111165
2003-11-03,27.75,28.5,27.75,28.22,40474
2003-11-04,28.37,29.0,28.2,28.68,37216
2003-11-05,28.58,29.65,28.58,29.45,39770
2003-11-06,29.7,31.25,29.6,30.92,78370
2003-11-07,30.2,31.4,28.12,30.68,57780
2003-11-10,29.51,30.89,29.51,30.43,39619
2003-11-11,30.7,30.71,30.17,30.44,49766
2003-11-12,30.7,30.8,30.33,30.54,21926
2003-11-13,30.76,30.8,30.31,30.66,21196
2003-11-14,30.7,30.74,30.2,30.65,38988
2003-11-15,30.7,30.7,30.0,30.14,4584
2003-11-17,30.5,30.9,30.3,30.65,21958
2003-11-18,30.9,30.9,30.41,30.64,15297
2003-11-19,30.4,30.59,30.3,30.54,34976
2003-11-20,30.5,30.57,30.2,30.46,12908
2003-11-21,30.22,30.6,29.31,30.51,17102
2003-11-24,30.25,30.79,30.11,30.7,20090
2003-11-25,30.9,30.9,30.33,30.7,15015
2003-11-27,30.6,30.99,30.4,30.77,74134
2003-11-28,31.0,31.3,30.56,30.96,26293
2003-12-01,30.9,31.18,30.67,30.91,72764
2003-12-02,30.9,31.08,30.8,30.99,31245
2003-12-03,30.9,31.4,30.82,31.14,60276
2003-12-04,31.13,31.5,30.91,31.32,81232
2003-12-05,31.48,31.94,31.3,31.71,60589
2003-12-08,31.7,33.0,31.5,31.99,45446
2003-12-09,32.49,32.99,31.8,32.02,37516
2003-12-10,32.01,32.55,32.01,32.42,36258
2003-12-11,32.4,32.9,32.4,32.8,47290
2003-12-12,32.85,33.0,32.4,32.75,20075
2003-12-15,32.99,33.26,32.81,32.96,54690
2003-12-16,32.75,33.0,32.25,32.44,21342
2003-12-17,32.5,32.98,32.5,32.61,19664
2003-12-18,32.94,33.22,31.9,32.53,33960
2003-12-19,32.8,32.9,31.95,31.98,54984
2003-12-22,32.53,32.79,32.13,32.41,23090
2003-12-23,32.79,32.79,32.1,32.16,13765
2003-12-24,32.35,32.5,32.11,32.36,18231
2003-12-26,32.6,32.7,32.13,32.56,24189
2003-12-29,32.8,33.25,32.56,32.67,58981
2003-12-30,32.9,32.9,32.3,32.35,19405
2003-12-31,32.5,33.75,32.5,33.48,98576
2004-01-01,33.1,34.3,33.1,33.62,47674
2004-01-02,33.91,34.0,33.2,33.51,33480
2004-01-05,33.9,34.6,33.5,34.05,77308
2004-01-06,34.0,34.38,32.35,32.83,54203
2004-01-07,33.2,33.35,32.6,32.9,37197
2004-01-08,32.65,33.8,32.65,33.67,39362
2004-01-09,35.0,36.1,32.01,33.95,38327
2004-01-12,34.0,34.2,33.1,34.01,86940
2004-01-13,34.2,34.45,33.2,34.15,53574
2004-01-14,34.1,34.4,34.1,34.28,16059
2004-01-15,34.5,34.5,34.0,34.33,55777
2004-01-16,34.3,34.3,33.5,34.01,24423
2004-01-19,34.01,34.01,33.1,33.7,14941
2004-01-20,34.0,34.19,33.02,33.59,30376
2004-01-21,33.0,34.0,31.8,32.84,34176
2004-01-22,32.1,33.5,31.43,32.07,23053
2004-01-23,31.51,34.61,31.51,34.21,41520
2004-01-27,34.0,34.59,33.4,34.14,12841
2004-01-28,34.64,34.7,33.32,33.54,31189
2004-01-29,32.2,34.0,31.98,33.26,55463
2004-01-30,32.9,33.89,32.01,32.25,21315
2004-02-03,32.0,32.2,32.0,32.01,77387
2004-02-04,32.1,32.3,31.9,32.01,49584
2004-02-05,32.3,32.4,32.0,32.02,6759
2004-02-06,32.01,32.2,31.93,32.03,50559
2004-02-09,32.2,32.2,32.0,32.02,16654
2004-02-10,32.49,32.49,32.0,32.04,12619
2004-02-11,32.2,32.3,32.0,32.12,51081
2004-02-12,32.1,32.26,31.98,32.03,60743
2004-02-13,32.1,32.45,31.98,32.01,68916
2004-02-16,32.1,32.5,32.0,32.06,11530
2004-02-17,32.06,32.2,31.86,31.99,18415
2004-02-18,32.0,32.14,31.93,32.0,34646
2004-02-19,32.0,32.15,31.7,32.0,12219
2004-02-20,31.52,32.25,31.51,32.06,50362
2004-02-23,32.1,32.2,31.0,31.64,128739
2004-02-24,31.5,31.7,31.05,31.27,12882
2004-02-25,32.5,32.5,30.21,30.32,10119
2004-02-26,30.6,30.9,29.81,30.1,21519
2004-02-27,30.3,30.5,29.45,30.12,20340
2004-03-01,35.4,35.4,29.5,30.6,16989
2004-03-03,30.5,30.5,29.9,30.02,22883
2004-03-04,30.11,30.7,30.11,30.56,13039
2004-03-05,30.23,31.74,30.23,31.64,27409
2004-03-08,32.0,32.0,30.82,31.36,15135
2004-03-09,31.7,32.0,30.83,31.49,15300
2004-03-10,31.5,31.5,31.0,31.24,6876
2004-03-11,31.45,31.5,31.0,31.43,6409
2004-03-12,30.96,31.6,30.96,31.55,7992
2004-03-15,31.6,32.0,31.2,31.54,14892
2004-03-16,30.51,31.5,30.51,31.46,10154
2004-03-17,31.6,31.9,31.02,31.43,8453
2004-03-18,31.5,31.6,31.23,31.47,5126
2004-03-19,31.22,31.65,31.0,31.44,65211
2004-03-22,30.91,31.4,30.91,31.31,21555
2004-03-23,31.1,31.4,30.5,31.35,29538
2004-03-24,31.4,31.4,31.0,31.22,27405
2004-03-25,31.5,31.5,30.5,30.59,6415
2004-03-26,30.61,31.0,30.47,30.81,38053
2004-03-29,30.75,31.49,30.4,30.47,11374
2004-03-30,30.82,30.88,30.12,30.32,13715
2004-03-31,30.59,30.7,29.95,30.15,27916
2004-04-01,30.99,30.99,29.92,30.08,204609
2004-04-02,30.89,30.89,30.01,30.49,37101
2004-04-05,30.95,30.95,30.21,30.4,13347
2004-04-06,30.51,30.51,30.3,30.43,9009
2004-04-07,30.9,30.9,30.31,30.41,54237
2004-04-08,30.47,30.59,30.1,30.4,16043
2004-04-12,30.21,30.5,30.2,30.37,15748
2004-04-13,30.5,30.56,30.3,30.43,69749
2004-04-15,30.5,30.5,30.35,30.42,25048
2004-04-16,30.5,30.55,30.2,30.48,12062
2004-04-17,30.99,30.99,30.4,30.55,5187
2004-04-19,30.6,30.7,30.4,30.51,159149
2004-04-20,30.5,30.85,30.25,30.43,62701
2004-04-21,30.51,31.8,30.51,31.15,50059
2004-04-22,31.4,32.3,31.3,32.01,50324
2004-04-23,31.9,32.5,31.13,31.67,16940
2004-04-27,30.9,31.4,30.1,30.73,26005
2004-04-28,30.88,31.19,30.1,30.5,82469
2004-04-29,30.31,31.0,30.31,30.51,13461
2004-04-30,30.51,31.09,30.41,30.84,13238
2004-05-03,30.54,30.8,30.45,30.56,11260
2004-05-04,32.39,32.39,30.52,30.57,8619
2004-05-05,30.6,31.4,30.51,30.94,53918
2004-05-06,31.0,31.5,30.64,31.23,12402
2004-05-07,31.4,31.4,30.8,31.07,8342
2004-05-10,31.2,31.2,30.3,30.47,89798
2004-05-11,30.45,30.45,30.0,30.15,12892
2004-05-12,30.43,30.45,29.8,29.96,26322
2004-05-13,29.82,30.5,29.02,29.72,32262
2004-05-14,30.5,30.5,29.11,29.6,30091
2004-05-17,29.1,29.15,24.5,27.29,45759
2004-05-18,28.0,30.47,27.2,29.2,57132
2004-05-19,30.2,30.2,28.0,29.04,70427
2004-05-20,29.95,29.95,28.8,29.18,30481
2004-05-21,29.3,29.3,28.51,29.09,25426
2004-05-24,29.01,29.6,29.01,29.37,23354
2004-05-25,29.17,30.3,29.15,30.07,19801
2004-05-26,30.0,30.01,29.3,29.97,31401
2004-05-27,29.51,30.3,29.5,30.12,21279
2004-05-28,30.0,30.5,29.0,29.21,26729
2004-05-31,28.21,29.85,28.21,29.51,15303
2004-06-01,29.1,30.05,29.0,29.4,42511
2004-06-02,29.4,29.75,29.2,29.28,2704
2004-06-03,29.85,29.85,29.3,29.41,10350
2004-06-04,29.0,29.5,29.0,29.07,3780
2004-06-07,29.6,29.75,29.2,29.5,7871
2004-06-08,29.5,29.75,29.3,29.69,9255
2004-06-09,29.6,29.8,29.31,29.65,15787
2004-06-10,29.4,29.5,28.75,28.93,10253
2004-06-11,29.2,29.4,28.75,28.82,5336
2004-06-14,29.4,29.48,28.26,29.37,13518
2004-06-15,29.38,29.92,29.2,29.85,13061
