date,open,high,low,close,volume
2007-03-20,4.64,5.11,4.5,4.74,4826203
2007-03-21,4.73,4.84,4.4,4.45,1233419
2007-03-22,4.59,4.68,4.38,4.42,439274
2007-03-23,4.5,4.5,4.06,4.18,200124
2007-03-26,4.14,4.14,3.87,3.91,119567
2007-03-28,3.98,3.98,3.56,3.61,60462
2007-03-29,3.6,3.65,3.43,3.49,87216
2007-03-30,3.65,3.83,3.42,3.73,138077
2007-04-02,3.53,3.82,3.52,3.61,35631
2007-04-03,3.61,3.74,3.56,3.61,18974
2007-04-04,3.66,3.66,3.48,3.5,16410
2007-04-05,3.49,3.76,3.48,3.54,27474
2007-04-09,3.58,3.71,3.54,3.57,21123
2007-04-10,3.52,3.63,3.42,3.59,12829
2007-04-11,3.58,3.68,3.57,3.59,15542
2007-04-12,3.53,3.62,3.51,3.53,3529
2007-04-13,3.44,3.59,3.42,3.5,6058
2007-04-16,3.54,3.84,3.52,3.77,53811
2007-04-17,3.74,3.95,3.69,3.81,27308
2007-04-18,3.83,4.38,3.83,4.19,246212
2007-04-19,4.23,4.26,3.96,4.11,35026
2007-04-20,4.12,4.21,3.94,3.96,18707
2007-04-23,4.06,4.12,3.93,3.96,12631
2007-04-24,3.92,4.4,3.89,4.17,101432
2007-04-25,4.16,4.75,4.15,4.43,249354
2007-04-26,4.56,4.73,4.28,4.32,92761
2007-04-27,4.37,4.5,4.3,4.4,32823
2007-04-30,4.33,4.67,4.33,4.6,33860
2007-05-03,4.63,4.73,4.47,4.53,23057
2007-05-04,4.55,4.88,4.55,4.69,101644
2007-05-07,4.95,5.04,4.78,4.83,59093
2007-05-08,4.73,4.86,4.66,4.74,26901
2007-05-09,4.66,4.81,4.57,4.66,17874
2007-05-10,4.59,4.95,4.59,4.86,30864
2007-05-11,5.13,5.13,4.59,4.88,34709
2007-05-14,4.91,5.06,4.9,4.95,19880
2007-05-15,5.06,5.29,4.91,5.13,131197
2007-05-16,5.2,5.28,5.0,5.04,26455
2007-05-17,5.09,5.13,4.86,4.9,18356
2007-05-18,4.87,5.06,4.86,4.93,14165
2007-05-21,4.95,5.18,4.95,5.05,20641
2007-05-22,5.0,5.26,5.0,5.16,85594
2007-05-23,5.2,5.31,5.04,5.09,44996
2007-05-24,4.97,5.13,4.97,5.05,7280
2007-05-25,5.06,5.21,5.0,5.14,18808
2007-05-28,5.16,5.19,5.09,5.15,12635
2007-05-29,5.15,5.15,5.04,5.12,8675
2007-05-30,5.12,5.13,5.04,5.06,10894
2007-05-31,4.86,5.06,4.86,4.92,16030
2007-06-01,4.99,5.19,4.99,5.16,25961
2007-06-04,5.18,5.2,5.09,5.11,11580
2007-06-05,5.11,5.17,5.0,5.01,4357
2007-06-06,5.13,5.14,4.86,4.88,7354
2007-06-07,4.94,4.95,4.73,4.82,5892
2007-06-08,4.73,4.95,4.73,4.92,5137
2007-06-11,4.86,5.0,4.77,4.83,3418
2007-06-12,4.64,4.75,4.64,4.68,4991
2007-06-13,4.6,4.75,4.52,4.56,2703
2007-06-14,4.72,4.72,4.53,4.61,1253
2007-06-15,4.62,4.83,4.62,4.82,2343
2007-06-18,4.93,4.93,4.64,4.75,1833
2007-06-19,4.91,4.91,4.59,4.72,1769
2007-06-20,4.77,4.78,4.64,4.7,3260
2007-06-21,4.68,4.81,4.68,4.75,3178
2007-06-22,4.73,4.84,4.69,4.74,3338
2007-06-25,4.82,4.86,4.59,4.64,3554
2007-06-26,4.73,4.85,4.64,4.77,33540
2007-06-27,4.84,4.86,4.75,4.81,29681
2007-06-28,4.73,4.82,4.73,4.8,3693
2007-06-29,4.68,4.82,4.59,4.74,5286
2007-07-02,4.82,4.93,4.7,4.9,8359
2007-07-03,5.13,5.13,4.84,4.98,4387
2007-07-04,5.08,5.08,4.86,4.89,2634
2007-07-05,4.85,4.9,4.8,4.82,4365
2007-07-06,4.82,5.24,4.75,5.15,20644
2007-07-09,5.85,6.08,5.49,5.6,163009
2007-07-10,5.72,5.8,5.4,5.53,96114
2007-07-11,5.4,6.15,5.4,6.08,178637
2007-07-12,6.21,6.25,6.05,6.12,107734
2007-07-13,5.86,6.18,5.72,5.78,42339
2007-07-16,5.79,5.85,5.65,5.7,27445
2007-07-17,5.83,6.03,5.63,5.72,46779
2007-07-18,5.68,5.81,5.58,5.63,14650
2007-07-19,5.65,5.85,5.63,5.83,31668
2007-07-20,5.81,5.81,5.54,5.58,20820
2007-07-23,5.49,5.66,5.22,5.48,11346
2007-07-24,5.49,5.54,5.36,5.38,39039
2007-07-25,5.18,5.47,5.18,5.22,15914
2007-07-26,5.27,5.29,5.22,5.24,5301
2007-07-27,5.22,5.51,5.18,5.42,12885
2007-07-30,5.4,5.67,5.36,5.4,22407
2007-07-31,5.51,5.56,5.27,5.51,35949
2007-08-01,5.49,5.54,5.18,5.22,10682
2007-08-02,5.24,5.36,5.18,5.27,2572
2007-08-03,5.27,5.33,5.18,5.2,5066
2007-08-06,5.18,5.27,5.18,5.18,6994
2007-08-07,5.4,5.4,5.18,5.3,3090
2007-08-08,5.25,5.38,5.2,5.31,5792
2007-08-09,5.36,5.36,5.18,5.2,4985
2007-08-10,5.04,5.27,5.04,5.17,9334
2007-08-13,5.2,5.27,5.18,5.18,7073
2007-08-14,5.18,5.34,5.13,5.19,1847
2007-08-16,5.17,5.21,5.04,5.16,11711
2007-08-17,4.74,5.14,4.74,4.99,8129
2007-08-20,5.11,5.22,5.04,5.17,5531
2007-08-21,5.18,5.18,4.86,4.89,3732
2007-08-22,4.82,4.83,4.64,4.77,6719
2007-08-23,4.95,4.95,4.76,4.77,5028
2007-08-24,4.72,4.86,4.72,4.84,3846
2007-08-27,4.76,5.13,4.73,4.97,5665
2007-08-28,5.06,5.07,4.95,5.07,170
2007-08-29,5.0,5.06,4.84,4.99,1699
2007-08-30,5.04,5.09,4.91,4.96,6369
2007-08-31,5.04,5.15,4.89,5.05,3245
2007-09-03,5.13,5.18,5.04,5.09,10026
2007-09-04,5.08,5.13,5.0,5.04,10889
2007-09-05,5.02,5.11,5.0,5.04,3947
2007-09-06,5.04,5.06,4.95,5.0,5152
2007-09-07,4.96,5.27,4.95,5.05,4320
2007-09-10,4.97,5.18,4.97,5.14,5774
2007-09-11,5.18,5.22,5.18,5.21,4984
2007-09-12,5.36,5.36,5.18,5.28,13450
2007-09-13,5.49,5.49,5.27,5.38,27209
2007-09-14,5.49,5.49,5.31,5.4,6559
2007-09-17,5.38,5.4,5.22,5.25,7651
2007-09-18,5.15,5.31,5.09,5.2,16326
2007-09-19,5.23,5.23,5.18,5.19,11685
2007-09-20,5.22,5.33,4.95,5.25,19670
2007-09-21,5.22,5.24,5.04,5.23,6387
2007-09-24,5.06,5.29,5.06,5.15,5302
2007-09-25,5.09,5.21,5.04,5.18,18324
2007-09-26,5.33,5.96,5.18,5.69,78966
2007-09-27,5.64,5.94,5.4,5.57,11143
2007-09-28,5.63,5.63,5.31,5.4,15371
2007-10-01,5.63,5.9,5.49,5.67,20258
2007-10-03,6.01,6.01,5.31,5.46,12568
2007-10-04,5.42,5.62,5.36,5.47,15819
2007-10-05,5.59,5.94,5.45,5.85,82321
2007-10-08,5.96,6.27,5.41,5.56,41670
2007-10-09,5.72,5.86,5.49,5.75,13051
2007-10-10,5.85,6.05,5.67,5.85,27864
2007-10-11,5.85,5.94,5.65,5.73,4719
2007-10-12,5.69,5.81,5.54,5.64,20639
2007-10-15,5.4,6.18,5.4,6.04,27456
2007-10-16,5.94,5.98,5.81,5.89,7859
2007-10-17,5.22,6.0,5.22,5.88,7821
2007-10-18,5.85,6.14,5.76,5.88,13438
2007-10-19,5.85,6.07,5.63,5.86,28874
2007-10-22,5.65,5.94,5.65,5.85,7611
2007-10-23,5.68,5.99,5.68,5.91,5951
2007-10-24,6.21,7.07,5.81,6.07,19296
2007-10-25,6.12,6.17,5.63,5.94,11441
2007-10-26,5.92,6.03,5.9,5.97,6522
2007-10-29,5.9,6.03,5.67,5.79,7436
2007-10-30,5.7,5.89,5.7,5.75,3117
2007-10-31,5.85,5.99,5.63,5.86,13287
2007-11-01,5.77,5.9,5.68,5.8,6898
2007-11-02,5.72,5.84,5.63,5.63,12056
2007-11-05,5.63,5.67,5.49,5.56,2692
