date,open,high,low,close,volume
2002-01-01,5.32,5.44,5.25,5.26,13278
2002-01-02,5.4,5.4,5.13,5.21,20771
2002-01-03,5.37,5.5,5.3,5.44,31695
2002-01-04,5.58,5.58,5.4,5.44,29453
2002-01-07,5.36,5.6,5.36,5.56,41156
2002-01-08,5.56,5.64,5.41,5.44,29513
2002-01-09,5.4,5.5,5.37,5.39,18174
2002-01-10,5.4,5.49,5.36,5.4,14904
2002-01-11,5.43,5.46,5.36,5.4,25532
2002-01-14,5.58,5.81,5.58,5.65,70494
2002-01-15,5.5,5.75,5.5,5.67,37502
2002-01-16,5.74,5.74,5.62,5.67,36391
2002-01-17,5.6,5.76,5.6,5.73,45486
2002-01-18,5.65,5.73,5.65,5.7,19944
2002-01-21,5.84,5.85,5.73,5.8,44141
2002-01-22,5.82,5.85,5.75,5.81,31250
2002-01-23,5.9,5.98,5.78,5.87,41654
2002-01-24,5.9,6.16,5.9,6.02,81877
2002-01-25,6.2,6.2,5.95,6.09,58814
2002-01-28,6.22,6.22,5.96,6.0,29684
2002-01-29,6.16,6.16,5.92,5.94,13973
2002-01-30,5.84,5.99,5.84,5.87,28367
2002-01-31,5.9,5.99,5.85,5.87,9303
2002-02-01,5.82,5.97,5.79,5.81,32791
2002-02-04,6.06,6.38,5.82,6.2,144031
2002-02-05,6.28,6.5,6.2,6.35,110068
2002-02-06,6.54,6.95,6.33,6.73,241157
2002-02-07,7.0,7.0,6.34,6.4,136270
2002-02-08,6.6,6.61,6.32,6.56,91147
2002-02-11,6.7,7.4,6.7,7.04,195699
2002-02-12,7.46,7.6,7.06,7.22,232902
2002-02-13,7.78,7.78,6.72,7.21,107101
2002-02-14,7.4,7.56,7.21,7.43,134984
2002-02-15,8.0,8.0,7.4,7.72,255062
2002-02-18,8.68,9.27,8.02,8.31,590614
2002-02-19,9.1,9.1,7.62,7.7,288959
2002-02-20,7.8,8.0,7.62,7.91,194063
2002-02-21,8.0,8.8,7.86,8.54,637280
2002-02-22,8.8,8.87,8.4,8.77,512356
2002-02-25,9.4,9.4,8.44,8.91,353458
2002-02-26,9.08,9.17,8.35,8.43,207816
2002-02-27,8.53,8.66,8.0,8.08,171139
2002-02-28,8.15,8.6,7.26,7.48,420607
2002-03-01,7.4,8.1,7.4,7.98,218995
2002-03-04,8.38,8.39,7.86,7.95,110730
2002-03-05,7.82,8.18,7.82,8.03,92018
2002-03-06,8.18,8.44,7.92,8.04,201720
2002-03-07,8.39,8.39,8.07,8.18,91176
2002-03-08,8.11,8.2,8.0,8.09,87852
2002-03-11,8.0,8.28,7.77,7.8,58654
2002-03-12,7.8,7.83,7.53,7.57,40354
2002-03-13,7.25,7.7,7.25,7.6,35243
2002-03-14,7.66,7.97,7.66,7.8,83906
2002-03-15,8.16,8.16,7.78,8.0,50208
2002-03-18,8.18,8.34,7.8,7.82,48192
2002-03-19,7.81,7.97,7.57,7.61,39357
2002-03-20,7.77,7.77,7.36,7.41,75420
2002-03-21,7.59,7.67,7.53,7.57,56578
2002-03-22,7.44,7.6,7.4,7.42,36973
2002-03-26,7.39,7.96,7.38,7.79,59785
2002-03-27,7.98,8.2,7.7,7.74,67245
2002-03-28,7.79,8.0,7.65,7.97,71968
2002-04-01,8.15,8.4,8.1,8.14,156994
2002-04-02,8.2,8.36,7.97,8.01,110872
2002-04-03,8.2,8.2,7.66,7.73,55025
2002-04-04,8.18,8.18,7.8,7.96,72126
2002-04-05,7.94,8.1,7.9,8.06,71094
2002-04-08,8.25,8.25,7.92,8.03,79594
2002-04-09,8.14,8.14,7.76,7.82,49038
2002-04-10,7.98,7.98,7.7,7.71,22806
2002-04-11,7.72,7.75,7.47,7.63,82178
2002-04-12,7.6,7.79,7.49,7.54,66956
2002-04-15,7.72,7.79,7.51,7.6,48345
2002-04-16,7.79,7.79,7.43,7.51,27144
2002-04-17,7.6,7.75,7.5,7.52,33670
2002-04-18,7.5,7.66,7.5,7.57,26152
2002-04-19,7.58,7.68,7.5,7.52,47511
2002-04-22,7.5,7.58,7.2,7.32,55718
2002-04-23,7.33,7.5,7.17,7.37,32107
2002-04-24,7.33,7.49,7.32,7.38,24332
2002-04-25,7.57,7.59,7.37,7.43,42518
2002-04-26,7.44,7.61,7.32,7.37,32833
2002-04-29,7.46,7.5,7.31,7.34,39825
2002-04-30,7.31,7.44,7.29,7.34,35900
2002-05-02,7.56,8.04,7.53,7.92,342361
2002-05-03,8.34,8.34,8.0,8.12,442512
2002-05-06,8.19,8.39,8.12,8.33,237158
2002-05-07,8.2,8.38,8.02,8.05,99634
2002-05-08,8.29,8.29,8.02,8.07,119225
2002-05-09,8.28,8.28,7.93,8.02,68506
2002-05-10,8.3,8.3,7.95,8.02,85866
2002-05-13,8.2,8.24,7.61,8.2,101062
2002-05-14,8.22,8.35,8.07,8.11,86891
2002-05-15,8.26,8.26,7.82,7.86,52491
2002-05-16,8.14,8.14,7.78,7.81,64135
2002-05-17,7.94,7.94,7.54,7.72,55486
2002-05-20,7.64,7.7,7.12,7.2,99729
2002-05-21,7.3,7.3,6.6,6.63,97420
2002-05-22,6.55,6.9,6.45,6.76,89873
2002-05-23,6.89,7.2,6.82,7.01,49832
2002-05-24,7.34,7.5,7.14,7.43,69336
2002-05-27,7.54,7.64,7.25,7.41,32583
2002-05-28,7.4,7.43,7.12,7.16,40839
2002-05-29,7.48,7.48,7.05,7.18,30471
2002-05-30,7.33,7.38,7.2,7.23,23420
2002-05-31,7.32,7.32,7.06,7.11,19230
2002-06-03,7.7,7.7,7.2,7.36,26115
2002-06-04,7.5,7.5,7.32,7.41,32048
2002-06-05,6.78,7.6,6.78,7.59,43696
2002-06-06,7.85,7.85,7.51,7.58,28976
2002-06-07,7.6,7.6,7.42,7.51,46120
2002-06-10,7.65,7.72,7.5,7.52,43846
2002-06-11,8.0,8.0,7.6,7.65,57686
2002-06-12,7.7,8.1,7.67,8.0,145953
2002-06-13,9.4,9.4,8.1,8.29,285986
2002-06-14,8.57,8.57,8.13,8.19,69968
2002-06-17,9.75,9.75,8.3,8.38,106119
2002-06-18,8.79,8.79,8.22,8.29,62769
2002-06-19,8.6,8.6,8.03,8.13,47904
2002-06-20,8.38,8.38,7.92,7.98,44124
2002-06-21,8.18,8.35,8.0,8.03,56456
2002-06-24,8.39,8.39,8.01,8.12,48412
2002-06-25,8.03,8.18,7.93,8.07,59412
2002-06-26,7.8,7.8,7.68,7.73,48601
2002-06-27,7.78,7.88,7.71,7.75,18926
2002-06-28,8.58,8.58,7.72,7.77,15603
2002-07-01,7.61,7.97,7.61,7.68,58042
2002-07-02,7.88,7.88,7.6,7.65,45364
2002-07-03,7.8,7.82,7.7,7.77,29908
2002-07-04,7.8,7.88,7.72,7.75,36512
2002-07-05,8.02,8.02,7.74,7.76,71834
2002-07-08,7.9,8.12,7.88,7.9,93759
2002-07-09,8.16,8.44,8.04,8.24,230796
2002-07-10,8.39,8.7,8.3,8.49,437024
2002-07-11,8.51,8.7,7.78,8.0,895447
2002-07-12,6.6,8.3,6.6,8.09,118072
2002-07-15,8.25,8.28,7.9,8.06,141746
2002-07-16,8.25,8.25,8.0,8.02,117585
2002-07-17,8.19,8.19,7.61,7.86,66901
2002-07-18,8.6,8.6,7.83,7.89,48420
2002-07-19,8.13,8.13,7.61,7.91,30572
2002-07-22,8.13,8.13,7.63,7.66,49351
2002-07-23,7.21,7.7,7.21,7.34,102429
2002-07-24,7.34,7.4,7.26,7.3,35204
