date,open,high,low,close,volume
2003-09-05,6.03,6.12,5.79,6.06,14305
2003-09-08,6.03,6.21,5.93,6.16,14767
2003-09-09,7.1,7.1,6.12,6.27,15158
2003-09-10,6.05,6.38,5.95,5.96,5630
2003-09-11,5.87,6.03,5.87,5.93,2120
2003-09-12,5.95,5.95,5.78,5.83,10401
2003-09-15,5.77,5.89,5.64,5.74,6544
2003-09-16,5.8,5.81,5.61,5.7,1565
2003-09-17,5.83,5.83,5.7,5.73,1915
2003-09-18,5.5,5.72,5.5,5.57,1680
2003-09-19,5.52,5.66,5.42,5.51,10398
2003-09-22,5.59,5.59,5.42,5.45,4108
2003-09-23,5.44,5.55,5.43,5.55,1270
2003-09-24,5.52,5.68,5.42,5.63,5550
2003-09-25,5.66,5.68,5.59,5.66,4161
2003-09-26,5.67,5.67,5.51,5.6,3313
2003-09-29,5.68,5.7,5.6,5.67,4516
2003-09-30,5.67,5.68,5.61,5.61,6521
2003-10-01,5.67,5.72,5.55,5.63,6583
2003-10-03,5.64,5.95,5.6,5.76,5675
2003-10-06,5.84,5.84,5.65,5.72,6673
2003-10-07,5.68,5.83,5.68,5.71,5716
2003-10-08,5.77,5.78,5.68,5.7,6701
2003-10-09,5.77,5.77,5.55,5.69,5700
2003-10-10,5.63,5.77,5.63,5.73,7565
2003-10-13,5.77,5.9,5.63,5.87,14075
2003-10-14,5.87,5.99,5.75,5.92,9779
2003-10-15,5.95,6.21,5.83,6.16,17905
2003-10-16,6.21,6.21,6.03,6.04,10773
2003-10-17,6.01,6.24,6.01,6.12,46255
2003-10-20,5.98,6.26,5.98,6.2,12418
2003-10-21,6.22,6.29,6.13,6.17,15280
2003-10-22,6.26,6.3,6.13,6.14,13230
2003-10-23,6.14,6.21,6.14,6.18,7416
2003-10-24,6.26,6.26,6.13,6.2,3515
2003-10-25,6.21,6.42,6.03,6.18,1970
2003-10-27,6.19,6.2,6.02,6.14,3080
2003-10-28,6.05,6.19,6.04,6.12,7188
2003-10-29,6.09,6.12,6.08,6.08,10230
2003-10-30,5.99,6.15,5.99,6.12,3950
2003-10-31,6.04,6.14,6.04,6.08,6670
2003-11-03,6.12,6.21,5.95,6.06,8145
2003-11-04,6.06,6.21,5.95,5.99,16112
2003-11-05,6.09,6.18,5.96,6.01,5390
2003-11-06,6.07,6.12,6.03,6.03,8000
2003-11-07,5.96,6.3,5.96,6.17,32192
2003-11-10,6.12,6.46,6.12,6.37,17177
2003-11-11,6.48,6.57,6.4,6.52,22545
2003-11-12,6.43,6.65,6.43,6.59,15244
2003-11-13,6.61,6.74,6.49,6.58,16075
2003-11-14,6.56,6.57,6.26,6.35,16155
2003-11-15,6.39,6.48,6.32,6.42,2135
2003-11-17,6.39,6.7,6.39,6.66,12321
2003-11-18,6.7,6.83,6.66,6.75,27612
2003-11-19,6.82,6.82,6.61,6.7,12601
2003-11-20,6.88,6.89,6.64,6.73,15333
2003-11-21,6.74,6.74,6.43,6.59,3845
2003-11-24,6.7,6.74,6.49,6.67,4606
2003-11-25,6.7,6.87,6.66,6.79,6660
2003-11-27,6.88,7.09,6.83,7.01,13222
2003-11-28,7.28,7.28,7.01,7.25,10226
2003-12-01,7.63,7.63,7.01,7.43,17623
2003-12-02,7.54,8.86,7.54,8.62,61973
2003-12-03,8.76,9.13,8.62,8.82,50452
2003-12-04,8.77,9.13,8.07,8.66,24238
2003-12-05,8.78,9.04,8.56,8.7,20976
2003-12-08,8.74,8.96,8.56,8.64,12225
2003-12-09,8.86,8.86,8.3,8.45,13751
2003-12-10,8.7,8.86,8.43,8.45,12506
2003-12-11,8.52,8.7,8.1,8.32,10581
2003-12-12,8.43,8.65,8.42,8.59,11161
2003-12-15,8.46,8.58,8.28,8.36,4959
2003-12-16,8.34,8.43,8.17,8.27,6253
2003-12-17,8.17,9.14,8.08,8.77,30472
2003-12-18,8.85,8.87,8.61,8.71,5917
2003-12-19,8.95,8.95,8.43,8.52,5826
