date,open,high,low,close,volume
2006-01-27,129.5,129.5,107.1,115.51,4449
2006-01-30,113.0,114.9,109.0,113.04,288
2006-01-31,113.3,113.3,111.0,111.0,2067
2006-02-01,114.99,114.99,102.1,105.67,90
2006-02-02,105.0,107.0,102.1,102.96,453
2006-02-03,102.1,102.1,98.2,101.0,559
2006-02-06,101.0,101.0,94.0,97.0,870
2006-02-07,98.0,102.45,94.8,99.53,2664
2006-02-08,100.0,100.0,96.0,97.32,214
2006-02-10,97.39,98.88,97.0,97.12,11280
2006-02-13,97.17,101.9,95.5,100.22,3609
2006-02-14,103.0,104.0,100.0,100.62,3582
2006-02-15,107.9,107.9,96.7,99.18,656
2006-02-16,103.4,103.4,97.11,97.21,287
2006-02-17,100.9,100.9,97.1,97.49,81
2006-02-20,97.0,97.5,93.12,96.5,384
2006-02-21,96.49,96.5,93.0,93.06,217
2006-02-22,94.11,94.99,90.54,91.93,427
2006-02-23,91.21,93.85,90.0,92.0,26312
2006-02-24,92.0,93.1,92.0,92.49,345
2006-02-27,90.0,92.51,89.85,89.91,505
2006-02-28,91.7,99.9,85.21,99.9,558
2006-03-01,91.05,98.5,91.05,97.24,185
2006-03-02,100.1,100.1,95.3,95.58,211
2006-03-03,95.03,97.5,92.1,92.1,391
2006-03-06,93.24,96.3,92.0,93.0,1676
2006-03-07,92.5,95.0,90.5,92.64,16388
2006-03-08,88.14,95.0,88.14,92.0,2150
2006-03-09,91.2,94.79,91.2,92.8,105
2006-03-10,94.7,94.7,92.0,92.0,1973
2006-03-13,83.17,93.83,83.17,91.61,2366
2006-03-14,93.9,93.96,91.04,91.62,481
2006-03-16,90.18,92.0,90.18,91.97,433
2006-03-17,85.0,95.0,85.0,89.38,1044
2006-03-20,91.0,91.0,85.55,90.0,1347
2006-03-21,89.0,89.98,88.35,89.65,3138
2006-03-22,89.5,90.7,89.0,90.5,512
2006-03-23,87.17,91.58,87.17,88.97,5045
2006-03-24,87.7,91.0,87.7,90.24,12368
2006-03-27,87.24,91.0,87.24,90.49,243
2006-03-28,91.0,91.0,87.72,87.95,4195
2006-03-29,98.04,98.04,88.5,88.76,2091
2006-03-30,91.9,94.08,88.0,89.0,280
2006-03-31,90.0,90.0,86.0,89.35,3720
2006-04-03,95.0,95.0,85.32,87.68,529
2006-04-04,91.7,91.7,85.1,85.33,584
2006-04-05,87.0,87.0,84.0,85.14,2787
2006-04-07,87.0,87.98,80.21,83.22,2306
2006-04-10,84.0,85.0,80.31,81.62,660
2006-04-12,81.51,82.0,72.68,75.01,6588
2006-04-13,74.75,78.0,61.53,75.07,12505
2006-04-17,74.0,90.0,73.05,81.56,13644
2006-04-18,81.5,83.0,76.0,80.1,4833
2006-04-19,77.2,79.69,76.9,78.89,810
2006-04-20,84.0,84.0,77.0,77.69,1725
2006-04-21,77.51,77.51,76.4,76.44,488
2006-04-24,77.0,80.7,75.0,80.01,4236
2006-04-25,80.2,80.8,78.23,80.79,50
2006-04-26,76.52,79.0,76.52,79.0,402
2006-04-27,77.2,82.5,77.02,79.25,275
2006-04-28,79.7,80.4,78.0,80.0,417
2006-04-29,76.54,81.1,76.13,80.48,107
2006-05-02,80.0,80.5,79.99,80.0,5042
2006-05-03,78.1,80.0,78.0,78.02,189
2006-05-04,78.5,78.9,78.0,78.9,210
2006-05-05,79.09,80.0,76.46,78.02,270
2006-05-08,76.54,77.5,76.4,76.46,2443
2006-05-09,76.5,80.5,76.5,78.24,13831
2006-05-10,80.0,80.0,76.4,76.48,3679
2006-05-11,76.41,77.0,76.4,76.4,641
2006-05-12,76.51,81.0,76.5,79.71,4373
2006-05-15,76.57,79.47,76.4,76.4,133
2006-05-16,78.0,78.5,76.41,78.34,575
2006-05-17,78.5,79.8,76.4,76.83,1430
2006-05-18,76.4,76.41,76.4,76.4,3667
2006-05-19,76.4,77.0,76.4,77.0,8889
