date,open,high,low,close,volume
2003-09-05,27.16,27.46,26.74,26.86,1098217
2003-09-08,27.16,27.85,27.0,27.72,1488337
2003-09-09,28.0,28.28,27.0,27.33,1743271
2003-09-10,27.52,29.58,27.12,29.32,3531084
2003-09-11,29.46,30.57,29.34,29.55,3360812
2003-09-12,29.66,30.0,28.01,28.17,2448003
2003-09-15,28.4,28.4,26.82,26.95,1122146
2003-09-16,26.97,28.37,26.56,28.24,2041361
2003-09-17,28.48,28.68,27.4,27.54,1376144
2003-09-18,27.4,27.56,26.23,26.45,1085624
2003-09-19,26.2,27.1,25.3,26.07,1717525
2003-09-22,26.88,27.06,25.6,25.72,1044998
2003-09-23,25.88,26.65,25.4,26.24,1504058
2003-09-24,26.76,26.8,25.86,26.64,1774094
2003-09-25,26.71,27.5,26.19,26.63,2611357
2003-09-26,26.8,27.94,26.8,27.73,1775962
2003-09-29,27.86,28.8,27.86,28.57,1879683
2003-09-30,28.8,30.5,28.8,30.16,5044291
2003-10-01,30.2,31.05,29.52,29.87,3475669
2003-10-03,30.35,30.74,30.08,30.61,1705367
2003-10-06,31.0,32.68,30.83,32.23,3608755
2003-10-07,32.5,33.6,31.7,31.95,4375657
2003-10-08,31.8,33.76,31.8,33.31,3367884
2003-10-09,33.41,34.28,32.88,34.1,3604528
2003-10-10,34.4,34.95,33.6,34.21,2445436
2003-10-13,34.0,35.08,33.2,34.72,2377504
2003-10-14,34.98,35.15,33.22,33.54,2469336
2003-10-15,33.94,37.0,33.55,36.28,5340656
2003-10-16,37.03,38.0,36.62,37.73,3058820
2003-10-17,37.6,37.7,35.73,35.98,2667820
2003-10-20,36.38,37.46,35.2,35.53,1936592
2003-10-21,35.8,37.9,34.41,35.39,6364262
2003-10-22,36.0,37.16,35.48,36.47,4495675
2003-10-23,36.4,36.59,34.5,34.8,3633316
2003-10-24,35.12,36.28,33.1,35.73,3857458
2003-10-25,36.27,36.96,35.8,36.22,536293
2003-10-27,36.48,36.48,34.65,34.95,1527125
2003-10-28,35.3,35.3,33.24,33.58,2493530
2003-10-29,33.98,34.83,33.65,34.53,1587777
2003-10-30,34.8,36.78,34.22,36.18,2811197
2003-10-31,36.22,39.14,35.98,38.23,5381747
2003-11-03,38.4,38.58,35.5,35.95,4841142
2003-11-04,36.2,37.68,36.2,36.96,3268579
2003-11-05,37.08,37.53,35.45,35.92,3110930
2003-11-06,35.99,37.7,35.85,37.44,2733238
2003-11-07,37.82,38.0,36.25,36.74,2388982
2003-11-10,36.58,36.58,35.29,35.75,624743
2003-11-11,36.11,37.68,36.11,37.43,3064264
2003-11-12,37.8,39.3,37.5,38.77,3302419
2003-11-13,39.2,39.52,36.45,36.81,1612608
2003-11-14,36.9,36.9,35.33,35.62,1359857
2003-11-15,35.77,36.6,35.42,36.12,332878
2003-11-17,36.4,36.4,34.0,35.12,2061526
2003-11-18,35.2,36.08,34.51,34.79,1650324
2003-11-19,35.12,35.12,33.4,33.59,1256703
2003-11-20,33.94,34.58,33.43,33.69,1245557
2003-11-21,33.58,34.0,32.4,33.2,1332203
2003-11-24,33.5,33.95,33.27,33.7,810448
2003-11-25,34.0,34.8,33.72,34.52,848694
2003-11-27,35.2,36.52,34.86,36.06,2414413
2003-11-28,36.12,36.6,35.44,35.84,1532314
2003-12-01,35.96,36.18,35.62,36.05,1117526
2003-12-02,36.5,37.14,36.15,36.89,1816934
2003-12-03,37.2,37.68,37.01,37.35,1242367
2003-12-04,37.38,37.75,36.44,37.09,1150173
2003-12-05,37.36,37.7,36.2,36.62,1527118
2003-12-08,36.92,37.8,36.45,37.44,944545
2003-12-09,37.6,38.02,37.23,37.63,580442
2003-12-10,37.8,37.92,36.52,36.86,442613
2003-12-11,36.9,36.9,36.2,36.67,501639
2003-12-12,37.12,37.4,36.35,36.59,594162
2003-12-15,36.88,37.28,36.54,36.82,614791
2003-12-16,36.95,37.0,36.2,36.54,535560
2003-12-17,36.86,36.86,34.84,35.12,1229994
2003-12-18,35.49,35.96,34.32,35.08,2070523
2003-12-19,35.56,36.78,35.56,36.46,1161505
2003-12-22,36.62,38.37,36.43,38.21,2154547
2003-12-23,38.61,40.4,38.16,39.99,3908384
2003-12-24,40.1,40.86,39.62,40.11,2011103
2003-12-26,40.39,41.76,40.16,41.27,1335040
2003-12-29,43.0,43.0,41.44,42.14,1050310
2003-12-30,42.21,43.93,41.6,42.94,1915470
2003-12-31,42.76,47.18,42.65,46.47,3690770
2004-01-01,46.6,46.78,44.8,45.83,1217275
2004-01-02,46.48,48.1,46.05,47.74,1374326
2004-01-05,47.0,48.15,46.23,47.07,637424
2004-01-06,45.0,46.88,45.0,45.57,1195263
2004-01-07,45.4,45.95,44.05,44.66,772207
2004-01-08,45.02,46.8,45.0,46.01,928275
2004-01-09,47.6,49.0,46.41,47.21,1615438
2004-01-12,47.0,48.98,46.22,48.16,1658927
2004-01-13,49.05,52.0,48.22,49.78,2365339
2004-01-14,50.2,52.34,49.8,51.92,1861606
2004-01-15,52.4,53.8,50.22,50.7,1485211
2004-01-16,50.78,51.0,46.51,48.09,1240496
2004-01-19,47.2,48.8,45.03,48.18,910003
2004-01-20,48.8,49.28,45.4,46.2,744817
2004-01-21,45.4,46.1,42.07,42.86,919022
2004-01-22,42.9,45.69,41.2,42.81,1456979
2004-01-23,43.18,48.6,43.12,46.46,1027083
2004-01-27,46.89,48.58,46.6,48.21,668487
2004-01-28,48.58,49.22,46.88,47.53,1299593
2004-01-29,47.8,47.99,45.5,45.96,767768
2004-01-30,46.4,46.59,43.0,43.48,795489
2004-02-03,43.4,43.98,40.52,41.27,1013163
2004-02-04,41.8,43.38,40.52,43.01,1084972
2004-02-05,43.2,45.18,41.2,43.9,1119932
2004-02-06,44.34,47.88,44.34,47.35,1519146
2004-02-09,47.78,50.14,47.6,49.85,1235368
2004-02-10,50.2,50.39,48.02,48.99,1088931
2004-02-11,48.8,51.38,48.8,51.03,1571648
2004-02-12,51.4,51.59,47.06,47.89,2408640
2004-02-13,48.2,49.6,47.0,49.43,2104100
2004-02-16,49.78,50.34,48.9,49.21,1342682
2004-02-17,49.1,51.0,48.41,50.78,1671468
2004-02-18,51.34,51.44,49.3,49.48,1147616
2004-02-19,49.6,49.86,47.33,48.35,1046285
2004-02-20,48.58,48.58,46.8,47.46,1035070
2004-02-23,47.7,47.76,44.25,44.7,975958
2004-02-24,44.68,47.18,43.8,46.68,1243022
2004-02-25,47.0,47.1,45.02,45.41,772287
2004-02-26,45.56,46.33,43.83,44.18,1095340
2004-02-27,44.48,45.2,43.0,44.99,1539026
2004-03-01,45.09,46.54,44.8,46.29,1139311
2004-03-03,46.56,47.78,46.23,46.74,1224674
2004-03-04,47.0,47.6,45.33,45.83,1205031
2004-03-05,46.28,46.98,45.64,46.77,1067021
2004-03-08,46.8,49.16,46.8,48.82,1385483
2004-03-09,49.3,49.88,47.23,48.41,2784530
2004-03-10,48.1,48.38,45.84,46.23,1938970
2004-03-11,45.96,45.96,44.0,44.28,1530448
2004-03-12,44.1,44.88,43.22,44.43,1585037
2004-03-15,44.78,45.64,42.72,43.53,1735533
2004-03-16,42.8,44.35,42.38,42.91,995275
2004-03-17,43.26,44.14,41.86,43.63,1885677
2004-03-18,44.06,44.58,42.4,42.68,1876287
2004-03-19,42.92,43.68,42.05,43.24,1663972
2004-03-22,43.2,44.0,42.43,42.88,967184
2004-03-23,42.4,42.84,41.13,42.1,1004873
2004-03-24,42.54,42.6,41.8,41.97,713258
2004-03-25,42.2,45.52,42.01,45.2,2640227
2004-03-26,45.69,47.15,45.45,46.59,3251520
2004-03-29,46.8,48.3,46.64,47.44,1928558
2004-03-30,47.89,48.3,46.53,47.93,2181695
2004-03-31,47.98,49.4,47.34,48.54,1811476
2004-04-01,48.93,50.68,48.52,50.09,2181790
2004-04-02,50.4,50.58,48.1,49.63,1628079
2004-04-05,50.07,50.54,47.03,47.6,2170901
2004-04-06,47.8,49.85,47.01,49.07,2498796
2004-04-07,49.75,49.9,48.6,49.63,1975795
2004-04-08,49.6,51.3,48.53,50.91,2665541
2004-04-12,51.16,52.2,50.5,50.72,1304423
2004-04-13,50.8,52.2,49.38,51.95,1189731
2004-04-15,51.98,52.68,50.6,51.4,1811157
2004-04-16,51.62,53.5,51.4,51.87,1998885
2004-04-17,52.18,52.84,51.41,52.47,747133
2004-04-19,52.6,52.86,50.03,50.39,1255907
2004-04-20,50.72,50.72,49.04,49.73,1208108
2004-04-21,49.4,50.98,49.0,50.54,1006403
2004-04-22,50.7,51.33,50.23,50.53,1200521
2004-04-23,50.9,51.56,50.01,50.37,1214739
2004-04-27,50.0,50.0,43.31,45.77,1303911
2004-04-28,45.74,47.35,44.49,46.85,2009349
2004-04-29,47.1,47.6,46.0,46.22,1390032
2004-04-30,46.58,46.58,44.62,45.23,972336
2004-05-03,44.8,44.8,41.72,43.35,1423011
2004-05-04,43.4,45.6,43.4,44.68,972065
2004-05-05,45.19,45.5,44.2,44.89,709386
2004-05-06,46.4,55.0,46.4,50.19,7303070
2004-05-07,50.4,50.43,48.65,48.98,1521750
2004-05-10,48.2,48.4,46.2,47.15,954400
2004-05-11,45.02,45.76,42.53,45.32,1232583
2004-05-12,43.6,46.2,43.6,45.85,1466189
2004-05-13,42.02,46.4,37.59,44.1,1924317
2004-05-14,43.6,43.6,34.42,35.49,2534992
2004-05-17,34.4,35.27,24.0,27.89,1674327
2004-05-18,28.45,34.68,28.4,33.37,2779596
2004-05-19,38.0,41.45,35.0,39.7,4014449
2004-05-20,40.01,41.58,38.71,40.44,2504280
2004-05-21,40.0,40.4,37.1,39.1,880165
2004-05-24,39.99,40.4,37.6,38.12,1324811
2004-05-25,38.36,38.93,36.72,37.94,1226213
2004-05-26,38.29,39.16,37.4,37.85,1017336
2004-05-27,37.8,38.28,36.8,37.09,1280651
2004-05-28,37.22,37.22,32.22,33.08,2243598
2004-05-31,32.6,32.6,30.22,31.39,1543482
2004-06-01,31.4,33.0,29.84,30.43,3660956
2004-06-02,30.38,31.78,30.0,31.34,3859847
2004-06-03,32.28,33.78,31.0,31.2,4483616
2004-06-04,30.9,32.64,30.33,32.15,2093793
2004-06-07,32.75,33.38,31.3,31.79,3571355
2004-06-08,32.03,33.08,32.02,32.6,2333787
2004-06-09,32.8,34.08,32.67,33.74,3848552
2004-06-10,33.4,33.57,32.43,33.29,2123884
2004-06-11,33.18,33.2,32.0,32.07,1408729
2004-06-14,31.9,31.98,30.46,31.03,1716525
2004-06-15,29.22,31.3,29.22,30.93,3830313
2004-06-16,31.38,31.61,30.52,30.86,1796084
2004-06-17,32.26,32.26,30.2,31.79,2605574
2004-06-18,32.37,33.3,31.02,32.57,4292803
2004-06-21,32.2,32.2,30.6,30.88,2191195
2004-06-22,31.16,31.16,29.3,29.56,3008643
2004-06-23,29.8,30.1,29.3,29.51,1957277
2004-06-24,29.3,31.1,28.51,30.02,3323286
2004-06-25,30.4,30.6,29.57,29.69,2063384
2004-06-28,30.0,30.87,29.24,30.51,1758196
2004-06-29,30.6,31.07,29.71,30.1,3109425
2004-06-30,30.14,30.49,29.9,30.01,1645679
2004-07-01,30.29,31.18,30.22,31.03,1806275
2004-07-02,31.03,31.7,30.45,30.86,2037804
2004-07-05,30.78,30.85,29.25,29.55,959265
2004-07-06,29.56,30.34,29.5,30.2,1013178
2004-07-07,30.2,30.64,29.9,30.24,1464670
2004-07-08,30.2,30.9,28.22,28.55,1623175
2004-07-09,27.97,29.16,26.8,28.94,555348
2004-07-12,29.2,29.56,28.71,29.4,505779
2004-07-13,29.77,29.8,28.6,28.94,343990
2004-07-14,29.19,29.48,28.82,29.01,560224
2004-07-15,29.19,29.56,28.91,29.1,629146
2004-07-16,29.38,30.35,29.05,30.14,698185
2004-07-19,30.29,31.2,30.29,30.5,910341
2004-07-20,30.2,30.78,30.05,30.4,782953
2004-07-21,30.54,31.96,30.54,31.58,1014861
2004-07-22,32.4,34.58,31.9,33.9,1974131
2004-07-23,34.0,35.85,34.0,35.51,2798639
2004-07-26,34.98,35.38,33.2,34.8,841029
2004-07-27,35.18,35.38,32.82,33.2,1508801
2004-07-28,33.4,33.4,31.62,31.77,962277
2004-07-29,31.62,32.9,31.62,32.67,782218
2004-07-30,32.97,33.3,32.4,32.54,586847
2004-08-02,32.68,32.88,32.22,32.48,314039
2004-08-03,32.4,33.05,32.01,32.3,659062
2004-08-04,32.1,32.16,31.05,31.23,711624
2004-08-05,31.4,33.05,31.13,32.88,1495739
2004-08-06,33.0,33.34,31.26,31.41,1145315
2004-08-09,31.54,31.96,31.02,31.79,1078286
2004-08-10,32.08,32.24,31.31,31.47,1205541
2004-08-11,31.81,31.81,30.57,30.68,1686637
2004-08-12,30.58,31.29,30.44,30.91,1299743
2004-08-13,30.98,31.1,30.32,30.6,708478
2004-08-16,30.96,30.96,30.03,30.21,478278
2004-08-17,30.3,30.7,30.11,30.3,449648
2004-08-18,31.8,31.8,30.21,31.18,1713201
2004-08-19,31.4,31.58,30.7,30.95,469175
2004-08-20,31.1,31.4,30.6,30.95,622124
2004-08-23,30.95,30.95,28.23,30.16,330844
2004-08-24,30.0,30.39,29.42,29.68,416353
2004-08-25,30.02,30.32,29.61,30.21,435449
