date,open,high,low,close,volume
2003-09-05,19.03,19.03,18.41,18.64,256038
2003-09-08,18.8,20.06,18.8,19.58,551514
2003-09-09,20.47,20.47,19.14,19.28,238889
2003-09-10,20.74,20.74,18.69,18.94,121003
2003-09-11,18.69,21.26,18.69,20.76,1153828
2003-09-12,21.01,21.17,19.65,19.76,482877
2003-09-15,19.6,21.08,19.55,20.22,782088
2003-09-16,20.06,21.15,19.83,20.9,523755
2003-09-17,20.28,22.75,20.28,22.31,1385000
2003-09-18,21.42,22.38,20.4,20.51,524893
2003-09-19,20.51,21.08,19.71,20.47,338116
2003-09-22,20.85,20.85,19.87,19.94,146095
2003-09-23,19.6,20.33,19.42,20.19,123553
2003-09-24,20.42,20.44,19.83,19.96,101750
2003-09-25,20.06,20.28,19.6,19.81,72172
2003-09-26,19.76,21.01,19.76,20.47,218162
2003-09-29,20.69,20.85,20.31,20.49,126755
2003-09-30,20.28,20.65,19.94,20.08,98124
2003-10-01,20.37,20.97,20.1,20.67,199983
2003-10-03,20.51,20.94,19.51,19.81,157049
2003-10-06,19.94,20.79,19.83,20.03,195012
2003-10-07,20.22,21.2,20.06,20.67,276999
2003-10-08,20.83,22.11,20.74,21.7,596856
2003-10-09,21.99,23.06,21.88,22.22,654293
2003-10-10,22.77,22.77,21.01,21.42,231037
2003-10-13,21.65,22.22,21.61,21.83,259403
2003-10-14,21.97,21.99,20.74,20.92,173571
2003-10-15,21.83,21.83,20.53,20.88,92373
2003-10-16,21.1,21.4,20.74,20.92,86959
2003-10-17,21.1,21.1,20.42,20.53,86598
2003-10-20,21.38,21.38,20.12,20.22,82831
2003-10-21,20.37,20.79,19.74,20.24,141284
2003-10-22,20.47,20.97,19.83,20.06,99812
2003-10-23,20.17,20.49,18.94,19.3,159623
2003-10-24,19.35,19.35,18.3,18.53,191055
2003-10-25,18.76,19.33,18.28,19.21,59099
2003-10-27,19.03,19.24,18.76,18.94,57938
2003-10-28,18.98,19.01,18.23,18.55,55054
2003-10-29,18.6,18.6,18.05,18.19,67690
2003-10-30,18.3,18.3,17.78,18.05,81644
2003-10-31,18.23,18.53,17.96,18.39,61654
