date,open,high,low,close,volume
2003-09-08,9.59,9.59,8.65,9.51,75
2003-09-09,8.6,8.6,8.6,8.6,100
2003-09-10,8.3,8.45,8.21,8.45,470
2003-09-11,8.7,8.7,8.22,8.37,550
2003-09-12,8.14,8.3,8.14,8.3,340
2003-09-15,8.31,8.31,8.31,8.31,45
2003-09-17,8.0,8.0,7.8,8.0,1710
2003-09-18,7.2,7.2,7.2,7.2,100
2003-09-19,7.7,7.99,7.5,7.54,2600
2003-09-22,7.76,7.76,7.76,7.76,300
2003-09-23,7.23,8.29,7.23,8.2,2700
2003-09-24,8.17,8.17,8.17,8.17,50
2003-09-25,7.08,7.8,7.08,7.8,50
2003-09-26,8.2,8.2,7.8,8.2,6026
2003-09-29,8.0,8.3,8.0,8.3,7700
2003-09-30,8.2,8.25,8.2,8.2,3400
2003-10-01,8.46,9.5,8.46,9.0,1300
2003-10-03,9.79,9.8,9.42,9.44,1525
2003-10-06,10.17,10.2,9.0,9.0,428
2003-10-07,9.93,9.93,9.0,9.07,745
2003-10-08,9.05,9.56,9.0,9.56,360
2003-10-09,9.77,9.77,9.27,9.27,310
2003-10-10,9.4,9.4,9.1,9.2,1250
2003-10-13,9.65,9.68,9.6,9.63,300
2003-10-14,8.8,9.0,8.7,8.7,5102
2003-10-15,9.35,9.35,8.8,9.02,735
2003-10-16,9.8,9.8,8.67,8.8,796
2003-10-17,9.6,9.6,8.22,8.71,1456
2003-10-20,8.51,8.8,8.4,8.46,1203
2003-10-21,8.5,8.8,8.36,8.42,3684
2003-10-22,8.4,8.5,8.4,8.5,270
2003-10-23,9.0,9.24,9.0,9.16,3685
2003-10-24,8.88,8.88,8.82,8.82,450
2003-10-25,8.62,8.62,8.62,8.62,350
2003-10-27,9.31,9.31,8.62,8.62,500
2003-10-28,8.96,8.98,8.96,8.98,350
2003-10-29,8.62,8.8,8.6,8.79,320
2003-10-30,8.8,8.8,8.63,8.63,85
2003-11-03,8.62,9.19,8.4,9.19,1130
2003-11-04,9.08,9.08,8.8,8.8,280
2003-11-05,8.45,9.0,8.45,8.98,5826
2003-11-06,8.8,9.2,8.8,9.2,2040
2003-11-07,9.0,9.9,8.72,9.9,1630
2003-11-10,10.4,10.68,9.9,10.68,500
