date,open,high,low,close,volume
2018-03-23,185.0,201.35,181.0,194.9,3939659
2018-03-26,194.9,207.3,194.5,198.48,1174165
2018-03-27,200.13,204.4,199.75,202.78,515536
2018-03-28,200.5,202.5,197.15,198.33,176954
2018-04-02,199.5,201.0,195.03,196.13,107431
2018-04-03,196.35,198.95,194.53,196.13,114225
2018-04-04,196.0,197.5,194.25,196.05,120048
2018-04-05,196.53,198.15,194.0,194.45,69668
2018-04-06,194.85,195.95,193.13,195.38,74974
2018-04-09,196.0,196.5,187.5,194.98,88302
2018-04-10,193.55,195.4,191.95,192.45,50055
2018-04-11,194.4,194.4,190.0,190.6,47804
2018-04-12,190.25,192.0,187.5,187.8,61014
2018-04-13,186.15,191.0,186.15,187.85,91335
2018-04-16,186.5,205.0,186.5,199.78,551934
2018-04-17,201.35,208.9,200.2,202.58,460153
2018-04-18,203.93,204.83,200.53,202.35,129015
2018-04-19,204.25,210.95,203.18,207.5,457538
2018-04-20,207.95,209.5,205.5,207.8,220266
2018-04-23,207.9,210.5,203.25,204.05,151209
2018-04-24,204.08,205.9,202.45,204.3,74862
2018-04-25,203.0,205.0,202.5,204.13,58275
2018-04-26,202.75,203.88,202.33,202.58,34019
2018-04-27,201.5,203.05,201.5,202.5,39984
2018-04-30,200.28,205.7,197.05,201.18,69904
2018-05-02,198.0,201.98,193.53,195.05,49460
2018-05-03,196.5,197.5,193.18,196.15,32273
2018-05-04,196.5,197.0,194.0,194.43,20572
2018-05-07,194.0,196.15,193.0,194.13,28915
2018-05-08,195.0,198.5,193.05,194.05,267245
2018-05-09,197.0,197.0,192.5,193.93,87762
2018-05-10,193.5,195.45,193.5,194.05,36990
2018-05-11,194.38,194.85,193.5,194.03,30664
2018-05-14,193.0,194.53,193.0,194.03,27849
2018-05-15,190.5,193.38,190.5,191.08,25506
2018-05-16,190.0,190.25,189.0,189.5,19116
2018-05-17,188.53,191.98,188.53,190.2,15657
2018-05-18,188.03,190.33,185.0,185.45,50354
2018-05-21,185.5,187.83,185.0,186.15,42165
2018-05-22,185.03,189.5,185.0,188.2,26398
2018-05-23,186.0,190.35,186.0,189.75,24798
2018-05-24,190.5,192.0,187.88,189.93,20319
2018-05-25,188.5,192.28,188.23,191.6,22443
2018-05-28,190.05,199.45,190.05,198.13,43083
2018-05-29,198.48,205.73,198.48,201.3,150237
2018-05-30,200.0,202.5,199.0,201.15,35818
2018-05-31,210.0,212.5,201.5,202.7,179428
2018-06-01,203.48,204.73,200.0,200.6,46710
2018-06-04,201.5,201.5,195.0,197.83,33885
2018-06-05,197.5,197.53,193.0,194.03,36903
2018-06-06,195.0,195.03,192.4,194.3,18963
2018-06-07,192.53,202.5,192.53,200.43,93341
2018-06-08,200.05,200.43,197.5,199.1,17878
2018-06-11,198.33,200.0,197.33,198.38,20850
2018-06-12,199.5,202.13,197.5,199.55,32805
2018-06-13,197.75,199.0,197.0,197.8,16172
2018-06-14,197.0,200.75,195.1,198.63,31546
2018-06-15,197.0,203.73,196.78,201.1,56099
2018-06-18,200.75,201.7,196.28,196.75,23876
2018-06-19,196.0,197.43,192.98,194.35,22380
2018-06-20,192.5,194.75,192.5,193.08,14405
2018-06-21,191.2,192.5,190.73,191.13,15522
2018-06-22,190.3,191.88,189.5,190.35,19271
2018-06-25,190.38,192.25,190.0,191.35,19737
2018-06-26,193.0,193.0,187.0,187.63,27627
2018-06-27,189.15,189.88,186.25,187.68,23296
2018-06-28,187.5,189.0,185.0,185.95,19853
2018-06-29,186.45,188.9,186.03,188.08,13955
2018-07-02,189.18,189.18,184.0,185.58,16056
2018-07-03,185.0,190.0,184.03,188.85,23467
2018-07-04,187.5,189.8,186.1,188.18,10830
2018-07-05,188.03,188.95,185.63,186.08,12288
2018-07-06,185.15,188.0,185.15,187.4,16201
2018-07-09,187.4,188.98,186.0,186.35,14343
2018-07-10,188.0,191.98,185.05,189.1,41183
2018-07-11,187.5,193.08,187.5,189.85,32326
2018-07-12,188.78,190.75,187.2,188.38,18082
2018-07-13,188.75,188.75,183.75,184.38,26002
2018-07-16,182.5,184.23,180.25,180.73,26155
2018-07-17,179.0,181.45,178.53,179.33,25285
2018-07-18,177.8,181.98,177.8,178.63,20723
2018-07-19,181.85,181.85,175.03,176.0,60645
2018-07-20,177.45,177.45,170.75,171.45,22351
2018-07-23,171.4,174.08,167.55,168.18,22221
2018-07-24,167.5,172.98,166.5,172.23,32702
2018-07-25,174.5,174.5,171.48,172.83,25056
2018-07-26,172.5,172.5,169.9,171.8,81014
2018-07-27,175.0,175.13,170.75,171.18,43275
2018-07-30,171.05,192.28,171.05,187.85,95982
2018-07-31,189.2,194.5,187.85,192.1,135647
2018-08-01,192.1,193.85,189.5,190.63,40452
2018-08-02,188.5,190.0,186.03,188.45,25695
2018-08-03,189.95,190.0,187.55,188.28,19565
2018-08-06,188.0,191.88,186.8,187.18,44178
2018-08-07,189.0,193.1,184.9,185.43,30230
2018-08-08,185.0,186.95,182.53,184.73,20399
2018-08-09,182.78,190.98,182.78,187.43,49230
2018-08-10,185.93,190.0,185.93,188.95,36872
2018-08-13,187.5,190.9,185.93,189.88,21694
2018-08-14,190.0,192.63,180.1,185.43,99974
2018-08-16,182.5,184.93,181.6,184.15,22943
2018-08-17,187.5,187.5,182.68,183.5,17806
2018-08-20,183.5,187.45,182.08,183.93,25803
2018-08-21,181.08,184.45,181.08,182.1,13619
2018-08-23,181.48,182.45,180.48,181.05,20815
2018-08-24,181.0,182.5,179.0,179.38,12990
2018-08-27,182.5,182.5,180.0,180.3,14392
2018-08-28,180.3,181.0,177.05,177.73,27976
2018-08-29,177.5,179.5,176.1,177.08,19487
2018-08-30,177.23,177.53,175.5,175.83,12098
2018-08-31,176.0,176.0,174.3,174.98,15469
2018-09-03,175.0,179.58,174.98,179.23,16838
2018-09-04,179.23,180.5,177.9,179.1,14302
2018-09-05,179.45,179.73,173.73,174.28,26636
2018-09-06,174.3,177.0,171.0,172.8,39563
2018-09-07,174.2,181.0,171.35,174.03,76249
2018-09-10,175.43,178.2,173.95,176.05,23871
2018-09-11,176.5,177.48,173.0,174.18,277031
2018-09-12,176.25,176.25,170.03,172.8,16414
2018-09-14,173.05,176.25,173.05,173.78,20579
2018-09-17,172.55,176.25,172.53,174.88,22498
2018-09-18,172.2,189.63,169.8,172.05,389437
2018-09-19,174.35,174.98,165.95,166.63,158255
2018-09-21,168.5,172.38,155.0,159.8,48964
2018-09-24,160.0,161.98,152.08,153.25,35147
2018-09-25,152.5,153.75,149.0,149.63,38810
2018-09-26,149.5,153.5,149.35,150.38,17525
2018-09-27,151.9,152.58,146.0,146.83,25885
2018-09-28,146.5,147.38,140.0,140.23,36445
2018-10-01,140.23,143.98,137.5,140.18,33282
2018-10-03,140.45,143.2,140.4,141.88,23188
2018-10-04,141.5,141.5,139.05,140.2,17343
2018-10-05,142.5,142.5,137.73,138.05,17910
2018-10-08,137.5,138.98,133.2,137.23,19326
2018-10-09,140.5,140.5,132.5,134.68,24268
2018-10-10,137.45,142.0,135.13,139.8,54562
2018-10-11,138.0,141.9,135.85,141.33,20266
2018-10-12,141.5,143.5,139.53,141.45,10783
2018-10-15,139.5,142.5,139.5,142.2,45261
2018-10-16,142.2,145.98,141.3,143.83,18411
2018-10-17,149.0,149.5,141.38,142.88,10539
2018-10-19,142.88,142.88,137.3,138.88,14763
2018-10-22,137.05,141.48,135.5,136.48,12900
2018-10-23,135.0,136.0,133.25,134.48,9693
2018-10-24,134.48,140.65,132.98,139.78,14427
2018-10-25,138.2,143.9,136.5,141.65,14008
2018-10-26,141.68,143.0,137.5,141.28,11372
2018-10-29,140.98,141.55,138.55,139.95,11200
2018-10-30,139.98,141.35,139.23,140.73,10515
2018-10-31,138.0,141.9,138.0,141.15,8195
2018-11-01,140.65,146.78,140.65,145.0,64764
2018-11-02,147.0,147.0,143.65,144.7,18048
2018-11-05,145.0,149.4,144.0,146.68,13853
2018-11-06,145.4,147.55,143.8,144.13,6982
2018-11-07,144.0,150.0,144.0,148.15,7814
2018-11-09,150.0,163.38,146.63,159.05,68635
2018-11-12,155.53,156.0,144.75,147.53,43505
2018-11-13,145.0,148.73,144.9,145.15,9377
2018-11-14,145.3,145.93,141.5,141.93,11247
2018-11-15,144.0,144.0,141.5,141.95,7714
2018-11-16,143.45,143.45,140.98,141.3,5934
2018-11-19,141.5,142.48,140.0,140.7,57387
2018-11-20,142.5,142.5,140.0,141.23,7147
2018-11-21,140.5,144.48,137.85,141.4,22137
2018-11-22,141.83,142.38,140.0,140.75,5518
2018-11-26,141.5,141.98,138.53,139.33,7855
2018-11-27,137.55,144.18,137.5,140.33,15821
2018-11-28,140.25,140.28,138.08,138.63,9459
2018-11-29,140.0,140.0,137.13,138.6,12912
2018-11-30,138.05,142.0,137.95,140.65,11456
2018-12-03,141.0,141.05,137.78,139.03,16185
2018-12-04,140.75,141.0,138.65,140.13,11529
2018-12-05,140.15,140.55,137.8,138.95,8865
2018-12-06,137.5,138.38,136.5,137.55,6570
2018-12-07,139.03,140.93,135.0,135.4,11232
2018-12-10,135.0,135.75,133.1,133.88,52547
2018-12-11,132.5,136.0,130.0,134.9,5536
2018-12-12,135.5,137.0,134.63,136.23,5997
