date,open,high,low,close,volume
2002-01-01,0.84,0.87,0.83,0.84,29368
2002-01-02,0.85,0.86,0.84,0.85,15373
2002-01-03,0.86,0.89,0.86,0.87,32570
2002-01-04,0.89,0.89,0.86,0.86,27795
2002-01-07,0.88,0.89,0.86,0.87,16221
2002-01-08,0.87,0.88,0.85,0.86,17855
2002-01-09,0.85,0.95,0.84,0.91,90455
2002-01-10,0.9,1.0,0.9,1.0,348652
2002-01-11,0.93,1.1,0.92,1.01,409450
2002-01-14,1.09,1.22,1.07,1.2,600884
2002-01-15,1.22,1.25,1.12,1.13,302915
2002-01-16,1.35,1.35,1.1,1.19,423865
2002-01-17,1.42,1.42,1.12,1.25,384838
2002-01-18,1.3,1.3,1.18,1.2,194728
2002-01-21,1.2,1.26,1.16,1.18,142197
2002-01-22,1.19,1.21,1.15,1.16,64994
2002-01-23,1.16,1.22,1.13,1.14,172620
2002-01-24,1.16,1.18,1.1,1.11,99383
2002-01-25,1.14,1.15,1.08,1.12,77828
2002-01-28,1.15,1.15,1.09,1.11,45547
2002-01-29,1.12,1.14,1.06,1.08,86945
2002-01-30,1.06,1.08,1.04,1.06,56130
2002-01-31,1.07,1.13,1.07,1.11,99976
2002-02-01,1.13,1.31,1.13,1.23,599365
2002-02-04,1.24,1.3,1.21,1.23,340775
2002-02-05,1.22,1.31,1.18,1.3,501473
2002-02-06,1.34,1.45,1.3,1.36,981585
2002-02-07,1.38,1.38,1.22,1.24,385237
2002-02-08,1.26,1.28,1.2,1.22,225330
2002-02-11,1.25,1.36,1.24,1.3,367841
2002-02-12,1.36,1.38,1.29,1.31,224819
2002-02-13,1.32,1.34,1.27,1.28,163548
2002-02-14,1.3,1.39,1.29,1.36,435581
2002-02-15,1.35,1.41,1.33,1.34,371819
2002-02-18,1.34,1.36,1.26,1.31,169268
2002-02-19,1.32,1.35,1.28,1.29,188406
2002-02-20,1.29,1.45,1.28,1.4,949901
2002-02-21,1.41,1.55,1.4,1.5,1118713
2002-02-22,1.5,1.66,1.46,1.61,1167500
2002-02-25,1.62,1.7,1.53,1.57,1136999
2002-02-26,1.59,1.62,1.54,1.55,681719
2002-02-27,1.6,1.63,1.51,1.53,573241
2002-02-28,1.58,1.68,1.3,1.35,2722463
2002-03-01,1.37,1.47,1.36,1.46,698990
2002-03-04,1.49,1.56,1.42,1.44,375899
2002-03-05,1.46,1.48,1.38,1.39,268517
2002-03-06,1.41,1.41,1.3,1.32,265329
2002-03-07,1.34,1.36,1.31,1.32,268662
2002-03-08,1.32,1.38,1.31,1.35,513068
2002-03-11,1.39,1.39,1.29,1.31,192391
2002-03-12,1.29,1.33,1.27,1.27,261691
2002-03-13,1.28,1.33,1.26,1.3,264298
2002-03-14,1.3,1.35,1.29,1.3,210771
2002-03-15,1.32,1.37,1.3,1.34,388262
2002-03-18,1.36,1.41,1.33,1.34,316091
2002-03-19,1.36,1.36,1.3,1.3,148652
2002-03-20,1.32,1.33,1.28,1.32,197965
2002-03-21,1.32,1.33,1.3,1.3,77741
2002-03-22,1.31,1.32,1.28,1.28,60470
2002-03-26,1.31,1.31,1.24,1.25,53798
2002-03-27,1.26,1.28,1.21,1.21,107930
2002-03-28,1.22,1.31,1.22,1.27,226639
2002-04-01,1.28,1.41,1.28,1.39,517048
2002-04-02,1.42,1.56,1.42,1.47,1196581
2002-04-03,1.45,1.55,1.45,1.5,564474
2002-04-04,1.52,1.54,1.45,1.46,394155
2002-04-05,1.48,1.51,1.45,1.47,248225
2002-04-08,1.49,1.62,1.46,1.59,892922
2002-04-09,1.62,1.73,1.6,1.68,1057080
2002-04-10,1.73,1.75,1.64,1.66,881917
2002-04-11,1.68,1.68,1.6,1.62,297035
2002-04-12,1.62,1.78,1.62,1.73,544484
2002-04-15,1.75,1.8,1.62,1.63,347240
2002-04-16,1.58,1.64,1.56,1.6,341879
2002-04-17,1.62,1.65,1.57,1.58,159670
2002-04-18,1.59,1.67,1.57,1.64,277185
2002-04-19,1.67,1.67,1.58,1.6,175464
