date,open,high,low,close,volume
2002-01-01,14.05,14.05,13.37,13.53,5856
2002-01-02,13.49,13.65,13.22,13.49,5892
2002-01-03,13.81,14.45,13.49,14.25,20395
2002-01-04,14.33,14.33,13.77,13.85,9492
2002-01-07,13.85,13.89,13.69,13.69,2400
2002-01-08,13.69,13.89,13.65,13.73,8775
2002-01-09,13.53,13.81,13.33,13.41,8300
2002-01-10,13.73,13.89,13.61,13.65,10075
2002-01-11,13.81,14.89,13.81,14.05,41211
2002-01-14,15.13,16.88,15.13,16.88,110508
2002-01-15,17.91,20.22,17.51,19.5,328540
2002-01-16,19.43,21.26,17.91,20.1,266137
2002-01-17,20.14,21.57,19.54,21.34,216605
2002-01-18,22.05,24.28,20.54,23.68,646962
2002-01-21,25.12,25.32,22.53,22.77,455495
2002-01-22,23.45,23.45,21.38,21.57,164405
2002-01-23,21.57,22.29,21.34,21.53,109181
2002-01-24,22.49,22.49,21.14,21.34,64799
2002-01-25,21.1,21.65,20.14,21.1,45969
2002-01-28,21.42,21.42,20.3,20.66,23330
2002-01-29,20.62,20.78,19.82,19.94,22867
2002-01-30,19.62,19.9,18.55,19.03,33504
2002-01-31,19.11,19.54,18.31,18.91,68049
2002-02-01,19.11,22.69,19.11,22.69,296367
2002-02-04,26.19,26.19,22.69,23.88,543315
2002-02-05,23.92,24.6,21.57,23.76,202548
2002-02-06,24.6,28.54,24.6,28.54,646562
2002-02-07,30.17,34.27,27.07,33.79,1013142
2002-02-08,33.44,34.63,30.29,32.08,644712
2002-02-11,32.44,35.43,32.44,33.24,450037
2002-02-12,34.15,34.19,30.69,31.09,191817
2002-02-13,31.05,33.28,30.73,32.16,182862
2002-02-14,32.84,38.61,31.92,38.61,977589
2002-02-15,40.6,44.78,38.65,42.71,1206576
2002-02-18,43.51,44.98,37.82,39.65,453601
2002-02-19,39.81,39.81,36.82,37.38,244901
2002-02-20,37.38,41.0,35.82,38.61,596579
2002-02-21,39.41,42.19,39.41,41.16,335214
2002-02-22,41.99,49.4,41.64,49.24,1172291
2002-02-25,49.76,49.76,42.99,43.63,783728
2002-02-26,43.79,46.09,42.63,43.43,492672
2002-02-27,44.5,45.74,41.96,43.87,547928
2002-02-28,43.91,46.53,35.23,36.06,824540
2002-03-01,36.02,42.11,35.9,41.12,689545
2002-03-04,42.55,43.47,40.28,40.88,351863
2002-03-05,42.59,42.59,38.65,39.37,285952
2002-03-06,39.09,40.52,37.1,38.01,215905
2002-03-07,39.01,39.69,37.54,38.41,169034
2002-03-08,38.29,39.65,37.5,38.21,134693
2002-03-11,38.33,38.61,35.03,35.59,132341
2002-03-12,35.11,37.26,34.67,35.23,294650
2002-03-13,35.39,40.2,35.39,38.33,557604
2002-03-14,38.93,40.96,37.06,37.74,303616
2002-03-15,38.21,40.08,38.21,39.41,229113
2002-03-18,40.92,40.96,38.97,39.29,238811
2002-03-19,39.21,39.49,36.7,37.18,158066
2002-03-20,37.42,37.89,35.59,36.18,141722
2002-03-21,36.22,37.26,35.63,35.9,89843
2002-03-22,36.38,36.38,35.43,35.63,51963
2002-03-26,35.47,36.14,34.83,35.55,54855
2002-03-27,35.82,36.34,35.03,35.19,78562
2002-03-28,35.75,38.13,35.59,37.1,169097
2002-04-01,38.77,44.54,37.93,41.12,1193163
2002-04-02,42.11,43.11,40.2,40.68,579017
2002-04-03,40.56,42.03,40.28,40.92,262114
2002-04-04,41.44,42.91,40.84,41.36,239093
2002-04-05,42.07,42.39,41.32,41.8,175422
2002-04-08,41.4,45.78,41.4,44.94,704485
2002-04-09,45.9,46.65,43.07,43.55,473244
2002-04-10,43.71,43.75,41.4,42.83,216249
2002-04-11,41.44,43.55,41.44,42.31,142513
2002-04-12,42.39,44.5,41.52,42.79,155969
2002-04-15,42.99,42.99,39.41,40.04,157773
2002-04-16,37.46,40.2,37.42,38.77,235110
2002-04-17,39.01,40.52,38.25,38.61,76593
2002-04-18,38.97,41.0,38.61,40.04,150564
2002-04-19,40.68,40.68,38.21,38.57,137472
2002-04-22,38.21,38.61,37.06,37.93,58529
2002-04-23,38.49,41.4,38.21,39.96,127780
2002-04-24,40.6,41.56,40.2,40.76,123328
2002-04-25,41.48,41.8,39.01,39.29,66756
2002-04-26,40.0,41.72,39.05,39.33,117559
2002-04-29,39.73,39.92,39.01,39.41,40256
2002-04-30,39.81,41.8,39.73,41.4,118100
2002-05-02,42.71,44.34,42.19,43.19,410678
2002-05-03,43.67,47.37,41.99,46.77,1096090
2002-05-06,49.12,50.12,47.45,48.96,1043885
