date,open,high,low,close,volume
2003-09-05,2.82,3.04,2.8,3.01,32538
2003-09-08,2.98,3.48,2.98,3.24,66903
2003-09-09,3.36,3.36,3.13,3.14,33350
2003-09-10,3.1,3.18,3.04,3.1,13951
2003-09-11,3.1,3.33,3.1,3.26,24696
2003-09-12,3.36,3.36,3.13,3.15,12536
2003-09-15,3.27,3.27,2.98,3.03,8184
2003-09-16,2.98,3.08,2.98,3.03,9285
2003-09-17,3.13,3.21,3.08,3.15,8394
2003-09-18,3.15,3.15,2.99,3.02,9680
2003-09-19,3.08,3.12,2.93,3.01,9638
2003-09-22,3.17,3.17,3.02,3.04,6534
2003-09-23,3.04,3.16,3.02,3.12,10423
2003-09-24,3.07,3.17,3.07,3.14,7577
2003-09-25,3.1,3.21,3.1,3.18,8278
2003-09-26,3.15,3.37,3.13,3.34,23916
2003-09-29,3.21,3.36,3.21,3.34,14980
2003-09-30,3.39,3.45,3.31,3.36,13401
2003-10-01,3.39,3.58,3.33,3.48,30797
2003-10-03,3.47,3.71,3.47,3.69,39100
2003-10-06,3.69,3.72,3.6,3.66,19284
2003-10-07,3.68,3.7,3.57,3.62,14848
2003-10-08,3.65,3.66,3.55,3.6,12180
2003-10-09,3.57,3.6,3.49,3.53,5826
2003-10-10,3.52,3.6,3.45,3.46,11507
2003-10-13,3.84,3.99,3.57,3.79,37355
2003-10-14,3.87,3.94,3.78,3.87,37019
2003-10-15,3.78,3.86,3.69,3.75,9888
2003-10-16,3.75,3.87,3.75,3.83,11262
2003-10-17,3.63,3.81,3.63,3.71,9576
2003-10-20,3.72,3.81,3.72,3.77,14913
2003-10-21,3.72,3.72,3.53,3.61,8814
2003-10-22,3.55,3.63,3.1,3.51,19185
2003-10-23,3.44,3.58,3.43,3.47,5928
2003-10-24,3.51,3.63,3.41,3.59,11838
2003-10-25,3.54,3.57,3.49,3.53,2164
2003-10-27,3.46,3.6,3.45,3.51,4303
2003-10-28,3.51,3.81,3.51,3.55,10764
2003-10-29,3.51,3.66,3.46,3.5,2881
2003-10-30,3.49,3.66,3.49,3.54,7020
2003-10-31,3.66,3.74,3.56,3.67,23692
2003-11-03,3.83,3.93,3.72,3.89,28127
2003-11-04,3.87,4.02,3.85,3.97,36482
2003-11-05,4.02,4.02,3.9,3.93,31010
2003-11-06,3.99,4.02,3.93,3.94,18997
2003-11-07,3.93,4.02,3.87,3.88,8668
2003-11-10,3.87,3.97,3.87,3.95,2060
2003-11-11,3.96,4.09,3.93,3.96,17676
2003-11-12,4.05,4.32,3.95,4.21,35720
2003-11-13,4.29,4.46,4.14,4.16,19533
2003-11-14,4.17,4.29,4.12,4.25,8547
2003-11-15,4.23,4.31,4.17,4.27,3458
2003-11-17,4.42,4.46,3.99,4.17,14532
2003-11-18,4.17,4.28,3.99,4.1,15623
2003-11-19,4.2,4.2,3.87,4.08,15521
2003-11-20,4.14,4.21,3.97,4.04,6012
2003-11-21,4.15,4.17,3.85,3.94,5599
2003-11-24,4.09,4.09,3.93,3.99,4348
2003-11-25,3.99,4.08,3.94,4.02,6319
2003-11-27,4.3,4.3,4.02,4.02,11787
2003-11-28,4.08,4.11,4.02,4.03,8446
2003-12-01,4.02,4.13,3.99,4.03,18963
2003-12-02,3.96,4.06,3.96,4.05,19694
2003-12-03,3.97,4.19,3.97,4.04,8979
2003-12-04,4.05,4.43,3.99,4.0,22571
2003-12-05,4.11,4.2,4.0,4.03,17518
2003-12-08,4.08,4.17,4.03,4.13,4926
2003-12-09,4.22,4.23,4.15,4.18,12882
2003-12-10,4.14,4.22,4.11,4.13,17625
2003-12-11,4.17,4.32,4.11,4.12,17224
2003-12-12,4.17,4.22,4.12,4.14,7930
2003-12-15,4.31,4.4,4.23,4.32,23208
2003-12-16,4.46,4.46,4.28,4.32,10006
2003-12-17,4.39,4.4,4.33,4.38,7735
2003-12-18,4.46,4.67,4.45,4.65,16506
2003-12-19,4.41,4.76,4.4,4.63,13175
2003-12-22,4.73,4.94,4.73,4.84,18827
2003-12-23,4.94,5.12,4.85,4.88,12229
2003-12-24,4.94,5.54,4.94,5.25,61117
2003-12-26,5.26,5.33,5.09,5.25,18457
2003-12-29,5.41,5.41,5.26,5.34,42511
2003-12-30,5.29,5.36,5.12,5.18,13846
2003-12-31,5.07,5.21,4.84,5.09,14266
2004-01-01,5.06,5.15,5.03,5.09,5003
2004-01-02,5.15,5.15,4.97,5.01,21273
2004-01-05,5.0,5.06,4.82,4.91,17599
2004-01-06,4.88,4.91,4.82,4.85,8030
2004-01-07,4.82,4.91,4.64,4.89,10846
2004-01-08,4.94,5.19,4.85,4.99,24415
2004-01-09,5.06,5.12,4.88,5.06,13846
2004-01-12,4.94,5.24,4.91,5.15,15125
2004-01-13,5.09,5.1,5.0,5.07,34327
2004-01-14,5.06,5.15,5.0,5.13,23583
2004-01-15,5.06,5.24,5.06,5.15,19407
2004-01-16,4.94,5.21,4.94,5.13,13607
2004-01-19,5.01,5.3,5.01,5.15,11571
2004-01-20,5.21,5.33,5.19,5.2,16318
2004-01-21,5.36,5.36,4.94,4.95,15199
2004-01-22,4.48,4.91,4.48,4.79,41073
2004-01-23,4.7,4.97,4.7,4.93,9313
2004-01-27,5.06,5.27,5.06,5.21,11060
2004-01-28,5.09,5.36,4.91,5.24,14292
2004-01-29,5.24,5.91,5.18,5.55,31188
2004-01-30,5.6,5.98,5.57,5.67,53586
2004-02-03,5.76,5.95,5.36,5.56,41212
2004-02-04,5.77,5.77,5.42,5.46,15208
2004-02-05,5.54,5.65,5.42,5.47,9097
