date,open,high,low,close,volume
2003-09-05,49.57,53.54,48.61,50.79,146856
2003-09-08,50.57,51.4,49.58,50.36,118007
2003-09-09,50.37,51.16,48.09,48.62,54402
2003-09-10,49.07,49.18,47.59,47.82,40585
2003-09-11,48.58,49.58,48.2,49.35,45464
2003-09-12,51.05,51.05,47.1,47.93,36868
2003-09-15,49.08,49.28,47.59,47.76,22404
2003-09-16,47.79,49.48,46.91,49.14,50878
2003-09-17,50.37,50.37,46.11,47.08,104217
2003-09-18,47.2,47.39,43.63,44.01,136619
2003-09-19,46.11,46.11,42.84,43.48,95102
2003-09-22,44.6,45.6,41.5,44.22,256773
2003-09-23,43.94,47.92,43.64,47.57,138188
2003-09-24,48.09,49.28,46.62,47.77,78869
2003-09-25,48.08,48.61,47.1,47.48,28060
2003-09-26,48.49,49.48,47.1,47.71,57600
2003-09-29,48.18,48.88,47.8,47.95,28282
2003-09-30,47.99,48.88,47.69,47.93,30602
2003-10-01,48.28,48.58,47.2,47.52,32202
2003-10-03,48.08,48.68,47.3,47.94,67048
2003-10-06,49.08,50.77,48.98,49.86,83807
2003-10-07,51.81,51.81,48.76,48.98,50812
2003-10-08,49.82,50.07,47.69,48.42,37594
2003-10-09,49.38,49.76,48.59,49.3,49273
2003-10-10,50.47,50.47,49.38,50.13,68464
2003-10-13,50.47,53.34,50.17,52.21,135552
2003-10-14,52.55,53.34,49.58,50.07,44153
2003-10-15,50.27,52.75,50.07,51.58,89639
2003-10-16,52.35,52.35,50.78,51.38,76832
2003-10-17,51.64,51.86,51.06,51.42,18190
2003-10-20,51.58,52.45,51.16,51.66,42981
2003-10-21,52.1,52.45,49.23,51.01,187242
2003-10-22,51.76,52.35,50.59,50.85,82177
2003-10-23,50.86,51.37,47.1,47.88,118213
2003-10-24,48.84,51.76,47.79,51.09,100415
2003-10-25,51.58,53.05,51.07,51.5,24342
2003-10-27,51.56,56.42,51.55,54.32,263252
2003-10-28,54.43,54.83,52.95,53.91,87412
2003-10-29,54.04,56.02,54.04,55.65,133230
2003-10-30,55.92,58.25,55.14,57.82,110384
2003-10-31,57.31,59.29,57.31,58.86,82700
2003-11-03,59.49,59.99,56.52,57.43,68538
2003-11-04,57.51,59.39,57.51,58.97,74795
2003-11-05,58.6,60.88,56.02,59.73,123448
2003-11-06,60.19,60.48,58.9,59.75,36295
2003-11-07,60.28,60.38,58.2,58.7,57836
2003-11-10,59.28,59.49,58.65,59.14,20792
2003-11-11,59.49,60.18,57.51,59.06,78298
2003-11-12,59.49,59.49,57.59,58.11,24178
2003-11-13,58.5,58.89,55.33,56.27,46945
2003-11-14,55.53,57.11,53.74,54.57,82251
2003-11-15,55.38,57.51,54.96,57.18,15094
2003-11-17,57.51,59.29,56.53,58.46,43304
2003-11-18,58.8,59.29,57.61,58.19,22000
2003-11-19,58.0,58.45,56.13,57.82,43261
2003-11-20,58.5,59.99,57.52,58.45,100996
2003-11-21,57.52,60.48,57.51,59.57,93002
2003-11-24,68.67,68.67,60.27,60.81,199245
2003-11-25,60.98,63.46,60.48,60.93,118710
2003-11-27,61.87,62.44,61.12,61.78,80994
2003-11-28,62.66,62.66,61.39,61.98,55416
2003-12-01,62.83,63.46,61.97,63.17,47913
2003-12-02,63.36,64.19,62.47,63.89,52315
2003-12-03,64.45,65.94,64.15,65.69,70779
2003-12-04,66.04,67.62,66.04,67.31,58819
2003-12-05,67.42,68.32,66.04,66.5,36998
2003-12-08,67.13,67.23,63.97,64.67,34433
2003-12-09,65.99,67.91,65.44,67.67,42259
2003-12-10,68.41,69.31,66.43,66.81,25580
2003-12-11,68.41,71.59,67.42,69.86,155020
2003-12-12,71.08,71.66,70.3,71.04,47188
2003-12-15,71.89,72.76,70.5,71.14,59983
2003-12-16,71.33,71.77,70.2,70.83,35096
2003-12-17,71.89,71.93,69.57,70.2,60553
2003-12-18,69.11,71.98,69.11,71.25,38032
2003-12-19,71.89,84.17,70.89,77.33,126382
2003-12-22,78.62,80.51,77.44,78.04,73702
2003-12-23,78.73,80.31,75.65,76.54,52562
2003-12-24,77.33,78.33,74.96,77.52,28080
2003-12-26,77.34,80.21,77.34,78.29,46265
2003-12-29,79.32,80.11,78.34,78.88,30309
2003-12-30,88.25,88.25,78.58,81.0,98925
2003-12-31,81.7,81.7,77.93,78.68,38841
2004-01-01,81.3,81.3,77.94,78.28,27850
2004-01-02,78.93,80.11,77.14,77.6,54829
2004-01-05,78.23,78.33,75.01,76.01,74364
2004-01-06,74.58,77.63,73.37,74.13,92828
2004-01-07,73.57,74.66,71.89,73.61,37435
2004-01-08,74.36,76.05,71.9,73.66,68607
2004-01-09,78.38,79.32,76.05,76.78,73086
2004-01-12,76.84,84.28,76.35,83.2,242329
2004-01-13,83.88,84.77,79.72,80.63,89730
2004-01-14,81.8,83.29,80.52,82.08,78103
2004-01-15,84.28,85.27,77.24,78.0,57273
2004-01-16,79.32,80.8,76.45,76.89,53973
2004-01-19,80.31,80.31,74.86,76.76,60444
2004-01-20,77.88,79.11,74.38,75.38,59269
2004-01-21,75.36,76.35,71.49,72.19,97076
2004-01-22,72.08,74.36,66.04,69.67,62794
2004-01-23,71.29,71.57,69.21,70.99,37930
2004-01-27,71.39,72.38,69.41,71.15,37245
2004-01-28,71.39,73.22,70.89,71.19,40930
2004-01-29,71.39,71.59,70.11,70.79,24387
2004-01-30,71.89,71.89,68.92,69.36,23178
2004-02-03,67.06,69.41,66.93,67.78,46434
2004-02-04,68.51,71.59,67.42,71.29,53679
2004-02-05,70.5,74.36,70.5,73.57,52009
2004-02-06,74.06,74.46,72.58,73.94,36632
2004-02-09,74.22,78.33,74.22,77.27,71846
2004-02-10,77.83,80.91,77.81,79.93,132631
2004-02-11,79.82,79.82,76.87,77.4,29049
2004-02-12,78.78,79.82,76.84,78.38,89451
2004-02-13,75.99,78.82,75.85,77.78,10945
2004-02-16,78.33,79.82,78.33,79.51,29443
2004-02-17,78.83,79.02,75.85,78.65,30954
2004-02-18,79.32,80.41,78.83,79.32,77519
2004-02-19,80.11,80.11,78.57,78.96,58172
2004-02-20,78.83,79.02,76.84,77.55,22337
2004-02-23,77.14,77.71,76.74,76.87,26576
2004-02-24,76.84,77.83,75.56,76.44,41840
2004-02-25,76.74,76.74,74.36,75.37,65286
2004-02-26,75.36,76.74,73.38,73.98,19214
2004-02-27,74.17,75.36,73.48,73.87,59838
2004-03-01,74.36,75.14,74.36,74.86,50865
2004-03-03,75.26,79.32,75.26,77.48,47688
2004-03-04,78.26,79.72,74.56,75.81,104716
2004-03-05,76.35,78.33,75.36,76.42,48759
2004-03-08,77.34,79.02,76.85,78.47,20062
