date,open,high,low,close,volume
2002-02-15,23.39,23.39,19.6,19.99,10381190
2002-02-18,23.39,23.39,19.6,19.99,10381190
2002-02-19,20.35,20.35,18.61,18.79,3552660
2002-02-20,18.3,19.29,18.14,18.59,2512964
2002-02-21,19.31,19.56,18.99,19.11,1338196
2002-02-22,19.22,19.65,18.52,19.51,811327
2002-02-25,20.5,20.5,19.22,19.29,454151
2002-02-26,19.44,19.92,19.33,19.65,894960
2002-02-27,19.81,20.86,19.72,20.12,3271361
2002-02-28,20.73,21.09,18.39,18.7,4429634
2002-03-01,18.93,19.56,18.84,19.15,942785
2002-03-04,19.42,19.94,19.31,19.51,615152
2002-03-05,19.92,20.5,19.69,20.41,1490137
2002-03-06,20.68,21.04,20.19,20.32,1989742
2002-03-07,20.68,20.68,20.17,20.26,675801
2002-03-08,20.37,20.39,19.69,19.78,273519
2002-03-11,20.05,20.46,19.42,19.51,217122
2002-03-12,19.56,19.58,18.88,18.97,321384
2002-03-13,18.97,19.22,18.7,18.88,228034
2002-03-14,18.93,19.11,18.5,18.68,302924
2002-03-15,18.93,19.15,18.63,18.9,402993
2002-03-18,19.38,19.38,18.72,18.81,387469
2002-03-19,18.97,19.33,18.21,18.34,505251
2002-03-20,18.43,18.63,18.14,18.25,413147
2002-03-21,18.3,18.48,18.21,18.3,171711
2002-03-22,18.39,18.68,17.8,17.96,225579
2002-03-26,18.36,18.36,17.53,17.57,190075
2002-03-27,18.43,18.43,17.57,17.62,175456
2002-03-28,17.66,17.73,17.12,17.37,247315
2002-04-01,17.75,18.07,17.42,17.53,169309
2002-04-02,17.55,17.57,16.7,16.81,401427
2002-04-03,16.79,17.12,16.09,16.27,434081
2002-04-04,16.63,17.78,16.45,17.39,461590
2002-04-05,17.57,17.87,17.15,17.21,278024
2002-04-08,17.48,17.57,16.67,16.74,264685
2002-04-09,17.08,17.55,16.9,17.01,330822
2002-04-10,17.12,17.12,16.4,16.74,393221
2002-04-11,17.08,17.84,17.08,17.37,462716
2002-04-12,17.28,17.3,16.85,17.01,365658
2002-04-15,16.9,17.48,16.72,17.06,309167
2002-04-16,17.12,17.3,17.01,17.06,207262
2002-04-17,17.28,17.33,16.79,16.85,221096
2002-04-18,17.08,17.1,16.81,16.9,125768
2002-04-19,17.08,17.08,16.56,16.65,159582
2002-04-22,17.03,17.03,16.47,16.54,209825
2002-04-23,16.85,16.9,16.18,16.22,304296
2002-04-24,16.31,16.63,16.31,16.56,153154
2002-04-25,16.63,16.67,16.31,16.36,260518
2002-04-26,16.29,16.54,16.09,16.18,324142
2002-04-29,16.11,16.81,15.88,16.09,388628
2002-04-30,16.04,16.22,15.73,15.77,267446
2002-05-02,15.88,16.04,15.48,15.7,521349
2002-05-03,15.77,15.77,15.28,15.37,418258
2002-05-06,15.55,15.59,15.23,15.32,849209
2002-05-07,15.23,15.41,15.23,15.34,614737
2002-05-08,15.43,15.52,15.32,15.43,985787
2002-05-09,15.97,16.79,15.55,16.13,889295
2002-05-10,16.7,17.26,16.27,16.4,1040862
2002-05-13,16.16,16.67,16.13,16.25,265570
2002-05-14,16.36,16.47,15.88,16.02,259521
2002-05-15,16.09,16.16,15.59,15.75,338589
2002-05-16,15.88,15.88,15.41,15.57,367218
2002-05-17,15.43,15.68,15.43,15.64,697619
2002-05-20,15.34,15.52,14.96,15.16,846600
2002-05-21,14.96,15.1,14.53,14.89,1188202
2002-05-22,14.92,15.91,14.87,15.19,330183
2002-05-23,15.3,15.3,14.78,14.87,268447
2002-05-24,15.1,15.32,14.92,15.07,270784
