date,open,high,low,close,volume
2003-09-05,22.4,23.53,22.0,23.25,997779
2003-09-08,23.27,23.68,22.93,23.34,667507
2003-09-09,23.45,23.79,22.63,22.85,1008826
2003-09-10,22.93,23.33,22.74,23.2,442031
2003-09-11,23.33,23.46,23.08,23.28,562228
2003-09-12,23.35,23.8,23.14,23.57,1197480
2003-09-15,23.66,23.67,23.01,23.28,946080
2003-09-16,23.07,24.3,22.23,24.0,1078998
2003-09-17,24.2,24.7,23.78,24.18,1063081
2003-09-18,24.4,24.4,23.2,23.9,1090902
2003-09-19,24.33,24.8,23.74,24.17,888865
2003-09-22,24.33,24.66,24.08,24.32,617980
2003-09-23,24.32,25.6,24.13,25.32,595969
2003-09-24,25.47,26.79,25.41,26.54,870090
2003-09-25,26.3,26.52,25.73,25.94,606851
2003-09-26,25.87,26.47,25.41,25.61,569957
2003-09-29,25.8,26.27,25.47,25.61,418188
2003-09-30,25.57,27.05,25.47,26.9,1368002
2003-10-01,26.99,27.43,26.67,27.07,944707
2003-10-03,27.13,27.33,26.53,26.96,666165
2003-10-06,27.32,28.25,27.13,27.98,621800
2003-10-07,28.07,28.47,27.67,28.02,700719
2003-10-08,28.6,28.6,27.93,28.36,340612
2003-10-09,28.4,28.8,28.2,28.38,369139
2003-10-10,28.5,28.85,28.23,28.34,278889
2003-10-13,28.43,28.75,27.87,27.96,720446
2003-10-14,28.07,28.42,27.46,27.69,860563
2003-10-15,27.53,28.03,27.34,27.8,581131
2003-10-16,28.0,28.47,27.8,28.28,979621
2003-10-17,28.47,31.0,28.34,30.09,1227929
2003-10-20,30.33,30.64,29.0,29.31,908786
2003-10-21,29.4,29.67,28.4,28.74,769341
2003-10-22,28.93,29.31,26.16,28.83,548264
2003-10-23,29.99,29.99,28.13,28.37,533617
2003-10-24,28.2,28.8,27.68,28.52,399933
2003-10-25,28.53,29.33,28.53,28.79,50210
2003-10-27,28.53,28.77,27.73,28.29,392686
2003-10-28,28.31,29.43,27.77,28.8,559109
2003-10-29,29.25,29.67,28.14,28.41,541188
2003-10-30,28.2,31.27,28.07,30.84,1309631
2003-10-31,30.37,32.6,30.0,32.19,852424
2003-11-03,32.22,33.0,32.0,32.3,434026
2003-11-04,32.65,32.97,30.37,32.07,581114
2003-11-05,32.33,32.8,31.4,31.63,646099
2003-11-06,31.86,32.1,31.13,31.42,433197
2003-11-07,31.73,31.73,30.36,30.68,499943
2003-11-10,30.6,30.6,29.67,30.18,256069
2003-11-11,30.27,31.53,30.13,30.42,844236
2003-11-12,30.6,31.39,30.5,30.71,851938
2003-11-13,31.66,31.66,30.55,30.75,538032
2003-11-14,31.06,31.06,29.47,29.88,634106
2003-11-15,29.67,30.33,29.42,29.99,164753
2003-11-17,30.01,30.67,29.75,30.48,286865
2003-11-18,30.53,30.79,28.85,29.15,778243
2003-11-19,29.2,29.27,28.43,28.72,1018423
2003-11-20,29.0,29.27,28.0,28.33,595539
2003-11-21,28.33,28.93,27.73,28.7,568135
2003-11-24,28.67,28.99,28.27,28.42,344187
2003-11-25,29.3,29.3,28.17,28.79,382981
2003-11-27,28.91,29.72,28.87,29.09,1044045
2003-11-28,29.27,29.99,29.14,29.65,473612
2003-12-01,29.73,31.39,29.73,31.22,759009
2003-12-02,31.33,31.9,30.17,30.66,1065621
2003-12-03,30.73,31.02,30.44,30.76,383136
2003-12-04,30.87,31.27,30.37,30.71,744355
2003-12-05,31.0,31.07,29.8,29.99,384406
2003-12-08,30.17,30.66,29.31,29.52,516508
2003-12-09,29.83,30.6,29.73,30.46,894245
2003-12-10,30.87,31.09,30.14,30.38,802744
2003-12-11,30.33,30.43,29.88,30.06,745769
2003-12-12,30.01,30.33,29.43,29.72,758949
2003-12-15,30.0,30.24,29.47,29.6,731030
2003-12-16,29.84,30.67,29.6,30.42,1159305
2003-12-17,30.66,31.19,30.38,30.57,1483483
2003-12-18,28.53,31.5,28.53,31.21,936558
2003-12-19,31.33,31.53,30.74,30.95,890101
2003-12-22,30.87,32.6,30.8,32.41,944103
2003-12-23,32.41,32.73,31.63,31.77,609213
2003-12-24,32.05,32.4,31.62,32.03,998809
2003-12-26,32.3,33.08,32.3,32.67,602089
2003-12-29,33.0,33.58,32.73,33.33,734176
2003-12-30,33.6,34.32,32.74,33.24,710416
2003-12-31,33.2,33.97,33.0,33.68,544666
2004-01-01,33.67,34.56,33.67,34.39,431801
2004-01-02,33.87,36.0,33.87,35.71,725484
2004-01-05,32.08,36.9,29.99,35.67,1095353
2004-01-06,35.8,37.0,35.48,35.91,1143212
2004-01-07,35.69,36.93,35.48,36.58,578251
2004-01-08,37.2,38.8,37.0,38.56,791800
2004-01-09,38.33,39.27,36.73,38.53,1212988
2004-01-12,38.63,38.66,37.21,37.61,454789
2004-01-13,37.6,40.0,37.01,39.29,591940
2004-01-14,39.46,40.29,38.73,39.64,753506
2004-01-15,39.86,39.86,33.33,37.6,588197
2004-01-16,37.6,38.2,35.87,36.8,804423
2004-01-19,36.54,38.07,35.78,37.83,611317
2004-01-20,38.19,38.5,35.68,36.29,681919
2004-01-21,36.33,37.0,34.41,34.8,922653
2004-01-22,35.33,36.67,33.48,33.99,652333
2004-01-23,35.2,38.11,34.27,37.64,554933
2004-01-27,37.99,39.56,37.13,39.07,536999
2004-01-28,38.99,39.0,36.0,37.52,661285
2004-01-29,38.07,38.07,36.6,36.92,795737
2004-01-30,37.67,37.67,33.68,34.24,623043
2004-02-03,34.6,36.87,34.41,35.92,1481936
2004-02-04,36.27,36.8,33.59,36.37,1530844
2004-02-05,36.0,37.55,36.0,36.65,982649
2004-02-06,37.03,38.03,36.44,37.78,896586
2004-02-09,37.73,39.6,37.53,39.29,852291
2004-02-10,38.83,39.2,37.61,38.2,514389
2004-02-11,38.48,39.33,38.33,39.13,375956
2004-02-12,39.13,41.07,37.41,40.79,1684218
2004-02-13,40.67,40.73,39.1,39.94,1087541
2004-02-16,39.92,41.25,39.67,40.93,1022748
2004-02-17,40.8,41.67,40.55,41.54,1252611
2004-02-18,41.67,42.26,41.22,41.5,785189
2004-02-19,41.13,41.96,39.68,39.99,829349
2004-02-20,39.8,41.02,38.84,40.77,1097846
2004-02-23,41.2,41.33,39.33,39.77,968952
2004-02-24,39.13,40.33,38.6,39.18,1101594
2004-02-25,39.2,39.2,37.0,37.33,1141192
2004-02-26,37.4,38.66,37.01,37.46,999790
2004-02-27,37.8,39.11,37.67,38.8,897170
2004-03-01,38.74,40.1,38.74,39.93,715001
2004-03-03,40.33,40.55,38.89,39.49,900333
2004-03-04,39.47,40.49,38.83,39.43,874705
2004-03-05,40.53,40.94,39.63,40.58,1046596
2004-03-08,40.3,41.89,39.67,41.69,850358
2004-03-09,41.52,42.76,41.17,41.94,1762235
2004-03-10,41.53,41.9,40.0,40.65,994218
2004-03-11,40.93,40.93,38.88,39.28,1067480
2004-03-12,39.33,39.47,38.13,39.19,716097
2004-03-15,39.59,40.43,37.88,38.64,1082637
2004-03-16,38.67,39.27,37.93,38.24,594996
2004-03-17,38.47,38.66,37.23,37.69,690881
2004-03-18,37.87,38.23,37.02,37.29,643127
2004-03-19,37.45,38.06,36.57,37.69,585351
2004-03-22,37.41,37.67,35.01,35.42,509700
2004-03-23,35.33,36.47,34.08,35.75,653032
2004-03-24,35.67,36.53,35.4,36.11,403393
2004-03-25,36.47,37.0,36.28,36.5,609576
2004-03-26,36.86,37.93,36.73,37.62,525209
2004-03-29,37.73,39.77,37.67,39.52,506671
2004-03-30,39.73,39.87,38.81,39.48,778657
2004-03-31,39.4,40.85,38.87,40.29,729899
2004-04-01,40.4,42.92,40.09,42.47,1149639
2004-04-02,42.6,42.66,39.87,41.65,1779793
2004-04-05,42.33,45.65,41.9,43.7,2076168
2004-04-06,43.4,44.46,42.31,42.6,1161897
2004-04-07,42.8,43.27,41.4,41.93,934517
2004-04-08,42.0,43.0,41.89,42.39,1123162
2004-04-12,42.67,43.93,42.0,43.37,993697
2004-04-13,42.67,43.55,42.13,43.25,504944
2004-04-15,40.74,43.53,40.74,42.7,531911
2004-04-16,42.8,43.35,42.57,42.94,406031
2004-04-17,42.93,43.13,42.47,42.69,89177
2004-04-19,42.8,42.97,40.62,40.82,661377
2004-04-20,41.0,42.0,40.33,40.69,892613
2004-04-21,40.8,42.06,40.6,41.48,809206
2004-04-22,43.93,43.93,40.0,42.02,883442
2004-04-23,42.23,42.57,41.15,41.48,596453
2004-04-27,41.0,41.0,39.43,40.02,791231
2004-04-28,39.67,40.87,39.0,39.32,965779
2004-04-29,39.4,39.73,38.75,38.9,946649
2004-04-30,39.9,39.9,38.77,39.03,554365
2004-05-03,38.67,39.27,36.8,38.42,698154
2004-05-04,38.93,39.8,38.93,39.1,334424
2004-05-05,38.73,39.53,38.21,39.14,524597
2004-05-06,40.0,40.33,38.41,38.61,999387
2004-05-07,38.53,39.27,38.17,38.94,842191
2004-05-10,38.13,40.0,37.4,39.73,660156
2004-05-11,35.41,39.0,35.41,38.02,1177619
2004-05-12,37.34,39.02,37.33,38.31,656880
2004-05-13,38.0,39.0,34.03,37.36,1607466
2004-05-14,37.84,37.87,32.03,33.44,2229829
2004-05-17,30.15,31.67,25.0,26.45,1611649
2004-05-18,26.13,31.73,25.73,29.37,1435157
2004-05-19,30.67,34.0,30.58,33.49,1615834
2004-05-20,33.33,33.33,30.5,30.92,1300688
2004-05-21,31.0,31.0,29.07,30.21,1018396
2004-05-24,30.93,32.1,30.27,31.04,900679
2004-05-25,31.33,31.33,29.35,30.59,993986
2004-05-26,32.53,32.67,30.95,32.27,1131997
2004-05-27,31.93,32.87,31.11,32.12,1048536
2004-05-28,31.41,31.41,30.27,30.83,1329064
2004-05-31,30.13,30.87,28.44,28.97,1211535
2004-06-01,29.1,30.14,28.02,28.34,1067502
2004-06-02,29.24,29.99,28.07,29.63,1338913
2004-06-03,30.75,30.75,29.12,29.85,1401989
2004-06-04,29.93,31.62,29.33,31.25,1456941
2004-06-07,32.07,32.07,30.53,30.7,1056797
2004-06-08,30.67,31.67,30.2,30.96,1215057
2004-06-09,30.69,31.73,30.69,31.5,616795
2004-06-10,31.53,31.53,30.43,30.68,1046063
2004-06-11,30.35,31.47,30.15,30.37,555001
2004-06-14,30.27,30.87,29.73,29.97,989124
2004-06-15,29.67,31.07,29.47,30.69,892133
2004-06-16,29.33,32.27,29.33,31.39,714094
2004-06-17,31.33,32.52,30.35,31.98,1243628
2004-06-18,32.33,32.77,31.53,32.55,1727455
2004-06-21,31.4,33.33,31.4,32.99,1440576
2004-06-22,32.98,33.33,32.44,33.22,1149030
2004-06-23,33.33,33.33,31.69,32.28,1679405
2004-06-24,32.27,33.47,31.81,33.24,1521038
2004-06-25,33.0,33.27,32.13,32.98,687929
2004-06-28,33.1,33.84,32.8,33.48,780453
2004-06-29,33.4,33.91,33.02,33.59,827128
2004-06-30,33.66,34.25,33.17,33.48,568429
2004-07-01,34.66,35.0,33.17,34.71,1326019
2004-07-02,33.67,35.27,33.67,34.24,905957
2004-07-05,34.27,34.99,33.47,33.62,591205
2004-07-06,33.68,35.08,33.67,34.95,752279
2004-07-07,35.0,35.96,34.74,35.74,1190312
2004-07-08,35.93,36.72,34.37,34.79,1338746
2004-07-09,33.34,35.85,28.33,35.72,455335
2004-07-12,35.7,36.13,34.87,35.47,557122
2004-07-13,35.93,36.67,35.47,36.35,501147
2004-07-14,36.67,37.29,34.95,35.2,1156938
2004-07-15,35.17,35.93,34.93,35.15,726589
2004-07-16,33.67,36.23,33.67,35.93,848636
2004-07-19,35.75,36.44,35.68,35.95,575273
