date,open,high,low,close,volume
2002-01-01,4.8,5.0,4.8,4.82,2869
2002-01-02,4.8,4.88,4.71,4.82,3023
2002-01-03,4.93,4.94,4.82,4.87,1638
2002-01-04,5.1,5.2,4.9,4.91,6183
2002-01-07,5.19,5.19,4.81,4.88,1942
2002-01-08,4.83,5.0,4.81,4.9,3943
2002-01-09,4.85,4.9,4.8,4.81,2955
2002-01-10,4.81,4.9,4.71,4.89,2445
2002-01-11,4.86,4.9,4.72,4.75,7015
2002-01-14,4.72,4.85,4.7,4.7,4894
2002-01-15,4.75,4.8,4.7,4.8,2395
2002-01-16,4.8,5.09,4.79,5.03,7326
2002-01-17,4.9,5.15,4.9,5.13,2600
2002-01-18,5.06,5.3,5.06,5.22,8959
2002-01-21,5.04,5.2,5.03,5.15,6955
2002-01-22,5.2,5.2,5.1,5.14,5284
2002-01-23,5.2,5.2,5.1,5.13,5481
2002-01-24,5.13,5.25,5.11,5.21,6629
2002-01-25,5.2,5.35,5.1,5.17,13300
2002-01-28,5.11,5.12,4.75,4.9,10331
2002-01-29,4.72,4.97,4.72,4.92,8713
2002-01-30,4.76,4.96,4.76,4.91,5725
2002-01-31,4.86,5.0,4.83,4.92,3073
2002-02-01,4.96,5.1,4.96,5.05,3732
2002-02-04,5.08,5.2,5.08,5.2,6217
2002-02-05,5.2,5.4,5.2,5.27,10653
2002-02-06,5.15,6.0,5.15,5.57,25552
2002-02-07,5.5,5.89,5.21,5.38,9731
2002-02-08,5.8,5.98,5.5,5.56,19170
2002-02-11,5.69,5.7,5.56,5.59,15655
2002-02-12,5.75,5.8,5.57,5.65,13834
2002-02-13,5.77,5.9,5.72,5.8,17781
2002-02-14,5.81,5.9,5.76,5.84,8223
2002-02-15,5.9,5.92,5.72,5.89,20087
2002-02-18,5.88,5.95,5.75,5.9,27237
2002-02-19,5.9,5.91,5.84,5.87,27491
2002-02-20,5.86,5.91,5.85,5.9,52305
2002-02-21,5.9,5.92,5.85,5.9,22829
2002-02-22,5.9,5.95,5.89,5.9,20312
2002-02-25,5.8,5.91,5.8,5.9,16529
2002-02-26,5.9,5.95,5.9,5.9,25452
2002-02-27,5.9,5.93,5.9,5.9,16403
2002-02-28,5.9,5.92,5.9,5.9,23491
2002-03-01,5.9,5.9,5.8,5.86,22450
2002-03-04,5.88,6.05,5.88,6.0,17741
2002-03-05,5.98,6.14,5.98,6.05,9616
2002-03-06,6.2,6.32,6.0,6.0,20618
2002-03-07,6.1,6.23,6.05,6.11,9855
2002-03-08,6.0,6.1,5.9,6.05,11152
2002-03-11,6.0,6.0,5.76,5.79,4852
2002-03-12,5.63,5.79,5.63,5.73,5528
2002-03-13,5.75,5.95,5.75,5.89,7310
2002-03-14,5.9,6.05,5.9,6.0,11746
2002-03-15,6.0,6.04,5.93,6.02,10521
2002-03-18,6.1,6.2,5.95,6.17,12349
2002-03-19,6.01,6.22,6.01,6.19,12704
2002-03-20,6.1,6.23,6.09,6.2,14282
2002-03-21,6.2,6.41,6.12,6.4,44080
2002-03-22,6.5,6.55,6.4,6.53,48541
2002-03-26,6.2,6.7,6.2,6.35,7716
2002-03-27,6.22,6.38,6.22,6.32,12413
2002-03-28,6.26,6.4,6.26,6.35,10075
2002-04-01,6.42,6.5,6.31,6.32,3546
2002-04-02,6.6,6.6,5.81,5.93,8221
2002-04-03,6.0,6.1,5.96,6.04,5852
2002-04-04,6.01,6.25,6.0,6.04,4841
2002-04-05,6.21,7.0,5.79,5.93,50691
2002-04-08,5.98,6.03,5.92,5.96,7667
2002-04-09,6.07,6.07,5.93,6.0,23720
2002-04-10,6.1,6.1,5.95,5.99,22025
2002-04-11,5.97,6.03,5.96,6.0,7720
2002-04-12,6.0,6.15,5.94,6.04,15777
2002-04-15,5.5,6.1,5.5,6.04,8865
