date,open,high,low,close,volume
2003-09-05,56.0,57.45,46.67,55.57,2436562
2003-09-08,55.5,56.4,55.0,55.55,729127
2003-09-09,55.68,55.92,55.0,55.21,786341
2003-09-10,55.01,57.65,55.0,57.25,1840117
2003-09-11,57.35,61.24,57.35,59.81,3952448
2003-09-12,60.38,61.5,57.5,57.85,2099560
2003-09-15,58.33,58.33,54.52,55.09,1558166
2003-09-16,54.33,55.0,47.42,53.87,6487160
2003-09-17,51.83,55.73,51.5,52.85,4154742
2003-09-18,52.17,54.1,51.73,52.74,2279354
2003-09-19,52.84,53.8,51.75,53.11,1709431
2003-09-22,56.38,56.38,52.34,52.58,804901
2003-09-23,52.48,54.07,52.06,53.71,597695
2003-09-24,53.92,56.15,53.42,55.82,1491955
2003-09-25,60.83,60.83,56.05,57.73,2698513
2003-09-26,58.67,58.67,57.17,57.91,926747
2003-09-29,57.83,62.5,57.68,61.77,1880676
2003-09-30,62.05,62.73,60.83,61.24,1871395
2003-10-01,61.24,61.78,59.86,60.2,631483
2003-10-03,61.05,61.48,60.0,60.83,855119
2003-10-06,59.67,64.08,57.5,63.68,2523397
2003-10-07,63.67,63.83,60.88,61.14,1330052
2003-10-08,61.33,62.33,59.21,60.46,866660
2003-10-09,61.67,61.67,59.75,60.18,834317
2003-10-10,59.17,59.49,58.02,58.63,697063
2003-10-13,58.83,61.17,58.53,60.18,893295
2003-10-14,60.52,60.75,57.1,57.53,1155150
2003-10-15,57.85,57.85,56.1,56.59,1211948
2003-10-16,57.33,57.33,54.0,54.97,1710344
2003-10-17,55.33,57.17,55.0,56.91,2124682
2003-10-20,57.02,57.02,52.35,53.35,2538076
2003-10-21,53.5,55.2,53.5,54.34,1869335
2003-10-22,55.08,55.08,53.18,53.48,887825
2003-10-23,53.5,54.49,53.13,53.22,769989
2003-10-24,53.42,54.46,52.76,54.08,760551
2003-10-25,54.81,55.82,54.54,55.36,290492
2003-10-27,55.5,56.62,54.35,54.64,735706
2003-10-28,55.0,55.0,52.23,52.84,1084345
2003-10-29,53.5,54.28,52.67,53.39,619288
2003-10-30,53.33,55.58,53.28,55.07,1496590
2003-10-31,54.17,57.67,53.5,57.27,1768739
