date,open,high,low,close,volume
2007-12-31,286.67,326.6,236.77,253.27,6688161
2008-01-01,257.2,285.33,254.0,266.5,3384279
2008-01-02,278.67,278.67,260.7,264.67,1566650
2008-01-03,268.0,271.33,248.67,258.87,725929
2008-01-04,258.67,263.33,253.4,255.3,355017
2008-01-07,256.67,262.93,252.67,254.93,306089
2008-01-08,256.67,259.0,244.0,246.3,457055
2008-01-09,245.33,245.33,237.33,240.83,598308
2008-01-10,242.67,250.0,237.33,240.87,420155
2008-01-11,243.33,243.33,227.07,237.97,422206
2008-01-14,236.0,240.33,229.0,237.1,317364
2008-01-15,237.33,238.0,228.87,235.63,372933
2008-01-16,230.17,235.67,230.17,232.9,139671
2008-01-17,231.0,235.33,225.4,227.7,114447
2008-01-18,227.33,229.3,214.17,217.3,198861
2008-01-21,214.0,216.07,183.33,190.57,283564
2008-01-22,185.87,185.87,113.33,165.23,218513
2008-01-23,166.0,181.33,160.7,174.27,559735
2008-01-24,180.0,195.97,167.07,169.87,244697
2008-01-25,181.47,234.0,167.5,226.97,462394
2008-01-28,206.67,212.53,194.0,206.97,133701
2008-01-29,213.23,219.33,201.33,216.57,252901
2008-01-30,210.0,216.0,196.67,198.9,124280
2008-01-31,201.33,201.33,165.33,173.57,489765
2008-02-01,179.2,185.33,172.67,184.0,168667
2008-02-04,193.2,201.8,186.67,196.67,236827
2008-02-05,193.43,212.67,191.67,210.2,232577
2008-02-06,203.33,210.0,196.77,208.7,131439
2008-02-07,210.07,218.67,199.37,201.83,111690
2008-02-08,205.8,207.17,198.03,202.73,86844
2008-02-11,202.67,202.67,190.9,193.93,86209
2008-02-12,195.33,197.33,173.33,174.9,32183
2008-02-13,181.33,182.57,168.77,170.73,36168
2008-02-14,177.33,183.2,176.67,181.57,39934
2008-02-15,181.33,183.0,173.4,181.83,37810
2008-02-18,190.0,190.0,183.33,188.53,54324
2008-02-19,196.67,196.67,186.67,190.8,38951
2008-02-20,188.67,190.33,180.73,187.93,41708
2008-02-21,195.33,199.33,186.67,188.27,29724
2008-02-22,180.33,186.27,177.73,182.93,13356
2008-02-25,168.0,188.0,168.0,177.73,12849
2008-02-26,180.0,185.33,177.4,179.07,17601
2008-02-27,179.67,182.67,175.43,176.53,31329
2008-02-28,178.67,178.67,166.67,169.67,91651
2008-02-29,172.0,172.0,166.07,169.13,68132
2008-03-03,163.67,167.27,158.67,160.17,30946
2008-03-04,160.7,164.0,146.0,149.93,34472
2008-03-05,149.93,151.97,134.87,144.67,24297
2008-03-07,140.67,140.67,128.73,130.43,57895
2008-03-10,126.67,132.67,116.7,131.47,53096
2008-03-11,129.87,138.27,126.77,129.53,71431
2008-03-12,135.8,146.67,130.0,132.13,304977
2008-03-13,132.0,132.0,120.07,121.67,51706
2008-03-14,145.33,145.33,118.13,127.97,132739
2008-03-17,118.67,123.93,114.53,116.43,53447
2008-03-18,116.0,126.0,112.0,121.93,117383
2008-03-19,126.67,126.67,118.67,122.47,75246
2008-03-24,130.0,131.97,100.67,102.93,176434
2008-03-25,105.4,112.0,102.67,111.0,139553
2008-03-26,112.0,114.6,108.67,112.17,89981
2008-03-27,109.33,121.6,109.33,115.87,158424
2008-03-28,119.27,119.27,111.57,117.4,164537
2008-03-31,119.33,123.33,110.0,112.37,436380
2008-04-01,115.8,117.33,112.07,114.33,25817
2008-04-02,116.67,120.0,113.37,114.1,26721
2008-04-03,112.73,115.17,112.0,112.67,17191
2008-04-04,112.0,114.93,110.1,111.23,19610
2008-04-07,118.0,118.67,108.2,111.97,15772
2008-04-08,111.4,113.93,110.67,111.97,294813
2008-04-09,110.73,116.0,110.73,113.73,27779
2008-04-10,115.0,116.33,113.53,114.27,23042
2008-04-11,116.67,117.33,112.73,113.53,19104
2008-04-15,112.0,115.8,112.0,114.77,18669
2008-04-16,115.4,122.63,114.73,115.37,50208
2008-04-17,119.2,119.93,116.67,117.07,35723
2008-04-21,118.0,121.33,117.37,118.97,52116
2008-04-22,120.63,131.13,119.47,128.43,209225
2008-04-23,128.87,134.0,124.07,124.47,175444
2008-04-24,127.53,131.27,125.07,126.47,249039
2008-04-25,128.0,137.93,125.67,132.07,473019
2008-04-28,133.33,137.23,128.67,133.4,270592
2008-04-29,146.67,146.67,132.0,135.37,102946
2008-04-30,137.97,141.97,133.33,136.43,188284
2008-05-02,136.67,138.67,135.03,136.0,64925
2008-05-05,138.33,139.77,135.0,135.7,74497
2008-05-06,135.33,136.6,130.9,131.97,42456
2008-05-07,131.43,132.47,128.8,130.03,31817
2008-05-08,127.33,129.33,125.33,128.13,49710
2008-05-09,126.67,131.0,123.4,124.5,29088
2008-05-12,124.67,124.67,119.87,122.57,28923
2008-05-13,123.33,129.23,123.33,127.0,79685
2008-05-14,129.17,130.17,126.67,128.1,25859
2008-05-15,128.1,129.93,126.73,127.67,16641
2008-05-16,128.67,148.0,128.0,144.47,449491
2008-05-20,147.33,151.33,144.67,147.43,677367
2008-05-21,143.37,153.97,143.37,148.73,353389
2008-05-22,146.67,149.97,143.33,144.37,110712
2008-05-23,141.67,150.47,141.67,143.83,194074
