date,open,high,low,close,volume
2017-02-03,120.55,133.33,118.34,118.8,15771762
2017-02-06,120.11,120.86,113.68,114.35,2199600
2017-02-07,114.44,115.1,111.25,111.86,1294146
2017-02-08,112.55,114.98,110.96,113.62,1187116
2017-02-09,113.89,114.3,111.9,112.23,466684
2017-02-10,112.75,113.78,111.44,111.66,420869
2017-02-13,112.11,112.27,110.94,111.31,503861
2017-02-14,111.65,113.22,110.89,111.55,512893
2017-02-15,111.33,112.21,108.63,109.08,444465
2017-02-16,109.22,109.69,106.78,107.1,390176
2017-02-17,107.89,108.66,107.11,107.46,253565
2017-02-20,107.46,108.49,107.01,107.9,199609
2017-02-21,108.33,110.54,107.96,109.36,333947
2017-02-22,109.11,109.63,107.92,108.25,136074
2017-02-23,108.31,108.53,107.22,107.32,120075
2017-02-27,106.89,107.64,105.82,106.01,206918
2017-02-28,106.11,107.21,104.66,105.21,211552
2017-03-01,105.0,106.0,103.55,103.79,242861
2017-03-02,104.29,104.72,101.66,101.91,299819
2017-03-03,101.66,101.88,98.5,98.96,838830
2017-03-06,98.89,106.08,98.89,105.24,1240425
2017-03-07,106.0,107.2,104.01,104.3,470176
2017-03-08,104.43,104.83,102.33,102.65,193077
2017-03-09,102.65,106.78,101.93,104.99,738561
2017-03-10,105.55,106.1,103.62,104.06,193951
2017-03-14,106.11,106.66,104.44,104.99,227271
2017-03-15,105.15,106.85,104.45,105.04,290746
2017-03-16,105.55,105.81,104.78,105.03,127467
2017-03-17,105.13,106.51,104.6,104.88,314643
2017-03-20,105.55,105.55,103.89,104.26,116056
2017-03-21,104.6,105.22,104.0,104.31,211103
2017-03-22,104.44,104.44,103.44,103.82,126858
2017-03-23,104.24,104.69,103.64,104.18,130766
2017-03-24,104.4,105.92,104.0,105.0,303936
2017-03-27,105.07,105.33,103.79,103.97,131550
2017-03-28,104.32,104.88,104.02,104.36,92227
2017-03-29,104.4,108.0,104.11,105.7,499299
2017-03-30,106.45,107.89,106.11,107.41,291000
2017-03-31,107.53,109.0,107.23,108.63,276768
2017-04-03,109.33,109.74,108.34,108.6,129583
2017-04-05,109.53,110.11,108.66,108.82,154857
2017-04-06,108.89,108.99,107.56,107.86,71641
2017-04-07,107.78,111.6,107.33,110.21,258530
2017-04-10,110.55,114.99,110.55,114.45,532872
2017-04-11,115.0,116.78,113.11,115.96,343038
2017-04-12,116.22,117.2,113.9,116.41,280190
2017-04-13,115.55,116.66,114.0,114.4,141067
2017-04-17,113.89,114.33,112.0,112.38,146038
2017-04-18,113.22,113.22,110.7,110.86,101457
2017-04-19,111.55,112.66,109.78,111.14,129689
2017-04-20,111.74,113.06,111.12,112.32,88934
2017-04-21,112.35,113.07,111.45,112.26,90311
2017-04-24,112.33,112.78,111.74,112.19,191329
2017-04-25,112.44,112.7,111.11,111.69,91184
2017-04-26,112.22,113.0,111.5,112.17,127199
2017-04-27,112.22,112.44,111.71,111.98,58177
2017-04-28,112.33,112.78,110.76,111.6,60260
2017-05-02,111.75,113.55,111.33,111.58,106562
2017-05-03,111.79,112.16,110.89,111.41,85654
2017-05-04,111.55,112.22,110.89,111.24,69735
2017-05-05,111.78,112.25,110.0,110.56,308258
2017-05-08,111.33,112.66,111.33,111.81,190184
2017-05-09,112.11,112.11,110.14,110.52,54268
2017-05-10,111.78,112.1,110.55,110.79,53253
2017-05-11,111.44,111.53,110.78,111.1,180061
2017-05-12,111.16,111.64,108.66,109.09,119710
