date,open,high,low,close,volume
2005-01-03,18.94,20.47,18.94,20.02,18842
2005-01-04,20.22,20.22,19.25,19.41,6455
2005-01-05,19.35,19.47,18.32,19.17,10891
2005-01-06,19.01,19.01,18.38,18.68,6161
2005-01-07,18.83,19.16,18.7,18.97,11969
2005-01-10,19.16,19.6,19.01,19.15,3462
2005-01-11,19.01,19.25,18.69,18.81,9444
2005-01-12,19.32,19.94,18.63,18.77,16680
2005-01-13,19.29,20.08,19.01,19.73,14026
2005-01-14,19.69,21.49,19.5,20.16,20774
2005-01-17,20.42,20.56,19.82,19.92,11563
2005-01-18,19.94,21.91,19.94,20.56,52913
2005-01-19,21.15,21.78,20.5,20.89,89651
2005-01-20,20.84,20.84,19.37,19.64,24093
2005-01-24,20.54,20.54,19.32,19.75,9136
2005-01-25,19.93,19.93,19.26,19.37,5884
2005-01-27,19.63,19.75,19.16,19.37,6625
2005-01-28,20.03,20.03,19.19,19.41,9332
2005-01-31,20.1,20.56,19.82,20.04,12142
2005-02-01,20.1,20.25,17.95,19.58,13368
2005-02-02,19.47,19.91,19.42,19.58,7761
2005-02-03,20.09,20.09,19.5,19.81,8023
2005-02-04,19.32,20.22,19.32,20.0,7480
2005-02-07,20.2,20.25,19.78,20.11,24886
2005-02-08,20.1,20.22,19.91,20.11,44713
2005-02-09,20.13,20.37,19.32,19.7,6154
2005-02-10,19.88,20.0,19.47,19.76,8193
2005-02-11,19.85,20.1,19.69,19.84,3494
2005-02-14,20.87,20.87,19.94,20.25,5998
2005-02-15,22.74,22.74,20.16,20.55,6407
2005-02-16,21.5,21.65,20.19,20.22,6987
2005-02-17,20.28,20.56,20.06,20.21,4889
2005-02-18,20.52,20.78,20.1,20.23,6205
2005-02-21,20.1,20.31,19.88,20.0,3413
2005-02-22,20.25,20.38,19.66,19.94,5720
2005-02-23,20.25,20.25,19.63,20.15,4413
2005-02-24,20.25,20.52,20.1,20.32,3390
2005-02-25,20.25,20.47,19.78,19.88,4007
2005-02-28,19.47,20.44,19.47,20.26,5949
2005-03-01,20.26,20.56,20.11,20.28,25570
2005-03-02,20.72,22.03,20.41,21.55,42578
2005-03-03,22.98,22.98,20.94,21.29,86495
2005-03-04,21.5,22.58,20.44,20.85,182557
2005-03-07,20.88,21.03,19.82,20.72,57685
2005-03-08,20.31,21.06,20.31,21.02,45939
2005-03-09,21.44,21.44,20.38,20.63,28105
2005-03-10,20.97,20.97,20.25,20.49,28932
2005-03-11,20.5,20.62,19.63,19.97,54152
2005-03-14,20.25,20.25,19.82,19.92,28350
2005-03-15,20.17,20.17,19.44,19.56,23135
2005-03-16,19.39,19.94,19.38,19.81,11025
