date,open,high,low,close,volume
2020-10-05,284.0,297.8,274.2,280.28,638095
2020-10-06,282.0,288.37,280.25,283.88,542590
2020-10-07,284.2,284.73,271.15,276.29,283120
2020-10-08,277.0,277.99,265.04,266.98,287037
2020-10-09,265.22,274.24,259.0,267.36,617516
2020-10-12,268.4,269.5,261.15,262.2,406274
2020-10-13,260.0,265.6,259.01,261.84,177612
2020-10-14,261.6,270.89,261.6,269.08,231987
2020-10-15,269.39,272.11,265.81,266.45,152765
2020-10-16,265.6,269.8,265.17,268.29,74694
2020-10-19,269.0,270.0,265.81,268.12,73734
2020-10-20,267.0,269.01,266.0,267.16,51810
2020-10-21,267.16,270.8,266.8,267.48,76814
2020-10-22,266.4,269.26,264.0,265.43,158798
2020-10-23,266.73,274.74,265.61,270.49,143025
2020-10-26,269.0,270.54,265.0,268.74,47806
2020-10-27,266.02,268.99,265.41,267.09,224439
2020-10-28,266.41,268.16,258.96,263.6,177457
2020-10-29,260.61,262.98,259.0,259.92,286045
2020-10-30,260.39,264.0,258.6,259.37,38536
2020-11-02,260.4,264.0,258.19,259.82,194552
2020-11-03,260.4,261.77,252.3,253.13,279604
2020-11-04,253.99,257.66,252.0,253.49,159282
2020-11-05,255.0,259.0,253.48,258.05,51937
2020-11-06,259.98,259.98,255.6,256.0,201372
2020-11-09,257.93,259.59,255.6,258.72,107173
2020-11-10,259.78,259.79,255.91,258.34,225620
2020-11-11,259.2,259.74,255.0,257.04,138462
2020-11-12,257.96,263.8,257.8,261.07,245795
2020-11-13,260.99,262.82,259.8,260.18,127037
2020-11-14,262.0,262.6,260.96,262.18,18763
2020-11-17,263.19,274.0,263.19,272.06,514752
2020-11-18,274.0,275.38,270.3,271.4,159255
2020-11-19,271.8,276.98,268.81,275.2,216180
2020-11-20,275.45,279.9,271.0,277.77,244030
2020-11-23,279.99,292.0,278.0,289.82,466959
2020-11-24,293.78,294.28,284.4,287.69,155863
2020-11-25,288.0,299.74,285.69,295.89,640300
2020-11-26,298.0,298.0,291.21,295.91,153673
2020-11-27,295.78,295.78,287.33,289.03,64131
2020-12-01,288.8,294.2,287.34,290.07,110134
2020-12-02,290.0,293.78,285.13,291.56,102564
2020-12-03,290.22,293.59,288.2,289.12,48322
