date,open,high,low,close,volume
2003-01-01,9.73,9.78,9.55,9.64,9902503
2003-01-02,9.68,9.77,9.48,9.53,8362075
2003-01-03,9.63,9.73,9.54,9.63,12472500
2003-01-06,9.66,9.67,8.99,9.03,10478597
2003-01-07,9.04,9.27,8.77,9.17,15550441
2003-01-08,9.18,9.36,9.17,9.23,7512211
2003-01-09,9.24,10.11,9.22,9.98,37626311
2003-01-10,10.11,10.61,9.82,10.19,44627092
2003-01-13,10.29,10.58,10.15,10.44,17900139
2003-01-14,10.53,10.68,10.31,10.54,18615135
2003-01-15,10.64,10.85,10.52,10.75,20697374
2003-01-16,10.72,10.97,10.72,10.85,18711726
2003-01-17,10.89,10.97,10.67,10.82,12691318
2003-01-20,10.85,11.54,10.85,11.43,41257156
2003-01-21,11.77,13.36,11.52,13.2,91934847
2003-01-22,13.42,14.13,12.83,13.15,91442319
2003-01-23,13.13,14.02,12.86,13.57,80647659
2003-01-24,13.57,13.75,12.53,12.7,40825765
2003-01-27,12.94,12.94,11.72,11.95,31445388
2003-01-28,12.06,12.7,11.9,12.57,34208053
2003-01-29,12.74,13.18,12.57,12.72,37021574
2003-01-30,12.83,12.94,12.38,12.46,18006476
2003-01-31,12.45,12.49,11.96,12.11,24095737
2003-02-03,12.26,12.7,12.19,12.63,20490178
2003-02-04,12.8,13.74,12.8,13.18,81165253
2003-02-05,13.23,13.46,12.92,13.06,34453906
2003-02-06,13.03,13.46,12.7,13.37,49319367
2003-02-07,13.49,13.49,12.94,13.0,27902560
2003-02-10,13.03,13.03,12.32,12.41,21335463
2003-02-11,12.45,12.62,12.04,12.1,26627704
2003-02-12,12.06,12.41,11.75,12.12,28056895
2003-02-14,12.21,12.21,11.38,11.45,31379358
2003-02-17,11.81,12.59,11.67,12.44,35498413
2003-02-18,12.84,12.96,12.62,12.72,38619803
2003-02-19,12.8,13.22,12.76,13.07,41428275
2003-02-20,13.11,13.6,12.87,13.14,68782841
2003-02-21,13.42,13.42,12.96,13.08,31432866
2003-02-24,13.23,13.76,13.15,13.56,61026720
2003-02-25,13.62,13.62,12.77,12.84,29137165
2003-02-26,12.92,13.01,12.27,12.33,43364748
2003-02-27,12.33,12.89,12.12,12.71,39176182
2003-02-28,13.03,13.08,12.03,12.15,60068821
2003-03-03,12.51,13.11,12.51,12.76,39034955
2003-03-04,12.82,12.82,12.36,12.49,19078542
2003-03-05,12.41,12.68,12.04,12.57,25124843
2003-03-06,12.64,12.84,12.31,12.49,42763374
2003-03-07,12.24,12.29,11.99,12.1,17605651
2003-03-10,12.11,12.33,11.58,11.69,15774904
2003-03-11,11.31,11.96,11.31,11.9,26565631
2003-03-12,11.94,12.35,11.88,12.0,30878085
2003-03-13,12.04,12.35,11.97,12.19,28352411
2003-03-17,11.9,12.22,11.76,11.91,13189815
2003-03-19,12.18,12.48,12.18,12.31,22280772
2003-03-20,12.33,13.12,12.18,13.01,44254838
2003-03-21,13.32,13.32,12.98,13.13,21817427
2003-03-24,13.33,13.37,12.66,12.79,17460805
2003-03-25,12.55,13.24,12.36,13.13,23776652
2003-03-26,13.24,13.58,13.04,13.13,17735712
2003-03-27,13.11,13.39,13.05,13.19,13469189
2003-03-28,13.22,14.8,13.08,14.25,112773078
2003-03-31,14.2,14.51,13.71,13.89,39741963
2003-04-01,14.01,14.44,13.93,14.1,24863569
2003-04-02,14.3,15.17,14.3,14.98,36603127
2003-04-03,15.37,15.37,14.87,15.1,28079570
2003-04-04,15.19,15.59,15.0,15.47,33337030
2003-04-07,15.64,16.12,15.19,15.95,37342536
2003-04-08,15.94,16.43,15.58,16.31,31591098
2003-04-09,16.34,17.31,15.91,16.29,43936528
2003-04-10,16.0,17.74,15.9,17.37,51397910
2003-04-11,17.61,18.03,16.63,17.05,28609635
2003-04-15,17.31,17.37,16.22,16.89,20062730
2003-04-16,17.02,17.43,16.68,17.19,21887267
2003-04-17,17.04,17.84,16.94,17.12,20949046
2003-04-21,17.17,17.45,16.94,17.07,14886573
2003-04-22,17.16,17.25,16.75,16.87,13270527
2003-04-23,16.97,16.97,15.95,16.0,20912646
2003-04-24,16.05,16.87,15.5,16.45,33336326
2003-04-25,16.48,16.82,16.3,16.54,20163978
2003-04-28,16.5,17.24,16.41,17.12,27642961
2003-04-29,17.26,17.61,16.45,16.66,51922423
2003-04-30,16.63,17.43,16.48,17.19,24638890
2003-05-02,17.41,17.96,17.22,17.84,30860993
2003-05-05,18.06,18.77,17.96,18.49,33455423
2003-05-06,18.58,19.25,18.58,18.7,32071391
2003-05-07,18.8,19.0,17.84,17.95,23537826
2003-05-08,18.06,18.19,17.82,17.92,14957369
2003-05-09,17.99,18.58,17.96,18.18,23934755
2003-05-12,18.44,19.61,18.32,19.08,72226143
2003-05-13,19.04,19.93,18.87,19.24,52147816
2003-05-14,19.26,20.23,19.26,19.94,43760495
2003-05-15,20.17,21.38,20.17,21.16,55053291
2003-05-16,21.22,22.0,19.94,20.48,55520631
2003-05-19,20.72,20.72,19.32,19.44,28908687
2003-05-20,19.36,20.61,18.84,20.45,61086761
2003-05-21,20.62,21.59,20.27,20.55,58252411
2003-05-22,20.8,21.28,19.65,19.9,52683201
2003-05-23,19.99,20.41,19.49,19.61,37763235
2003-05-26,19.75,20.37,19.06,20.17,62684717
2003-05-27,20.62,21.36,20.23,20.37,61346931
2003-05-28,20.71,23.62,20.45,23.24,154936332
2003-05-29,23.21,23.86,22.43,22.71,83172465
2003-05-30,22.73,23.28,22.06,22.53,59396260
2003-06-02,21.2,21.2,18.11,19.09,99968919
2003-06-03,18.77,20.89,18.77,20.23,81778954
2003-06-04,20.56,21.32,20.38,21.2,52821683
2003-06-05,21.79,22.15,19.96,20.31,56626223
2003-06-06,20.04,20.55,19.9,20.17,24789997
2003-06-09,20.43,20.73,19.99,20.1,15747608
2003-06-10,19.39,19.67,17.04,18.0,36388719
2003-06-11,18.58,19.55,18.26,19.04,47399812
2003-06-12,19.45,19.65,18.53,18.77,26285177
2003-06-13,18.98,19.06,18.2,18.38,22908363
2003-06-16,18.62,18.62,17.86,17.94,17562701
2003-06-17,18.14,18.87,17.8,18.42,42421700
2003-06-18,18.57,18.58,17.38,17.53,21657591
2003-06-19,17.66,18.38,17.62,18.13,38713130
2003-06-20,18.28,18.6,18.19,18.32,23857405
2003-06-23,18.48,18.87,18.24,18.35,29669754
2003-06-24,18.27,18.55,18.16,18.33,14983837
2003-06-25,18.52,19.33,18.38,19.08,51034497
2003-06-26,19.22,19.69,18.71,18.86,35890608
2003-06-27,19.01,19.33,18.58,18.71,20697672
2003-06-30,18.91,19.03,18.48,18.6,15002313
2003-07-01,18.87,19.05,18.53,18.89,20506340
2003-07-02,19.11,19.36,18.82,18.98,16513614
2003-07-03,19.1,20.58,18.89,20.39,64703311
2003-07-04,20.62,21.16,20.26,20.49,37555540
2003-07-07,20.0,20.28,19.85,19.98,18343574
2003-07-08,20.29,20.37,19.49,19.61,24009633
2003-07-09,19.88,20.34,19.55,19.8,20311528
2003-07-10,19.67,20.23,19.38,19.64,13990345
2003-07-11,19.84,20.81,19.84,20.34,30943098
2003-07-14,20.59,21.5,20.59,21.19,34991990
2003-07-15,21.4,21.79,20.31,20.84,31992376
2003-07-16,21.06,21.98,20.86,21.82,48134440
2003-07-17,22.04,22.37,20.64,20.89,42891435
2003-07-18,20.61,21.09,20.04,20.69,22669492
2003-07-21,21.07,21.07,20.23,20.38,17906868
2003-07-22,19.95,20.52,19.55,19.66,20654481
2003-07-23,20.33,20.33,19.47,19.97,20597889
2003-07-24,20.23,20.41,20.06,20.22,16543733
2003-07-25,20.05,21.63,20.05,21.49,45810471
2003-07-28,21.68,21.78,21.06,21.18,18913432
2003-07-29,21.4,21.4,20.16,20.74,23883792
2003-07-30,20.43,21.73,20.23,21.37,74458142
2003-07-31,21.79,22.17,20.84,21.04,42277929
2003-08-01,21.17,21.77,20.89,21.46,34658820
2003-08-04,21.2,21.4,20.94,21.16,20002395
2003-08-05,21.16,21.5,19.84,20.0,29251224
2003-08-06,18.48,20.62,18.48,19.84,31329366
2003-08-07,20.06,20.33,19.81,20.22,26637085
2003-08-08,20.43,21.11,20.28,20.95,40408952
2003-08-11,20.81,21.16,20.54,20.85,22564084
2003-08-12,21.06,21.16,20.36,20.47,17868185
2003-08-13,20.62,21.46,20.31,21.3,37899958
2003-08-14,21.56,22.56,21.56,21.94,59735558
2003-08-18,22.08,22.22,20.92,21.29,24008450
2003-08-19,21.61,22.27,21.14,21.27,37615027
2003-08-20,21.46,21.88,21.03,21.79,24158077
2003-08-21,22.22,22.74,21.98,22.21,47778255
2003-08-22,22.48,23.14,22.33,22.89,47839618
2003-08-25,24.32,24.39,21.07,21.93,71785303
2003-08-26,22.53,23.42,22.08,23.29,36804066
2003-08-27,23.65,25.58,23.55,25.13,69777371
2003-08-28,25.73,25.85,24.41,24.73,39276844
2003-08-29,24.9,24.9,23.83,24.21,34137401
2003-09-01,24.33,24.88,24.02,24.28,26766988
2003-09-02,24.51,25.52,24.2,25.14,54999691
2003-09-03,25.23,25.53,23.96,24.21,34336598
2003-09-04,24.26,24.48,22.95,23.3,30473106
2003-09-05,23.44,23.96,23.25,23.53,17055379
2003-09-08,23.81,24.29,23.57,23.88,19687221
2003-09-09,24.01,24.26,23.2,23.44,18246685
2003-09-10,23.5,24.37,23.34,24.19,23624671
2003-09-11,24.28,25.06,24.12,24.58,33723339
2003-09-12,24.74,24.9,23.65,23.77,23075838
2003-09-15,23.73,23.9,22.19,22.38,16651351
2003-09-16,22.37,23.44,21.22,23.35,25256616
2003-09-17,23.73,23.97,22.68,22.86,21122268
2003-09-18,23.01,23.01,21.4,21.57,19222401
2003-09-19,21.69,21.96,20.47,21.14,32089209
2003-09-22,21.48,21.64,20.8,20.9,17788074
2003-09-23,20.92,21.58,20.53,21.41,23721607
2003-09-24,21.75,22.08,21.11,22.01,21379970
2003-09-25,21.94,22.26,20.43,21.37,33948306
2003-09-26,21.2,22.64,21.2,22.47,26517104
2003-09-29,22.62,23.29,22.62,23.05,21315692
2003-09-30,23.32,23.91,23.09,23.78,42475810
2003-10-01,23.91,24.31,23.37,23.66,30370197
2003-10-03,24.12,24.12,23.71,23.94,17629858
2003-10-06,24.12,24.75,24.02,24.33,27715530
2003-10-07,24.56,25.12,24.03,24.6,35442679
2003-10-08,24.72,26.44,24.72,26.12,69413568
2003-10-09,26.48,27.0,26.26,26.8,32154077
2003-10-10,26.85,26.96,25.99,26.28,18681957
2003-10-13,26.48,27.23,25.78,27.12,27865142
2003-10-14,27.43,28.13,26.36,26.89,41615634
2003-10-15,26.98,27.81,26.55,27.58,32253506
2003-10-16,27.86,31.12,27.86,30.9,70442561
2003-10-17,30.77,31.56,29.67,30.01,51621509
2003-10-20,30.09,30.59,28.34,28.92,29996092
2003-10-21,28.87,29.61,26.17,26.79,61782147
2003-10-22,27.23,27.87,26.28,26.78,39173277
2003-10-23,27.1,27.9,26.66,26.96,34884316
2003-10-24,27.02,28.2,26.3,27.98,42995830
2003-10-27,28.5,28.63,27.25,27.46,22182618
2003-10-28,27.53,27.96,26.86,27.3,30559237
2003-10-29,27.68,28.11,26.31,26.77,43203350
2003-10-30,26.92,27.17,25.9,26.12,39469081
2003-10-31,26.26,26.97,25.9,26.14,35806981
2003-11-03,26.4,26.7,24.9,25.19,40608180
2003-11-04,25.61,26.31,25.37,26.01,33424482
2003-11-05,26.12,26.75,25.8,26.17,33381563
2003-11-06,26.3,26.44,25.54,25.74,21537759
2003-11-07,25.95,26.18,25.56,25.79,18985909
2003-11-10,25.85,25.91,25.2,25.29,6531539
2003-11-11,25.41,25.74,25.28,25.57,10858505
2003-11-12,25.83,26.4,25.73,26.04,17904410
2003-11-13,26.24,26.6,25.29,25.55,16535282
2003-11-14,25.65,25.76,24.34,24.47,19012105
2003-11-17,25.0,25.46,24.72,25.29,10599292
2003-11-18,25.5,25.64,24.43,24.59,14571240
2003-11-19,24.6,24.79,24.32,24.54,11676185
2003-11-20,24.57,24.71,22.95,23.15,15992530
2003-11-21,22.97,23.1,21.93,22.46,19898165
2003-11-24,22.71,23.24,22.37,23.04,13212860
2003-11-25,23.38,23.38,23.06,23.21,7986552
2003-11-27,23.4,24.02,23.27,23.44,18699698
2003-11-28,23.55,24.17,23.44,24.04,15402825
2003-12-01,24.32,24.32,23.88,23.96,9585125
2003-12-02,24.12,24.3,23.64,23.99,14225660
2003-12-03,24.16,24.5,24.01,24.09,10001464
2003-12-04,24.2,24.25,23.64,23.68,8929435
2003-12-05,23.73,24.17,23.36,23.49,10901660
2003-12-08,23.54,23.87,23.36,23.62,7449532
2003-12-09,23.83,23.98,23.52,23.76,8496553
2003-12-10,23.83,23.83,22.88,23.13,13099901
2003-12-11,23.3,23.71,22.66,23.1,16714492
2003-12-12,23.43,23.83,23.34,23.59,13598099
2003-12-15,24.01,24.2,23.11,23.79,12668479
2003-12-16,23.81,23.83,23.04,23.38,10140383
2003-12-17,23.7,23.73,23.06,23.13,8504829
2003-12-18,23.3,25.29,23.06,24.39,21323094
2003-12-19,25.17,25.22,24.34,24.61,20474695
2003-12-22,24.71,25.68,24.63,25.56,23655360
2003-12-23,25.87,26.14,25.31,25.87,28215543
2003-12-24,25.97,26.33,25.73,25.97,21455906
2003-12-26,26.18,26.74,26.07,26.56,18059810
2003-12-29,26.87,27.14,26.76,27.03,11843546
2003-12-30,27.25,27.33,25.87,26.3,13140800
2003-12-31,26.07,26.65,26.07,26.5,11017858
2004-01-01,26.56,27.8,26.56,27.7,24744755
2004-01-02,27.62,28.17,27.34,27.48,15231052
2004-01-05,27.62,28.48,27.43,27.96,27274968
2004-01-06,27.43,28.01,27.04,27.35,25601158
2004-01-07,27.43,27.72,26.6,26.96,18087219
2004-01-08,27.16,28.93,27.16,28.51,37292657
2004-01-09,28.99,30.04,28.7,29.12,33010671
2004-01-12,29.18,30.53,28.89,29.96,40617356
2004-01-13,30.15,31.2,30.15,30.82,29801558
2004-01-14,30.93,32.1,30.93,31.91,32227433
2004-01-15,32.43,32.62,30.56,31.03,27967989
2004-01-16,31.05,31.05,28.24,29.65,23878034
2004-01-19,29.96,31.26,28.81,30.81,17339148
2004-01-20,31.31,31.48,28.69,29.15,19410443
2004-01-21,28.6,29.03,24.9,25.33,22182289
2004-01-22,25.52,26.75,24.82,25.15,28723750
2004-01-23,25.29,29.34,25.29,28.7,28477219
2004-01-27,28.21,30.74,28.19,30.16,19228662
2004-01-28,31.07,31.07,27.66,28.17,34815674
2004-01-29,28.19,28.97,27.65,28.13,26742359
2004-01-30,28.21,28.56,26.39,26.56,23528974
2004-02-03,26.58,26.58,23.06,23.56,24068718
2004-02-04,23.73,24.99,23.73,24.67,25515161
2004-02-05,24.71,26.13,24.24,24.99,32651433
2004-02-06,25.31,25.83,24.92,25.64,15412828
2004-02-09,25.89,27.78,25.79,27.65,31143781
2004-02-10,27.82,27.91,26.18,26.76,24735358
2004-02-11,27.0,27.75,26.78,27.6,24018665
2004-02-12,28.01,28.49,27.06,27.56,32696788
2004-02-13,27.63,28.4,27.06,28.23,18485218
