date,open,high,low,close,volume
2003-09-05,6.81,6.93,6.72,6.77,14274
2003-09-08,6.8,7.16,6.71,6.72,12702
2003-09-09,6.71,6.78,6.66,6.7,10443
2003-09-10,6.66,6.79,6.55,6.61,8845
2003-09-11,6.5,6.72,6.5,6.64,8269
2003-09-12,6.61,6.71,6.54,6.58,8254
2003-09-15,6.47,6.6,6.47,6.52,9605
2003-09-16,6.6,6.61,6.48,6.5,13200
2003-09-17,6.55,6.61,6.43,6.44,8875
2003-09-18,6.43,6.52,6.38,6.38,7500
2003-09-19,6.4,6.52,6.38,6.42,8963
2003-09-22,6.34,6.34,6.08,6.22,4985
2003-09-23,6.25,6.34,6.12,6.29,3884
2003-09-24,6.52,6.71,6.44,6.48,17820
2003-09-25,6.43,6.61,6.38,6.43,5579
2003-09-26,6.43,6.56,6.43,6.49,5752
2003-09-29,6.6,6.6,6.41,6.43,13088
2003-09-30,6.52,6.74,6.52,6.64,16375
2003-10-01,6.86,6.86,6.62,6.63,9803
2003-10-03,6.93,6.93,6.69,6.83,16509
2003-10-06,6.95,6.98,6.84,6.95,11753
2003-10-07,6.98,7.07,6.71,6.98,21842
2003-10-08,7.06,7.35,6.95,7.13,31644
2003-10-09,7.34,7.37,7.16,7.24,39039
2003-10-10,7.3,7.35,7.07,7.12,20629
2003-10-13,6.89,7.51,6.89,7.35,59258
2003-10-14,7.35,7.72,7.23,7.39,68913
2003-10-15,7.35,7.9,7.35,7.81,77599
2003-10-16,7.97,8.63,7.77,8.12,96362
2003-10-17,8.27,8.53,8.19,8.32,100185
2003-10-20,8.52,8.55,8.01,8.11,73621
2003-10-21,8.27,8.27,7.63,7.72,35533
2003-10-22,7.53,7.9,7.46,7.51,30924
2003-10-23,7.52,7.86,7.39,7.56,16714
2003-10-24,7.53,7.76,7.53,7.69,12321
2003-10-25,7.73,7.89,7.72,7.84,7747
2003-10-27,7.62,7.95,7.62,7.67,13531
2003-10-28,7.62,7.7,7.52,7.55,9310
2003-10-29,7.48,7.9,6.97,7.1,61296
2003-10-30,7.11,7.16,6.9,7.03,20235
2003-10-31,7.05,7.07,6.89,6.92,23962
2003-11-03,6.82,7.07,6.76,6.82,20530
2003-11-04,6.82,6.86,6.71,6.74,13936
2003-11-05,6.8,6.83,6.67,6.71,13707
2003-11-06,6.67,6.86,6.67,6.74,26786
2003-11-07,6.86,7.06,6.76,6.94,31414
2003-11-10,6.97,7.04,6.82,6.88,8615
2003-11-11,6.87,7.16,6.87,7.14,26715
2003-11-12,7.37,7.97,7.37,7.75,155919
2003-11-13,7.9,7.9,7.36,7.39,64772
2003-11-14,7.26,7.61,7.18,7.3,45170
