date,open,high,low,close,volume
2003-09-05,16.86,17.42,16.86,17.31,230
2003-09-08,17.3,17.45,17.15,17.15,290
2003-09-09,17.15,17.43,16.79,17.1,632
2003-09-10,17.15,17.15,17.15,17.15,200
2003-09-11,17.01,17.01,16.72,16.72,200
2003-09-12,16.5,16.57,16.13,16.36,680
2003-09-15,16.97,16.97,16.36,16.36,510
2003-09-16,16.42,16.42,16.21,16.29,250
2003-09-18,16.42,16.42,15.99,16.05,475
2003-09-19,16.28,16.35,16.28,16.31,50
2003-09-22,16.57,17.08,16.57,16.94,850
2003-09-24,16.99,16.99,16.5,16.5,150
2003-09-25,16.5,16.5,16.42,16.42,75
2003-09-26,16.42,16.42,16.42,16.42,200
2003-09-29,16.4,16.4,16.4,16.4,350
2003-09-30,16.57,16.57,16.28,16.28,230
2003-10-01,16.09,16.67,15.91,16.13,636
2003-10-03,16.42,17.52,16.21,16.61,376
2003-10-06,17.48,17.48,16.65,16.84,361
2003-10-07,17.21,17.21,17.21,17.21,100
2003-10-08,16.64,17.08,16.64,17.07,805
2003-10-09,16.79,17.3,16.79,17.23,632
2003-10-10,16.79,17.48,16.79,17.08,1034
2003-10-13,17.01,17.01,17.01,17.01,150
2003-10-14,17.16,17.67,16.79,17.21,827
2003-10-15,17.08,17.08,17.08,17.08,50
2003-10-16,16.57,16.72,16.57,16.72,300
2003-10-17,17.23,17.44,17.08,17.44,497
2003-10-20,17.52,17.74,17.38,17.64,1283
2003-10-21,17.52,17.52,17.3,17.45,494
2003-10-22,17.3,17.3,17.23,17.23,855
2003-10-23,17.23,17.23,17.02,17.02,60
2003-10-24,17.29,17.3,16.72,16.86,150
2003-10-25,17.44,17.44,17.44,17.44,1
2003-10-27,16.94,17.01,16.94,16.98,100
2003-10-28,16.44,16.44,15.33,16.25,2150
2003-10-29,16.21,16.27,16.06,16.21,400
2003-10-30,16.13,16.72,16.06,16.72,216
2003-10-31,16.28,16.35,16.07,16.07,100
2003-11-03,16.42,16.64,16.42,16.5,130
2003-11-04,16.21,16.5,16.21,16.35,310
2003-11-05,16.37,16.37,16.21,16.21,360
2003-11-06,16.24,16.35,16.24,16.26,555
2003-11-07,16.06,16.5,16.06,16.44,495
2003-11-10,16.28,16.28,16.28,16.28,120
2003-11-11,17.12,17.91,17.08,17.91,1702
2003-11-12,18.35,19.71,17.92,19.49,1641
2003-11-13,18.98,18.98,18.25,18.43,610
2003-11-14,18.18,18.18,17.55,17.55,179
2003-11-17,18.25,18.32,17.67,18.31,205
2003-11-18,18.25,18.32,18.25,18.25,1030
2003-11-19,17.88,17.88,17.88,17.88,50
2003-11-20,17.81,17.81,17.81,17.81,210
2003-11-21,17.88,17.88,17.88,17.88,5
2003-11-24,17.01,17.15,17.01,17.02,39
2003-11-25,17.96,18.25,17.81,18.01,344
2003-11-27,18.25,18.25,18.1,18.1,49
2003-11-28,17.74,18.23,17.74,17.96,145
2003-12-01,19.26,19.75,18.11,19.69,2073
2003-12-02,21.1,21.1,18.98,20.32,1324
2003-12-03,21.15,22.26,20.81,22.11,3524
2003-12-04,22.26,22.63,21.68,21.73,745
2003-12-05,22.41,22.41,21.17,21.36,1869
2003-12-08,21.75,21.87,20.75,20.75,510
2003-12-09,21.32,21.32,20.98,21.24,1110
2003-12-10,21.17,21.19,21.17,21.19,466
2003-12-11,21.42,23.31,21.1,23.31,3035
2003-12-12,24.09,24.45,23.01,23.19,1646
2003-12-15,24.82,25.51,22.99,25.51,2441
2003-12-16,25.48,26.28,25.48,25.63,2436
2003-12-17,25.18,26.19,24.56,25.26,1217
2003-12-18,25.7,26.52,25.18,26.49,5478
2003-12-19,26.06,26.46,26.06,26.29,515
2003-12-22,26.64,26.64,26.28,26.54,1366
2003-12-23,26.42,27.01,26.36,26.64,1993
2003-12-24,26.28,26.28,26.28,26.28,50
2003-12-26,26.42,26.57,25.77,26.25,468
2003-12-29,25.55,25.91,25.19,25.19,430
2003-12-30,25.46,25.95,24.97,25.48,1660
2003-12-31,25.04,25.04,24.24,24.29,601
2004-01-01,24.16,24.89,24.09,24.45,970
2004-01-02,24.67,24.82,24.48,24.48,300
2004-01-05,25.24,25.24,24.24,24.24,100
2004-01-06,24.24,24.45,24.18,24.18,250
2004-01-07,23.45,23.51,23.07,23.07,606
2004-01-08,23.16,24.02,23.15,24.01,445
2004-01-09,23.72,24.16,22.85,23.36,280
2004-01-12,23.58,23.58,21.9,22.77,2509
2004-01-13,23.35,23.35,21.9,22.1,497
2004-01-14,20.95,22.99,20.95,22.92,450
2004-01-15,22.43,23.21,22.43,22.92,331
2004-01-16,22.43,23.25,22.43,23.23,1165
2004-01-19,22.7,22.7,22.7,22.7,70
2004-01-20,22.26,22.56,22.26,22.56,200
2004-01-21,21.78,21.78,20.88,20.88,382
2004-01-22,20.88,20.88,20.8,20.8,95
2004-01-23,19.71,20.07,18.76,19.83,1066
2004-01-27,19.78,21.08,19.71,20.67,897
2004-01-28,20.22,20.66,20.15,20.51,1020
2004-01-29,19.83,19.83,19.78,19.78,180
2004-01-30,19.89,20.73,19.89,20.15,255
2004-02-04,18.52,18.96,18.18,18.96,1216
2004-02-05,18.61,19.34,18.4,19.34,365
2004-02-06,18.76,18.83,18.4,18.4,210
2004-02-09,18.54,19.2,18.54,19.2,150
2004-02-10,19.05,19.42,19.05,19.21,194
2004-02-11,19.13,19.34,19.13,19.34,100
2004-02-12,19.2,19.2,19.13,19.13,450
2004-02-13,20.0,20.44,20.0,20.41,105
2004-02-16,21.9,21.9,19.71,19.93,415
2004-02-17,19.93,20.8,19.93,20.44,750
2004-02-18,20.44,20.94,20.44,20.73,450
2004-02-19,20.0,20.59,20.0,20.37,400
2004-02-20,20.73,20.73,19.86,19.88,363
2004-02-23,19.71,20.07,19.34,19.34,295
2004-02-24,18.61,18.61,18.61,18.61,80
2004-02-25,19.64,19.64,19.13,19.13,20
2004-02-26,19.78,19.78,18.61,19.77,4100
2004-02-27,19.13,19.13,18.74,19.13,738
2004-03-01,17.96,17.96,17.21,17.21,1728
2004-03-03,16.79,17.52,16.21,17.26,1664
2004-03-04,17.52,17.52,17.15,17.15,389
2004-03-05,18.6,18.6,17.08,17.17,442
2004-03-09,17.01,17.74,16.48,16.48,2550
2004-03-10,16.79,16.94,16.79,16.94,160
2004-03-11,16.79,17.21,16.46,17.1,7900
2004-03-15,15.71,15.71,15.71,15.71,1
2004-03-17,16.64,16.64,15.48,16.28,3
2004-03-18,16.06,16.06,16.06,16.06,150
2004-03-22,16.42,16.43,16.42,16.42,507
2004-03-23,15.37,16.42,15.37,16.13,590
2004-03-24,15.95,15.95,15.95,15.95,10
2004-03-25,15.72,15.72,15.55,15.55,155
2004-03-26,15.83,16.06,15.48,15.51,495
2004-03-29,16.34,17.06,15.64,16.76,2488
2004-03-30,17.08,17.08,17.08,17.08,50
2004-03-31,16.94,17.44,16.94,17.22,190
2004-04-02,17.52,18.23,17.52,18.21,240
2004-04-05,17.88,17.88,17.05,17.52,308
2004-04-07,17.43,17.52,17.43,17.52,200
2004-04-08,17.37,17.52,17.37,17.52,22
2004-04-12,17.52,17.81,17.52,17.81,120
2004-04-13,17.38,17.8,17.38,17.76,85
2004-04-15,17.23,18.18,17.23,18.18,529
2004-04-16,17.88,18.25,17.88,18.25,1900
2004-04-17,17.37,18.25,17.37,18.25,100
2004-04-19,18.25,18.25,17.88,17.88,750
2004-04-20,17.81,17.88,17.23,17.88,1302
2004-04-21,17.59,17.59,17.23,17.41,187
2004-04-22,17.45,17.52,17.45,17.52,500
2004-04-23,17.74,18.1,17.67,17.81,195
2004-04-27,17.81,17.81,17.16,17.38,1691
2004-04-28,17.3,17.3,17.15,17.15,2243
2004-04-29,17.01,17.08,16.67,17.04,1742
2004-04-30,17.52,17.52,17.52,17.52,65
2004-05-03,16.86,16.86,15.77,15.88,2822
2004-05-04,16.35,16.64,16.35,16.64,52
2004-05-05,15.77,15.77,15.77,15.77,100
2004-05-06,16.79,16.86,16.79,16.86,400
2004-05-07,17.0,17.23,16.86,17.01,259
2004-05-10,16.1,16.1,15.95,15.95,165
2004-05-11,15.7,15.7,15.7,15.7,100
2004-05-12,15.69,15.69,15.33,15.4,885
2004-05-13,15.33,15.77,15.33,15.77,69
2004-05-14,14.68,14.68,14.68,14.68,40
2004-05-17,14.53,14.53,14.53,14.53,150
2004-05-18,14.53,14.53,13.16,13.37,386
2004-05-19,13.58,14.23,13.58,14.23,51
2004-05-20,15.22,15.22,15.22,15.22,50
2004-05-21,15.69,15.69,14.6,14.6,241
2004-05-24,14.6,14.6,14.02,14.02,200
2004-05-25,14.67,14.67,14.67,14.67,5
2004-05-26,14.96,15.11,14.11,14.11,40
2004-05-27,15.33,15.33,14.82,14.82,340
2004-05-31,14.56,14.56,14.56,14.56,1
2004-06-01,13.6,14.09,13.6,14.07,136
2004-06-02,13.65,14.59,13.65,14.59,51
2004-06-03,14.31,14.31,14.31,14.31,20
2004-06-07,14.53,14.53,13.87,13.87,160
2004-06-08,13.87,14.2,13.87,14.2,75
2004-06-09,14.02,14.02,14.02,14.02,100
2004-06-11,14.64,14.64,13.65,13.65,600
2004-06-15,13.88,13.88,13.87,13.87,177
2004-06-17,14.02,14.09,14.02,14.03,250
2004-06-21,13.65,13.65,13.65,13.65,40
2004-06-23,14.01,14.01,14.01,14.01,25
2004-06-28,13.65,13.65,13.5,13.58,50
2004-06-29,13.5,14.14,13.22,14.14,140
2004-06-30,13.5,13.5,13.29,13.34,175
2004-07-01,13.43,13.64,13.29,13.47,6075
2004-07-02,13.58,13.58,13.37,13.39,750
2004-07-06,13.65,13.72,13.65,13.72,150
2004-07-08,13.29,13.29,13.29,13.29,50
2004-07-09,13.5,13.65,13.5,13.65,80
2004-07-12,13.43,13.43,12.6,12.98,589
2004-07-13,12.85,13.07,12.85,12.99,125
2004-07-15,13.72,13.72,13.07,13.07,26
2004-07-16,13.79,13.94,13.79,13.84,155
2004-07-19,14.53,14.92,13.87,14.24,2005
2004-07-20,14.24,14.24,13.74,13.74,393
2004-07-21,13.76,13.76,13.76,13.76,125
2004-07-22,13.65,13.65,13.59,13.59,175
2004-07-23,13.72,13.72,13.45,13.46,297
2004-07-26,13.88,14.22,13.45,13.5,1650
2004-07-28,13.29,13.29,13.29,13.29,10
2004-07-30,14.51,14.51,13.32,13.79,707
2004-08-02,13.15,13.5,12.98,13.5,465
2004-08-03,13.5,13.5,13.5,13.5,100
2004-08-04,13.49,13.49,13.42,13.42,10
2004-08-05,13.36,13.36,12.99,13.08,1545
2004-08-06,12.96,13.25,12.77,13.19,720
2004-08-09,13.71,13.71,12.28,12.29,1410
2004-08-10,13.35,13.35,12.42,12.77,518
2004-08-11,13.87,13.87,12.58,12.61,341
2004-08-12,13.82,13.82,12.91,12.91,51
2004-08-13,13.87,13.87,12.34,12.77,477
2004-08-16,13.14,13.14,12.34,12.34,851
2004-08-17,12.76,12.76,12.13,12.35,123
2004-08-18,12.07,12.34,11.81,12.08,540
2004-08-19,12.58,12.58,12.23,12.39,1550
2004-08-20,12.41,12.41,12.15,12.24,214
2004-08-23,12.0,12.04,11.69,11.7,1487
2004-08-24,12.04,12.04,12.04,12.04,200
2004-08-25,12.19,12.19,11.93,12.04,187
2004-08-26,12.04,12.04,11.9,12.04,197
2004-08-27,12.04,12.19,12.04,12.19,321
2004-08-30,12.19,12.56,12.12,12.12,412
2004-08-31,12.26,13.33,12.07,13.33,3098
2004-09-01,13.87,14.67,13.8,14.67,2224
2004-09-02,15.33,15.4,15.33,15.4,914
2004-09-03,15.44,16.11,14.95,15.61,3980
2004-09-06,15.48,15.53,14.83,14.89,2374
2004-09-07,14.49,15.07,14.49,14.53,1222
2004-09-08,14.26,14.92,14.26,14.26,680
2004-09-09,14.23,14.23,14.23,14.23,50
2004-09-10,14.16,14.38,13.96,13.99,190
2004-09-13,14.23,14.34,13.96,14.0,215
2004-09-14,14.16,14.2,13.94,13.98,556
2004-09-15,14.17,14.45,14.17,14.26,890
2004-09-16,14.53,14.53,14.09,14.23,1560
2004-09-17,14.02,14.09,13.88,13.94,686
2004-09-20,15.11,15.11,13.87,13.87,645
2004-09-21,14.59,14.59,13.8,13.8,585
2004-09-22,14.02,14.22,13.87,13.87,140
2004-09-23,14.02,14.02,13.96,13.96,450
2004-09-24,13.9,14.23,13.87,13.92,396
2004-09-27,13.87,14.14,13.87,14.04,630
2004-09-28,14.15,14.15,13.96,14.0,274
2004-09-29,14.05,14.05,13.88,13.89,331
2004-09-30,14.12,14.12,13.96,14.08,165
2004-10-01,13.69,14.23,13.69,14.17,550
2004-10-04,14.27,14.38,14.15,14.38,205
2004-10-05,14.16,14.16,14.16,14.16,20
2004-10-06,13.88,15.48,13.87,15.17,2844
2004-10-07,15.62,16.64,15.19,16.31,7057
2004-10-08,16.77,17.34,16.77,16.91,2320
2004-10-09,16.5,17.7,16.5,17.51,1911
2004-10-11,17.81,18.1,17.52,17.6,1672
2004-10-12,16.97,16.97,16.42,16.64,708
2004-10-14,16.08,16.72,15.48,15.56,4878
2004-10-15,15.49,15.68,15.2,15.34,1088
2004-10-18,15.08,15.18,14.93,14.95,1820
2004-10-19,14.82,14.97,14.82,14.9,350
2004-10-20,14.85,14.96,14.85,14.89,2092
2004-10-21,14.96,14.96,14.82,14.93,925
2004-10-25,14.76,14.77,14.76,14.77,939
2004-10-26,14.82,14.96,14.82,14.89,210
2004-10-27,15.24,15.26,14.77,15.1,540
2004-10-28,14.96,14.96,14.87,14.87,700
2004-11-01,15.69,15.76,15.11,15.69,2246
2004-11-02,16.04,16.79,15.93,16.18,5083
2004-11-03,16.43,16.53,15.95,15.99,1435
2004-11-04,16.24,16.28,16.06,16.13,1630
2004-11-05,16.35,17.44,16.35,16.98,3546
2004-11-08,17.81,18.68,17.81,18.68,3604
2004-11-09,19.71,20.55,19.36,20.55,7259
2004-11-10,21.79,21.79,19.49,19.89,8598
2004-11-11,19.56,19.86,19.25,19.47,3196
2004-11-12,19.71,19.71,18.64,19.34,1106
2004-11-16,19.49,19.49,18.26,18.36,1904
2004-11-17,18.4,20.07,18.4,18.86,1510
2004-11-18,18.61,19.41,18.35,18.49,1524
2004-11-19,18.61,18.61,17.75,17.86,2665
2004-11-22,17.89,18.91,17.31,17.9,1861
2004-11-23,18.58,19.69,18.47,19.69,2259
2004-11-24,20.44,20.71,19.71,19.73,3260
2004-11-25,20.29,20.29,19.0,19.24,805
2004-11-29,21.17,21.17,18.78,19.99,1558
2004-11-30,19.42,19.42,18.61,18.72,2805
2004-12-01,18.25,18.89,18.04,18.45,835
2004-12-02,18.98,18.98,18.76,18.79,1430
2004-12-03,18.83,18.83,18.32,18.32,1454
2004-12-06,18.87,19.34,18.87,18.98,1758
2004-12-07,19.27,19.27,18.54,18.78,185
2004-12-08,18.37,18.69,18.32,18.4,762
2004-12-09,18.33,18.33,18.03,18.05,550
2004-12-10,17.96,18.1,17.6,18.02,851
2004-12-13,18.25,18.25,17.88,17.94,1317
2004-12-14,18.83,19.7,18.47,19.21,2279
2004-12-15,19.53,21.1,18.98,19.34,2047
2004-12-16,19.46,19.46,18.65,18.71,2017
2004-12-17,18.98,20.22,18.54,19.48,1900
2004-12-20,19.05,19.71,18.63,18.98,910
2004-12-21,18.95,19.15,18.66,19.15,695
2004-12-22,18.69,18.77,18.4,18.53,1721
2004-12-23,18.49,18.83,18.49,18.61,120
2004-12-24,18.4,18.94,18.1,18.17,3282
2004-12-27,18.92,19.99,18.92,19.06,7591
2004-12-28,19.2,19.93,19.2,19.48,1433
2004-12-29,19.2,19.49,18.84,18.95,610
2004-12-30,19.05,19.05,18.24,18.35,3401
2004-12-31,18.98,19.34,18.44,18.61,6567
2005-01-03,18.76,19.56,18.76,19.56,1161
2005-01-04,20.44,20.51,18.25,18.84,9249
2005-01-05,18.7,18.7,17.31,17.98,4287
2005-01-06,17.88,18.1,16.79,17.25,11934
2005-01-07,17.24,18.13,17.15,17.56,1734
2005-01-10,18.21,18.33,17.84,17.89,440
2005-01-11,17.75,17.75,17.52,17.52,852
2005-01-12,17.59,17.59,16.79,16.9,1037
2005-01-13,17.52,17.59,16.18,17.42,197
2005-01-14,16.87,17.07,16.79,17.07,25
2005-01-17,16.79,17.26,16.79,17.26,420
2005-01-18,17.5,17.5,17.5,17.5,6
2005-01-19,17.43,17.52,16.95,17.5,489
2005-01-20,17.41,17.52,17.41,17.52,500
2005-01-24,17.59,17.59,16.98,17.07,665
2005-01-25,17.08,17.59,17.08,17.25,615
2005-01-27,17.45,18.03,17.45,18.03,51
2005-01-28,17.23,17.45,17.23,17.26,300
2005-01-31,17.23,18.38,17.23,17.96,1546
2005-02-01,17.88,17.88,17.67,17.67,2664
2005-02-02,17.74,18.96,17.45,18.59,3343
2005-02-03,18.21,18.61,18.19,18.25,440
2005-02-04,18.1,19.2,18.1,18.97,1261
2005-02-07,18.26,19.2,18.26,18.85,1295
2005-02-08,18.98,20.59,18.97,19.66,3519
2005-02-09,19.71,20.07,19.21,19.71,770
2005-02-10,20.13,20.13,19.34,19.84,1463
2005-02-11,19.21,19.86,19.21,19.86,45
2005-02-14,19.86,20.59,19.42,19.42,1497
2005-02-15,19.56,19.56,19.2,19.56,200
2005-02-16,19.6,19.6,18.76,19.09,680
2005-02-17,18.61,18.91,18.33,18.64,1618
2005-02-18,19.45,19.45,18.61,18.69,611
2005-02-21,18.61,18.61,18.32,18.42,575
2005-02-22,18.25,18.25,18.25,18.25,25
2005-02-23,19.13,19.2,18.32,19.02,6762
2005-02-24,19.12,20.22,19.12,19.58,2728
2005-02-25,20.07,21.54,19.86,21.02,12372
2005-02-28,22.15,22.63,20.88,22.09,5952
2005-03-01,22.26,22.26,21.17,21.24,4131
2005-03-02,22.19,22.26,21.68,21.78,2917
2005-03-03,21.93,21.93,20.0,20.23,3050
2005-03-04,20.15,21.13,18.4,19.87,3135
2005-03-07,20.65,21.17,20.29,20.57,6850
2005-03-08,20.81,22.34,20.6,21.86,6523
2005-03-09,22.56,23.21,21.53,21.99,9756
2005-03-10,21.75,22.63,21.68,22.48,3558
2005-03-11,22.69,22.99,21.53,22.41,4957
2005-03-14,22.7,23.99,22.34,23.33,7284
2005-03-15,23.72,25.67,23.72,25.67,8032
2005-03-16,26.72,28.24,26.57,28.24,3517
2005-03-17,29.63,29.65,29.63,29.65,1610
2005-03-18,31.14,31.14,31.14,31.14,1362
2005-03-21,32.7,32.7,32.7,32.7,770
2005-03-22,34.24,34.33,31.61,33.69,13185
2005-03-23,32.85,33.43,32.01,32.26,4906
2005-03-24,30.74,31.32,30.65,30.94,2520
2005-03-28,29.42,31.74,29.42,30.06,2796
2005-03-29,30.66,31.56,29.94,31.02,1601
2005-03-30,30.0,32.57,30.0,32.57,4130
2005-03-31,34.21,34.21,34.21,34.21,2148
2005-04-01,34.67,35.91,34.67,35.91,1521
2005-04-04,37.67,37.71,36.35,36.8,1367
2005-04-05,37.14,37.17,35.81,37.04,1396
2005-04-06,36.5,37.23,36.29,36.58,940
2005-04-07,37.16,38.25,37.16,37.57,2259
2005-04-08,37.59,37.59,36.5,37.1,781
2005-04-11,36.5,36.72,35.55,35.56,917
2005-04-12,34.67,35.77,34.6,35.77,1192
