date,open,high,low,close,volume
2010-10-29,34.67,38.12,31.51,31.92,187361
2010-11-01,31.97,33.05,31.83,32.0,41730
2010-11-02,31.92,32.4,31.88,31.9,72249
2010-11-03,32.87,32.87,31.92,31.94,59006
2010-11-04,32.16,32.16,31.5,31.85,142509
2010-11-05,31.95,32.16,31.92,31.99,32260
2010-11-08,31.93,32.15,31.64,31.64,94509
2010-11-09,31.69,31.88,31.59,31.64,123639
2010-11-10,31.71,31.77,31.65,31.69,51705
2010-11-11,31.92,32.4,31.65,32.1,187779
2010-11-12,32.16,32.63,31.93,32.4,63748
2010-11-15,33.1,33.67,32.94,33.25,59576
2010-11-16,33.58,33.58,32.92,33.28,59437
2010-11-18,33.67,33.67,32.16,32.35,31292
2010-11-19,33.1,33.1,32.4,32.52,50136
2010-11-22,32.07,33.11,32.07,32.81,35231
2010-11-23,32.78,32.87,29.85,31.62,43628
2010-11-24,31.45,31.45,25.25,25.25,242337
2010-11-25,20.2,20.2,20.2,20.2,7625
2010-11-26,18.18,18.18,18.18,18.18,564
2010-11-29,16.36,16.36,16.36,16.36,377
2010-11-30,14.73,14.73,14.73,14.73,2963
2010-12-01,13.99,13.99,13.99,13.99,1921
2010-12-02,13.29,13.29,13.29,13.29,1440
2010-12-03,12.63,12.63,12.63,12.63,1735
2010-12-06,12.0,12.0,12.0,12.0,802
2010-12-07,11.4,11.4,11.4,11.4,227
2010-12-08,10.83,10.83,10.83,10.83,155
2010-12-09,10.29,10.29,10.29,10.29,38
2010-12-10,9.77,9.77,9.77,9.77,111
2010-12-13,9.29,9.29,9.29,9.29,151
2010-12-14,8.82,8.82,8.82,8.82,313
2010-12-15,8.38,8.38,8.38,8.38,1613
2010-12-16,7.96,8.8,7.96,8.8,200550
2010-12-20,8.89,9.19,8.36,8.36,18398
2010-12-21,7.95,8.27,7.95,7.96,67691
2010-12-22,7.57,8.36,7.56,7.56,209802
2010-12-23,7.18,7.38,7.18,7.18,25956
2010-12-24,6.82,7.19,6.82,6.82,56028
2010-12-27,6.48,7.03,6.48,6.48,91234
2010-12-28,6.34,6.62,6.16,6.16,52492
2010-12-29,5.94,5.96,5.85,5.85,28617
2010-12-30,5.56,6.15,5.56,6.12,250773
2010-12-31,6.24,6.43,6.01,6.19,270617
2011-01-03,6.12,6.34,5.88,5.92,110801
2011-01-04,5.82,6.03,5.7,5.77,60619
2011-01-05,5.89,6.06,5.48,5.64,232156
2011-01-06,5.76,5.82,5.51,5.64,77704
2011-01-07,5.67,5.67,5.36,5.36,53131
2011-01-10,5.44,5.44,5.1,5.1,19519
2011-01-11,4.88,4.97,4.84,4.84,29876
2011-01-12,4.64,4.87,4.6,4.8,81464
2011-01-13,4.82,5.04,4.73,4.95,151636
2011-01-14,5.01,5.09,4.73,4.88,47850
2011-01-17,5.11,5.11,4.66,4.71,54203
2011-01-18,4.68,4.81,4.64,4.72,28724
2011-01-19,4.5,4.9,4.5,4.74,84038
2011-01-20,4.64,4.79,4.64,4.73,18460
2011-01-21,4.73,4.97,4.73,4.97,13894
2011-01-24,5.11,5.22,5.11,5.22,2595
2011-01-25,5.49,5.49,5.49,5.49,2018
2011-01-27,5.76,5.76,5.76,5.76,31940
2011-01-28,6.05,6.05,5.92,6.05,60860
2011-01-31,6.26,6.26,5.79,5.85,65197
2011-02-01,5.91,6.04,5.58,5.88,34521
2011-02-02,5.95,6.07,5.82,6.01,26814
2011-02-03,6.05,6.27,5.96,6.21,19497
2011-02-04,6.36,6.36,5.9,5.9,12424
2011-02-07,5.91,5.91,5.61,5.61,71559
2011-02-08,5.34,5.44,5.33,5.33,5495
2011-02-09,5.07,5.16,5.07,5.07,4950
2011-02-10,5.01,5.01,4.82,4.82,3754
2011-02-11,4.62,5.06,4.58,5.01,10832
2011-02-14,4.97,5.26,4.97,5.26,3846
2011-02-15,5.41,5.53,5.06,5.37,16885
2011-02-16,5.57,5.64,5.39,5.64,13085
2011-02-17,5.86,5.92,5.77,5.92,12532
2011-02-18,6.14,6.22,5.63,5.63,60300
2011-02-21,5.39,5.49,5.35,5.4,15820
2011-02-22,5.44,5.44,5.13,5.13,16112
2011-02-23,5.25,5.25,4.88,4.88,66224
2011-02-24,4.73,4.77,4.64,4.68,52800
2011-02-25,4.73,4.87,4.45,4.53,31699
2011-02-28,4.45,4.54,4.4,4.49,46151
2011-03-01,4.49,4.56,4.35,4.36,179935
2011-03-03,4.38,4.58,4.17,4.18,214556
2011-03-04,4.18,4.26,3.98,4.01,90680
2011-03-07,3.88,4.02,3.86,3.99,39313
2011-03-08,4.17,4.19,3.97,4.19,18164
2011-03-09,4.32,4.4,4.16,4.39,97077
2011-03-10,4.42,4.54,4.3,4.36,12726
2011-03-11,4.39,4.49,4.21,4.24,14572
2011-03-14,4.24,4.34,4.09,4.25,9028
2011-03-15,4.14,4.14,4.04,4.05,10575
2011-03-16,3.97,4.16,3.97,4.04,18622
2011-03-17,3.88,4.1,3.88,3.99,7001
2011-03-18,4.02,4.07,3.93,3.95,30244
2011-03-21,3.83,3.96,3.82,3.86,5102
2011-03-22,3.91,3.93,3.84,3.87,6081
2011-03-23,3.88,3.92,3.76,3.87,14919
2011-03-24,3.88,3.96,3.78,3.9,13827
2011-03-25,3.83,4.03,3.83,3.98,11944
2011-03-28,3.83,3.93,3.78,3.88,183230
2011-03-29,3.81,3.99,3.81,3.88,32454
2011-03-30,3.81,3.93,3.81,3.83,10387
2011-03-31,3.83,3.83,3.68,3.73,13143
2011-04-01,3.65,3.76,3.64,3.66,23492
2011-04-04,3.69,3.73,3.65,3.7,18959
2011-04-05,3.83,3.83,3.64,3.67,18712
2011-04-06,3.69,3.86,3.6,3.86,102819
2011-04-07,4.01,4.05,3.89,3.94,98600
2011-04-08,4.01,4.01,3.74,3.79,25445
2011-04-11,3.78,3.78,3.61,3.63,10930
2011-04-13,3.64,3.73,3.6,3.63,17244
2011-04-15,3.71,3.71,3.55,3.57,47715
2011-04-18,3.46,3.66,3.41,3.45,15711
2011-04-19,3.39,3.5,3.38,3.45,9920
