date,open,high,low,close,volume
2003-09-05,3.04,3.04,2.87,2.92,58204
2003-09-08,2.97,2.99,2.81,2.86,63775
2003-09-09,2.86,2.95,2.76,2.77,68105
2003-09-10,2.79,2.81,2.66,2.71,70505
2003-09-11,2.73,2.79,2.61,2.62,104854
2003-09-12,2.66,2.72,2.57,2.65,44310
2003-09-15,2.59,2.66,2.57,2.58,51063
2003-09-16,2.54,2.65,2.47,2.63,46015
2003-09-17,2.67,2.72,2.58,2.62,53820
2003-09-18,2.62,2.65,2.48,2.51,26120
2003-09-19,2.52,2.58,2.46,2.52,24867
2003-09-22,2.58,2.58,2.46,2.48,19808
2003-09-23,2.53,2.76,2.45,2.72,77989
2003-09-24,2.76,2.78,2.69,2.73,79760
2003-09-25,2.72,2.75,2.65,2.72,31497
2003-09-26,2.7,2.8,2.7,2.76,48595
2003-09-29,2.81,2.88,2.79,2.82,63348
2003-09-30,2.84,2.87,2.81,2.84,32522
2003-10-01,2.84,2.87,2.77,2.84,37794
2003-10-03,2.87,2.99,2.84,2.88,120119
2003-10-06,2.9,3.04,2.9,2.99,80544
2003-10-07,3.0,3.04,2.9,2.95,58015
2003-10-08,2.97,2.99,2.9,2.98,46945
2003-10-09,3.04,3.07,2.95,2.97,30776
2003-10-10,2.98,2.99,2.91,2.92,21862
2003-10-13,2.96,2.98,2.79,2.88,45531
2003-10-14,2.87,2.91,2.74,2.78,40630
2003-10-15,2.76,2.89,2.75,2.83,52534
2003-10-16,2.87,2.9,2.82,2.84,59266
2003-10-17,2.83,2.86,2.74,2.77,34769
2003-10-20,2.86,2.86,2.74,2.75,23160
2003-10-21,2.74,2.81,2.72,2.75,35031
2003-10-22,2.77,2.77,2.67,2.69,25123
2003-10-23,2.7,2.74,2.66,2.68,17300
2003-10-24,2.68,2.7,2.56,2.66,29680
2003-10-25,2.62,2.76,2.62,2.72,9770
2003-10-27,2.65,2.84,2.65,2.71,51110
2003-10-28,2.74,2.74,2.65,2.67,23667
2003-10-29,2.73,3.08,2.73,3.01,361395
2003-10-30,3.03,3.07,2.93,3.03,235477
2003-10-31,3.02,3.23,3.02,3.06,302068
2003-11-03,3.12,3.2,3.04,3.06,133436
2003-11-04,3.15,3.27,2.99,3.25,295692
2003-11-05,3.25,3.45,3.2,3.27,472905
2003-11-06,3.29,3.54,3.28,3.51,374471
2003-11-07,3.62,3.65,3.45,3.52,256080
2003-11-10,3.52,3.61,3.48,3.53,89726
2003-11-11,3.51,3.57,3.45,3.47,78718
2003-11-12,3.48,3.78,3.48,3.66,317673
2003-11-13,3.71,3.74,3.37,3.48,144409
2003-11-14,3.47,3.62,3.4,3.58,269433
2003-11-15,3.58,3.62,3.51,3.56,12511
2003-11-17,3.55,3.84,3.55,3.79,304256
2003-11-18,3.84,3.84,3.57,3.61,234725
2003-11-19,3.67,3.75,3.52,3.66,312887
2003-11-20,3.62,3.8,3.38,3.49,359626
2003-11-21,3.41,3.65,3.41,3.62,131055
2003-11-24,3.62,3.75,3.58,3.73,86119
2003-11-25,3.82,3.98,3.76,3.8,244700
2003-11-27,3.86,3.92,3.75,3.8,124416
2003-11-28,3.87,3.93,3.73,3.74,68621
2003-12-01,3.83,3.88,3.76,3.81,61579
2003-12-02,3.84,3.93,3.76,3.89,114015
2003-12-03,3.9,4.02,3.85,3.92,180007
2003-12-04,3.91,3.98,3.8,3.82,73223
2003-12-05,3.84,3.93,3.79,3.81,62191
2003-12-08,3.83,3.92,3.73,3.84,75312
2003-12-09,3.87,4.04,3.87,3.99,183198
2003-12-10,4.04,4.18,4.02,4.1,193348
2003-12-11,4.12,4.26,4.01,4.08,158072
2003-12-12,4.12,4.15,3.99,4.0,89433
2003-12-15,4.1,4.12,3.98,4.06,115359
2003-12-16,3.96,4.14,3.96,4.07,139991
2003-12-17,4.1,4.89,4.1,4.84,979398
2003-12-18,4.88,4.88,4.54,4.59,203140
2003-12-19,4.67,4.71,4.54,4.58,109314
2003-12-22,4.67,5.15,4.51,5.01,291394
2003-12-23,4.95,4.95,4.61,4.66,147850
2003-12-24,4.7,4.87,4.55,4.6,212413
2003-12-26,4.67,4.84,4.61,4.78,155561
2003-12-29,4.88,4.88,4.71,4.77,89792
2003-12-30,4.61,4.85,4.46,4.56,86910
2003-12-31,4.68,4.82,4.64,4.75,241635
2004-01-01,4.76,4.76,4.65,4.67,57144
2004-01-02,4.73,4.74,4.6,4.63,71856
2004-01-05,4.65,4.75,4.53,4.55,69816
2004-01-06,4.6,4.88,4.53,4.6,179519
2004-01-07,4.56,4.62,4.42,4.52,77392
2004-01-08,4.56,4.92,4.56,4.77,281517
2004-01-09,4.84,5.0,3.98,4.56,141654
2004-01-12,4.6,4.65,4.5,4.52,77032
2004-01-13,4.49,4.59,4.23,4.29,158951
2004-01-14,4.32,4.46,4.24,4.3,189178
2004-01-15,4.35,4.43,4.32,4.34,112690
2004-01-16,4.29,4.4,4.24,4.32,125445
2004-01-19,4.35,4.62,4.18,4.31,72820
2004-01-20,4.36,4.42,4.23,4.29,111137
2004-01-21,4.32,4.32,3.98,4.08,81220
2004-01-22,3.76,4.1,3.76,3.97,82840
2004-01-23,3.8,4.29,3.76,4.2,59119
2004-01-27,4.29,4.39,4.23,4.26,73072
2004-01-28,4.4,4.54,4.07,4.11,99908
2004-01-29,4.12,4.26,3.93,4.1,60554
2004-01-30,4.04,4.18,3.79,3.86,32432
2004-02-03,3.9,3.9,3.6,3.65,32473
2004-02-04,3.65,3.7,3.57,3.59,43658
2004-02-05,3.62,4.04,3.62,3.82,148492
2004-02-06,3.88,3.95,3.71,3.78,30076
2004-02-09,3.87,3.87,3.8,3.84,19548
2004-02-10,3.84,3.89,3.78,3.82,12582
2004-02-11,3.86,3.86,3.68,3.72,24442
2004-02-12,3.77,3.93,3.64,3.69,49921
2004-02-13,3.7,3.78,3.67,3.74,37713
