date,open,high,low,close,volume
2022-04-08,75.25,78.21,74.25,75.31,349517
2022-04-11,76.96,79.75,75.25,76.46,170231
2022-04-12,76.73,77.24,75.25,76.15,87302
2022-04-13,77.49,79.46,76.28,76.89,99169
2022-04-18,76.71,77.45,76.13,76.94,76385
2022-04-19,77.5,77.5,75.5,75.74,121602
2022-04-20,76.0,76.34,75.38,75.83,78221
2022-04-21,77.25,77.25,75.43,75.83,67636
2022-04-22,75.75,76.75,75.13,75.34,72092
2022-04-25,75.35,76.25,74.3,75.09,87570
2022-04-26,75.39,76.29,75.01,75.65,95157
2022-04-27,75.73,77.45,75.19,76.26,87058
2022-04-28,76.9,79.89,76.25,77.95,83378
2022-04-29,77.95,79.7,77.5,78.54,56067
2022-05-02,80.26,80.28,78.25,78.73,50831
2022-05-04,80.45,80.45,78.66,79.04,46141
2022-05-05,79.68,82.89,79.23,81.1,77314
2022-05-06,80.0,81.25,75.49,80.26,57186
2022-05-09,80.94,80.94,79.03,79.83,32735
2022-05-10,79.75,81.75,78.79,80.49,48054
2022-05-11,80.53,80.88,76.71,77.54,62322
2022-05-12,77.25,78.51,76.2,76.48,53386
2022-05-13,77.5,78.75,77.25,78.11,38634
2022-05-16,78.11,79.5,78.0,78.56,44949
2022-05-17,78.74,79.5,78.0,79.08,35291
2022-05-18,80.0,80.63,78.75,79.95,49911
2022-05-19,79.39,79.6,78.0,79.0,39041
2022-05-20,79.5,81.85,79.0,81.3,48102
2022-05-23,82.21,96.25,81.65,85.09,74471
2022-05-24,85.0,85.15,81.28,83.79,53291
2022-05-25,87.65,89.0,85.01,85.44,69701
2022-05-26,87.38,87.45,83.69,86.31,46308
2022-05-27,87.5,87.75,86.5,86.56,43788
2022-05-30,86.75,88.3,84.7,85.18,63394
2022-05-31,85.49,86.24,83.2,85.49,78173
2022-06-01,85.11,87.5,85.01,86.83,43316
2022-06-02,86.98,88.36,86.25,86.94,33111
2022-06-03,86.26,87.85,86.26,86.79,29383
2022-06-06,88.53,88.53,86.25,86.51,105714
2022-06-07,86.33,87.65,86.33,86.78,26683
2022-06-08,86.93,87.49,85.65,86.81,43399
2022-06-09,88.25,88.25,86.34,87.46,28940
2022-06-10,87.31,87.44,86.25,86.48,32201
2022-06-13,85.26,86.5,84.55,85.4,41039
2022-06-14,85.0,85.86,84.78,85.06,27528
2022-06-15,85.68,91.0,85.5,90.31,77198
2022-06-16,90.08,93.7,88.75,91.6,84157
2022-06-17,92.5,92.5,90.04,90.84,46188
2022-06-20,89.94,92.09,87.63,88.5,40474
2022-06-21,88.7,91.08,88.7,90.13,36004
2022-06-22,90.25,92.8,88.9,92.4,50683
