date,open,high,low,close,volume
2003-09-05,8.34,8.63,8.34,8.48,21063
2003-09-08,8.43,8.53,8.43,8.46,10295
2003-09-09,8.45,8.53,8.4,8.43,13690
2003-09-10,8.3,8.55,8.3,8.44,11730
2003-09-11,8.43,8.57,8.4,8.43,15000
2003-09-12,8.43,8.46,8.22,8.29,24869
2003-09-15,8.18,8.37,8.05,8.08,11322
2003-09-16,8.13,8.25,7.99,8.21,6454
2003-09-17,8.3,8.63,8.3,8.48,16317
2003-09-18,8.54,8.57,8.22,8.22,8995
2003-09-19,8.26,8.3,8.13,8.21,5125
2003-09-22,8.3,8.47,8.22,8.23,3125
2003-09-23,8.3,8.3,8.22,8.23,2045
2003-09-24,8.38,8.38,8.12,8.28,6361
2003-09-25,8.43,8.43,8.05,8.3,8940
2003-09-26,8.13,8.38,8.13,8.26,4210
2003-09-29,8.28,8.38,8.26,8.38,4318
2003-09-30,8.37,8.47,8.31,8.38,8291
2003-10-01,8.44,8.47,8.3,8.41,6539
2003-10-03,8.46,8.54,8.39,8.45,12336
2003-10-06,8.47,8.58,8.38,8.51,11964
2003-10-07,8.5,8.72,8.5,8.62,13525
2003-10-08,8.55,8.68,8.55,8.65,16810
2003-10-09,8.71,8.82,8.59,8.67,36462
2003-10-10,8.8,9.04,8.67,8.96,25153
2003-10-13,8.4,9.45,8.4,9.37,28709
2003-10-14,9.37,9.8,9.17,9.53,47008
2003-10-15,9.63,9.74,9.38,9.47,33229
2003-10-16,9.5,9.8,9.48,9.64,12966
2003-10-17,9.71,9.88,9.5,9.72,14573
2003-10-20,9.88,9.96,9.55,9.66,15634
2003-10-21,9.63,9.63,8.63,9.52,13552
2003-10-22,9.55,9.61,8.38,9.45,15206
2003-10-23,9.46,9.59,9.21,9.53,9291
2003-10-24,9.46,9.55,9.35,9.5,4605
2003-10-25,9.76,9.77,9.43,9.49,1300
2003-10-27,9.49,9.7,9.49,9.6,11316
2003-10-28,9.65,9.88,9.53,9.7,34272
2003-10-29,9.7,10.38,9.7,9.99,27394
2003-10-30,10.63,11.62,10.13,10.52,32829
2003-10-31,10.87,10.87,10.46,10.62,21944
2003-11-03,10.47,10.81,10.46,10.49,9966
2003-11-04,10.46,10.68,10.04,10.2,14436
2003-11-05,10.71,11.29,10.04,10.12,8344
2003-11-06,10.13,10.29,10.13,10.22,7917
2003-11-07,10.38,10.38,10.21,10.37,9054
2003-11-10,10.14,10.38,10.13,10.37,6825
2003-11-11,10.46,10.96,10.33,10.82,22051
2003-11-12,10.79,11.27,10.79,11.13,22987
2003-11-13,10.79,11.36,10.79,10.8,8562
2003-11-14,10.46,11.01,10.3,10.82,12556
