date,open,high,low,close,volume
2014-03-14,126.86,128.13,125.45,125.99,22548
2014-03-18,127.0,127.33,124.39,124.79,26558
2014-03-19,123.96,125.74,123.38,123.81,16105
2014-03-20,123.23,130.41,123.23,125.01,70059
2014-03-21,124.14,126.13,124.14,125.48,69994
2014-03-22,126.46,126.46,125.45,125.77,3329
2014-03-24,124.68,126.5,123.23,124.54,21911
2014-03-25,125.59,130.34,125.23,129.54,207103
2014-03-26,133.02,133.02,127.66,128.09,65650
2014-03-27,128.67,129.18,125.63,126.13,82722
2014-03-28,128.09,128.09,124.87,125.63,31157
2014-03-31,125.41,134.72,125.41,130.56,232228
2014-04-01,131.72,131.79,127.98,129.47,67549
2014-04-02,131.06,140.6,127.22,136.14,243999
2014-04-03,136.9,136.9,133.75,135.63,67718
2014-04-04,134.29,139.87,134.25,135.67,38940
2014-04-07,134.98,141.36,134.94,140.02,168393
2014-04-09,139.22,142.15,139.18,140.09,140136
2014-04-10,139.94,142.08,139.11,140.56,42437
2014-04-11,139.84,142.23,138.49,139.91,37095
2014-04-15,141.86,141.86,137.12,137.88,46428
2014-04-16,138.1,140.74,137.15,137.95,39986
2014-04-17,137.01,140.96,137.01,138.64,32420
2014-04-21,139.22,140.74,137.91,139.98,24691
2014-04-22,141.43,145.71,141.14,142.19,224300
2014-04-23,142.19,144.91,138.2,140.31,196065
2014-04-25,141.0,141.36,138.1,140.34,46553
2014-04-28,140.31,140.31,135.27,138.71,40469
2014-04-29,139.73,141.36,134.47,139.98,49460
2014-04-30,142.08,142.37,134.83,138.02,149084
2014-05-02,139.0,140.92,136.94,138.53,19571
2014-05-05,139.73,158.32,137.77,153.54,1037878
2014-05-06,155.42,155.49,145.05,147.16,175296
2014-05-07,148.53,150.06,143.68,146.43,90745
2014-05-08,150.06,150.06,145.71,147.08,162345
2014-05-09,150.78,150.78,147.16,148.61,270530
2014-05-12,149.33,151.14,146.54,148.82,123877
2014-05-13,148.97,158.68,148.61,154.08,1342945
2014-05-14,154.99,158.03,150.85,156.18,95425
2014-05-15,156.91,160.64,155.28,159.26,153709
2014-05-16,162.96,164.37,158.1,159.55,122930
2014-05-19,160.5,173.98,160.5,172.35,75289
2014-05-20,173.07,173.07,165.17,168.54,80887
2014-05-21,168.9,176.44,167.09,174.01,75097
2014-05-22,174.7,181.23,173.98,179.16,264300
2014-05-23,181.88,182.68,179.23,180.25,72143
2014-05-26,181.55,189.49,174.16,176.84,71794
2014-05-27,176.3,187.53,171.04,185.4,49945
2014-05-28,187.75,189.13,185.0,187.86,75099
2014-05-29,188.98,209.5,183.26,197.76,173916
2014-05-30,197.18,204.61,184.49,191.81,300321
2014-06-02,191.81,199.97,191.34,197.94,107110
2014-06-03,199.13,201.52,193.55,199.68,28486
2014-06-04,200.58,213.34,198.66,210.55,168036
2014-06-05,210.95,215.88,203.01,211.24,87680
2014-06-06,212.4,215.66,200.8,203.45,72144
