date,open,high,low,close,volume
2005-01-03,13.57,13.75,13.44,13.54,94838
2005-01-04,13.65,13.92,13.53,13.77,178709
2005-01-05,13.69,13.95,13.11,13.22,164760
2005-01-06,13.18,13.46,13.07,13.16,88094
2005-01-07,13.33,13.4,13.02,13.14,61586
2005-01-10,13.54,13.54,13.08,13.12,49947
2005-01-11,13.32,13.32,12.71,12.81,58098
2005-01-12,13.19,13.19,11.88,12.05,74212
2005-01-13,12.22,12.53,12.21,12.36,45404
2005-01-14,12.36,12.62,12.23,12.35,31944
2005-01-17,12.27,12.43,12.0,12.07,21503
2005-01-18,12.09,12.62,12.09,12.28,32599
2005-01-19,12.44,12.44,12.0,12.08,29964
2005-01-20,12.04,12.16,11.91,11.95,21568
2005-01-24,12.09,12.71,12.04,12.15,85386
2005-01-25,12.09,12.32,12.0,12.21,42855
2005-01-27,12.37,12.48,12.27,12.34,51079
2005-01-28,12.43,12.43,12.25,12.29,40886
2005-01-31,12.6,12.6,12.35,12.39,40050
2005-02-01,12.52,12.53,12.21,12.23,39730
2005-02-02,12.28,12.39,12.2,12.23,23948
2005-02-03,12.24,12.52,12.22,12.28,46388
2005-02-04,12.41,12.52,12.18,12.2,29128
2005-02-07,12.44,12.44,12.11,12.13,48603
2005-02-08,12.1,12.27,12.08,12.11,36622
2005-02-09,12.24,13.02,12.2,12.85,283634
2005-02-10,12.98,13.22,12.62,12.69,185280
2005-02-11,12.84,12.97,12.71,12.77,88584
2005-02-14,12.98,13.14,12.85,12.9,128338
2005-02-15,12.97,12.97,12.53,12.6,80137
2005-02-16,12.69,12.87,12.23,12.33,66804
2005-02-17,12.4,12.52,12.24,12.36,41058
2005-02-18,12.35,12.52,12.28,12.32,53982
2005-02-21,12.49,12.5,12.2,12.26,30878
2005-02-22,12.32,12.33,12.14,12.19,26784
2005-02-23,12.24,12.36,12.13,12.16,26956
2005-02-24,12.18,12.25,12.01,12.04,35684
2005-02-25,12.3,12.3,11.73,11.81,40828
2005-02-28,12.09,12.44,11.82,11.92,41368
2005-03-01,11.95,11.95,11.82,11.84,29105
2005-03-02,11.89,12.27,11.86,11.95,56276
2005-03-03,12.21,12.62,12.09,12.5,133263
2005-03-04,12.56,12.78,12.49,12.71,103195
2005-03-07,12.96,13.24,12.89,13.0,200508
2005-03-08,13.02,13.71,13.02,13.55,309012
2005-03-09,13.6,13.94,13.44,13.63,315047
2005-03-10,13.51,13.78,13.51,13.64,143884
2005-03-11,13.62,13.73,13.48,13.58,108155
2005-03-14,13.64,13.84,13.58,13.71,148844
2005-03-15,14.12,14.12,13.49,13.6,139370
2005-03-16,13.6,13.64,13.02,13.1,51946
2005-03-17,13.11,13.11,12.67,12.78,41110
2005-03-18,12.97,12.97,12.53,12.72,55070
2005-03-21,12.8,13.13,12.8,12.92,53421
2005-03-22,12.89,12.89,12.19,12.36,46600
2005-03-23,12.31,12.42,11.76,11.84,63309
2005-03-24,11.91,12.17,11.73,11.76,56293
2005-03-28,11.98,12.27,11.11,11.28,70182
2005-03-29,11.29,11.29,10.22,10.37,210962
2005-03-30,10.67,11.01,10.47,10.68,155732
2005-03-31,10.78,11.45,10.78,11.24,191620
2005-04-01,11.41,11.56,11.29,11.47,236579
2005-04-04,11.76,12.0,11.64,11.78,113263
2005-04-05,11.78,11.94,11.23,11.54,128208
2005-04-06,11.64,11.69,11.26,11.32,72538
2005-04-07,11.52,11.69,11.39,11.44,147172
2005-04-08,11.46,11.69,11.42,11.53,79269
2005-04-11,11.51,11.64,11.38,11.46,55964
2005-04-12,11.47,11.72,11.46,11.63,41436
2005-04-13,11.69,12.96,11.69,12.59,459085
2005-04-15,12.44,12.44,11.75,11.8,291747
2005-04-18,11.8,12.24,11.38,11.64,263753
2005-04-19,11.73,11.96,10.67,10.83,171841
2005-04-20,11.11,11.2,10.82,11.03,142758
2005-04-21,11.11,11.11,10.55,10.64,272154
2005-04-22,10.87,11.09,10.68,10.82,284879
2005-04-25,10.89,12.0,10.84,11.81,374086
2005-04-26,11.84,12.21,11.62,11.69,214617
2005-04-27,11.76,12.0,11.46,11.56,117007
2005-04-28,11.56,11.76,11.56,11.66,97840
2005-04-29,11.11,11.82,11.11,11.66,72865
2005-05-02,11.91,12.16,11.61,12.0,142281
2005-05-03,12.0,12.27,11.83,12.2,160712
2005-05-04,12.34,12.71,11.96,12.28,228664
2005-05-05,12.34,12.53,12.22,12.36,146767
2005-05-06,12.41,12.52,12.19,12.45,48235
2005-05-09,12.44,12.8,12.44,12.68,72350
2005-05-10,12.62,12.68,12.32,12.4,27386
2005-05-11,12.33,12.36,12.14,12.27,83211
2005-05-12,12.62,12.62,12.27,12.36,47413
2005-05-13,12.52,13.07,12.52,12.84,237024
2005-05-16,12.99,13.24,12.79,13.03,228781
2005-05-17,13.07,13.23,12.53,12.62,99881
2005-05-18,12.8,12.8,12.37,12.5,65495
2005-05-19,12.58,12.78,12.31,12.39,87132
2005-05-20,11.29,12.29,11.29,12.22,46363
2005-05-23,12.29,12.71,12.29,12.49,87804
2005-05-24,12.7,12.71,12.22,12.26,42439
2005-05-25,12.33,12.47,12.24,12.29,88672
2005-05-26,12.32,12.36,12.14,12.27,42030
2005-05-27,12.04,12.52,12.04,12.16,61224
2005-05-30,12.23,12.52,12.16,12.19,42172
2005-05-31,12.26,12.31,12.17,12.2,26361
2005-06-01,12.27,12.44,12.05,12.12,52202
2005-06-02,12.36,12.36,11.82,11.91,49649
2005-06-03,12.0,12.27,11.96,12.15,41595
2005-06-04,12.22,12.41,12.18,12.32,26129
2005-06-06,12.5,12.76,12.36,12.41,182863
2005-06-07,12.45,12.76,12.29,12.4,190825
2005-06-08,12.98,14.88,12.98,14.88,2510060
2005-06-09,15.11,16.77,15.11,15.47,4687595
2005-06-10,15.8,15.8,14.93,15.08,1081200
2005-06-13,15.29,16.15,15.23,15.66,1719033
2005-06-14,15.82,15.86,15.35,15.5,586838
2005-06-15,15.61,15.62,15.2,15.34,321023
2005-06-16,15.44,16.4,15.12,15.23,1462312
2005-06-17,15.3,15.42,14.72,14.82,357981
2005-06-20,15.02,15.02,14.36,14.68,320702
2005-06-21,14.76,14.93,14.47,14.74,164675
2005-06-22,14.84,15.11,14.58,14.69,159055
2005-06-23,14.8,15.07,14.67,14.82,156772
2005-06-24,14.6,15.17,14.5,15.04,246803
2005-06-27,15.11,15.24,14.69,14.76,351494
2005-06-28,14.77,14.91,13.88,14.06,136105
2005-06-29,14.35,14.35,13.82,13.89,174353
2005-06-30,14.1,14.13,13.7,13.8,176753
2005-07-01,13.82,14.04,13.39,13.55,583430
2005-07-04,13.6,14.04,13.6,13.76,256401
2005-07-05,13.95,14.31,13.26,13.4,1053879
2005-07-06,13.51,13.9,13.51,13.75,272752
2005-07-07,13.89,14.57,13.79,13.99,560028
2005-07-08,14.13,14.4,14.04,14.17,220852
2005-07-11,14.44,14.48,14.12,14.2,155628
2005-07-12,14.23,14.93,14.12,14.83,504439
2005-07-13,14.93,15.02,14.58,14.75,261484
2005-07-14,14.88,15.02,14.63,14.75,243876
2005-07-15,14.49,14.74,14.27,14.64,201552
2005-07-18,14.76,15.2,14.68,14.97,356055
2005-07-19,14.97,15.55,14.97,15.33,487096
2005-07-20,15.53,15.56,14.76,14.88,255850
2005-07-21,14.85,15.15,14.58,14.88,175229
2005-07-22,14.76,15.15,14.67,14.86,153733
2005-07-25,15.01,15.01,14.33,14.43,381670
2005-07-26,14.67,14.83,13.96,14.44,414703
2005-07-27,14.31,14.49,13.72,14.02,195985
2005-07-29,14.02,14.02,13.47,13.6,354638
2005-08-01,13.61,13.61,13.18,13.29,123710
2005-08-02,13.39,13.59,13.23,13.29,192889
