date,open,high,low,close,volume
2003-09-05,46.08,46.93,44.92,45.81,12282
2003-09-08,45.87,47.14,45.12,46.79,57372
2003-09-09,47.47,48.0,46.19,46.71,32814
2003-09-10,46.51,48.96,46.41,48.22,45821
2003-09-11,46.93,49.07,46.93,47.59,26797
2003-09-12,49.07,49.07,45.33,46.33,14058
2003-09-15,45.35,46.4,45.33,45.8,5548
2003-09-16,45.97,47.79,44.48,47.22,40647
2003-09-17,46.4,46.4,45.34,45.88,33711
2003-09-18,47.15,47.15,45.87,46.02,38349
2003-09-19,45.9,46.08,45.87,45.97,20008
2003-09-22,45.89,46.71,45.89,46.44,133153
2003-09-23,46.29,46.72,46.29,46.47,83012
2003-09-24,46.99,51.73,46.42,51.17,136739
2003-09-25,51.32,52.8,48.64,51.71,72462
2003-09-26,53.23,53.23,49.07,50.16,104905
2003-09-29,50.72,54.37,50.13,54.02,44558
2003-09-30,53.87,55.13,53.33,54.06,38411
2003-10-01,54.2,54.93,53.33,54.37,23451
2003-10-03,54.52,58.12,54.29,57.32,90974
2003-10-06,57.5,59.51,57.09,57.56,46989
2003-10-07,58.62,58.77,57.82,58.17,24793
2003-10-08,58.88,58.88,57.07,57.72,17421
2003-10-09,58.03,59.2,56.0,56.69,4195
2003-10-10,58.13,58.13,56.16,57.45,7158
2003-10-13,54.76,58.13,54.76,57.77,9853
2003-10-14,56.72,58.13,56.53,57.32,22619
2003-10-15,58.61,58.61,57.07,57.65,6473
2003-10-16,57.61,58.45,57.39,57.84,2475
2003-10-17,56.6,57.6,55.48,55.81,11210
2003-10-20,55.81,55.89,52.16,53.55,15840
2003-10-21,54.4,54.4,51.73,52.95,47430
2003-10-22,52.49,53.25,51.53,52.27,4517
2003-10-23,52.26,52.69,51.2,51.82,4944
2003-10-24,53.33,53.33,48.14,49.31,22112
2003-10-25,51.09,51.09,49.07,49.62,3996
2003-10-27,49.28,49.33,48.11,48.38,7258
2003-10-28,48.0,48.0,41.61,46.55,10431
2003-10-29,46.51,47.89,46.51,47.65,16683
2003-10-30,48.0,50.13,47.47,49.73,20505
2003-10-31,50.67,53.65,50.13,52.33,21079
2003-11-03,52.8,54.4,52.8,53.94,12984
2003-11-04,53.87,55.47,53.87,55.11,27707
2003-11-05,54.73,57.6,50.15,57.09,18796
2003-11-06,57.34,58.13,56.13,56.57,8721
2003-11-07,56.53,56.53,55.47,56.21,3690
2003-11-10,55.47,56.0,55.47,55.79,2643
2003-11-11,56.0,56.53,55.47,56.31,11513
2003-11-12,56.53,56.53,56.0,56.15,28194
2003-11-13,56.21,57.28,56.21,56.51,20656
2003-11-14,56.21,57.07,55.57,56.17,4390
2003-11-15,55.47,56.96,53.44,54.63,1036
2003-11-17,54.08,56.53,54.08,56.36,1994
2003-11-18,56.53,58.77,56.0,58.33,39502
2003-11-19,58.56,61.87,58.29,61.35,45945
2003-11-20,61.75,62.93,61.37,62.53,69100
2003-11-21,56.53,61.97,56.53,61.83,29528
2003-11-24,55.59,61.65,55.59,59.94,22958
2003-11-25,59.73,62.92,59.73,60.75,2102
2003-11-27,59.1,63.13,58.51,59.24,14260
2003-11-28,59.95,61.72,59.73,60.03,2609
2003-12-01,60.37,61.87,59.52,61.0,50864
2003-12-02,60.27,61.33,60.27,60.9,4921
2003-12-03,60.8,64.53,60.8,63.85,13285
2003-12-04,64.53,65.31,64.0,65.16,28472
2003-12-05,65.6,68.27,63.71,64.9,8462
2003-12-08,63.21,64.53,63.21,64.08,14177
2003-12-09,64.53,65.41,63.47,65.1,27935
2003-12-10,64.54,65.6,64.21,65.15,26259
2003-12-11,66.03,66.03,63.47,65.03,3943
2003-12-12,65.17,65.76,64.96,65.39,25653
2003-12-15,65.71,66.88,65.6,66.01,8366
2003-12-16,65.71,65.71,63.21,64.42,3935
2003-12-17,66.64,66.64,63.68,65.26,3583
2003-12-18,66.45,67.73,65.6,66.97,21544
2003-12-19,68.05,68.05,65.6,66.32,2268
2003-12-22,65.92,66.67,64.33,64.75,2798
2003-12-23,65.07,66.29,64.99,66.04,18303
2003-12-24,66.61,67.2,65.18,65.59,16702
2003-12-26,66.67,66.67,65.67,66.08,3273
2003-12-29,66.12,66.13,65.18,65.58,5087
2003-12-30,65.71,66.66,64.0,64.37,17393
2003-12-31,64.53,71.47,64.11,68.3,27379
2004-01-01,70.4,70.4,68.27,69.31,17021
2004-01-02,65.92,69.87,65.92,69.38,19058
2004-01-05,69.87,70.6,68.6,69.78,69072
2004-01-06,70.92,70.93,68.37,68.8,6530
2004-01-07,68.8,70.4,68.8,69.8,5765
2004-01-08,69.76,70.19,68.8,69.33,4504
2004-01-09,66.24,70.21,66.24,70.09,25600
2004-01-12,72.43,72.43,69.89,69.97,4666
2004-01-13,69.87,70.58,69.33,70.4,33313
2004-01-14,70.45,71.25,69.04,69.45,34781
2004-01-15,70.72,70.72,67.92,68.6,3381
2004-01-16,64.53,69.0,64.53,66.86,3745
2004-01-19,68.27,70.4,66.68,69.07,27242
2004-01-20,64.53,70.28,64.53,69.36,7640
2004-01-21,69.33,70.29,68.27,68.98,13116
2004-01-22,68.27,68.79,55.31,68.16,6843
2004-01-23,65.08,74.67,65.08,70.7,26739
2004-01-27,71.47,77.33,71.47,73.26,12150
2004-01-28,76.27,76.48,74.77,75.72,115185
2004-01-29,70.75,76.27,70.75,75.8,23777
2004-01-30,76.16,76.27,75.73,75.77,20860
2004-02-03,76.27,81.07,75.95,76.08,18960
2004-02-04,79.99,79.99,75.86,76.67,71584
2004-02-05,76.8,79.52,76.59,78.91,21710
2004-02-06,77.87,79.99,77.76,78.96,38494
2004-02-09,78.72,78.83,77.65,78.0,776
2004-02-10,70.95,78.83,70.95,75.78,4160
2004-02-11,72.66,77.65,72.0,74.4,15425
2004-02-12,75.63,75.63,73.61,74.72,22272
2004-02-13,74.13,74.67,73.87,74.51,4150
2004-02-16,75.31,75.31,73.28,73.62,2868
2004-02-17,74.56,76.27,74.45,75.14,92577
2004-02-18,75.57,76.79,74.82,75.18,11061
2004-02-19,74.85,77.23,74.06,75.6,10512
2004-02-20,75.2,75.2,71.77,72.34,5213
2004-02-23,72.53,73.92,71.74,72.11,4309
2004-02-24,70.93,73.17,70.93,72.53,551
2004-02-25,71.74,71.74,69.44,69.55,1082
2004-02-26,71.47,71.47,69.33,69.87,15311
2004-02-27,69.87,70.4,69.45,70.3,2467
2004-03-01,69.97,72.0,69.87,71.5,4643
2004-03-03,71.47,73.07,71.47,72.61,9789
2004-03-04,72.53,72.96,72.52,72.53,2106
2004-03-05,69.94,74.13,69.94,73.68,2913
2004-03-08,75.84,79.15,74.25,78.39,24614
2004-03-09,76.8,78.93,76.27,77.86,14305
2004-03-10,74.78,78.51,73.71,77.69,9789
2004-03-11,77.33,80.53,76.8,78.61,12512
2004-03-12,78.4,78.93,74.13,77.85,23826
2004-03-15,76.27,76.75,74.14,74.93,17133
2004-03-16,77.87,77.87,74.29,74.68,6854
2004-03-17,75.2,76.59,74.35,75.11,4651
2004-03-18,74.67,75.73,74.13,74.19,3131
2004-03-19,74.13,74.31,73.6,74.17,2042
2004-03-22,74.03,75.73,73.49,74.92,2957
2004-03-23,74.77,76.05,74.13,74.49,20885
2004-03-24,74.14,74.81,74.13,74.45,8298
2004-03-25,75.41,76.69,74.45,74.46,2454
2004-03-26,74.67,74.67,71.47,74.6,20947
2004-03-29,76.16,76.16,74.67,74.77,17598
2004-03-30,76.27,76.47,75.52,76.14,1265
2004-03-31,74.67,77.87,74.67,77.2,5166
2004-04-01,77.23,77.86,76.27,77.35,17449
2004-04-02,79.47,79.47,76.86,78.37,2691
2004-04-05,78.4,78.93,78.19,78.4,9821
2004-04-06,80.0,80.0,78.03,78.93,6220
2004-04-07,82.13,82.13,78.4,78.43,3096
2004-04-08,78.4,79.47,78.4,79.18,5042
2004-04-12,79.47,79.86,78.53,79.47,1896
2004-04-13,79.47,80.75,79.47,80.39,8450
2004-04-15,74.88,83.19,74.88,81.32,5832
2004-04-16,84.37,84.37,81.22,82.4,1293
2004-04-17,83.2,83.2,81.31,82.65,411
2004-04-19,82.77,83.2,81.69,82.17,394
2004-04-20,82.13,82.56,81.07,81.2,1074
2004-04-21,82.24,82.25,81.39,81.62,321
2004-04-22,81.07,81.6,81.07,81.07,344
2004-04-23,81.17,82.13,81.07,81.18,20487
2004-04-27,81.28,81.92,78.4,81.31,6439
2004-04-28,81.28,82.13,81.07,81.93,6140
2004-04-29,83.63,83.63,82.13,82.85,4376
2004-04-30,83.73,83.73,81.08,82.12,14460
2004-05-03,81.6,81.6,76.97,77.37,779
2004-05-04,77.33,82.01,75.63,81.12,3724
2004-05-05,81.07,82.56,80.0,80.22,2025
2004-05-06,80.01,80.53,78.26,80.33,40148
2004-05-07,80.0,80.53,78.94,80.19,471
2004-05-10,80.0,80.0,78.93,79.32,1506
2004-05-11,77.38,78.93,76.8,77.53,2414
2004-05-12,78.72,80.0,75.95,78.69,1834
2004-05-13,74.67,77.33,66.13,73.72,2454
2004-05-14,79.99,79.99,64.21,67.38,47707
2004-05-17,59.26,64.0,53.92,59.17,7221
2004-05-18,57.6,64.0,57.6,60.82,19306
2004-05-19,62.93,64.01,62.4,64.0,29332
2004-05-20,65.6,65.6,64.29,64.48,1236
2004-05-21,64.0,64.0,62.93,63.72,1918
2004-05-24,64.0,66.13,62.93,63.64,1080
2004-05-25,62.92,62.93,61.33,61.37,3528
2004-05-26,73.6,73.6,61.97,63.26,2044
2004-05-27,73.49,73.49,55.49,63.44,2557
2004-05-28,63.84,64.0,57.63,60.23,2611
2004-05-31,63.98,63.98,53.33,55.47,7664
2004-06-01,55.46,57.39,54.4,54.97,7505
2004-06-02,53.9,57.56,53.9,56.53,10383
2004-06-03,58.13,58.44,55.47,57.45,60093
2004-06-04,57.49,66.67,56.53,65.57,715716
2004-06-07,65.07,69.23,64.21,68.21,425216
2004-06-08,66.77,67.95,65.17,66.41,14202
2004-06-09,66.13,69.23,64.22,67.2,197532
2004-06-10,66.77,67.79,66.14,67.18,3173
2004-06-11,65.17,67.39,65.17,65.78,1445
2004-06-14,65.07,67.2,65.07,66.52,8898
2004-06-15,66.13,66.67,65.71,65.71,2057
2004-06-16,66.14,67.11,66.13,66.66,1877
2004-06-17,66.14,66.99,65.67,66.81,2030
2004-06-18,66.14,66.77,65.6,65.66,167
2004-06-21,64.0,66.67,63.25,63.57,1273
2004-06-22,64.0,64.53,60.8,61.67,423
2004-06-23,63.78,63.78,56.76,57.06,1355
2004-06-24,61.63,61.63,57.17,58.31,3550
2004-06-25,58.13,60.55,58.13,59.79,450
2004-06-28,57.61,60.79,57.61,59.14,1032
2004-06-29,60.91,61.01,58.56,59.27,10834
2004-06-30,59.41,60.26,59.31,59.81,5535
2004-07-01,60.48,60.8,58.78,59.41,7536
2004-07-02,60.05,60.96,59.63,60.8,9123
2004-07-05,61.33,61.33,60.8,60.91,10652
2004-07-06,61.76,61.76,59.33,61.07,3550
2004-07-07,61.87,62.61,61.33,61.53,18046
2004-07-08,61.33,64.37,61.33,61.33,3008
2004-07-09,59.79,64.53,59.79,63.92,4209
2004-07-12,62.4,63.68,62.4,62.93,289
2004-07-13,67.2,67.2,62.53,63.57,9642
2004-07-14,63.25,63.25,60.8,61.97,9121
2004-07-15,68.91,68.91,61.01,61.5,13228
2004-07-16,61.44,62.56,60.91,61.35,10924
2004-07-19,66.56,66.56,62.29,62.75,4392
2004-07-20,62.51,63.89,62.51,62.9,1936
2004-07-21,62.93,63.15,62.29,62.61,4979
2004-07-22,63.67,63.79,62.93,63.53,6660
2004-07-23,62.93,63.79,62.93,63.49,6638
2004-07-26,68.8,68.8,63.39,63.46,3831
2004-07-27,64.85,64.85,59.31,61.15,8740
2004-07-28,62.83,65.07,61.34,64.04,11110
2004-07-29,64.96,67.73,64.32,66.08,7073
2004-07-30,66.03,66.56,64.0,65.19,4155
2004-08-02,66.67,67.73,63.59,67.28,4425
2004-08-03,67.63,73.58,66.88,70.29,13700
2004-08-04,74.01,74.03,68.33,68.59,2961
2004-08-05,69.28,69.3,68.35,68.59,721
2004-08-06,68.37,69.33,68.27,68.82,1276
2004-08-09,68.51,69.65,68.51,69.36,608
2004-08-10,68.8,69.33,68.33,68.75,3922
2004-08-11,70.29,70.4,68.81,68.83,608
2004-08-12,68.49,69.72,68.34,69.39,458
2004-08-13,69.33,69.81,68.33,68.66,5169
2004-08-16,68.33,69.33,68.33,69.15,658
2004-08-17,71.15,71.15,68.33,68.56,570
2004-08-18,69.22,70.4,68.88,69.49,16243
2004-08-19,68.61,69.84,68.61,69.45,3126
2004-08-20,68.51,69.25,68.48,68.8,1048
2004-08-23,69.23,69.33,67.73,69.3,498
2004-08-24,68.27,69.71,68.27,69.49,9245
2004-08-25,69.55,72.53,68.8,70.55,8987
2004-08-26,72.96,73.59,69.12,69.5,1462
2004-08-27,69.87,72.0,69.23,71.23,5329
2004-08-30,71.93,74.66,70.29,72.22,20654
2004-08-31,71.57,72.53,71.48,71.9,817
2004-09-01,72.53,75.2,72.0,73.02,29619
2004-09-02,73.18,74.67,72.37,73.6,1326
2004-09-03,73.6,74.67,73.07,73.26,6596
2004-09-06,73.6,76.16,73.17,74.22,2448
2004-09-07,74.14,75.2,74.14,74.79,37122
2004-09-08,74.56,75.47,74.22,74.64,1552
2004-09-09,75.52,76.27,74.77,74.78,2929
2004-09-10,74.95,74.95,73.6,73.89,1948
2004-09-13,73.93,75.2,73.92,74.67,14130
2004-09-14,74.67,75.2,74.67,74.89,10952
2004-09-15,76.48,77.12,75.21,75.54,344
2004-09-16,77.33,77.44,75.95,76.39,1510
2004-09-17,76.92,77.33,75.73,75.84,1357
2004-09-20,77.01,77.33,74.13,74.72,1686
2004-09-21,76.8,77.23,75.21,76.08,1532
2004-09-22,78.39,78.39,72.12,75.49,1978
2004-09-23,76.58,76.58,75.22,75.5,740
2004-09-24,75.95,75.95,75.06,75.13,304
2004-09-27,75.31,76.58,75.2,75.92,791
2004-09-28,76.16,76.8,73.82,76.58,2188
2004-09-29,77.87,82.03,77.14,79.61,8681
2004-09-30,81.07,95.47,79.16,79.9,5982
2004-10-01,79.98,79.98,77.76,78.05,2302
2004-10-04,77.97,80.43,77.97,78.53,2145
2004-10-05,78.71,78.71,76.51,77.33,1472
2004-10-06,79.79,79.79,76.27,76.94,1775
2004-10-07,79.36,79.36,77.23,77.28,786
2004-10-08,78.08,78.08,74.77,76.81,8036
2004-10-09,77.01,77.33,76.8,76.9,170
2004-10-11,77.76,77.76,71.47,73.08,8129
2004-10-12,75.73,75.73,73.6,73.9,13422
2004-10-14,72.53,74.66,72.53,74.21,6442
2004-10-15,75.09,75.09,74.13,74.36,148
2004-10-18,73.6,74.03,71.8,72.67,1472
2004-10-19,73.6,73.6,72.55,72.96,385
2004-10-20,72.8,73.6,71.9,72.9,580
2004-10-21,73.07,74.38,73.07,74.32,1068
2004-10-25,74.67,74.67,72.59,72.62,552
2004-10-26,73.33,74.03,72.0,72.88,455
2004-10-27,76.77,76.77,73.81,75.22,8347
2004-10-28,75.73,76.27,72.96,74.01,5763
2004-10-29,75.63,75.73,74.13,74.17,7132
2004-11-01,74.67,78.83,74.67,77.41,35014
2004-11-02,76.8,77.3,76.27,76.53,672
2004-11-03,76.8,77.44,75.73,76.15,3417
2004-11-04,77.87,78.05,75.95,76.04,1590
2004-11-05,76.8,76.8,76.05,76.26,7998
2004-11-08,82.13,82.13,74.68,75.4,60219
2004-11-09,75.31,76.27,73.96,74.34,21707
2004-11-10,74.66,74.88,74.16,74.65,8866
2004-11-11,74.67,74.78,73.49,73.61,24483
2004-11-12,73.44,75.2,67.32,74.75,392
2004-11-16,74.77,74.77,74.2,74.41,4018
2004-11-17,74.67,75.09,73.81,74.18,4842
2004-11-18,74.24,74.98,73.49,73.66,9751
2004-11-19,73.92,74.56,73.49,73.61,2115
2004-11-22,70.05,74.13,70.05,73.23,2386
2004-11-23,74.56,74.56,73.3,73.6,19338
2004-11-24,73.6,74.56,72.53,73.04,28693
2004-11-25,73.6,74.56,72.78,73.24,7762
2004-11-29,73.81,75.71,73.49,73.92,5465
2004-11-30,74.56,74.67,73.6,73.87,117160
2004-12-01,74.67,75.61,73.61,75.22,8771
2004-12-02,76.27,79.18,76.27,79.0,12504
2004-12-03,79.47,80.85,78.67,79.84,3831
2004-12-06,79.47,80.43,74.67,79.66,2799
2004-12-07,77.87,80.43,76.91,79.33,3849
2004-12-08,79.47,83.19,78.93,81.08,4813
2004-12-09,81.07,82.13,79.15,80.83,5605
2004-12-10,81.27,84.27,80.85,83.37,17610
2004-12-13,83.68,83.73,82.13,82.81,3159
