date,open,high,low,close,volume
2003-09-05,2.99,3.06,2.97,2.98,28133
2003-09-08,3.01,3.06,2.99,2.99,27750
2003-09-09,3.03,3.03,3.0,3.02,40143
2003-09-10,3.0,3.21,2.98,3.18,60936
2003-09-11,3.2,3.33,3.17,3.23,104990
2003-09-12,3.3,3.33,3.21,3.3,110462
2003-09-15,3.42,3.42,3.21,3.22,137955
2003-09-16,3.24,3.27,3.18,3.21,52383
2003-09-17,3.32,3.32,3.21,3.22,37738
2003-09-18,3.22,3.22,3.08,3.1,37733
2003-09-19,3.0,3.17,3.0,3.13,26680
2003-09-22,3.17,3.21,3.09,3.11,17355
2003-09-23,3.08,3.12,3.06,3.11,12975
2003-09-24,3.13,3.13,3.08,3.11,20092
2003-09-25,3.12,3.14,3.08,3.12,16163
2003-09-26,3.12,3.15,3.09,3.12,18457
2003-09-29,3.22,3.22,3.12,3.16,25631
2003-09-30,3.24,3.24,3.12,3.19,52606
2003-10-01,3.15,3.21,3.14,3.16,32491
2003-10-03,3.15,3.23,3.15,3.19,19035
2003-10-06,3.18,3.24,3.18,3.2,20359
2003-10-07,3.24,3.24,3.15,3.18,27979
2003-10-08,3.17,3.23,3.14,3.16,29621
2003-10-09,3.21,3.25,3.18,3.24,28347
2003-10-10,3.24,3.24,3.19,3.21,22071
2003-10-13,3.19,3.29,3.16,3.2,30630
2003-10-14,3.23,3.24,3.19,3.19,36156
2003-10-15,3.18,3.24,3.18,3.2,22155
2003-10-16,3.24,3.27,3.2,3.23,33512
2003-10-17,3.27,3.35,3.21,3.27,47283
2003-10-20,3.3,3.35,3.25,3.26,50312
2003-10-21,3.3,3.3,3.14,3.18,37588
2003-10-22,3.14,3.21,3.14,3.18,20778
2003-10-23,3.15,3.21,3.15,3.18,9628
2003-10-24,3.2,3.21,3.13,3.18,8365
2003-10-25,3.24,3.24,3.16,3.21,5810
2003-10-27,3.24,3.29,3.2,3.25,19190
2003-10-28,3.22,3.27,3.22,3.24,19173
2003-10-29,3.29,3.3,3.21,3.24,30365
2003-10-30,3.33,3.33,3.19,3.22,57098
2003-10-31,3.21,3.3,3.21,3.28,30249
2003-11-03,3.36,3.44,3.2,3.3,48516
2003-11-04,3.29,3.29,3.22,3.27,34353
2003-11-05,3.25,3.3,3.25,3.27,16592
2003-11-06,3.29,3.3,3.26,3.27,20224
2003-11-07,3.36,3.36,3.25,3.25,20102
2003-11-10,3.2,3.29,3.2,3.26,9455
2003-11-11,3.26,3.28,3.21,3.22,36080
2003-11-12,3.21,3.32,3.2,3.28,29723
2003-11-13,3.3,3.3,3.23,3.25,24031
2003-11-14,3.29,3.29,3.23,3.24,24465
2003-11-15,3.23,3.24,3.21,3.24,4240
2003-11-17,3.22,3.26,3.21,3.24,15250
2003-11-18,3.24,3.29,3.24,3.26,25451
2003-11-19,3.25,3.27,3.22,3.24,20761
2003-11-20,3.24,3.27,3.21,3.22,16057
2003-11-21,3.19,3.24,3.14,3.19,21862
2003-11-24,3.2,3.27,3.2,3.24,11770
2003-11-25,3.24,3.27,3.22,3.25,14260
2003-11-27,3.27,3.27,3.24,3.26,12179
2003-11-28,3.27,3.27,3.24,3.25,18651
2003-12-01,3.26,3.27,3.24,3.25,24165
2003-12-02,3.25,3.42,3.25,3.38,82695
2003-12-03,3.48,3.65,3.48,3.54,116095
2003-12-04,3.63,4.08,3.61,3.64,101330
2003-12-05,3.73,3.75,3.48,3.5,103250
2003-12-08,3.59,3.81,3.53,3.8,133538
2003-12-09,3.84,4.14,3.78,4.1,145662
2003-12-10,4.5,4.5,4.09,4.1,175823
2003-12-11,4.32,4.32,3.95,3.98,93899
