date,open,high,low,close,volume
2003-09-05,57.21,58.0,55.89,56.75,23644
2003-09-08,60.71,60.71,57.86,58.79,157388
2003-09-09,59.21,59.29,55.82,57.07,738811
2003-09-10,57.86,59.5,56.43,58.46,47821
2003-09-11,58.14,60.25,58.0,58.21,58084
2003-09-12,58.61,59.29,56.46,56.86,24229
2003-09-15,58.04,58.11,55.71,57.29,64837
2003-09-16,56.61,58.57,56.61,58.04,63179
2003-09-17,58.57,59.71,58.32,59.46,99793
2003-09-18,60.11,63.57,58.21,59.07,115860
2003-09-19,59.46,62.32,56.89,61.46,168520
2003-09-22,63.57,66.39,62.36,64.14,415772
2003-09-23,63.93,64.11,62.5,63.43,99449
2003-09-24,63.93,64.64,62.32,64.25,73265
2003-09-25,64.36,65.29,62.86,63.0,34814
2003-09-26,63.57,64.96,62.86,63.07,33612
2003-09-29,63.57,65.0,63.11,63.54,95459
2003-09-30,63.64,63.64,61.68,62.32,28903
2003-10-01,64.29,64.29,60.71,61.14,53319
2003-10-03,62.86,62.86,61.14,62.36,39854
2003-10-06,63.57,64.18,62.39,63.64,45567
2003-10-07,65.71,66.43,63.25,64.36,121742
2003-10-08,63.57,65.89,63.57,64.39,84860
2003-10-09,65.64,65.71,59.39,63.14,57314
2003-10-10,64.46,65.29,62.86,63.32,34773
2003-10-13,64.86,66.07,63.57,65.32,152212
2003-10-14,67.68,68.57,65.0,65.96,202231
2003-10-15,66.86,68.89,66.46,67.57,179455
2003-10-16,67.93,68.54,65.0,65.64,70859
2003-10-17,66.43,66.43,65.11,65.86,54947
2003-10-20,67.57,67.64,64.29,64.61,63384
2003-10-21,66.93,66.93,62.14,62.32,93039
2003-10-22,63.57,64.86,62.68,63.5,40658
2003-10-23,63.57,65.0,63.57,64.68,65292
2003-10-24,64.29,66.43,63.71,66.29,45156
2003-10-25,67.14,67.86,65.5,66.54,38422
2003-10-27,66.64,66.64,64.57,64.75,36028
2003-10-28,64.29,68.93,61.07,66.14,1296476
2003-10-29,67.14,72.36,66.5,70.96,508482
2003-10-30,71.43,71.89,69.46,70.96,151137
2003-10-31,71.43,79.5,70.0,76.54,595996
2003-11-03,77.54,80.64,76.07,79.21,439029
2003-11-04,81.07,81.29,74.36,75.29,130516
2003-11-05,75.79,80.39,75.79,78.79,235999
2003-11-06,79.21,81.18,77.96,78.96,208650
2003-11-07,77.93,79.57,76.43,77.04,63809
2003-11-10,76.43,78.93,75.36,78.43,47399
2003-11-11,78.93,78.93,76.86,77.18,45861
2003-11-12,78.57,78.93,76.43,76.75,48497
2003-11-13,77.14,78.36,75.0,75.61,49294
2003-11-14,76.43,76.43,74.21,74.79,54561
2003-11-15,75.0,75.54,73.75,74.11,4543
2003-11-17,74.64,75.57,72.14,73.89,156363
2003-11-18,74.29,75.36,73.21,74.18,85840
2003-11-19,76.43,76.43,70.79,71.39,82508
2003-11-20,72.68,74.18,71.07,73.07,76199
2003-11-21,73.93,73.93,70.39,71.61,55237
2003-11-24,72.79,72.86,70.71,71.07,56740
2003-11-25,71.43,72.86,71.43,71.71,74436
2003-11-27,72.86,74.57,71.57,73.61,121841
2003-11-28,73.57,76.43,72.25,73.68,126494
2003-12-01,74.29,77.14,74.29,76.18,86208
2003-12-02,76.11,77.14,75.18,75.75,53966
2003-12-03,76.43,77.46,75.71,76.86,82848
2003-12-04,77.18,80.36,76.14,78.46,98909
2003-12-05,79.29,80.64,76.21,79.14,193546
2003-12-08,79.29,85.5,79.29,82.36,157047
2003-12-09,83.07,84.64,80.71,81.75,96382
2003-12-10,82.86,82.86,80.0,82.21,68493
2003-12-11,82.93,84.29,79.54,80.57,66321
2003-12-12,81.21,82.86,80.71,82.21,70625
2003-12-15,82.86,83.93,81.57,82.21,36874
2003-12-16,82.14,82.86,80.75,82.18,57332
2003-12-17,82.5,85.71,81.43,83.0,143139
2003-12-18,83.89,88.5,82.86,84.71,194180
2003-12-19,84.82,96.43,84.82,92.36,420419
2003-12-22,94.93,94.93,87.14,88.07,244785
2003-12-23,90.71,90.71,85.04,85.79,158247
2003-12-24,87.68,88.57,85.89,88.21,59295
2003-12-26,88.21,88.57,84.29,87.79,56010
2003-12-29,89.29,90.64,87.86,88.57,79277
2003-12-30,89.29,89.29,85.07,85.75,73806
2003-12-31,86.43,94.14,86.07,91.07,485299
2004-01-01,90.71,92.82,87.5,88.71,201066
2004-01-02,89.57,90.5,87.93,88.54,91014
2004-01-05,89.93,90.0,86.43,86.71,110669
2004-01-06,89.21,89.21,84.29,84.64,87697
2004-01-07,85.0,87.86,82.86,86.89,106001
2004-01-08,88.61,92.14,87.21,88.39,144995
2004-01-09,90.0,91.43,88.75,90.71,217000
2004-01-12,92.5,94.21,90.79,91.36,305814
2004-01-13,94.29,94.29,90.11,90.57,67268
2004-01-14,90.79,91.96,88.32,89.0,77102
2004-01-15,88.64,90.57,87.86,88.18,97814
2004-01-16,87.86,88.57,85.14,85.71,116413
2004-01-19,84.64,85.71,81.57,84.61,104401
2004-01-20,86.25,88.93,84.64,87.39,110597
2004-01-21,86.43,86.43,82.14,82.93,107710
2004-01-22,83.93,84.29,78.61,79.43,62358
2004-01-23,79.29,81.43,76.93,80.39,91140
2004-01-27,81.39,82.5,80.71,82.07,45244
2004-01-28,81.61,84.0,81.61,83.25,138648
2004-01-29,81.43,82.43,79.21,79.75,61232
2004-01-30,80.0,80.32,77.14,77.96,84560
2004-02-03,76.43,78.36,73.57,74.57,82553
2004-02-04,74.29,74.29,68.57,70.0,326510
2004-02-05,71.36,73.57,70.0,70.36,213097
2004-02-06,71.29,72.14,70.71,71.64,167481
2004-02-09,72.14,73.54,72.14,72.86,221927
2004-02-10,74.57,74.64,72.86,72.96,83819
2004-02-11,73.5,75.57,73.21,74.82,157261
2004-02-12,76.32,77.57,74.29,75.46,170017
2004-02-13,75.71,77.5,75.07,76.32,106668
2004-02-16,76.79,77.11,74.29,74.79,127505
2004-02-17,75.0,75.14,73.61,74.64,38858
2004-02-18,74.82,76.0,74.39,75.14,75845
2004-02-19,75.86,75.86,73.57,74.43,91352
2004-02-20,73.57,75.0,72.86,73.61,66427
2004-02-23,74.29,74.29,72.86,73.36,55874
2004-02-24,72.86,73.54,72.5,72.89,26679
2004-02-25,72.86,73.14,70.36,70.86,87697
2004-02-26,68.57,71.43,66.07,67.57,106200
2004-02-27,67.86,70.71,67.86,70.25,44989
2004-03-01,72.14,73.18,71.39,72.61,59055
2004-03-03,72.29,74.57,72.14,72.36,1014506
2004-03-04,75.0,75.0,72.14,72.54,67520
2004-03-05,73.54,73.86,72.86,73.68,35684
2004-03-08,74.29,74.64,73.57,74.29,52178
2004-03-09,74.32,76.07,72.14,75.5,79924
2004-03-10,75.0,75.5,74.29,75.0,42915
2004-03-11,76.43,77.14,75.0,75.32,63245
2004-03-12,75.0,76.18,75.0,75.11,41267
2004-03-15,76.43,76.43,73.61,74.61,48736
2004-03-16,71.61,74.61,71.61,73.68,35168
2004-03-17,75.0,76.07,73.57,75.04,25833
2004-03-18,75.36,75.43,72.86,73.18,38652
2004-03-19,73.46,73.46,71.43,72.04,14029
2004-03-22,72.04,72.04,70.82,71.43,27833
2004-03-23,71.43,72.14,68.82,71.21,89809
2004-03-24,70.21,70.64,70.0,70.14,11700
2004-03-25,70.18,71.43,69.29,69.93,55230
2004-03-26,70.0,72.14,68.57,70.07,112882
2004-03-29,71.39,71.39,69.29,69.79,62870
2004-03-30,70.0,70.68,68.57,69.54,87667
2004-03-31,70.71,72.14,68.64,70.21,39877
2004-04-01,71.07,76.43,70.79,75.29,211008
2004-04-02,76.36,79.86,75.57,78.82,219982
2004-04-05,80.0,84.96,78.57,80.11,192754
2004-04-06,80.71,82.5,80.14,80.89,115291
2004-04-07,81.43,84.46,81.43,83.89,106751
2004-04-08,84.29,89.29,84.29,88.32,146430
2004-04-12,89.07,90.36,86.43,87.25,116418
2004-04-13,86.14,87.86,83.93,85.68,86496
2004-04-15,86.71,90.14,85.0,88.04,108373
2004-04-16,89.11,90.54,85.36,87.11,114573
2004-04-17,88.75,88.75,85.36,87.39,21618
2004-04-19,88.14,88.14,83.64,84.36,89631
2004-04-20,83.96,84.86,81.71,82.71,33723
2004-04-21,82.86,85.18,82.18,84.0,23078
2004-04-22,84.29,85.61,81.79,83.32,80598
2004-04-23,83.61,85.0,81.82,83.07,51796
2004-04-27,81.86,82.14,78.21,79.68,64428
2004-04-28,77.21,81.71,75.71,80.21,52295
2004-04-29,80.36,81.43,78.21,79.86,131606
2004-04-30,79.46,82.36,78.79,80.0,199183
2004-05-03,80.54,81.71,78.93,80.86,107082
2004-05-04,81.43,82.86,80.71,81.57,17735
2004-05-05,81.79,81.79,80.0,80.64,20787
2004-05-06,82.11,82.11,78.57,79.36,52329
2004-05-07,80.0,81.07,79.32,80.25,36711
2004-05-10,80.25,83.14,77.86,82.68,64604
2004-05-11,82.14,82.14,78.64,80.14,44005
2004-05-12,80.18,80.18,77.86,79.11,75480
2004-05-13,75.07,82.14,75.07,79.32,46126
2004-05-14,78.93,83.54,70.71,80.79,316244
2004-05-17,78.57,78.57,65.79,72.89,57193
2004-05-18,73.64,77.11,71.96,73.0,29805
2004-05-19,73.64,76.93,72.86,73.57,46533
2004-05-20,74.36,74.93,72.86,73.25,40532
