date,open,high,low,close,volume
2003-09-05,10.48,10.58,10.42,10.48,118986
2003-09-08,10.53,10.62,10.19,10.27,259906
2003-09-09,10.5,10.71,10.35,10.43,266362
2003-09-10,10.49,10.5,10.22,10.3,111963
2003-09-11,10.33,10.46,10.08,10.13,170721
2003-09-12,10.33,10.33,10.0,10.03,189425
2003-09-15,9.5,10.33,8.75,8.88,1364880
2003-09-16,9.17,9.72,9.02,9.56,478224
2003-09-17,9.73,9.92,9.5,9.58,257887
2003-09-18,9.6,9.73,9.6,9.63,158750
2003-09-19,9.68,9.98,9.52,9.8,269237
2003-09-22,9.93,10.08,9.62,9.63,155316
2003-09-23,9.65,9.98,9.62,9.91,253494
2003-09-24,9.95,9.96,9.68,9.93,109926
2003-09-25,9.55,10.17,9.55,9.93,161912
2003-09-26,9.98,10.12,9.83,10.05,137744
2003-09-29,10.16,10.17,9.87,9.93,101874
2003-09-30,10.11,10.25,9.98,10.21,143643
2003-10-01,10.33,10.33,10.17,10.18,116228
2003-10-03,10.18,10.28,10.14,10.22,162303
2003-10-06,10.33,10.33,10.1,10.16,222523
2003-10-07,10.27,10.33,10.0,10.03,133671
2003-10-08,10.05,10.1,9.83,9.9,75272
2003-10-09,9.98,10.02,9.8,9.91,216379
2003-10-10,9.97,10.15,9.68,9.86,242658
2003-10-13,9.96,10.0,9.84,9.96,140086
2003-10-14,10.07,10.65,9.78,10.27,595407
2003-10-15,10.32,10.48,10.17,10.37,331136
2003-10-16,10.45,10.5,10.19,10.31,192153
2003-10-17,10.38,10.42,10.04,10.28,134416
2003-10-20,10.38,10.67,10.21,10.27,273912
2003-10-21,10.33,10.33,9.95,10.03,188895
2003-10-22,10.3,10.67,10.18,10.53,492170
2003-10-23,10.48,10.78,10.17,10.22,375790
2003-10-24,10.29,10.42,10.03,10.33,200137
2003-10-25,10.4,10.63,10.35,10.52,111207
2003-10-27,10.5,11.1,10.43,10.78,731890
2003-10-28,10.83,10.88,10.63,10.74,353238
2003-10-29,10.82,10.88,10.7,10.81,165680
2003-10-30,10.83,10.87,10.74,10.78,163490
2003-10-31,10.86,10.92,10.75,10.78,120502
2003-11-03,10.88,11.13,10.78,10.88,371797
2003-11-04,10.98,11.4,10.97,11.04,897066
2003-11-05,11.23,11.92,11.13,11.63,1413142
2003-11-06,12.0,12.0,11.7,11.83,555846
