date,open,high,low,close,volume
2003-09-05,24.24,27.54,24.24,27.15,262056
2003-09-08,26.71,28.89,26.71,28.17,465698
2003-09-09,27.25,28.94,27.25,27.44,189328
2003-09-10,26.66,27.63,26.28,26.52,153654
2003-09-11,26.66,27.34,25.99,26.18,117829
2003-09-12,23.76,26.91,23.76,25.74,95520
2003-09-15,25.74,25.74,24.73,25.16,67451
2003-09-16,24.73,25.5,24.73,25.26,101647
2003-09-17,22.3,25.84,22.3,25.21,154680
2003-09-18,23.8,25.45,23.8,24.73,69973
2003-09-19,21.33,25.5,21.33,24.87,100398
2003-09-22,23.27,25.16,23.27,24.24,66017
2003-09-23,21.33,24.82,21.33,24.24,90332
2003-09-24,24.24,25.69,24.24,25.16,113633
2003-09-25,23.76,26.28,23.76,25.65,104722
2003-09-26,24.24,26.37,24.24,25.84,54328
2003-09-29,24.53,27.63,24.53,27.34,152664
2003-09-30,25.99,28.22,25.99,27.83,157736
2003-10-01,27.29,27.97,26.91,27.2,86240
2003-10-03,26.18,27.92,26.18,27.68,79348
2003-10-06,26.18,29.57,26.18,29.04,321829
2003-10-07,28.6,30.79,28.6,29.48,380929
2003-10-08,26.18,30.54,26.18,28.94,140691
2003-10-09,28.36,30.06,28.36,28.94,177783
2003-10-10,26.18,29.77,26.18,28.8,108336
2003-10-13,26.18,29.82,26.18,29.04,90490
2003-10-14,26.66,28.89,26.66,28.36,98972
2003-10-15,27.25,29.09,27.25,28.8,104347
2003-10-16,28.41,30.35,28.41,29.04,300227
2003-10-17,28.12,30.06,28.12,28.94,149845
2003-10-20,26.18,30.3,26.18,29.86,183475
2003-10-21,29.09,31.8,28.94,29.91,616595
2003-10-22,30.25,33.35,30.25,31.61,482944
2003-10-23,31.51,31.51,29.33,29.67,386601
2003-10-24,30.01,31.03,29.57,30.69,544674
2003-10-25,31.22,33.21,31.22,32.72,218855
2003-10-27,32.48,34.42,32.29,33.26,287163
2003-10-28,33.69,35.39,33.69,34.28,386866
2003-10-29,35.29,35.39,33.21,34.13,207983
2003-10-30,31.03,34.86,31.03,33.65,102985
2003-10-31,30.06,34.62,30.06,33.06,108349
2003-11-03,30.15,33.65,30.15,32.58,141795
2003-11-04,31.12,32.87,30.45,31.61,172698
2003-11-05,29.19,37.23,29.19,36.12,562061
2003-11-06,36.8,39.66,36.8,38.01,602008
2003-11-07,38.78,39.12,37.23,37.81,358254
2003-11-10,37.23,41.21,37.09,39.56,269093
2003-11-11,40.09,41.21,39.66,40.0,354156
2003-11-12,36.85,40.72,36.85,37.86,524098
2003-11-13,38.78,39.95,36.85,37.28,231027
2003-11-14,37.81,38.3,35.39,36.55,158526
2003-11-15,35.92,39.27,35.92,38.3,101707
2003-11-17,38.3,42.52,37.33,41.79,544205
2003-11-18,42.37,42.86,39.95,40.77,232824
2003-11-19,40.14,42.18,39.56,41.35,257192
2003-11-20,40.24,41.98,39.85,40.19,220209
2003-11-21,37.81,40.72,37.57,39.85,254882
2003-11-24,36.85,40.43,36.85,39.41,95502
2003-11-25,35.88,40.48,35.88,39.27,76164
2003-11-27,39.03,40.97,39.03,40.34,139015
2003-11-28,39.75,40.87,38.59,38.83,134999
2003-12-01,38.3,40.24,38.3,39.27,136987
2003-12-02,38.83,39.51,38.83,39.08,110416
2003-12-03,38.93,39.95,38.93,39.22,140729
2003-12-04,38.93,41.4,38.4,40.0,284149
