date,open,high,low,close,volume
2003-09-05,565.05,578.4,558.18,566.1,260634
2003-09-08,575.0,582.5,563.5,576.4,235202
2003-09-09,580.05,597.5,574.5,584.5,363286
2003-09-10,587.25,597.0,573.0,594.83,351446
2003-09-11,590.0,612.7,582.53,596.38,444616
2003-09-12,607.2,607.2,573.0,575.28,274125
2003-09-15,577.5,577.5,557.0,573.3,271721
2003-09-16,568.0,580.03,557.55,569.4,432232
2003-09-17,570.0,580.0,561.6,571.6,466205
2003-09-18,575.0,575.0,552.55,555.6,155048
2003-09-19,569.9,569.9,527.0,547.28,187427
2003-09-22,555.0,555.0,525.0,527.45,204645
2003-09-23,524.0,527.45,500.53,523.78,217339
2003-09-24,474.95,532.0,474.95,529.65,181505
2003-09-25,527.0,538.98,521.0,524.48,225619
2003-09-26,530.0,536.0,524.5,533.45,64985
2003-09-29,497.5,536.5,497.5,522.2,349573
2003-09-30,529.0,535.98,525.5,528.95,101572
2003-10-01,529.0,540.5,522.5,536.05,155445
2003-10-03,536.75,559.5,536.05,554.58,209191
2003-10-06,557.0,562.2,551.18,554.4,72071
2003-10-07,559.5,562.5,550.0,552.95,129319
2003-10-08,553.25,576.5,553.25,570.63,289151
2003-10-09,572.45,600.0,572.45,595.88,413205
2003-10-10,609.0,609.0,587.5,589.98,118093
2003-10-13,591.5,599.5,573.5,584.13,128664
2003-10-14,599.5,641.5,575.0,632.1,821651
2003-10-15,649.5,650.0,615.05,628.33,334654
2003-10-16,635.0,635.0,603.0,617.85,374737
2003-10-17,622.0,632.5,604.05,607.65,233854
2003-10-20,602.5,614.95,587.55,593.28,201533
2003-10-21,595.55,604.0,553.0,565.05,313831
2003-10-22,562.5,579.5,557.45,570.95,258574
2003-10-23,522.5,577.95,522.5,551.28,242374
2003-10-24,560.0,569.0,544.03,563.38,240650
2003-10-25,573.85,573.85,566.0,567.8,17978
2003-10-27,550.0,576.98,550.0,567.9,165066
2003-10-28,570.05,578.85,550.5,566.58,266552
2003-10-29,550.0,588.0,550.0,582.58,272116
2003-10-30,585.63,597.98,581.5,591.78,257226
2003-10-31,591.0,602.5,583.1,597.68,209520
2003-11-03,650.0,680.0,643.0,655.98,925525
2003-11-04,647.5,732.35,635.0,709.2,1519060
2003-11-05,691.5,711.5,677.5,688.83,1023820
2003-11-06,687.5,687.5,646.0,650.95,471163
2003-11-07,650.0,670.0,629.0,639.95,330342
2003-11-10,639.5,657.5,627.5,644.03,192219
2003-11-11,645.5,674.0,630.5,659.75,405635
2003-11-12,657.4,657.4,635.5,640.43,222147
2003-11-13,648.5,659.5,635.0,638.2,304689
2003-11-14,638.5,650.0,628.08,633.4,255932
2003-11-15,632.5,647.5,632.5,643.38,61658
2003-11-17,644.7,647.5,634.23,637.83,125869
2003-11-18,639.0,644.0,612.05,618.45,290859
2003-11-19,623.45,623.45,598.1,608.5,463196
2003-11-20,618.0,624.2,615.13,619.05,307479
2003-11-21,616.0,617.35,600.5,613.93,160073
2003-11-24,622.5,629.5,610.0,620.83,132043
2003-11-25,617.5,627.0,616.5,621.3,175229
2003-11-27,625.0,634.95,622.5,629.35,261160
2003-11-28,634.95,638.5,625.25,635.35,162230
2003-12-01,598.43,661.48,598.43,656.1,262917
2003-12-02,669.23,677.8,649.93,665.18,188183
2003-12-03,662.4,678.0,647.75,672.98,238689
2003-12-04,678.95,678.95,657.6,664.88,120198
2003-12-05,664.88,669.0,647.0,651.63,136040
2003-12-08,650.0,667.5,641.5,663.43,170595
2003-12-09,667.5,689.0,660.5,685.98,263609
2003-12-10,702.5,707.5,672.5,690.8,244147
2003-12-11,689.5,692.5,675.03,686.9,100779
2003-12-12,689.45,689.45,672.75,676.05,136287
2003-12-15,678.9,683.35,670.2,677.38,67687
2003-12-16,678.5,688.0,675.0,680.65,192952
2003-12-17,682.5,687.4,672.5,674.95,91592
2003-12-18,679.98,682.45,672.5,680.48,103487
2003-12-19,684.0,689.95,680.0,684.0,90128
2003-12-22,688.33,692.5,682.0,689.93,63173
2003-12-23,691.63,704.5,688.03,696.15,102754
2003-12-24,692.5,719.93,691.0,710.43,184419
2003-12-26,719.38,725.0,707.5,712.85,58456
2003-12-29,715.0,734.0,714.1,730.4,172004
2003-12-30,731.0,732.48,684.5,723.18,83090
2003-12-31,726.5,732.35,693.53,714.55,71531
2004-01-01,734.5,734.5,713.05,716.95,71109
2004-01-02,720.0,731.5,720.0,724.88,122610
2004-01-05,735.55,735.55,712.85,723.13,126587
2004-01-06,725.55,729.95,715.63,721.03,126054
2004-01-07,723.0,725.0,697.5,706.8,107573
2004-01-08,702.5,712.5,697.5,704.88,107813
2004-01-09,707.0,724.4,699.5,705.25,262868
2004-01-12,703.0,706.5,673.03,684.55,169843
2004-01-13,689.0,705.0,681.55,700.5,156600
2004-01-14,707.5,712.0,686.0,690.08,157114
2004-01-15,695.5,701.0,670.0,674.98,164617
2004-01-16,680.5,684.48,660.63,674.35,141577
2004-01-19,675.0,696.0,673.23,689.35,161402
2004-01-20,694.5,694.5,667.5,671.35,101133
2004-01-21,673.5,693.0,665.0,670.65,220975
2004-01-22,676.23,689.95,646.5,671.3,271692
2004-01-23,680.5,689.5,672.5,683.9,156600
2004-01-27,692.5,727.4,692.5,712.75,319111
2004-01-28,720.05,731.0,712.8,716.08,291162
2004-01-29,717.5,726.5,697.5,716.0,205632
2004-01-30,722.5,724.9,685.75,699.13,185998
2004-02-03,666.13,670.0,626.1,644.78,533096
2004-02-04,647.75,674.5,640.0,661.6,141602
2004-02-05,670.0,670.0,650.6,654.73,70979
2004-02-06,660.5,671.0,654.25,666.43,151309
2004-02-09,625.0,632.5,605.1,625.18,383160
2004-02-10,649.5,649.5,605.5,618.6,455413
2004-02-11,630.0,632.5,621.0,630.4,173629
2004-02-12,633.63,638.0,610.0,620.95,408018
2004-02-13,622.63,637.5,620.0,627.58,518646
2004-02-16,635.0,637.0,615.0,617.95,459990
2004-02-17,625.0,625.48,610.0,620.4,356014
2004-02-18,623.13,627.25,617.25,620.9,210273
2004-02-19,625.0,625.0,607.5,611.28,254929
2004-02-20,610.05,612.48,595.63,598.7,199508
2004-02-23,605.53,616.48,600.68,604.68,268385
2004-02-24,600.0,619.93,597.63,613.93,224876
2004-02-25,624.88,632.5,615.0,629.55,245038
2004-02-26,630.0,639.4,615.0,626.9,233422
2004-02-27,627.5,627.5,616.0,620.43,130718
2004-03-01,575.1,575.1,497.5,507.58,1350568
2004-03-03,513.55,523.85,500.0,511.25,755089
2004-03-04,519.5,519.5,504.5,507.3,371301
2004-03-05,508.5,512.0,504.45,510.23,185712
2004-03-08,509.0,518.9,507.6,514.6,192192
