date,open,high,low,close,volume
2007-12-31,61.67,77.92,56.67,74.94,9316883
2008-01-01,79.17,85.83,73.59,79.54,4006769
2008-01-02,79.82,81.16,74.38,74.94,1128741
2008-01-03,77.5,77.5,67.83,68.74,594166
2008-01-04,71.23,74.17,68.85,70.08,570092
2008-01-07,69.33,72.5,67.73,70.18,331708
2008-01-08,70.95,71.65,66.5,67.25,231502
2008-01-09,66.65,67.67,63.38,65.73,222380
2008-01-10,68.0,68.12,59.17,60.58,98308
2008-01-11,61.83,62.07,56.83,58.93,125444
2008-01-14,59.48,60.5,58.33,58.97,73997
2008-01-15,59.5,60.67,56.84,57.79,59708
2008-01-16,58.67,59.97,52.51,54.39,44597
2008-01-17,54.81,65.28,53.67,64.41,391024
2008-01-18,65.0,73.95,62.73,63.85,1553883
2008-01-21,63.33,64.79,51.68,53.05,228888
2008-01-22,50.58,55.5,42.5,54.18,69219
2008-01-23,56.0,61.67,50.0,58.58,70304
2008-01-24,59.17,61.5,52.67,56.92,70373
2008-01-25,59.05,60.67,53.76,56.96,30067
2008-01-28,55.0,61.33,54.17,58.73,57614
2008-01-29,58.5,60.3,55.04,56.1,36938
2008-01-30,55.0,56.67,54.5,55.69,54397
2008-01-31,56.33,58.13,53.67,56.38,40091
2008-02-01,55.0,57.49,53.0,53.83,16719
2008-02-04,55.33,59.78,55.17,58.48,76428
2008-02-05,57.5,59.33,57.0,57.3,23524
2008-02-06,56.0,57.5,52.83,56.75,24456
2008-02-07,56.67,59.47,56.43,57.11,32256
2008-02-08,57.0,57.49,56.26,56.7,17757
2008-02-11,55.17,56.5,49.17,52.45,27072
2008-02-12,56.33,56.33,50.17,51.33,15706
2008-02-13,52.0,53.66,51.25,51.38,17886
2008-02-14,53.32,53.32,51.67,52.16,10925
2008-02-15,52.16,54.13,50.02,52.87,12843
2008-02-18,54.0,59.75,52.34,56.97,45967
2008-02-19,57.0,57.0,55.0,55.67,19054
2008-02-20,51.67,55.0,51.67,53.03,6759
2008-02-21,54.17,54.5,53.33,54.18,13853
2008-02-22,52.0,53.83,51.83,53.36,5896
2008-02-25,53.67,53.82,52.0,53.0,6187
2008-02-26,52.68,54.5,52.68,54.04,14267
2008-02-27,54.33,55.78,53.08,53.5,6838
2008-02-28,53.03,55.0,52.83,54.57,7646
2008-02-29,52.71,55.0,52.71,53.34,7894
2008-03-03,52.5,56.67,50.04,53.26,26830
2008-03-04,51.7,54.3,48.33,48.83,12356
2008-03-05,49.83,50.67,48.35,50.06,10047
2008-03-07,48.17,50.83,47.68,50.16,33858
2008-03-10,47.83,48.67,47.03,47.63,8151
2008-03-11,48.78,49.5,47.17,48.41,4193
2008-03-12,49.33,51.63,46.68,47.86,8605
2008-03-13,48.83,48.83,41.67,42.96,8308
2008-03-14,44.66,48.33,42.75,44.72,14477
2008-03-17,42.5,43.33,40.38,41.68,27143
2008-03-18,41.83,42.5,33.81,41.7,11340
2008-03-19,42.53,42.83,37.51,38.58,5401
2008-03-24,38.67,38.67,34.21,37.63,10526
2008-03-25,35.59,42.0,35.59,40.32,11314
2008-03-26,40.0,41.42,40.0,40.43,4293
2008-03-27,37.43,41.5,37.43,40.1,8136
2008-03-28,39.87,45.5,39.87,44.2,14438
2008-03-31,44.83,44.83,40.35,41.07,6283
2008-04-01,41.5,42.0,40.68,40.91,4497
2008-04-02,42.83,43.33,40.52,41.59,8069
2008-04-03,40.85,44.98,40.68,43.66,12104
2008-04-04,42.02,43.17,40.0,40.53,7874
2008-04-07,41.48,42.5,40.5,42.33,6026
2008-04-08,41.33,42.67,41.33,42.41,2687
2008-04-09,43.83,49.5,43.33,47.17,120405
2008-04-10,48.33,48.33,45.67,46.7,21674
2008-04-11,45.83,47.5,45.83,46.87,7491
2008-04-15,45.53,48.67,45.51,47.05,6091
2008-04-16,47.8,48.33,46.9,47.18,7967
2008-04-17,48.13,48.83,47.01,47.67,14486
2008-04-21,48.5,49.83,48.1,49.23,8229
2008-04-22,49.17,50.67,48.33,48.52,2651
