date,open,high,low,close,volume
2006-09-29,34.67,36.67,33.74,35.31,1554
2006-10-03,36.83,37.5,35.27,36.93,1092
2006-10-04,38.17,38.17,35.87,36.0,653
2006-10-05,39.33,39.33,35.4,36.4,939
2006-10-06,38.0,38.59,37.57,38.29,5939
2006-10-09,39.67,41.63,39.63,40.23,2424
2006-10-10,41.27,44.17,40.67,42.1,9126
2006-10-11,43.3,43.47,40.2,40.74,3891
2006-10-12,40.83,41.32,40.08,40.83,3457
2006-10-13,41.0,41.31,40.83,40.95,1248
2006-10-16,41.0,42.67,41.0,41.36,2583
2006-10-17,37.67,40.98,37.57,40.37,84636
2006-10-18,39.67,41.0,39.67,40.02,23376
2006-10-19,41.33,41.33,39.79,40.74,15406
2006-10-20,40.67,41.17,40.67,40.9,13358
2006-10-21,40.83,41.47,40.83,41.21,3294
2006-10-23,41.62,45.63,40.67,43.57,52759
2006-10-26,43.67,47.15,42.83,45.14,39503
2006-10-27,45.83,47.67,43.9,44.19,16869
2006-10-30,44.83,45.33,42.33,43.78,78583
2006-10-31,43.01,45.98,42.72,43.24,46312
2006-11-01,44.5,45.74,44.02,44.97,125015
2006-11-02,45.0,52.81,44.99,50.96,292860
2006-11-03,51.33,53.62,49.26,49.97,205026
2006-11-06,50.04,54.5,49.33,52.57,343556
2006-11-07,53.5,54.65,51.0,51.53,112910
2006-11-08,52.0,52.48,49.03,50.95,70612
2006-11-09,51.43,53.01,50.37,51.37,83913
2006-11-10,51.69,52.8,50.79,51.84,46974
2006-11-13,51.67,55.33,51.67,53.74,136698
2006-11-14,54.15,55.33,53.83,54.37,93902
2006-11-15,54.83,54.97,53.83,54.31,35849
2006-11-16,54.5,54.5,52.51,52.74,21221
2006-11-17,53.17,53.32,51.42,52.63,41200
2006-11-20,52.95,52.95,49.17,51.63,37671
2006-11-21,52.29,54.08,52.29,52.59,25094
2006-11-22,53.64,55.62,52.83,53.71,46578
2006-11-23,54.78,54.83,52.85,53.23,22490
2006-11-24,54.67,54.67,51.67,52.28,29787
2006-11-27,55.0,55.0,52.5,52.57,23210
2006-11-28,51.67,52.67,51.67,52.23,46323
2006-11-29,53.33,55.55,53.33,55.1,61720
2006-11-30,56.07,65.67,55.67,63.77,312260
2006-12-01,64.0,69.0,61.76,65.46,769475
2006-12-04,65.33,68.17,63.37,65.72,314187
2006-12-05,66.39,68.67,65.67,67.25,237621
2006-12-06,67.67,68.15,63.33,64.02,90478
2006-12-07,64.48,67.07,62.67,63.22,80959
2006-12-08,63.89,64.83,62.08,62.32,47999
2006-12-11,63.13,63.13,58.35,60.58,82049
2006-12-12,61.65,61.65,55.83,59.83,71371
2006-12-13,60.0,67.67,57.01,66.1,119476
2006-12-14,66.67,68.17,64.67,65.76,109770
2006-12-15,66.62,72.3,65.83,71.53,275253
2006-12-18,71.67,72.67,67.94,68.42,155436
2006-12-19,68.67,70.47,65.38,65.98,106871
2006-12-20,67.12,70.33,65.0,68.08,156897
2006-12-21,69.07,69.07,66.83,67.83,39664
2006-12-22,68.33,70.33,67.33,68.61,104222
2006-12-26,68.67,71.07,68.58,70.09,213369
2006-12-27,70.83,73.79,69.51,72.75,143778
2006-12-28,72.83,73.67,71.2,72.74,73008
2006-12-29,73.58,79.88,72.02,75.05,245349
2007-01-02,75.52,77.95,73.33,73.75,117363
2007-01-03,74.65,75.57,71.68,72.16,74221
2007-01-04,72.82,75.42,72.5,74.43,65700
2007-01-05,74.17,74.33,71.76,72.35,58996
2007-01-08,73.95,73.95,70.86,71.25,42713
