date,open,high,low,close,volume
2003-09-05,13.5,14.38,13.38,14.2,556768
2003-09-08,14.35,14.56,13.63,14.43,403136
2003-09-09,14.58,14.81,13.88,14.05,282014
2003-09-10,14.25,14.25,13.43,13.6,143534
2003-09-11,13.86,13.86,13.14,13.2,135905
2003-09-12,13.75,13.75,12.53,12.84,193416
2003-09-15,13.0,13.0,12.3,12.53,147762
2003-09-16,12.3,12.89,12.26,12.73,99381
2003-09-17,12.75,13.38,12.75,13.05,112087
2003-09-18,13.3,13.3,12.31,12.39,92205
2003-09-19,12.75,12.75,12.06,12.58,112574
2003-09-22,12.63,12.71,12.28,12.36,33468
2003-09-23,12.25,12.48,12.1,12.26,25337
2003-09-24,12.5,13.06,12.49,12.85,79437
2003-09-25,12.5,13.0,12.5,12.78,53745
2003-09-26,12.88,13.05,12.68,12.99,59431
2003-09-29,13.24,13.36,12.88,12.93,67716
2003-09-30,13.38,13.95,13.03,13.85,237237
2003-10-01,13.5,14.23,13.5,13.59,97215
2003-10-03,13.85,14.0,13.38,13.75,103709
2003-10-06,13.98,14.49,13.89,14.13,155462
2003-10-07,14.11,14.48,13.43,13.54,102262
2003-10-08,13.81,13.81,13.35,13.5,45960
2003-10-09,13.56,14.95,13.5,14.58,313838
2003-10-10,14.88,15.35,14.75,14.95,213821
2003-10-13,15.1,15.1,14.4,14.59,73487
2003-10-14,14.68,14.81,14.0,14.03,59403
2003-10-15,13.95,14.06,13.59,13.71,92919
2003-10-16,14.0,14.09,13.63,13.81,46746
2003-10-17,13.75,14.25,13.75,13.93,55019
2003-10-20,14.25,14.7,14.08,14.16,107183
2003-10-21,14.2,14.46,13.81,13.9,117530
2003-10-22,14.35,14.35,13.38,13.68,110693
2003-10-23,13.75,13.88,13.0,13.16,100401
2003-10-24,13.11,13.88,13.08,13.76,78294
2003-10-25,13.48,14.5,13.48,14.03,29981
2003-10-27,14.0,14.06,13.64,13.66,21369
2003-10-28,13.53,13.63,13.3,13.5,39502
2003-10-29,13.6,13.69,13.38,13.59,38806
2003-10-30,13.88,15.48,13.59,15.23,289479
2003-10-31,15.25,16.0,14.93,15.53,307617
2003-11-03,15.88,16.75,15.63,16.49,349622
2003-11-04,16.5,17.08,15.94,16.11,182310
2003-11-05,16.48,16.48,15.88,16.0,145845
2003-11-06,16.35,16.35,16.08,16.19,80452
2003-11-07,16.38,16.84,16.13,16.28,177382
2003-11-10,16.31,16.99,16.31,16.83,111722
