date,open,high,low,close,volume
2006-08-03,46.5,46.5,43.33,44.77,47217
2006-08-04,45.0,45.0,42.5,42.96,2540
2006-08-07,43.0,43.0,41.33,42.51,1653
2006-08-08,41.57,42.98,41.57,42.22,6492
2006-08-09,42.17,43.17,41.83,43.08,1681
2006-08-10,44.15,44.15,42.35,42.5,192
2006-08-11,44.5,44.67,42.58,43.38,3903
2006-08-14,43.83,43.83,42.35,42.6,774
2006-08-16,42.67,44.65,42.67,44.04,17580
2006-08-17,45.0,45.0,41.83,44.18,4715
2006-08-18,43.3,44.72,43.3,44.08,883
2006-08-21,43.17,44.67,43.17,44.5,120
2006-08-22,43.83,43.83,43.15,43.5,220
2006-08-23,40.67,44.25,40.67,43.33,25685
2006-08-24,42.17,43.65,42.17,42.5,956
2006-08-25,42.67,43.33,40.92,42.24,1562
2006-08-28,42.83,44.13,42.08,43.03,1429
2006-08-29,43.67,43.67,41.75,42.35,477
2006-08-30,42.64,45.67,42.64,44.2,6050
2006-08-31,42.0,44.33,41.85,44.18,2700
2006-09-01,42.83,45.54,42.59,45.21,20414
2006-09-04,45.67,45.67,43.83,44.5,269
2006-09-05,44.33,45.64,44.18,44.48,129
2006-09-06,43.67,44.12,43.33,43.52,400
2006-09-07,42.28,43.0,42.28,42.54,360
2006-09-08,44.92,44.92,42.0,43.04,2185
2006-09-11,42.17,42.17,40.88,41.18,853
2006-09-12,41.17,41.83,40.83,41.0,830
2006-09-13,41.0,42.41,41.0,41.36,904
2006-09-14,40.83,42.83,40.69,41.33,1582
2006-09-15,40.67,45.0,39.67,43.58,10296
2006-09-18,42.51,45.0,42.51,43.63,39876
2006-09-19,43.64,43.83,40.83,41.27,2439
2006-09-20,41.17,43.1,41.17,42.04,902
2006-09-21,44.97,44.97,41.17,42.37,1786
2006-09-22,42.18,44.17,42.18,43.63,4723
2006-09-25,42.5,44.15,42.35,43.23,1851
2006-09-26,43.0,44.92,42.58,44.6,8955
2006-09-27,42.64,45.97,42.64,43.5,11502
2006-09-28,44.97,45.75,43.84,44.06,610
2006-09-29,42.68,45.5,42.68,44.65,7682
2006-10-03,42.33,45.4,42.33,43.53,2978
2006-10-04,43.44,43.95,42.5,42.65,1135
2006-10-05,43.33,44.08,43.33,43.63,664
2006-10-06,44.6,48.0,44.15,47.26,20006
2006-10-09,53.17,53.33,49.17,49.29,24646
2006-10-10,49.33,49.83,48.05,49.18,12614
2006-10-11,50.17,50.25,47.52,47.79,949
2006-10-12,46.67,49.83,45.84,49.5,3817
2006-10-13,49.5,49.5,47.67,49.44,5400
2006-10-16,48.67,49.83,47.5,48.88,1920
2006-10-17,47.67,50.82,47.67,50.08,4241
2006-10-18,51.63,51.63,49.67,49.73,3031
2006-10-19,50.0,50.0,48.77,48.86,280
2006-10-20,58.33,58.33,47.83,49.25,1791
2006-10-21,50.67,50.67,47.68,49.38,345
2006-10-23,50.33,50.33,47.83,48.63,2255
2006-10-26,49.5,50.33,45.34,49.88,1828
2006-10-27,49.83,51.67,49.33,49.93,34141
2006-10-30,50.0,50.29,49.17,49.33,7045
2006-10-31,48.33,49.67,46.02,47.34,3169
2006-11-01,46.86,47.99,46.86,47.56,822
2006-11-02,47.67,50.33,47.0,48.48,3673
2006-11-03,48.5,50.8,48.5,49.43,7055
2006-11-06,50.0,50.0,48.33,49.03,987
2006-11-07,49.67,49.67,48.5,48.5,438
2006-11-08,48.42,50.33,47.53,49.71,2717
2006-11-09,48.22,49.83,46.67,48.75,2964
2006-11-10,47.78,49.17,46.67,47.48,5074
2006-11-13,47.5,48.83,47.33,48.3,11973
2006-11-14,47.67,49.17,46.68,47.93,1262
2006-11-15,47.17,49.73,47.0,48.36,1875
2006-11-16,48.0,48.67,46.33,47.89,1457
2006-11-17,46.83,48.0,46.18,47.58,1389
2006-11-20,45.87,48.13,45.17,46.38,6301
2006-11-21,45.17,45.37,44.18,44.43,5533
2006-11-22,44.33,46.67,44.17,45.66,41129
2006-11-23,45.0,46.33,44.51,45.23,1688
2006-11-24,46.0,48.5,45.83,48.3,9203
2006-11-27,46.07,48.83,46.07,47.73,12304
2006-11-28,44.52,48.96,44.52,46.59,5404
2006-11-29,46.83,47.33,45.92,46.27,2569
2006-11-30,46.92,46.92,44.5,44.81,2310
2006-12-01,51.48,51.48,44.52,44.86,2827
2006-12-04,46.56,46.56,43.02,43.23,13241
2006-12-05,43.33,43.9,42.84,43.4,2549
2006-12-06,42.67,44.33,42.5,42.74,2921
2006-12-07,45.67,46.53,40.83,41.26,8298
2006-12-08,42.5,46.65,41.17,44.27,15910
2006-12-11,46.5,46.5,42.0,43.25,6120
2006-12-12,44.64,44.64,40.17,40.44,7724
2006-12-13,38.85,41.23,38.67,40.39,6880
2006-12-14,41.66,43.32,39.25,41.03,9955
2006-12-15,41.17,42.67,40.0,41.54,243902
2006-12-18,42.0,42.0,40.67,40.8,1831
