date,open,high,low,close,volume
2003-09-05,24.58,24.95,24.09,24.67,28794
2003-09-08,24.75,24.83,24.42,24.6,15153
2003-09-09,24.5,26.64,24.5,24.89,137175
2003-09-10,25.17,27.75,24.83,25.43,218749
2003-09-11,27.08,27.08,25.34,25.4,79896
2003-09-12,25.42,25.58,24.58,24.94,71194
2003-09-15,24.91,24.92,23.76,23.94,37179
2003-09-16,24.18,24.49,20.67,22.88,119097
2003-09-17,22.42,23.19,18.33,21.97,53217
2003-09-18,22.08,23.32,21.75,22.23,59308
2003-09-19,22.28,22.75,21.68,22.15,29907
2003-09-22,22.25,22.42,21.76,21.91,12894
2003-09-23,21.75,22.08,21.75,21.93,19181
2003-09-24,22.25,23.33,22.0,23.01,38938
2003-09-25,23.33,25.83,22.94,23.53,69904
2003-09-26,23.5,24.15,23.43,23.94,78669
2003-09-29,24.25,24.58,23.92,24.1,27758
2003-09-30,24.82,25.17,24.33,24.54,32109
2003-10-01,25.83,27.08,25.67,25.91,146726
2003-10-03,26.68,29.16,26.68,28.81,417844
2003-10-06,31.92,33.67,31.25,31.83,383297
2003-10-07,32.17,32.3,30.44,30.77,150659
2003-10-08,30.92,31.06,30.21,30.42,73309
2003-10-09,30.83,30.83,29.42,29.66,83790
2003-10-10,28.58,30.0,28.25,29.18,69101
2003-10-13,29.25,31.17,29.17,30.71,120659
2003-10-14,30.63,30.95,28.92,29.08,57895
2003-10-15,29.56,29.83,28.76,29.1,45780
2003-10-16,29.38,29.71,28.05,28.46,58523
2003-10-17,29.36,34.15,29.36,31.48,288268
2003-10-20,32.08,32.08,30.53,30.68,89221
2003-10-21,30.71,31.04,29.67,29.85,58115
2003-10-22,29.83,30.75,29.59,29.76,29646
2003-10-23,30.17,30.29,29.42,29.58,31811
2003-10-24,29.42,30.0,29.33,29.8,23854
2003-10-25,30.42,31.67,30.08,31.48,77263
2003-10-27,32.08,32.49,30.64,30.9,131074
2003-10-28,31.25,31.83,30.09,30.21,55115
2003-10-29,30.42,30.5,29.83,30.07,32011
2003-10-30,30.08,30.5,30.0,30.2,26520
2003-10-31,30.25,30.49,29.47,29.62,71261
2003-11-03,30.17,30.17,29.5,29.75,34842
2003-11-04,30.26,30.83,29.66,30.69,63052
2003-11-05,30.67,31.5,30.58,30.78,66115
2003-11-06,31.67,31.67,30.75,30.82,50779
2003-11-07,31.33,31.33,30.26,30.54,28427
2003-11-10,30.42,30.73,30.08,30.56,9421
2003-11-11,30.83,31.25,30.42,30.6,36999
2003-11-12,30.75,30.83,30.35,30.43,21902
2003-11-13,30.75,30.75,29.67,29.81,29780
2003-11-14,29.67,30.25,29.58,29.89,20398
2003-11-15,30.24,30.42,30.0,30.35,13220
2003-11-17,30.42,31.25,30.01,30.85,39327
2003-11-18,31.24,31.58,30.42,30.49,19181
2003-11-19,30.83,30.83,30.18,30.44,18451
2003-11-20,30.75,30.75,30.37,30.43,23515
2003-11-21,30.42,30.73,29.77,30.65,28689
2003-11-24,31.16,32.08,30.43,31.84,97129
2003-11-25,32.46,33.67,31.84,33.43,194765
2003-11-27,34.5,34.75,33.18,33.5,137981
2003-11-28,33.75,33.75,32.38,32.52,60647
2003-12-01,33.33,33.33,32.59,33.0,31799
2003-12-02,33.0,33.0,32.51,32.8,30787
2003-12-03,32.92,33.08,32.5,32.53,31420
2003-12-04,33.33,33.33,32.36,32.94,49297
2003-12-05,33.08,33.33,32.59,32.88,51896
2003-12-08,32.69,34.0,32.67,33.68,77781
2003-12-09,34.29,34.35,33.55,34.11,61650
2003-12-10,34.09,34.23,33.92,34.04,51473
2003-12-11,34.25,34.42,31.26,33.18,51932
2003-12-12,33.38,33.82,33.0,33.56,26642
2003-12-15,33.67,33.75,33.05,33.13,13329
2003-12-16,33.25,34.17,32.99,33.1,26668
2003-12-17,33.42,33.42,32.75,32.88,18896
2003-12-18,32.92,35.33,32.92,34.36,99082
2003-12-19,34.58,35.21,34.25,34.45,81147
2003-12-22,33.75,35.0,33.75,34.42,26917
2003-12-23,33.25,34.46,33.25,33.9,21165
2003-12-24,34.17,34.25,33.76,33.84,26551
2003-12-26,34.58,36.0,33.42,34.58,32823
