date,open,high,low,close,volume
2002-01-01,1.14,1.17,1.1,1.11,7052
2002-01-02,1.11,1.11,1.09,1.1,4459
2002-01-03,1.11,1.14,1.09,1.11,3778
2002-01-04,1.11,1.12,1.09,1.1,8149
2002-01-07,1.1,1.14,1.08,1.09,8527
2002-01-08,1.09,1.11,1.08,1.09,7482
2002-01-09,1.08,1.09,1.07,1.07,9388
2002-01-10,1.07,1.08,1.06,1.06,11423
2002-01-11,1.07,1.09,1.06,1.06,14912
2002-01-14,1.09,1.11,1.08,1.1,6493
2002-01-15,1.08,1.12,1.08,1.09,9123
2002-01-16,1.11,1.13,1.1,1.11,5815
2002-01-17,1.12,1.12,1.1,1.11,6268
2002-01-18,1.13,1.19,1.13,1.17,32466
2002-01-21,1.16,1.18,1.15,1.16,10318
2002-01-22,1.15,1.17,1.15,1.16,8069
2002-01-23,1.16,1.17,1.14,1.15,17948
2002-01-24,1.16,1.16,1.14,1.14,7589
2002-01-25,1.14,1.17,1.14,1.15,10106
2002-01-28,1.15,1.16,1.13,1.14,4711
2002-01-29,1.15,1.25,1.15,1.19,23253
2002-01-30,1.18,1.24,1.18,1.21,34233
2002-01-31,1.22,1.25,1.2,1.22,28201
2002-02-01,1.26,1.26,1.2,1.21,12991
2002-02-04,1.23,1.45,1.23,1.43,164255
2002-02-05,1.45,1.52,1.39,1.4,169999
2002-02-06,1.42,1.5,1.38,1.44,136390
2002-02-07,1.48,1.65,1.45,1.57,267190
2002-02-08,1.58,1.67,1.57,1.6,203348
2002-02-11,1.66,1.75,1.6,1.71,259072
2002-02-12,1.78,1.82,1.68,1.69,225210
2002-02-13,1.71,1.71,1.62,1.64,123338
2002-02-14,1.68,1.74,1.66,1.73,143098
2002-02-15,1.73,1.81,1.71,1.75,206444
2002-02-18,1.88,2.1,1.88,2.1,415887
2002-02-19,2.16,2.26,1.96,1.99,678712
2002-02-20,1.97,2.09,1.92,2.05,255056
2002-02-21,2.1,2.2,2.1,2.11,413232
2002-02-22,2.1,2.48,2.07,2.34,982821
2002-02-25,2.36,2.42,2.22,2.26,451242
2002-02-26,2.31,2.36,2.19,2.23,349492
2002-02-27,2.26,2.31,2.01,2.11,442762
2002-02-28,2.13,2.21,1.79,1.83,707134
2002-03-01,1.83,2.16,1.82,2.09,505497
2002-03-04,2.14,2.27,2.1,2.21,354072
2002-03-05,2.26,2.62,2.24,2.51,1518558
2002-03-06,2.54,3.02,2.54,2.91,2690729
2002-03-07,2.9,3.03,2.69,2.75,926415
2002-03-08,2.75,2.98,2.69,2.83,825528
2002-03-11,2.85,3.14,2.83,2.88,864152
2002-03-12,2.91,2.91,2.63,2.7,776396
2002-03-13,2.69,2.93,2.59,2.87,826693
2002-03-14,2.9,3.15,2.9,3.0,1438736
2002-03-15,3.06,3.23,2.99,3.18,1018281
2002-03-18,3.26,3.28,2.91,2.94,651396
2002-03-19,2.94,2.99,2.83,2.86,334104
2002-03-20,2.91,2.93,2.82,2.85,294979
2002-03-21,2.93,3.06,2.81,2.83,664718
2002-03-22,2.87,2.87,2.7,2.72,287559
2002-03-26,2.73,2.73,2.46,2.5,330053
2002-03-27,2.55,2.67,2.48,2.59,496009
2002-03-28,2.7,2.73,2.63,2.66,387173
2002-04-01,2.71,2.85,2.67,2.77,504926
2002-04-02,2.82,2.85,2.63,2.66,314315
2002-04-03,2.67,2.67,2.58,2.63,218529
2002-04-04,2.69,2.69,2.59,2.62,197281
2002-04-05,2.63,2.67,2.58,2.6,142317
2002-04-08,2.64,2.73,2.59,2.61,246362
2002-04-09,2.62,2.63,2.5,2.52,172703
2002-04-10,2.52,2.59,2.5,2.54,133587
2002-04-11,2.56,2.72,2.54,2.66,493582
2002-04-12,2.67,2.92,2.67,2.85,794019
2002-04-15,2.98,2.99,2.73,2.76,890308
2002-04-16,2.76,2.84,2.75,2.79,297115
2002-04-17,2.83,2.92,2.76,2.79,447700
2002-04-18,2.82,2.86,2.76,2.78,257353
2002-04-19,2.81,2.81,2.6,2.63,272926
2002-04-22,2.68,2.71,2.63,2.64,208356
2002-04-23,2.65,2.69,2.62,2.65,181904
2002-04-24,2.67,2.72,2.65,2.67,176760
2002-04-25,2.69,2.78,2.65,2.66,336994
2002-04-26,2.7,2.72,2.55,2.6,239087
2002-04-29,2.62,2.64,2.5,2.51,339985
2002-04-30,2.52,2.53,2.44,2.46,220427
2002-05-02,2.49,2.51,2.39,2.41,242333
2002-05-03,2.42,2.46,2.33,2.39,283088
2002-05-06,2.42,2.54,2.39,2.52,340499
2002-05-07,2.55,2.67,2.52,2.64,431623
2002-05-08,2.7,2.71,2.64,2.67,308134
2002-05-09,2.7,2.72,2.59,2.61,142509
2002-05-10,2.63,2.64,2.55,2.6,134375
2002-05-13,2.62,2.66,2.57,2.58,112635
2002-05-14,2.62,2.62,2.58,2.6,101437
2002-05-15,2.62,2.69,2.47,2.49,404517
2002-05-16,2.47,2.54,2.34,2.37,339431
2002-05-17,2.42,2.42,2.24,2.3,274825
2002-05-20,2.29,2.29,2.02,2.06,206352
2002-05-21,2.0,2.04,1.82,1.93,265479
2002-05-22,1.86,2.01,1.85,1.94,258256
2002-05-23,1.98,1.98,1.87,1.93,85629
2002-05-24,1.99,2.21,1.99,2.18,253800
2002-05-27,2.19,2.33,2.09,2.26,378410
2002-05-28,2.27,2.27,2.18,2.21,240565
2002-05-29,2.22,2.32,2.17,2.26,129620
2002-05-30,2.27,2.34,2.18,2.19,150707
2002-05-31,2.14,2.4,2.14,2.31,318774
2002-06-03,2.35,2.42,2.31,2.32,178694
2002-06-04,2.34,2.4,2.32,2.38,122730
2002-06-05,2.41,2.43,2.32,2.34,113142
2002-06-06,2.37,2.39,2.29,2.31,94674
2002-06-07,2.29,2.29,2.23,2.25,71490
2002-06-10,2.26,2.39,2.26,2.32,68128
2002-06-11,2.35,2.45,2.35,2.39,226289
2002-06-12,2.42,2.51,2.38,2.45,289724
2002-06-13,2.49,2.57,2.37,2.39,164117
2002-06-14,2.43,2.43,2.35,2.36,83873
2002-06-17,2.4,2.44,2.37,2.38,62332
2002-06-18,2.4,2.42,2.32,2.33,76924
2002-06-19,2.37,2.37,2.25,2.27,102053
2002-06-20,2.3,2.33,2.25,2.28,79090
2002-06-21,2.3,2.64,2.3,2.59,1024479
2002-06-24,2.67,2.72,2.56,2.58,618722
2002-06-25,2.55,2.63,2.41,2.5,267875
2002-06-26,2.5,2.5,2.4,2.43,114461
2002-06-27,2.42,2.5,2.39,2.48,154761
2002-06-28,2.5,2.56,2.47,2.51,187855
2002-07-01,2.54,2.56,2.51,2.53,81932
2002-07-02,2.51,2.52,2.45,2.47,78178
2002-07-03,2.46,2.56,2.46,2.48,107677
2002-07-04,2.51,2.52,2.46,2.5,67316
2002-07-05,2.48,2.62,2.46,2.57,406754
2002-07-08,2.61,2.64,2.51,2.53,144877
2002-07-09,2.51,2.54,2.47,2.49,104467
2002-07-10,2.5,2.52,2.46,2.47,72111
2002-07-11,2.48,2.51,2.42,2.45,91250
2002-07-12,2.51,2.51,2.47,2.48,57962
2002-07-15,2.48,2.49,2.4,2.41,46909
2002-07-16,2.42,2.44,2.37,2.39,56026
2002-07-17,2.38,2.39,2.23,2.25,142809
2002-07-18,2.24,2.24,2.16,2.18,130482
2002-07-19,2.16,2.17,2.13,2.14,77402
2002-07-22,2.11,2.13,2.04,2.04,61180
2002-07-23,2.06,2.09,1.99,2.07,83743
2002-07-24,2.08,2.08,1.99,2.0,53417
2002-07-25,2.09,2.11,2.01,2.02,65672
2002-07-26,2.02,2.02,1.91,1.93,46772
