date,open,high,low,close,volume
2005-04-20,8.5,9.15,8.5,9.05,3058
2005-04-21,9.11,9.2,8.5,8.94,2660
2005-04-22,9.2,9.24,9.03,9.08,4706
2005-04-25,9.4,9.4,9.06,9.2,854
2005-04-26,9.4,9.4,9.15,9.16,1292
2005-04-27,9.1,9.1,9.02,9.02,335
2005-04-28,9.06,9.15,9.05,9.14,325
2005-04-29,9.15,9.4,8.78,8.85,904
2005-05-02,8.81,8.85,8.81,8.85,250
2005-05-03,8.85,9.32,8.85,9.25,4276
2005-05-04,9.06,10.44,9.06,10.11,17821
2005-05-05,10.2,10.3,9.6,9.68,13642
2005-05-06,10.25,10.25,9.5,9.68,4695
2005-05-09,9.56,10.25,9.56,9.94,8675
2005-05-10,9.75,10.15,9.75,9.95,11922
2005-05-11,10.0,10.48,9.9,10.41,26604
2005-05-12,10.56,11.1,10.56,10.96,52731
2005-05-13,11.0,11.0,10.46,10.57,26824
2005-05-16,11.0,11.0,10.45,10.89,25936
2005-05-17,11.25,11.7,10.8,11.13,77259
2005-05-18,11.35,11.6,11.15,11.44,43683
2005-05-19,11.59,11.69,11.06,11.22,30501
2005-05-20,11.32,12.05,11.05,11.52,93214
2005-05-23,11.7,11.85,11.45,11.63,21826
2005-05-24,11.87,11.87,11.26,11.32,19912
2005-05-25,11.55,11.85,11.3,11.33,33482
2005-05-26,11.42,11.75,11.26,11.56,28035
2005-05-27,12.25,12.25,11.35,11.51,38501
2005-05-30,11.64,11.64,11.02,11.12,10216
2005-05-31,11.41,12.95,11.1,11.99,421860
2005-06-01,12.05,12.36,11.78,11.94,203243
2005-06-02,12.0,12.05,11.55,11.65,71330
2005-06-03,11.65,12.2,11.53,11.9,66765
2005-06-04,12.0,12.25,11.9,12.14,37355
2005-06-06,12.05,12.21,11.81,11.85,46755
2005-06-07,11.94,11.94,11.75,11.8,30620
2005-06-08,11.89,11.93,11.41,11.5,44165
2005-06-09,11.51,11.75,11.35,11.4,24271
2005-06-10,11.42,11.88,11.42,11.7,33505
2005-06-13,11.73,12.05,11.61,11.94,37666
2005-06-14,12.1,12.8,12.06,12.46,160634
2005-06-15,12.63,13.14,12.63,12.78,202253
2005-06-16,12.86,12.96,12.2,12.39,60177
2005-06-17,12.44,12.55,12.11,12.26,34676
2005-06-20,12.33,12.56,11.9,12.01,23269
2005-06-21,11.93,12.3,11.85,12.15,17209
2005-06-22,12.25,12.25,12.05,12.12,15010
2005-06-23,12.4,12.4,11.91,11.99,11703
2005-06-24,12.14,12.3,11.9,12.04,13104
2005-06-27,11.82,12.25,11.75,12.07,9604
2005-06-28,11.9,12.0,11.65,11.78,11778
2005-06-29,12.45,12.45,11.71,12.19,23564
2005-06-30,12.2,12.29,12.05,12.08,11872
2005-07-01,12.08,12.1,11.87,11.93,7122
2005-07-04,11.95,12.17,11.95,12.03,13338
2005-07-05,12.15,12.18,11.68,11.79,15434
2005-07-06,12.0,12.08,11.84,12.02,9424
2005-07-07,11.9,11.99,11.75,11.78,11172
2005-07-08,11.93,11.99,11.75,11.83,8426
2005-07-11,11.98,12.4,11.8,12.23,35019
2005-07-12,12.3,12.55,12.25,12.39,26982
2005-07-13,12.5,12.69,12.08,12.15,19743
2005-07-14,12.15,12.44,12.01,12.2,12129
2005-07-15,12.25,12.4,12.1,12.14,7014
