date,open,high,low,close,volume
2002-01-01,7.98,8.0,7.85,7.99,10150
2002-01-02,8.13,8.13,7.98,8.09,17980
2002-01-03,8.19,8.19,8.06,8.12,14670
2002-01-04,8.19,8.19,8.06,8.13,7435
2002-01-07,8.19,8.19,8.06,8.11,18910
2002-01-08,8.13,8.13,8.0,8.07,5920
2002-01-09,8.14,8.14,7.76,8.08,8822
2002-01-10,8.08,8.13,8.01,8.1,16314
2002-01-11,8.0,8.13,7.89,7.91,9560
2002-01-14,8.06,8.19,8.01,8.15,4968
2002-01-15,8.15,8.15,8.03,8.11,11056
2002-01-16,8.13,8.53,8.13,8.43,18841
2002-01-17,8.26,8.68,8.26,8.45,31845
2002-01-18,8.5,8.5,8.31,8.36,7717
2002-01-21,8.5,8.5,8.36,8.36,3922
2002-01-22,8.5,8.5,8.33,8.35,4849
2002-01-23,8.19,8.56,8.19,8.49,24000
2002-01-24,8.56,8.56,8.43,8.48,17056
2002-01-25,8.46,8.51,8.44,8.48,9435
2002-01-28,8.73,8.73,8.45,8.51,20523
2002-01-29,8.61,8.61,8.45,8.45,10026
2002-01-30,8.44,8.5,8.25,8.34,19613
2002-01-31,8.5,8.56,8.38,8.51,20950
2002-02-01,8.56,9.53,8.5,9.09,137727
2002-02-04,9.38,10.18,9.32,9.76,248352
2002-02-05,10.0,10.36,9.56,10.06,239095
2002-02-06,10.74,12.0,10.55,10.89,1378598
2002-02-07,11.19,11.39,9.88,9.98,413133
2002-02-08,10.0,10.31,9.83,9.93,175847
2002-02-11,10.3,11.0,10.13,10.28,288229
2002-02-12,10.31,10.72,10.14,10.18,267627
2002-02-13,10.03,10.38,9.94,10.01,230485
2002-02-14,10.25,10.88,10.08,10.44,1248696
2002-02-15,10.59,11.44,10.45,10.73,1634633
2002-02-18,11.0,11.0,9.78,10.22,852756
2002-02-19,10.47,10.5,10.03,10.12,324651
2002-02-20,10.0,10.25,9.76,9.83,373675
2002-02-21,10.09,10.11,9.69,9.76,220745
2002-02-22,9.78,10.46,9.73,9.81,693280
2002-02-25,9.94,9.98,9.2,9.26,402243
2002-02-26,9.38,9.8,9.27,9.64,1070294
2002-02-27,9.78,9.88,9.26,9.29,520060
2002-02-28,9.75,9.75,8.59,8.82,595520
2002-03-01,9.01,9.29,8.75,9.23,197643
2002-03-04,9.48,9.61,9.28,9.36,160985
2002-03-05,9.6,9.6,9.18,9.21,175150
2002-03-06,9.3,9.3,8.94,9.01,159960
2002-03-07,9.13,9.13,8.98,9.08,175513
2002-03-08,9.24,9.25,8.91,8.94,175319
2002-03-11,9.01,9.06,8.89,8.94,72672
2002-03-12,9.01,9.38,8.89,9.08,429010
2002-03-13,9.09,9.25,9.0,9.02,113581
2002-03-14,9.16,9.44,8.98,9.38,416370
2002-03-15,9.51,9.74,9.38,9.58,441102
2002-03-18,9.63,9.93,9.5,9.62,375344
2002-03-19,9.7,9.7,9.2,9.26,203290
