date,open,high,low,close,volume
2003-09-05,81.4,81.96,78.6,79.16,1000
2003-09-08,80.4,80.4,79.2,79.9,15498
2003-09-09,80.2,80.74,79.8,80.35,1169
2003-09-10,81.72,81.72,79.51,79.93,6463
2003-09-11,80.2,80.6,79.8,80.02,2067
2003-09-12,80.0,80.5,77.6,78.09,5957
2003-09-15,78.97,79.0,77.02,77.4,2705
2003-09-16,76.0,78.8,75.9,78.24,1409
2003-09-17,78.4,78.4,77.0,77.97,5424
2003-09-18,78.0,78.0,76.43,76.98,24732
2003-09-19,73.02,76.0,71.44,73.32,852
2003-09-22,74.57,74.58,72.01,72.54,553
2003-09-23,72.97,72.98,72.4,72.58,13497
2003-09-24,72.4,72.4,71.6,71.66,770
2003-09-25,72.0,72.0,70.03,70.27,441
2003-09-26,70.06,71.34,70.06,70.92,371
2003-09-29,72.0,74.0,70.0,70.38,13277
2003-09-30,71.59,73.4,70.0,72.19,154723
2003-10-01,73.68,74.8,72.4,73.42,4109
2003-10-03,73.65,75.2,73.3,73.72,1878
2003-10-06,74.0,74.0,73.01,73.42,1523
2003-10-07,73.93,73.93,71.4,72.0,2492
2003-10-08,69.2,72.0,69.2,71.4,2459
2003-10-09,71.61,73.4,71.3,72.6,2396
2003-10-10,74.95,74.95,71.64,72.35,667
2003-10-13,68.0,78.0,68.0,76.52,6969
2003-10-14,76.2,76.5,74.4,74.83,2250
2003-10-15,76.0,77.0,73.82,74.19,2824
2003-10-16,74.85,75.78,74.21,74.94,1576
2003-10-17,74.8,74.98,74.0,74.0,1599
2003-10-20,73.03,75.0,73.03,73.17,1264
2003-10-21,72.61,73.59,72.05,72.59,2210
2003-10-22,72.0,72.6,72.0,72.1,687
2003-10-23,73.0,73.0,72.4,72.4,125
2003-10-24,72.1,72.74,72.0,72.74,1238
2003-10-25,74.4,74.4,74.4,74.4,10
2003-10-27,72.48,72.48,72.48,72.48,10
2003-10-28,72.4,73.6,70.54,73.15,1988
2003-10-29,73.9,73.98,72.4,72.58,600
2003-10-30,73.2,73.4,72.85,72.99,1186
2003-10-31,73.6,74.32,72.4,72.75,1349
2003-11-03,72.41,74.01,72.0,73.02,1422
2003-11-04,73.2,76.8,73.2,75.62,4178
2003-11-05,75.61,76.0,74.6,75.93,2188
2003-11-06,74.65,75.68,74.65,74.96,783
2003-11-07,75.22,76.0,74.0,74.44,1965
2003-11-10,73.0,75.4,73.0,75.39,836
2003-11-11,75.0,76.38,75.0,75.99,2397
2003-11-12,76.0,76.58,75.0,75.39,1605
2003-11-13,75.0,75.99,74.5,74.64,865
2003-11-14,75.0,75.0,74.34,74.45,1537
2003-11-15,75.0,75.0,75.0,75.0,280
2003-11-17,73.91,75.0,73.91,74.28,182
2003-11-18,75.2,75.4,74.8,75.03,978
2003-11-19,75.96,75.96,75.0,75.04,539
2003-11-20,75.0,75.0,74.6,74.8,1595
2003-11-21,75.0,75.18,74.26,74.31,1659
2003-11-24,75.0,75.2,74.1,74.14,920
2003-11-25,74.8,75.69,74.31,74.6,1039
2003-11-27,75.0,76.8,75.0,75.93,956
2003-11-28,75.8,76.58,75.0,76.13,11555
2003-12-01,76.4,76.69,75.4,76.23,1152
2003-12-02,76.0,76.4,75.62,75.68,1166
2003-12-03,76.0,83.0,75.54,81.89,9322
2003-12-04,83.0,86.0,80.2,81.51,6942
2003-12-05,82.75,83.59,81.2,81.68,2404
2003-12-08,80.2,82.94,80.2,80.95,1083
2003-12-09,82.8,84.2,81.4,83.61,2854
2003-12-10,83.61,86.0,83.6,85.38,5356
2003-12-11,85.2,85.21,82.02,82.82,2738
2003-12-12,84.0,84.0,80.4,81.44,1621
2003-12-15,83.0,84.0,82.02,83.71,2558
2003-12-16,83.79,84.18,82.03,82.77,2392
2003-12-17,87.0,91.0,81.8,84.18,54191
2003-12-18,91.18,91.18,82.4,83.71,4297
2003-12-19,84.98,91.0,84.98,86.97,11122
2003-12-22,91.8,91.8,86.82,86.92,3179
2003-12-23,89.4,89.4,85.11,85.8,3601
2003-12-24,86.78,87.0,85.0,86.75,3438
2003-12-26,86.78,86.8,85.5,85.91,2984
2003-12-29,86.9,90.78,86.5,89.05,5782
2003-12-30,90.0,91.51,87.0,87.48,3164
2003-12-31,87.0,88.38,86.45,86.95,2130
2004-01-01,87.0,87.7,86.5,87.38,2170
2004-01-02,89.6,92.0,88.42,89.59,3318
2004-01-05,86.2,91.2,86.2,88.31,4175
2004-01-06,90.0,91.5,86.6,87.56,4705
2004-01-07,86.4,88.5,85.0,87.58,1970
2004-01-08,87.0,88.51,87.0,88.05,6257
2004-01-09,85.4,89.38,85.4,87.4,1033
2004-01-12,91.8,97.0,91.0,92.66,8130
2004-01-13,96.8,97.0,92.8,94.74,9309
2004-01-14,95.6,97.6,95.0,97.31,5256
2004-01-15,97.6,97.6,96.22,96.58,4905
2004-01-16,96.87,96.87,92.4,93.98,8492
2004-01-19,93.02,93.6,91.6,93.6,2135
2004-01-20,92.55,94.4,92.4,92.46,4207
2004-01-21,91.02,92.0,86.8,86.94,4329
