date,open,high,low,close,volume
2003-09-05,12.33,12.43,11.83,12.07,24309
2003-09-08,12.33,12.61,12.2,12.52,20355
2003-09-09,12.61,12.69,11.92,12.53,26493
2003-09-10,12.25,12.57,11.92,12.31,20699
2003-09-11,12.28,12.41,12.1,12.33,9622
2003-09-12,12.32,12.41,12.0,12.14,7384
2003-09-15,12.04,12.16,11.75,11.83,3030
2003-09-16,11.69,11.92,10.93,11.78,7207
2003-09-17,11.59,11.92,11.59,11.71,8289
2003-09-18,11.71,11.75,10.86,11.68,6592
2003-09-19,11.67,11.75,11.27,11.57,7515
2003-09-22,11.59,11.92,11.59,11.75,4016
2003-09-23,11.75,12.34,11.51,12.2,10490
2003-09-24,12.17,12.32,12.0,12.06,5635
2003-09-25,11.51,12.25,11.51,11.67,2729
2003-09-26,11.55,11.87,11.51,11.57,4188
2003-09-29,11.59,11.88,11.26,11.37,6302
2003-09-30,11.78,11.78,11.34,11.42,2714
2003-10-01,11.51,12.35,11.34,11.86,23991
2003-10-03,12.33,12.53,12.25,12.35,34056
2003-10-06,12.34,12.49,12.17,12.34,18420
2003-10-07,12.34,12.53,12.34,12.48,18078
2003-10-08,12.37,12.48,12.25,12.33,8424
2003-10-09,12.33,12.48,12.27,12.35,12480
2003-10-10,12.34,12.52,12.33,12.4,21374
2003-10-13,12.34,12.53,12.34,12.39,19509
2003-10-14,12.41,12.49,12.34,12.37,13989
2003-10-15,12.0,12.44,12.0,12.4,21745
2003-10-16,12.34,12.41,12.25,12.34,16920
2003-10-17,12.25,12.41,12.08,12.22,10552
2003-10-20,12.33,12.33,11.18,11.83,6585
2003-10-21,11.51,12.16,11.51,11.71,7182
2003-10-22,12.16,12.3,11.67,11.82,6551
2003-10-23,12.29,12.33,11.78,11.88,8706
2003-10-24,11.83,12.16,11.73,11.77,4526
2003-10-25,11.75,12.16,11.73,11.8,2380
2003-10-27,11.75,11.91,11.51,11.68,9874
2003-10-28,11.75,11.92,11.71,11.78,15961
2003-10-29,11.83,11.92,11.71,11.77,4987
2003-10-30,11.92,11.92,11.63,11.83,6348
2003-10-31,11.82,12.0,11.67,11.94,7978
2003-11-03,11.67,12.56,11.42,12.5,31372
2003-11-04,12.33,12.57,12.33,12.52,29355
2003-11-05,12.53,12.61,12.19,12.54,14622
2003-11-06,12.57,12.86,12.5,12.68,16399
2003-11-07,12.66,12.74,12.29,12.36,9521
2003-11-10,11.01,12.33,11.01,12.22,5306
2003-11-11,12.04,12.33,12.04,12.23,9203
2003-11-12,12.12,12.12,11.67,11.85,15307
2003-11-13,12.08,12.08,11.67,11.78,7286
2003-11-14,11.76,11.92,11.69,11.76,7830
2003-11-15,11.79,11.83,11.51,11.75,7560
2003-11-17,11.51,12.16,11.51,12.09,12885
2003-11-18,12.31,12.31,11.89,11.97,8147
2003-11-19,11.92,11.96,11.67,11.71,7043
2003-11-20,11.83,12.33,11.7,12.16,10288
2003-11-21,12.45,12.45,11.76,12.3,10507
2003-11-24,12.09,12.33,11.97,12.11,4100
2003-11-25,12.01,12.32,12.01,12.22,5361
2003-11-27,12.25,12.31,12.17,12.23,3929
2003-11-28,12.08,12.27,12.05,12.07,7659
2003-12-01,12.31,12.39,11.92,11.99,92651
2003-12-02,12.16,12.57,12.01,12.18,15788
2003-12-03,12.2,12.32,12.16,12.25,6030
2003-12-04,12.17,12.57,12.17,12.48,12669
2003-12-05,12.95,13.48,12.41,13.41,47937
2003-12-08,13.49,13.93,13.25,13.5,18842
2003-12-09,13.48,13.97,13.35,13.5,8710
2003-12-10,13.4,13.56,13.19,13.53,6739
2003-12-11,13.56,13.64,12.9,13.26,12503
2003-12-12,13.4,13.51,12.96,13.2,8741
2003-12-15,13.67,13.67,12.98,13.28,14040
2003-12-16,13.4,14.05,13.35,13.94,41294
2003-12-17,14.46,14.46,13.81,13.85,16811
2003-12-18,14.22,14.6,13.56,14.39,18012
2003-12-19,14.59,14.59,14.02,14.39,14056
2003-12-22,14.38,14.46,13.82,14.0,6907
2003-12-23,14.3,14.3,13.81,13.89,8221
2003-12-24,13.81,14.34,13.49,14.27,21211
2003-12-26,14.18,14.71,14.18,14.3,10879
2003-12-29,14.38,15.2,14.38,15.07,23955
2003-12-30,14.79,15.04,14.48,14.88,14193
2003-12-31,14.87,14.87,14.5,14.54,8499
2004-01-01,14.79,14.81,14.5,14.51,4719
2004-01-02,14.78,17.26,14.55,15.94,35997
2004-01-05,16.44,17.09,15.78,16.06,28657
2004-01-06,15.66,16.04,15.53,15.63,14131
2004-01-07,15.49,15.57,14.71,14.78,19563
2004-01-08,14.79,15.2,14.65,14.7,23430
2004-01-09,14.55,15.43,14.27,14.39,12802
2004-01-12,14.14,14.38,13.32,13.51,15289
2004-01-13,13.56,13.97,12.98,13.17,18651
2004-01-14,12.99,14.46,12.98,14.08,14788
2004-01-15,14.14,14.38,13.32,13.52,8849
2004-01-16,13.97,14.75,13.97,14.56,30155
2004-01-19,14.63,14.87,14.38,14.56,12360
2004-01-20,14.7,14.71,13.97,14.21,9479
2004-01-21,14.14,14.55,13.27,13.58,10048
2004-01-22,13.65,13.97,12.61,12.85,6835
2004-01-23,12.61,13.72,12.61,13.24,4299
2004-01-27,13.27,14.71,13.24,14.14,7384
2004-01-28,14.22,14.38,13.81,13.94,8640
2004-01-29,13.65,14.38,13.65,13.99,11303
2004-01-30,14.05,14.34,13.76,14.18,8632
2004-02-03,14.37,14.55,13.97,14.17,11762
2004-02-04,14.3,14.79,14.16,14.67,12186
2004-02-05,14.71,14.96,14.55,14.91,9587
2004-02-06,14.79,16.03,14.79,15.94,32479
2004-02-09,15.18,16.85,15.18,16.62,37041
2004-02-10,16.27,16.68,16.23,16.57,33110
2004-02-11,15.12,16.47,15.12,16.4,13344
2004-02-12,16.35,16.48,16.03,16.37,24870
2004-02-13,16.27,16.41,15.62,16.12,8127
2004-02-16,15.7,16.19,15.7,15.78,7400
2004-02-17,15.47,15.96,15.46,15.64,9704
2004-02-18,15.51,15.6,14.77,14.84,7393
2004-02-19,15.04,15.04,14.63,14.72,6760
2004-02-20,14.87,15.04,14.77,14.79,10605
2004-02-23,14.77,15.01,14.77,14.81,2755
2004-02-24,15.36,15.36,14.96,15.08,2760
2004-02-25,15.61,15.61,14.88,15.07,2196
2004-02-26,15.2,15.37,15.2,15.3,5257
2004-02-27,15.05,15.61,15.05,15.45,4792
2004-03-01,15.53,15.7,15.45,15.47,27017
2004-03-03,15.53,15.61,14.97,15.12,6692
2004-03-04,15.09,15.12,14.63,14.8,11500
2004-03-05,14.63,15.04,14.63,15.03,2275
2004-03-08,15.13,15.22,15.04,15.14,22384
2004-03-09,14.84,15.22,14.8,15.2,3870
2004-03-10,14.38,15.08,14.38,14.95,17341
2004-03-11,14.79,15.04,14.79,14.99,6981
2004-03-12,14.87,14.96,13.97,14.79,25646
2004-03-15,14.79,14.92,14.39,14.55,36349
2004-03-16,14.07,14.63,14.07,14.52,14282
2004-03-17,14.53,14.71,13.65,13.9,14501
2004-03-18,13.81,13.97,13.56,13.7,2456
2004-03-19,13.56,13.56,13.03,13.17,16955
2004-03-22,13.31,13.31,12.58,12.68,4986
2004-03-23,12.55,13.06,12.17,12.3,7715
2004-03-24,12.32,12.32,12.0,12.1,2650
2004-03-25,11.99,12.1,11.51,11.72,31495
2004-03-26,11.67,12.33,11.59,12.15,9141
2004-03-29,12.16,13.55,12.08,12.27,5825
2004-03-30,12.74,13.07,12.57,12.95,6274
2004-03-31,13.13,13.56,12.95,13.51,12529
2004-04-01,13.4,14.3,13.4,14.11,4976
2004-04-02,13.89,14.01,13.64,13.88,5066
2004-04-05,13.73,13.97,13.56,13.6,2526
2004-04-06,13.56,13.81,12.61,13.15,1389
2004-04-07,12.66,13.23,12.66,13.02,1319
2004-04-08,13.14,13.27,12.95,13.01,4225
2004-04-12,13.19,14.14,13.07,14.01,7808
2004-04-13,14.06,14.38,13.81,14.19,5297
2004-04-15,13.99,14.38,13.97,13.97,3737
2004-04-16,13.97,14.14,13.89,13.96,2833
2004-04-17,13.89,14.12,13.82,13.91,1314
2004-04-19,13.97,14.29,13.85,13.94,2786
2004-04-20,13.97,13.97,13.81,13.88,4831
2004-04-21,13.89,14.05,13.81,13.91,4413
2004-04-22,13.89,13.97,13.81,13.85,10461
2004-04-23,13.85,15.2,13.84,14.93,20405
2004-04-27,15.16,16.44,14.46,14.67,14554
2004-04-28,14.79,15.12,14.3,14.61,10795
2004-04-29,14.38,15.17,14.38,14.86,5421
2004-04-30,15.03,15.2,14.92,15.15,9826
2004-05-03,15.2,15.61,15.12,15.54,18054
2004-05-04,15.23,16.17,15.22,16.04,13150
2004-05-05,16.02,16.4,16.02,16.28,22904
2004-05-06,16.11,16.53,15.95,16.37,27038
2004-05-07,16.44,16.6,16.29,16.51,14865
2004-05-10,16.35,17.01,16.23,16.57,15992
2004-05-11,16.31,16.42,15.61,16.05,34404
2004-05-12,15.7,16.6,15.7,16.4,19018
2004-05-13,15.12,16.52,15.12,16.4,8874
2004-05-14,16.35,16.4,15.71,16.28,20428
2004-05-17,15.61,15.77,15.04,15.51,14748
2004-05-18,15.2,16.15,15.2,16.0,62641
2004-05-19,16.03,16.76,16.03,16.7,25459
2004-05-20,16.81,17.09,16.44,16.72,7510
2004-05-21,16.56,16.56,16.36,16.44,3509
2004-05-24,16.44,16.76,16.27,16.35,11326
2004-05-25,16.27,16.52,16.27,16.4,2855
2004-05-26,16.46,16.93,16.46,16.81,7065
2004-05-27,16.48,17.42,16.44,17.23,12581
2004-05-28,16.77,17.09,16.27,16.59,9577
2004-05-31,16.6,16.85,16.27,16.74,6415
2004-06-01,16.28,16.53,15.61,16.32,7170
2004-06-02,16.23,16.4,15.76,16.19,12275
2004-06-03,16.27,16.35,16.03,16.18,1697
2004-06-04,17.09,17.09,16.03,16.22,3918
2004-06-07,16.11,16.35,16.05,16.17,3907
2004-06-08,16.11,16.4,16.07,16.35,9800
2004-06-09,16.4,16.44,16.25,16.28,6487
2004-06-10,16.27,16.44,16.26,16.4,3221
2004-06-11,16.44,16.44,16.14,16.27,3349
2004-06-14,16.28,16.35,16.11,16.35,4155
2004-06-15,16.35,16.44,16.15,16.34,3981
2004-06-16,16.32,16.43,16.28,16.4,3068
2004-06-17,16.28,16.4,16.13,16.15,2592
2004-06-18,16.27,16.44,16.23,16.31,5176
2004-06-21,16.28,16.51,16.13,16.35,3731
2004-06-22,16.35,16.52,16.23,16.41,4140
2004-06-23,16.28,16.51,16.27,16.39,4756
2004-06-24,16.3,16.44,16.3,16.4,4826
2004-06-25,16.31,16.4,16.07,16.4,2163
2004-06-28,16.35,16.43,16.29,16.4,3102
2004-06-29,16.31,16.44,16.31,16.4,1972
2004-06-30,16.44,16.44,16.35,16.4,1709
2004-07-01,16.28,16.41,16.05,16.13,548
2004-07-02,16.15,16.27,16.06,16.2,1051
2004-07-05,16.11,16.11,15.86,15.93,16190
2004-07-06,16.27,16.27,15.87,15.94,6912
2004-07-07,16.44,16.44,15.91,16.03,12763
2004-07-08,16.26,16.26,15.61,15.8,2324
2004-07-09,15.62,16.15,15.61,15.93,1743
2004-07-12,16.44,16.44,15.87,16.1,3897
2004-07-13,16.42,16.42,16.13,16.29,840
2004-07-14,16.44,16.44,16.11,16.2,4869
2004-07-15,16.44,16.44,16.08,16.19,1818
2004-07-16,16.44,16.44,15.94,16.12,2087
2004-07-19,16.42,16.42,16.19,16.3,2738
2004-07-20,16.44,16.44,16.16,16.32,4767
2004-07-21,16.35,16.43,16.23,16.4,5810
2004-07-22,16.48,16.48,16.31,16.36,15718
2004-07-23,16.42,16.6,16.28,16.49,5485
2004-07-26,16.35,16.6,16.35,16.45,4752
2004-07-27,16.28,16.53,16.28,16.48,1972
2004-07-28,16.51,16.51,16.35,16.37,2991
2004-07-29,16.44,16.44,16.27,16.35,15736
2004-07-30,16.4,16.4,16.27,16.32,8081
2004-08-02,16.43,16.44,16.28,16.37,1947
2004-08-03,16.44,16.6,16.4,16.4,3374
2004-08-04,16.44,16.56,16.32,16.45,16254
2004-08-05,16.28,16.6,16.28,16.47,3030
2004-08-06,16.35,16.76,16.35,16.6,3785
2004-08-09,16.68,17.6,16.68,16.89,5597
2004-08-10,17.01,17.39,16.93,17.05,5292
