date,open,high,low,close,volume
2003-09-05,5.92,6.15,5.92,6.05,32716
2003-09-08,6.1,6.47,6.1,6.41,50179
2003-09-09,6.42,6.67,6.34,6.44,33737
2003-09-10,6.5,6.53,6.01,6.51,16480
2003-09-11,6.5,6.65,6.42,6.6,10062
2003-09-12,6.67,6.98,6.58,6.7,37238
2003-09-15,6.67,6.7,6.37,6.38,16985
2003-09-16,6.27,6.72,6.27,6.52,9533
2003-09-17,6.66,6.69,6.53,6.59,16695
2003-09-18,6.57,6.57,6.21,6.24,9846
2003-09-19,6.5,6.5,6.08,6.37,8141
2003-09-22,6.33,6.5,6.32,6.37,7598
2003-09-23,6.41,6.67,6.41,6.63,9515
2003-09-24,6.52,6.62,6.42,6.58,13673
2003-09-25,6.37,6.65,6.37,6.57,9067
2003-09-26,6.65,7.16,6.59,7.0,29576
2003-09-29,6.97,7.46,6.97,7.27,23853
2003-09-30,7.65,7.67,7.44,7.63,21634
2003-10-01,7.83,7.91,7.47,7.86,18380
2003-10-03,8.25,8.32,7.67,8.07,31572
2003-10-06,8.33,9.0,8.25,8.85,44282
2003-10-07,9.0,10.5,9.0,9.4,58231
2003-10-08,9.5,9.62,8.83,8.93,28403
2003-10-09,9.17,9.33,9.02,9.18,16556
2003-10-10,10.66,10.66,8.92,8.93,11820
2003-10-13,9.0,9.25,8.98,9.03,16217
2003-10-14,8.13,9.0,8.13,8.54,11825
2003-10-15,8.37,8.82,8.37,8.62,9841
2003-10-16,8.81,9.0,8.67,8.74,7849
2003-10-17,9.0,9.0,8.71,8.84,16555
2003-10-20,8.82,8.98,8.75,8.88,4162
2003-10-21,8.83,8.85,8.42,8.64,7961
2003-10-22,9.15,9.15,8.43,8.73,9492
2003-10-23,8.37,8.92,8.32,8.55,11095
2003-10-24,9.16,9.16,8.75,8.75,7815
2003-10-25,9.5,9.5,8.83,8.92,4626
2003-10-27,8.86,8.9,8.51,8.68,7084
2003-10-28,8.54,8.67,8.5,8.52,1643
2003-10-29,8.67,8.73,8.47,8.48,5159
2003-10-30,8.67,8.75,8.5,8.75,5391
2003-10-31,8.87,9.41,8.86,9.36,28552
2003-11-03,9.0,9.48,8.83,8.86,20263
2003-11-04,9.17,9.17,8.54,8.87,22894
2003-11-05,8.93,9.03,8.67,8.84,24142
2003-11-06,9.07,9.07,8.85,8.97,3619
2003-11-07,8.93,9.17,8.92,9.12,17873
2003-11-10,9.17,9.41,9.17,9.34,7761
2003-11-11,9.33,9.48,9.02,9.3,19083
2003-11-12,9.33,9.75,9.33,9.52,22665
2003-11-13,9.66,9.66,9.2,9.27,8428
2003-11-14,9.58,9.58,8.97,9.07,10765
2003-11-15,8.84,9.31,8.83,9.23,2152
2003-11-17,9.08,9.49,9.08,9.28,4240
2003-11-18,9.5,9.5,9.22,9.22,7742
2003-11-19,9.09,9.21,9.02,9.05,7340
2003-11-20,9.0,9.25,8.95,9.05,3739
2003-11-21,9.05,9.06,8.76,8.88,8932
2003-11-24,8.86,9.07,8.86,8.92,4520
2003-11-25,9.32,9.41,9.1,9.17,3480
2003-11-27,9.02,9.32,9.02,9.17,9775
2003-11-28,9.12,9.2,9.1,9.13,5092
