date,open,high,low,close,volume
2006-04-25,4.75,6.79,4.75,5.16,15454057
2006-04-26,5.28,5.9,5.18,5.6,4843287
2006-04-27,5.7,6.35,5.65,6.2,5115764
2006-04-28,5.8,6.09,5.28,5.89,1489907
2006-04-29,5.97,6.55,5.95,6.39,2115539
2006-05-02,6.48,6.7,6.28,6.31,1152131
2006-05-03,6.33,6.37,5.94,6.0,685106
2006-05-04,5.96,6.12,5.64,5.84,808560
2006-05-05,5.85,6.39,5.83,6.12,1502360
2006-05-08,6.2,6.28,6.09,6.15,453765
2006-05-09,6.13,6.22,5.83,5.97,226841
2006-05-10,6.04,6.05,5.8,5.83,169963
2006-05-11,5.89,6.06,5.68,5.91,320507
2006-05-12,5.81,5.9,5.74,5.77,161124
2006-05-15,5.81,5.88,5.3,5.42,148395
2006-05-16,5.5,5.5,4.95,5.21,135626
2006-05-17,5.24,5.64,5.24,5.55,213221
2006-05-18,5.45,5.45,4.8,4.9,178391
2006-05-19,4.75,5.11,4.4,4.49,135885
2006-05-22,4.51,4.7,3.61,3.85,106063
2006-05-23,3.89,4.39,3.5,4.28,94992
2006-05-24,4.44,4.57,4.02,4.19,92614
2006-05-25,4.05,4.3,3.58,4.21,70465
2006-05-26,4.2,4.45,4.2,4.39,62701
2006-05-29,4.41,4.55,4.33,4.37,26497
2006-05-30,4.49,4.84,4.38,4.63,152805
2006-05-31,4.55,4.55,4.1,4.3,83380
2006-06-01,4.42,4.79,4.08,4.17,53030
2006-06-02,4.27,4.27,3.83,4.02,59756
2006-06-05,4.01,4.17,3.8,3.83,50306
2006-06-06,3.63,3.75,3.51,3.61,41865
2006-06-07,3.43,3.67,2.93,2.98,107911
2006-06-08,2.61,3.05,2.5,2.65,100997
2006-06-09,2.6,2.95,2.6,2.75,111345
2006-06-12,3.0,3.2,2.52,2.6,61381
2006-06-13,2.51,2.6,2.4,2.44,55903
2006-06-14,2.49,2.62,2.33,2.37,82361
2006-06-15,2.53,2.78,2.43,2.68,101154
2006-06-16,2.8,3.22,2.71,3.21,141124
2006-06-19,3.35,3.82,2.9,3.73,284357
2006-06-20,3.65,3.84,3.5,3.6,173318
2006-06-21,3.65,4.08,3.65,3.91,272032
2006-06-22,4.0,4.26,4.0,4.17,203540
2006-06-23,4.04,4.17,4.0,4.05,102440
2006-06-25,4.06,4.2,4.0,4.11,20961
2006-06-26,4.05,4.17,3.7,3.72,63451
2006-06-27,3.72,3.85,3.41,3.59,64357
2006-06-28,3.61,3.7,3.43,3.54,43487
2006-06-29,3.61,3.67,3.54,3.56,28090
2006-06-30,3.65,3.9,3.6,3.65,36912
2006-07-03,3.64,3.74,3.57,3.59,15467
2006-07-04,3.62,3.66,3.45,3.53,20179
2006-07-05,3.44,3.59,3.44,3.53,13337
2006-07-06,3.51,3.55,3.44,3.47,17702
2006-07-07,3.59,3.59,3.3,3.38,18286
2006-07-10,3.3,3.49,3.2,3.24,16232
2006-07-11,3.25,3.37,3.19,3.22,13765
2006-07-12,3.11,3.19,3.05,3.16,9929
2006-07-13,3.07,3.34,3.07,3.25,28513
2006-07-14,3.15,3.24,3.15,3.2,16517
2006-07-17,3.28,3.53,3.17,3.4,84689
2006-07-18,3.51,3.72,3.32,3.67,196816
2006-07-19,3.75,3.87,3.33,3.39,100594
2006-07-20,3.5,3.55,3.41,3.43,32070
2006-07-21,3.41,3.42,3.25,3.28,18671
2006-07-24,3.13,3.34,3.13,3.3,18583
2006-07-25,3.36,3.52,3.31,3.47,33229
2006-07-26,3.53,3.69,3.45,3.6,55313
2006-07-27,3.68,3.9,3.65,3.75,213953
2006-07-28,3.79,3.8,3.51,3.55,78544
2006-07-31,3.71,3.71,3.4,3.54,26990
2006-08-01,3.43,3.7,3.34,3.53,48651
2006-08-02,3.7,3.74,3.43,3.51,70093
2006-08-03,3.53,3.62,3.43,3.46,42894
2006-08-04,3.45,3.55,3.43,3.46,22387
2006-08-07,3.44,3.77,3.35,3.65,162062
2006-08-08,3.75,3.75,3.57,3.6,43644
2006-08-09,3.6,3.72,3.54,3.61,50739
2006-08-10,3.6,3.86,3.59,3.76,210023
2006-08-11,3.8,4.08,3.8,3.93,232795
2006-08-14,3.96,4.05,3.81,3.85,72402
2006-08-16,3.97,3.98,3.75,3.78,96873
2006-08-17,3.85,3.85,3.66,3.69,38187
2006-08-18,3.69,3.8,3.66,3.69,47462
2006-08-21,3.7,3.82,3.69,3.71,27359
2006-08-22,3.85,3.85,3.65,3.67,26246
2006-08-23,3.67,3.75,3.56,3.66,31641
2006-08-24,3.63,3.64,3.55,3.62,29278
2006-08-25,3.65,3.84,3.6,3.65,109288
2006-08-28,3.7,3.97,3.68,3.92,215130
2006-08-29,3.95,4.11,3.88,3.96,244129
2006-08-30,3.99,4.44,3.85,4.29,935417
2006-08-31,4.34,4.66,4.33,4.42,2127724
2006-09-01,4.48,4.48,4.26,4.31,622296
2006-09-04,4.39,4.54,4.34,4.39,406434
2006-09-05,4.42,4.42,4.2,4.25,147962
2006-09-06,4.26,4.36,4.22,4.24,127080
2006-09-07,4.2,4.49,4.18,4.34,402238
2006-09-08,4.35,4.75,4.35,4.64,1116117
2006-09-11,4.7,4.81,4.22,4.29,561510
2006-09-12,4.3,4.34,4.13,4.3,191990
2006-09-13,4.39,4.68,4.32,4.53,427632
2006-09-14,4.61,4.94,4.6,4.77,1516466
2006-09-15,4.77,4.77,4.56,4.59,252483
2006-09-18,4.62,4.7,4.5,4.52,110773
2006-09-19,4.56,4.65,4.31,4.39,201227
2006-09-20,4.35,4.53,4.33,4.42,149774
2006-09-21,4.49,4.55,4.33,4.36,123377
2006-09-22,4.32,4.4,4.3,4.33,77655
2006-09-25,4.28,4.34,4.17,4.19,46189
2006-09-26,4.25,4.46,3.56,4.38,166650
2006-09-27,4.41,4.48,4.26,4.28,100272
2006-09-28,4.25,4.33,4.21,4.25,39942
2006-09-29,4.25,4.4,4.21,4.28,63724
2006-10-03,4.26,4.44,4.25,4.31,70810
2006-10-04,4.35,4.37,4.22,4.23,40372
2006-10-05,4.29,4.4,4.29,4.32,48911
2006-10-06,4.35,4.48,4.3,4.39,135158
2006-10-09,4.35,4.8,4.35,4.59,827348
2006-10-10,4.65,4.72,4.5,4.51,227205
2006-10-11,4.69,4.69,4.41,4.47,124616
2006-10-12,4.53,4.62,4.45,4.51,105986
2006-10-13,4.55,4.58,4.4,4.45,62636
2006-10-16,4.5,4.53,4.35,4.37,49652
2006-10-17,4.33,4.4,4.29,4.31,49884
2006-10-18,4.3,4.33,4.16,4.24,54951
2006-10-19,4.3,4.3,4.21,4.24,23073
2006-10-20,4.28,4.39,4.28,4.3,32812
2006-10-21,4.31,4.35,4.2,4.32,8600
2006-10-23,4.28,4.33,4.24,4.25,12179
2006-10-26,4.31,4.34,4.24,4.27,24289
2006-10-27,4.3,4.4,4.27,4.29,53618
2006-10-30,4.2,4.31,4.2,4.25,25838
2006-10-31,4.26,4.29,4.19,4.24,35923
2006-11-01,4.32,4.55,4.28,4.44,239018
2006-11-02,4.46,4.62,4.41,4.44,231496
2006-11-03,4.45,4.49,4.38,4.4,74341
2006-11-06,4.44,5.28,4.34,5.28,1331947
2006-11-07,5.53,5.6,5.04,5.08,1060643
2006-11-08,5.2,5.23,4.93,5.0,333664
2006-11-09,5.09,5.45,5.01,5.34,826609
2006-11-10,5.31,5.58,5.2,5.3,1009222
2006-11-13,5.31,5.36,5.13,5.15,149172
2006-11-14,5.02,5.3,5.0,5.05,211449
2006-11-15,5.05,5.13,4.86,4.9,133341
2006-11-16,4.93,5.3,4.88,4.98,638072
2006-11-17,4.85,4.97,4.7,4.81,175409
2006-11-20,4.76,4.8,4.52,4.69,103083
2006-11-21,4.74,4.88,4.7,4.81,75880
2006-11-22,4.9,5.05,4.76,4.83,91337
2006-11-23,4.89,5.05,4.8,4.86,141012
2006-11-24,4.88,5.05,4.78,4.8,183147
2006-11-27,4.86,4.9,4.76,4.78,74511
2006-11-28,4.71,4.8,4.65,4.69,68289
2006-11-29,4.84,4.84,4.63,4.65,65733
2006-11-30,4.71,4.77,4.63,4.66,48778
2006-12-01,4.7,5.12,4.65,5.04,1160884
2006-12-04,4.55,5.12,4.55,4.93,317967
2006-12-05,4.99,5.01,4.76,4.84,144076
2006-12-06,4.9,5.01,4.76,4.79,126463
2006-12-07,4.84,4.93,4.75,4.79,79583
2006-12-08,4.82,4.87,4.71,4.74,72506
2006-12-11,4.62,4.75,4.41,4.48,91596
2006-12-12,4.41,4.6,4.16,4.27,76558
2006-12-13,4.35,4.35,3.91,4.25,69372
2006-12-14,4.4,4.45,4.35,4.41,52944
2006-12-15,4.53,4.55,4.38,4.44,47738
2006-12-18,4.48,4.51,4.36,4.47,37866
2006-12-19,4.48,4.67,4.3,4.32,29880
2006-12-20,4.35,4.45,4.26,4.27,21440
2006-12-21,4.25,4.35,4.23,4.27,18171
2006-12-22,4.29,4.4,4.24,4.28,27944
2006-12-26,4.3,4.41,4.3,4.38,23140
2006-12-27,4.4,4.48,4.38,4.39,32677
2006-12-28,4.4,4.6,4.35,4.5,97239
2006-12-29,4.55,4.57,4.41,4.44,25694
2007-01-02,4.5,4.62,4.43,4.5,21695
2007-01-03,4.53,4.63,4.45,4.52,34818
2007-01-04,4.6,4.66,4.48,4.54,46417
2007-01-05,4.51,4.7,4.51,4.55,71819
2007-01-08,4.59,5.0,4.55,4.97,254719
2007-01-09,5.02,5.33,4.81,5.0,701468
2007-01-10,4.99,5.1,4.83,4.86,162315
2007-01-11,4.9,5.09,4.82,4.99,144691
2007-01-12,5.07,5.22,4.98,5.03,171065
2007-01-15,5.1,5.24,5.0,5.14,173698
2007-01-16,5.15,5.18,4.91,4.95,112211
2007-01-17,4.95,5.14,4.95,5.06,74491
2007-01-18,5.12,5.45,5.1,5.2,703069
2007-01-19,5.27,5.32,4.9,4.99,182989
2007-01-22,5.09,5.34,5.03,5.21,441069
