date,open,high,low,close,volume
2005-06-20,11.6,11.7,10.13,10.42,34870
2005-06-21,10.63,10.75,10.43,10.55,9572
2005-06-22,10.57,10.89,10.2,10.29,15949
2005-06-23,10.49,10.49,9.9,10.17,5993
2005-06-24,10.25,11.4,10.25,10.73,60965
2005-06-27,10.9,11.15,10.66,10.77,44155
2005-06-28,10.8,10.8,10.3,10.33,17917
2005-06-29,10.3,10.7,10.3,10.66,22917
2005-06-30,10.79,10.94,10.53,10.74,22648
2005-07-01,10.99,11.1,10.63,10.78,29540
2005-07-04,11.1,11.1,10.95,11.05,22996
2005-07-05,11.15,11.3,10.75,10.85,46730
2005-07-06,11.0,11.1,10.86,10.96,12804
2005-07-07,11.0,11.14,10.62,10.72,18016
2005-07-08,10.8,10.85,10.6,10.78,9581
2005-07-11,10.16,12.6,10.16,10.91,32145
2005-07-12,10.95,11.1,10.86,11.0,29279
2005-07-13,11.0,12.0,10.98,11.57,199486
2005-07-14,11.75,11.85,11.3,11.37,76635
2005-07-15,11.4,11.59,11.27,11.37,41196
2005-07-18,11.59,11.96,11.46,11.65,165008
2005-07-19,11.9,11.9,11.26,11.36,41318
2005-07-20,11.4,11.55,11.31,11.42,34749
2005-07-21,11.41,11.57,11.0,11.05,30469
2005-07-22,11.2,11.38,10.97,11.03,27118
2005-07-25,11.07,11.19,10.86,10.92,17700
2005-07-26,10.9,11.0,10.65,10.76,15579
2005-07-27,10.9,10.94,10.7,10.76,7130
2005-07-29,10.74,10.88,10.13,10.57,16150
2005-08-01,10.84,12.5,10.5,10.58,20131
2005-08-02,11.0,11.1,10.57,10.77,21433
2005-08-03,10.73,10.97,10.55,10.65,21589
2005-08-04,10.65,10.8,10.54,10.61,14520
2005-08-05,10.7,10.7,10.31,10.38,45394
2005-08-08,10.4,10.4,9.93,10.08,43730
2005-08-09,9.9,10.35,9.9,10.17,22204
2005-08-10,10.29,10.41,10.25,10.39,18193
2005-08-11,10.44,10.55,10.35,10.43,72145
2005-08-12,10.5,10.6,10.3,10.36,58310
2005-08-16,10.5,10.6,10.31,10.38,63054
2005-08-17,10.1,11.1,10.0,10.59,154305
2005-08-18,10.7,10.94,10.29,10.34,98825
2005-08-19,10.4,10.67,10.31,10.38,79276
2005-08-22,10.57,10.8,10.21,10.31,117448
2005-08-23,10.39,10.43,10.02,10.11,60441
2005-08-24,10.12,10.2,9.87,10.02,35969
2005-08-25,10.35,10.37,10.03,10.14,16774
2005-08-26,10.23,10.23,10.05,10.13,22166
2005-08-29,10.13,10.89,10.06,10.33,84294
2005-08-30,10.47,11.42,10.47,10.87,269085
2005-08-31,10.88,11.4,10.88,11.16,203654
2005-09-01,11.33,11.6,11.06,11.14,135086
2005-09-02,11.27,11.96,11.1,11.58,432638
2005-09-05,11.68,11.78,11.31,11.37,107699
2005-09-06,11.55,11.7,11.26,11.35,75620
2005-09-08,11.47,11.78,11.3,11.51,119989
2005-09-09,11.57,11.67,11.22,11.28,61395
2005-09-12,11.45,11.5,11.16,11.21,43263
2005-09-13,11.35,11.49,11.12,11.2,53837
2005-09-14,11.2,11.49,10.81,10.9,84354
2005-09-15,10.97,11.25,10.96,11.12,41512
2005-09-16,11.23,11.35,11.05,11.11,60715
2005-09-19,11.2,11.3,11.0,11.05,47398
2005-09-20,11.14,11.2,10.68,10.79,49976
2005-09-21,10.71,10.79,10.0,10.36,50877
2005-09-22,10.39,10.39,9.36,9.48,59239
2005-09-23,9.6,9.95,9.4,9.82,59834
2005-09-26,10.07,10.2,9.91,10.16,21488
2005-09-27,11.39,11.39,10.03,10.25,30435
2005-09-28,10.25,10.34,10.01,10.12,20176
2005-09-29,10.24,10.25,9.72,9.81,56886
2005-09-30,9.7,9.7,9.23,9.46,47671
2005-10-03,9.6,9.67,9.4,9.59,11459
2005-10-04,9.69,9.99,9.58,9.85,20694
2005-10-05,9.8,9.9,9.67,9.73,17714
2005-10-06,9.59,9.75,9.5,9.6,9433
2005-10-07,9.65,9.78,9.36,9.55,13933
2005-10-10,9.69,9.69,9.35,9.38,6108
2005-10-11,9.25,9.56,9.21,9.4,11526
2005-10-13,9.39,9.5,9.22,9.28,13611
2005-10-14,9.3,9.45,8.92,9.03,21470
2005-10-17,9.01,9.3,8.72,8.98,14692
2005-10-18,8.65,9.25,8.2,9.11,13250
2005-10-19,9.0,9.04,8.4,8.77,25777
2005-10-20,9.0,9.0,8.01,8.45,24466
2005-10-21,8.33,8.9,8.15,8.76,21090
2005-10-24,8.94,9.25,8.9,9.03,25711
2005-10-25,9.2,9.2,8.96,9.05,12803
2005-10-26,9.1,9.2,8.9,9.02,7691
2005-10-27,8.99,9.02,8.8,8.95,13720
2005-10-28,8.85,9.0,8.68,8.91,14710
2005-10-31,9.0,9.08,8.71,8.92,10991
2005-11-01,9.0,9.15,8.92,9.05,3481
2005-11-02,8.41,9.1,8.4,9.08,12551
2005-11-07,9.27,9.35,9.16,9.24,8758
2005-11-08,9.35,9.7,9.25,9.48,20398
2005-11-09,9.55,9.65,9.32,9.42,11796
2005-11-10,9.6,9.6,9.24,9.44,6256
2005-11-11,9.49,9.7,9.42,9.59,11977
2005-11-14,9.66,9.8,9.65,9.7,20113
2005-11-16,9.79,9.85,9.7,9.76,11460
2005-11-17,9.78,9.85,9.54,9.79,8904
2005-11-18,9.79,10.34,9.79,10.02,39866
