date,open,high,low,close,volume
2003-09-05,101.13,101.77,99.49,100.97,354012
2003-09-08,101.31,103.75,101.31,103.39,319545
2003-09-09,103.09,105.79,100.65,103.47,281816
2003-09-10,103.09,105.3,102.52,104.37,255990
2003-09-11,104.72,105.06,103.44,103.92,134948
2003-09-12,104.09,104.89,100.65,100.88,166761
2003-09-15,100.15,101.29,98.36,99.74,166639
2003-09-16,99.0,102.11,95.91,100.67,351102
2003-09-17,102.28,102.28,95.89,97.5,162147
2003-09-18,97.37,97.37,92.46,93.68,346851
2003-09-19,95.32,97.86,92.96,96.59,278965
2003-09-22,97.37,98.02,95.24,96.36,159130
2003-09-23,91.64,99.15,91.64,98.67,226801
2003-09-24,97.37,103.63,95.25,102.71,350823
2003-09-25,101.62,103.18,100.67,101.3,170539
2003-09-26,100.8,105.14,100.8,104.69,271339
2003-09-29,104.08,108.82,104.08,108.07,343882
2003-09-30,108.74,110.09,107.1,109.03,297098
2003-10-01,108.17,109.48,106.04,107.99,95142
2003-10-03,106.69,109.31,106.69,108.51,125878
2003-10-06,108.82,113.21,108.82,111.29,318586
2003-10-07,111.93,113.57,109.97,111.4,236217
2003-10-08,113.06,114.55,111.28,111.93,175048
2003-10-09,112.58,120.6,111.6,118.63,430955
2003-10-10,119.95,119.95,115.63,116.27,300669
2003-10-13,116.84,118.64,115.37,117.7,377243
2003-10-14,118.61,121.54,116.36,117.82,581474
2003-10-15,116.18,119.44,116.18,118.72,384619
2003-10-16,121.91,135.82,119.02,124.1,494855
2003-10-17,124.04,130.0,122.74,128.46,662452
2003-10-20,129.77,129.77,121.45,123.37,343062
2003-10-21,125.18,127.85,121.42,122.68,511446
2003-10-22,127.97,127.97,118.66,119.36,370400
2003-10-23,117.82,121.26,113.39,114.47,585271
2003-10-24,116.18,120.59,114.88,120.25,606297
2003-10-25,126.82,126.82,121.27,123.8,128336
2003-10-27,123.55,126.79,121.97,122.89,338691
2003-10-28,123.38,125.18,121.09,123.2,352175
2003-10-29,124.37,129.93,123.73,128.75,539716
2003-10-30,128.88,132.53,126.92,131.41,509224
2003-10-31,130.26,142.04,130.26,139.85,695224
2003-11-03,141.06,145.48,138.36,144.36,385735
2003-11-04,145.48,153.66,140.57,151.46,632988
2003-11-05,150.55,153.0,146.16,148.21,494651
2003-11-06,147.77,150.2,143.19,145.97,339919
2003-11-07,145.64,148.91,143.35,145.84,316631
2003-11-10,145.64,151.19,142.61,149.38,210794
2003-11-11,148.91,155.54,148.91,154.42,523682
2003-11-12,154.48,156.55,148.42,150.27,311803
2003-11-13,150.55,154.48,149.4,152.05,646095
2003-11-14,150.71,152.19,144.85,146.32,292160
2003-11-15,144.49,150.22,144.49,148.71,90088
2003-11-17,148.59,150.34,146.87,148.53,256165
2003-11-18,147.28,150.06,140.74,142.33,756246
2003-11-19,141.88,142.37,134.68,137.59,815161
2003-11-20,138.88,141.22,135.0,136.31,434115
2003-11-21,135.82,140.55,135.49,139.3,383763
2003-11-24,141.53,141.53,136.72,140.01,246746
2003-11-25,141.55,143.99,139.13,143.26,288718
2003-11-27,145.31,146.46,143.4,145.35,336053
2003-11-28,142.4,148.09,142.4,147.15,207816
2003-12-01,148.91,150.06,146.51,149.36,282118
2003-12-02,149.24,152.17,148.1,150.84,219066
2003-12-03,150.9,151.85,145.67,146.68,144092
2003-12-04,147.28,148.42,143.68,144.68,193829
2003-12-05,147.06,148.09,141.31,142.01,271146
2003-12-08,142.04,146.41,140.89,142.6,196293
2003-12-09,143.05,147.28,142.86,147.05,207134
2003-12-10,146.95,149.73,144.02,148.23,299607
2003-12-11,149.65,151.37,147.28,148.41,293522
2003-12-12,148.09,151.2,147.95,150.02,248765
2003-12-15,151.37,156.44,150.89,155.79,429517
2003-12-16,156.28,156.93,152.19,154.45,259890
2003-12-17,155.13,155.13,148.91,152.46,497633
2003-12-18,152.68,156.11,150.71,155.27,218475
2003-12-19,156.77,161.19,155.79,159.92,450305
2003-12-22,160.37,163.48,159.88,162.42,273302
2003-12-23,162.99,163.31,158.73,159.82,128706
2003-12-24,160.04,162.0,159.14,160.57,141229
2003-12-26,162.0,167.57,160.86,166.32,279769
2003-12-29,167.73,168.35,165.44,166.13,116106
2003-12-30,166.59,169.79,164.46,166.04,222091
2003-12-31,165.93,167.57,162.02,164.28,137706
2004-01-01,166.9,168.57,164.47,165.98,109733
2004-01-02,165.6,174.11,165.6,172.2,272371
2004-01-05,174.93,175.09,166.95,169.04,240129
2004-01-06,170.51,173.44,162.21,164.82,290855
2004-01-07,163.64,173.29,160.37,171.36,319513
2004-01-08,171.86,184.1,171.86,182.87,452059
2004-01-09,187.01,192.6,182.29,188.82,517506
2004-01-12,188.43,189.82,181.98,185.02,256871
2004-01-13,183.44,192.28,182.49,190.61,231957
2004-01-14,180.0,196.37,180.0,195.54,165861
2004-01-15,196.37,196.86,190.31,192.84,201806
2004-01-16,181.31,193.1,180.82,187.09,260062
2004-01-19,186.55,191.12,180.49,188.2,329539
2004-01-20,173.65,193.57,173.65,184.23,456175
2004-01-21,184.23,186.55,175.91,178.83,337960
2004-01-22,177.54,182.43,170.37,177.8,465378
2004-01-23,179.18,188.18,175.75,184.41,401502
2004-01-27,184.92,186.55,178.38,183.93,450927
2004-01-28,185.73,189.02,180.99,182.37,270553
2004-01-29,182.77,192.11,180.33,187.54,352788
2004-01-30,186.9,188.96,181.16,182.16,152035
2004-02-03,181.31,185.4,176.91,181.58,274447
2004-02-04,180.82,183.77,176.83,179.42,394412
2004-02-05,182.33,184.1,171.0,175.75,371357
2004-02-06,175.73,178.19,171.04,177.07,179355
2004-02-09,176.89,183.26,176.73,182.2,218802
2004-02-10,182.47,185.57,180.17,181.54,175079
2004-02-11,180.82,190.31,180.82,188.69,311967
2004-02-12,184.94,189.82,183.85,185.86,246794
2004-02-13,183.32,187.83,183.32,186.74,133734
2004-02-16,187.2,189.99,185.81,186.66,128124
2004-02-17,183.28,195.52,173.79,194.53,385655
2004-02-18,194.58,198.66,191.13,192.66,263576
2004-02-19,193.1,193.1,183.36,185.54,131831
2004-02-20,185.4,189.33,182.8,187.35,208280
2004-02-23,188.79,188.79,177.57,178.94,193213
2004-02-24,179.84,179.84,174.6,176.99,388826
2004-02-25,176.08,179.02,173.05,174.37,245631
2004-02-26,175.11,177.84,171.1,173.35,423906
2004-02-27,176.4,176.71,171.02,175.0,245067
2004-03-01,176.89,187.2,176.1,186.15,316962
2004-03-03,186.63,193.26,176.73,188.19,308393
2004-03-04,191.13,194.54,187.38,189.51,454403
2004-03-05,191.13,194.62,190.66,193.71,244591
