date,open,high,low,close,volume
2003-09-05,2.31,2.38,2.14,2.24,94459
2003-09-08,2.28,2.4,2.28,2.34,192855
2003-09-09,2.37,2.4,2.28,2.3,149621
2003-09-10,2.31,2.34,2.28,2.3,110756
2003-09-11,2.31,2.35,2.28,2.31,89151
2003-09-12,2.33,2.34,2.23,2.25,69173
2003-09-15,2.31,2.31,2.19,2.21,51817
2003-09-16,2.26,2.33,2.21,2.25,67810
2003-09-17,2.28,2.31,2.24,2.27,67887
2003-09-18,2.28,2.29,2.23,2.24,40142
2003-09-19,2.24,2.31,2.21,2.23,45802
2003-09-22,2.29,2.46,2.29,2.4,151305
2003-09-23,2.38,2.44,2.36,2.42,88138
2003-09-24,2.45,2.52,2.39,2.42,96275
2003-09-25,2.43,2.43,2.37,2.38,58324
2003-09-26,2.39,2.39,2.36,2.36,38914
2003-09-29,2.38,2.56,2.36,2.49,84929
2003-09-30,2.54,2.57,2.5,2.52,84648
2003-10-01,2.54,2.56,2.49,2.51,46834
2003-10-03,2.53,2.56,2.52,2.53,51236
2003-10-06,2.56,2.73,2.54,2.69,176103
2003-10-07,2.73,2.83,2.68,2.72,209502
2003-10-08,2.75,2.83,2.73,2.81,109287
2003-10-09,2.81,3.09,2.81,2.94,122386
2003-10-10,3.0,3.03,2.93,2.96,151388
2003-10-13,2.99,3.05,2.93,2.95,74309
2003-10-14,2.98,2.98,2.77,2.78,79777
2003-10-15,2.85,2.92,2.73,2.82,45529
2003-10-16,2.84,2.93,2.81,2.85,87809
2003-10-17,2.86,2.9,2.84,2.85,48765
2003-10-20,2.88,2.88,2.5,2.72,46779
2003-10-21,2.76,2.87,2.69,2.7,106657
2003-10-22,2.76,2.88,2.68,2.7,131834
2003-10-23,2.74,2.74,2.63,2.65,57779
2003-10-24,2.65,2.71,2.63,2.66,112411
2003-10-25,2.84,2.84,2.69,2.74,29687
2003-10-27,2.75,2.76,2.59,2.62,47239
2003-10-28,2.63,2.67,2.5,2.54,43471
2003-10-29,2.59,2.63,2.55,2.59,36303
2003-10-30,2.68,2.7,2.59,2.67,83687
2003-10-31,2.69,2.75,2.66,2.74,89614
2003-11-03,2.71,2.83,2.7,2.75,95236
2003-11-04,2.74,2.76,2.64,2.67,57111
2003-11-05,2.67,2.74,2.64,2.67,51124
2003-11-06,2.71,2.79,2.68,2.73,73346
2003-11-07,2.78,2.86,2.74,2.81,88458
2003-11-10,2.75,3.13,2.75,2.82,24614
2003-11-11,2.88,2.88,2.78,2.81,62157
2003-11-12,2.86,2.88,2.75,2.78,76241
2003-11-13,2.79,2.83,2.73,2.77,76994
2003-11-14,2.76,2.78,2.68,2.69,84912
2003-11-15,2.7,2.74,2.66,2.7,30969
2003-11-17,2.75,2.78,2.68,2.7,69993
2003-11-18,2.72,2.74,2.68,2.7,67161
2003-11-19,2.73,2.75,2.65,2.67,84872
2003-11-20,2.69,2.75,2.66,2.68,59804
2003-11-21,2.56,2.73,2.56,2.69,68538
2003-11-24,2.86,2.94,2.78,2.81,150124
2003-11-25,2.9,2.9,2.81,2.84,137429
2003-11-27,2.87,2.94,2.81,2.83,91840
2003-11-28,2.88,2.89,2.82,2.83,91249
2003-12-01,2.87,2.98,2.86,2.92,129840
2003-12-02,2.94,2.96,2.85,2.89,98171
2003-12-03,2.88,2.95,2.85,2.9,99431
2003-12-04,2.88,2.98,2.88,2.93,100837
2003-12-05,2.94,3.35,2.92,3.14,199443
2003-12-08,3.17,3.3,3.15,3.2,109081
2003-12-09,3.2,3.31,3.18,3.26,89461
2003-12-10,3.26,3.37,3.21,3.28,63156
2003-12-11,3.31,3.36,3.26,3.31,68089
2003-12-12,3.31,3.68,3.3,3.6,162109
2003-12-15,3.75,3.75,3.55,3.59,135878
2003-12-16,3.56,3.69,3.54,3.59,86451
2003-12-17,3.66,3.69,3.56,3.62,96095
2003-12-18,3.67,3.73,3.59,3.67,83987
2003-12-19,3.74,3.85,3.67,3.7,101969
2003-12-22,3.71,3.78,3.68,3.71,93290
2003-12-23,3.75,3.76,3.63,3.66,49656
2003-12-24,3.56,3.71,3.56,3.65,65188
