date,open,high,low,close,volume
2003-09-05,28.0,28.4,27.83,27.97,341929
2003-09-08,27.65,28.29,27.6,27.84,128305
2003-09-09,27.7,28.19,27.5,28.01,204692
2003-09-10,27.3,28.09,27.3,27.71,188614
2003-09-11,27.81,28.1,27.66,27.85,179166
2003-09-12,27.9,28.08,27.64,27.94,239498
2003-09-15,27.88,28.0,27.4,27.57,150973
2003-09-16,27.2,27.99,27.2,27.75,281607
2003-09-17,27.99,27.99,27.11,27.35,229526
2003-09-18,27.2,27.2,26.32,26.51,190452
2003-09-19,26.56,27.2,26.4,27.18,169243
2003-09-22,27.5,27.5,26.4,26.47,199667
2003-09-23,26.5,27.0,26.41,26.69,191787
2003-09-24,27.0,27.58,26.61,27.42,257395
2003-09-25,27.2,27.5,26.62,26.79,197906
2003-09-26,26.81,27.2,26.53,27.15,148024
2003-09-29,27.49,27.85,26.8,26.98,730059
2003-09-30,27.0,27.66,27.0,27.5,639435
2003-10-01,27.7,28.6,27.55,28.33,393687
2003-10-03,29.05,29.55,28.7,29.45,663901
2003-10-06,29.75,32.0,29.6,31.38,560291
2003-10-07,32.0,32.51,30.7,30.95,1354746
2003-10-08,31.3,31.5,30.72,31.03,522187
2003-10-09,31.44,31.63,31.11,31.43,263530
2003-10-10,32.5,32.5,30.21,30.54,754506
2003-10-13,30.84,31.44,30.69,30.87,501738
2003-10-14,32.99,32.99,30.8,30.98,562173
2003-10-15,31.2,31.3,30.4,31.09,283357
2003-10-16,31.15,31.5,31.0,31.38,265957
2003-10-17,31.35,32.5,31.35,31.65,740645
2003-10-20,31.7,32.2,31.26,31.49,447860
2003-10-21,31.2,31.55,30.81,31.11,281070
2003-10-22,30.9,31.29,29.9,30.09,199404
2003-10-23,30.29,30.4,29.74,29.98,228604
2003-10-24,30.1,30.94,29.6,30.79,140043
2003-10-25,31.0,31.43,30.51,30.65,29214
2003-10-27,30.65,31.44,30.0,30.1,266767
2003-10-28,30.31,31.44,30.12,31.19,434545
2003-10-29,31.34,31.79,31.3,31.67,372936
2003-10-30,31.25,32.0,31.25,31.76,350662
2003-10-31,32.1,32.1,31.03,31.61,318952
2003-11-03,32.05,32.3,31.7,31.95,349660
2003-11-04,32.2,32.2,30.72,30.99,320720
2003-11-05,31.26,31.29,30.8,30.94,180072
2003-11-06,30.7,31.0,30.31,30.79,262158
2003-11-07,30.97,31.0,30.25,30.53,452609
2003-11-10,31.47,31.47,30.41,30.89,142533
2003-11-11,31.1,31.31,30.46,30.66,213568
2003-11-12,30.8,30.8,29.75,29.9,354834
2003-11-13,30.35,30.45,29.8,29.94,131581
2003-11-14,26.55,30.3,26.55,29.75,136940
2003-11-15,29.9,30.1,29.7,29.93,63719
2003-11-17,29.9,30.5,29.76,30.41,132660
2003-11-18,30.78,30.78,30.11,30.29,289446
2003-11-19,29.91,30.2,29.4,29.97,524270
2003-11-20,29.9,30.18,29.45,29.84,154006
2003-11-21,29.45,30.5,29.45,30.3,200717
2003-11-24,30.9,30.9,30.15,30.29,435226
2003-11-25,30.12,30.6,30.12,30.26,380785
2003-11-27,30.65,30.95,30.0,30.17,404952
2003-11-28,30.4,30.8,30.0,30.26,480564
2003-12-01,30.7,31.44,30.4,31.13,1044179
2003-12-02,31.5,31.99,31.2,31.81,661712
2003-12-03,31.99,33.1,31.99,32.89,921014
2003-12-04,32.97,33.59,32.7,33.45,840123
2003-12-05,33.6,33.6,32.5,32.83,411667
2003-12-08,32.75,33.29,32.06,32.68,216037
2003-12-09,33.49,33.69,33.06,33.25,359580
2003-12-10,33.3,34.38,32.62,34.04,724407
2003-12-11,34.0,35.2,33.8,35.05,709516
2003-12-12,35.1,36.74,34.61,36.27,797532
2003-12-15,36.59,36.6,35.14,35.37,145727
2003-12-16,35.59,36.48,35.46,35.98,378592
2003-12-17,35.9,36.1,35.52,35.94,422794
2003-12-18,36.0,36.08,35.16,35.52,254468
2003-12-19,35.34,36.0,35.34,35.83,279470
2003-12-22,35.6,36.09,35.6,35.95,200101
2003-12-23,35.9,36.5,35.1,35.25,174916
2003-12-24,35.64,36.07,35.21,36.01,210119
2003-12-26,36.0,36.5,35.5,35.86,138438
2003-12-29,36.2,38.51,36.2,37.98,397287
2003-12-30,38.1,38.38,36.5,36.81,1049503
2003-12-31,37.0,37.75,36.32,36.51,221920
2004-01-01,36.3,36.8,35.95,36.67,188854
2004-01-02,37.38,37.51,35.84,36.29,460975
2004-01-05,36.8,37.15,36.25,36.52,293251
2004-01-06,36.03,37.24,35.9,36.15,438381
2004-01-07,36.3,37.0,35.73,36.09,386085
2004-01-08,36.15,36.4,35.32,36.17,644874
2004-01-09,36.56,38.6,36.3,36.85,987734
2004-01-12,36.65,36.92,36.31,36.49,586876
2004-01-13,36.5,36.66,36.21,36.49,643660
2004-01-14,36.61,36.93,36.3,36.78,688836
2004-01-15,37.1,40.3,37.1,38.51,1504691
2004-01-16,38.71,40.05,37.21,38.17,887834
2004-01-19,38.49,38.49,36.8,36.99,620088
2004-01-20,37.1,38.09,36.8,36.99,709717
2004-01-21,37.0,37.1,36.05,36.92,663593
2004-01-22,37.75,37.78,36.42,36.68,510394
2004-01-23,35.2,37.34,30.06,36.49,272725
2004-01-27,36.48,37.2,36.01,36.56,354858
2004-01-28,40.68,40.68,35.7,36.02,337460
2004-01-29,36.0,37.48,34.53,35.6,407486
2004-01-30,35.3,35.3,33.55,34.5,238679
2004-02-03,34.0,35.2,33.0,33.67,627827
2004-02-04,33.18,35.39,32.55,35.0,292302
2004-02-05,34.83,36.0,34.51,35.68,296028
2004-02-06,35.85,36.0,34.53,35.48,379995
2004-02-09,35.95,36.75,35.82,36.43,413923
2004-02-10,36.8,37.59,36.7,37.29,340528
2004-02-11,37.55,37.75,37.15,37.46,274915
2004-02-12,37.75,38.2,37.11,37.46,247048
2004-02-13,37.4,37.57,36.83,37.48,180176
2004-02-16,37.99,38.01,37.4,37.82,237702
2004-02-17,37.52,38.34,37.36,38.07,296749
2004-02-18,37.62,38.34,37.51,37.94,144477
2004-02-19,38.05,38.05,37.32,37.48,166963
2004-02-20,37.4,37.49,35.64,36.49,482967
2004-02-23,35.61,36.95,35.4,36.72,136203
2004-02-24,36.6,37.4,36.25,37.16,249059
2004-02-25,37.44,37.44,36.06,36.52,162646
2004-02-26,36.3,37.2,36.3,36.91,404542
2004-02-27,37.0,37.75,36.43,37.47,295340
2004-03-01,37.69,38.4,37.25,37.86,223641
2004-03-03,38.05,40.0,37.71,39.2,583356
2004-03-04,39.17,39.17,37.73,38.32,262076
2004-03-05,38.49,38.79,37.95,38.25,214875
2004-03-08,38.55,39.25,37.81,37.99,291667
2004-03-09,38.77,38.77,37.24,37.51,107602
2004-03-10,37.5,38.0,37.0,37.83,236552
2004-03-11,37.75,38.0,37.23,37.6,219820
2004-03-12,37.41,37.55,35.99,36.69,310585
2004-03-15,37.35,37.35,36.03,36.17,214875
2004-03-16,35.37,36.44,34.65,35.94,313984
2004-03-17,35.8,36.5,35.14,35.93,223159
2004-03-18,35.9,36.1,34.8,35.54,150868
2004-03-19,35.1,35.8,35.03,35.38,187337
2004-03-22,35.78,35.78,33.52,33.89,196848
2004-03-23,33.88,34.75,33.6,34.5,183344
2004-03-24,35.0,36.98,34.21,35.77,161380
2004-03-25,36.0,36.49,35.75,36.29,235129
2004-03-26,36.4,37.81,36.21,37.41,211330
2004-03-29,37.7,37.98,37.01,37.81,163471
2004-03-30,37.6,37.7,36.28,36.92,211173
2004-03-31,37.35,38.19,36.55,37.88,287790
2004-04-01,38.24,38.6,36.8,38.44,373580
2004-04-02,38.7,39.2,38.32,38.89,228941
2004-04-05,39.11,40.0,38.15,38.67,348500
2004-04-06,39.24,39.32,38.01,38.21,156070
2004-04-07,38.5,38.68,38.0,38.08,80087
2004-04-08,37.8,39.14,37.6,38.05,288827
2004-04-12,38.37,38.37,37.21,37.54,123806
2004-04-13,37.67,38.4,37.52,38.26,153948
2004-04-15,38.5,38.6,37.8,38.1,223224
2004-04-16,38.39,38.99,37.71,37.85,168564
2004-04-17,38.2,38.99,37.52,37.67,71999
2004-04-19,38.0,38.08,37.44,37.84,261918
2004-04-20,37.8,38.08,37.38,37.48,185804
2004-04-21,37.7,37.7,37.12,37.3,441406
2004-04-22,37.5,37.9,37.03,37.52,339204
2004-04-23,37.89,38.48,37.35,37.99,304964
2004-04-27,37.52,38.49,37.01,38.08,309271
2004-04-28,38.2,38.5,37.6,37.99,192559
2004-04-29,38.0,38.5,37.1,38.16,206598
2004-04-30,38.2,38.29,37.55,37.81,117795
2004-05-03,37.5,37.95,37.31,37.78,96645
2004-05-04,37.99,38.5,37.52,37.64,109367
2004-05-05,37.85,39.5,37.7,38.25,322568
2004-05-06,38.4,39.3,38.11,38.29,271564
